                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3358,                 1.4489,                 1.5801,                0.45636,                0.54682,                0.49513,                 0.3244,                 1.0543,                0.89131,                 1.4643,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0515,                0.86648,                 1.4158,                0.54124,                0.64134,                0.58068,                0.43573,                0.84762,                0.70567,                 1.4574,                0.04004,               0.006589,               0.006589
                      3,                0.88376,                0.68954,                 1.4048,                0.58518,                0.67714,                0.65429,                0.50768,                 0.7873,                0.61525,                 1.5646,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80196,                0.60518,                 1.4229,                0.69226,                0.70469,                0.71343,                 0.5601,                 0.7565,                0.56165,                 1.5034,               0.009703,               0.009703,               0.009703
                      5,                0.78771,                0.58092,                 1.4161,                0.69524,                0.73025,                0.74386,                0.58999,                0.73941,                0.53512,                 1.4993,               0.009604,               0.009604,               0.009604
                      6,                0.77127,                0.56033,                  1.402,                0.69559,                0.68606,                0.71989,                0.57253,                0.75131,                0.55294,                 1.5421,               0.009505,               0.009505,               0.009505
                      7,                0.76246,                0.54685,                 1.4018,                0.77261,                0.73684,                0.78631,                0.63719,                0.71738,                0.49785,                 1.4644,               0.009406,               0.009406,               0.009406
                      8,                 0.7565,                0.54263,                 1.4048,                0.74439,                0.75263,                0.77485,                0.62534,                0.71773,                0.50212,                 1.4547,               0.009307,               0.009307,               0.009307
                      9,                0.75184,                 0.5318,                 1.3909,                0.76837,                0.74768,                0.79878,                0.64394,                0.70975,                0.48776,                 1.4675,               0.009208,               0.009208,               0.009208
                     10,                0.74779,                 0.5304,                 1.3841,                0.73336,                0.74776,                0.77156,                0.61806,                0.72424,                 0.4997,                 1.5001,               0.009109,               0.009109,               0.009109
                     11,                0.74366,                0.52285,                 1.3866,                0.70863,                0.72228,                 0.7468,                0.59632,                0.72857,                0.54977,                 1.5186,                0.00901,                0.00901,                0.00901
