                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3232,                 1.3963,                 1.5855,                0.59009,                0.55599,                 0.4934,                0.36391,                0.89646,                0.82097,                 1.4778,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0646,                0.88575,                 1.4131,                0.54922,                0.68117,                0.60212,                0.45411,                0.82904,                0.71882,                 1.4324,                0.04004,               0.006589,               0.006589
                      3,                0.88501,                0.69025,                 1.4068,                0.56377,                0.66524,                0.62918,                 0.4852,                0.79552,                 0.6208,                 1.6016,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80231,                0.60488,                 1.4258,                0.67347,                0.71244,                0.70926,                0.55788,                0.74529,                0.54609,                 1.5051,               0.009703,               0.009703,               0.009703
                      5,                 0.7876,                0.58098,                 1.4163,                0.69929,                0.73106,                0.73621,                0.58398,                0.73637,                0.52825,                 1.5041,               0.009604,               0.009604,               0.009604
                      6,                0.77176,                0.56068,                 1.4012,                 0.7208,                 0.7127,                 0.7453,                0.60025,                0.73877,                0.52264,                 1.5121,               0.009505,               0.009505,               0.009505
                      7,                0.76234,                0.54612,                 1.4042,                0.75723,                0.74322,                0.77771,                0.63013,                0.71031,                0.49985,                 1.4621,               0.009406,               0.009406,               0.009406
                      8,                0.75654,                0.54247,                 1.4044,                0.73908,                0.72407,                0.75518,                0.60718,                0.71998,                0.50321,                 1.5006,               0.009307,               0.009307,               0.009307
                      9,                0.75284,                0.53282,                 1.3902,                0.76044,                0.77055,                0.80659,                0.65544,                0.70602,                0.48073,                 1.4679,               0.009208,               0.009208,               0.009208
                     10,                0.74711,                0.52984,                 1.3841,                0.75718,                0.76531,                0.79128,                0.64642,                0.69905,                0.47922,                  1.468,               0.009109,               0.009109,               0.009109
                     11,                0.74303,                0.52254,                 1.3833,                0.76615,                0.77262,                0.80665,                0.65441,                0.70068,                0.48464,                 1.4782,                0.00901,                0.00901,                0.00901
                     12,                0.73844,                0.51574,                  1.383,                 0.7575,                0.79524,                0.81304,                0.66207,                0.68954,                0.47099,                 1.4461,               0.008911,               0.008911,               0.008911
                     13,                0.73343,                0.51449,                 1.3836,                0.76553,                0.74874,                0.78903,                0.64323,                0.69609,                0.47142,                 1.4755,               0.008812,               0.008812,               0.008812
                     14,                0.73017,                0.51076,                 1.3777,                0.76084,                0.76013,                0.78913,                0.64905,                0.68796,                0.46553,                  1.473,               0.008713,               0.008713,               0.008713
                     15,                0.72866,                0.50705,                 1.3814,                0.77963,                0.77972,                0.81951,                0.67305,                0.68485,                0.46053,                 1.4511,               0.008614,               0.008614,               0.008614
                     16,                0.72532,                0.50123,                 1.3741,                0.78864,                0.78435,                0.82727,                0.68031,                0.67926,                0.44702,                 1.4528,               0.008515,               0.008515,               0.008515
                     17,                0.72257,                0.49847,                 1.3808,                0.77748,                0.76876,                0.80734,                0.66084,                0.68993,                0.47157,                 1.4563,               0.008416,               0.008416,               0.008416
                     18,                0.71781,                0.49579,                 1.3703,                0.80031,                0.78212,                0.83768,                0.68538,                0.67786,                0.44901,                 1.4516,               0.008317,               0.008317,               0.008317
                     19,                0.71682,                0.49196,                 1.3798,                0.79688,                0.79736,                0.84007,                0.69245,                0.67784,                0.44102,                 1.4555,               0.008218,               0.008218,               0.008218
                     20,                0.71723,                0.49373,                 1.3758,                 0.7922,                0.80677,                0.84749,                0.69982,                0.67141,                0.43996,                 1.4472,               0.008119,               0.008119,               0.008119
                     21,                0.71525,                0.48638,                 1.3772,                0.79265,                0.80086,                0.83823,                0.69009,                0.67736,                0.43665,                 1.4868,                0.00802,                0.00802,                0.00802
                     22,                0.70778,                0.48514,                 1.3737,                0.79121,                0.80876,                0.83826,                0.69236,                0.66873,                  0.436,                 1.4481,               0.007921,               0.007921,               0.007921
                     23,                0.71048,                  0.484,                 1.3808,                0.81893,                 0.7881,                0.84639,                 0.6998,                0.66806,                0.43185,                 1.4407,               0.007822,               0.007822,               0.007822
                     24,                0.70697,                0.48255,                 1.3763,                0.82011,                0.79357,                0.84885,                0.70521,                0.66646,                0.42951,                 1.4424,               0.007723,               0.007723,               0.007723
                     25,                0.70303,                0.47243,                 1.3767,                0.80076,                0.81776,                0.85645,                0.70941,                0.66319,                0.42509,                  1.442,               0.007624,               0.007624,               0.007624
                     26,                0.70034,                 0.4709,                 1.3772,                0.79706,                0.81537,                0.84751,                0.70477,                 0.6635,                0.42591,                 1.4363,               0.007525,               0.007525,               0.007525
                     27,                0.69558,                0.46934,                 1.3704,                0.82198,                0.78357,                 0.8492,                0.70721,                0.65891,                0.42168,                 1.4443,               0.007426,               0.007426,               0.007426
                     28,                0.69678,                0.46732,                 1.3683,                0.76887,                0.82389,                0.83646,                0.69494,                0.66264,                0.42382,                 1.4496,               0.007327,               0.007327,               0.007327
                     29,                0.69681,                0.46708,                 1.3762,                0.80539,                0.82201,                0.85856,                0.71354,                0.66025,                0.41675,                 1.4509,               0.007228,               0.007228,               0.007228
