                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3324,                 1.4131,                  1.586,                0.57834,                0.55769,                0.48512,                0.35769,                0.91791,                0.80425,                 1.4952,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0489,                0.86638,                  1.416,                0.53966,                0.65149,                0.58779,                0.44707,                0.82269,                0.66626,                 1.4807,                0.04004,               0.006589,               0.006589
                      3,                0.88568,                0.68957,                  1.405,                0.52385,                0.61862,                0.58486,                0.44523,                0.82497,                 0.6635,                 1.6356,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80324,                0.60674,                 1.4225,                0.68932,                0.69881,                0.71361,                0.56385,                0.75164,                0.56073,                 1.4996,               0.009703,               0.009703,               0.009703
                      5,                0.78817,                0.58355,                 1.4138,                0.69378,                0.73061,                0.72878,                0.58249,                0.72963,                0.52247,                 1.5097,               0.009604,               0.009604,               0.009604
                      6,                0.77211,                0.56058,                  1.401,                0.73218,                0.72551,                0.75573,                0.60409,                0.73036,                0.52701,                 1.4685,               0.009505,               0.009505,               0.009505
                      7,                0.76251,                0.54634,                 1.4034,                  0.763,                0.74207,                0.79246,                0.63898,                0.71737,                0.50454,                 1.4821,               0.009406,               0.009406,               0.009406
                      8,                0.75703,                 0.5428,                 1.4022,                0.71488,                0.72942,                0.74986,                0.60325,                0.72337,                0.51492,                 1.4804,               0.009307,               0.009307,               0.009307
                      9,                0.75252,                0.53373,                 1.3895,                0.76088,                0.77412,                0.80169,                0.64855,                0.70547,                0.48368,                 1.4589,               0.009208,               0.009208,               0.009208
                     10,                0.74661,                0.52986,                 1.3829,                0.75937,                0.75243,                 0.7921,                0.64277,                 0.7081,                0.48614,                 1.4877,               0.009109,               0.009109,               0.009109
                     11,                0.74271,                0.52266,                 1.3865,                0.74293,                0.74881,                0.77729,                0.62776,                0.71527,                0.51619,                 1.5042,                0.00901,                0.00901,                0.00901
