                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.378,                 1.4894,                 1.6118,                0.36802,                0.61889,                0.42003,                0.30838,                 1.0779,                0.97723,                 1.4458,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0687,                0.88458,                 1.4194,                 0.5836,                0.64677,                0.62801,                 0.4672,                0.84505,                0.66816,                 1.4489,                0.04004,               0.006589,               0.006589
                      3,                0.90148,                0.69588,                 1.4124,                0.63217,                0.65712,                0.66461,                0.50251,                0.81727,                0.61069,                 1.5913,              0.0099086,              0.0097904,              0.0097904
                      4,                0.81941,                0.61163,                 1.4312,                0.68723,                0.70978,                0.72063,                0.55534,                0.78279,                0.57654,                 1.5126,               0.009703,               0.009703,               0.009703
                      5,                0.80285,                 0.5882,                 1.4212,                0.74667,                0.73675,                0.76197,                0.59742,                 0.7568,                0.52452,                 1.4752,               0.009604,               0.009604,               0.009604
                      6,                0.78814,                0.56867,                 1.4045,                0.70023,                0.70699,                0.73406,                0.57638,                0.76004,                0.54813,                 1.5293,               0.009505,               0.009505,               0.009505
                      7,                0.77795,                0.55435,                  1.406,                 0.7524,                0.72259,                 0.7742,                0.61188,                0.74771,                0.51601,                 1.5052,               0.009406,               0.009406,               0.009406
                      8,                0.77303,                0.54916,                 1.4114,                0.71765,                0.75631,                0.76821,                0.61105,                0.73197,                0.50569,                 1.4788,               0.009307,               0.009307,               0.009307
                      9,                0.76796,                0.54147,                 1.3944,                 0.7585,                0.75814,                0.79216,                0.63112,                0.72545,                0.48728,                 1.4534,               0.009208,               0.009208,               0.009208
                     10,                0.76445,                0.53812,                  1.393,                0.77795,                0.75208,                0.79954,                0.64136,                0.71123,                0.48232,                 1.4865,               0.009109,               0.009109,               0.009109
                     11,                0.75897,                0.53034,                 1.3914,                0.76164,                0.76938,                0.80256,                0.63958,                0.72121,                0.49355,                  1.493,                0.00901,                0.00901,                0.00901
                     12,                0.75461,                0.52397,                 1.3914,                0.70972,                0.70024,                0.73799,                0.57434,                0.76009,                0.53491,                 1.5622,               0.008911,               0.008911,               0.008911
                     13,                0.74943,                0.52256,                 1.3872,                0.74625,                0.74315,                0.78218,                0.62105,                0.72472,                0.50157,                 1.5326,               0.008812,               0.008812,               0.008812
                     14,                0.74799,                0.52134,                 1.3845,                0.76006,                0.75799,                0.78577,                0.63556,                0.70318,                0.47337,                 1.4608,               0.008713,               0.008713,               0.008713
                     15,                0.74495,                 0.5151,                 1.3838,                0.77504,                0.80015,                0.83047,                0.67343,                 0.6963,                0.46071,                 1.4625,               0.008614,               0.008614,               0.008614
                     16,                  0.741,                0.50944,                 1.3813,                0.77757,                0.77561,                0.81839,                0.65883,                0.70184,                0.46551,                  1.468,               0.008515,               0.008515,               0.008515
                     17,                0.73831,                0.50826,                  1.384,                0.76028,                0.75162,                0.79623,                0.63987,                0.71554,                 0.4861,                 1.5054,               0.008416,               0.008416,               0.008416
                     18,                0.73386,                 0.5021,                 1.3783,                0.79816,                0.78247,                0.83459,                0.67397,                0.69774,                0.45623,                 1.4538,               0.008317,               0.008317,               0.008317
                     19,                0.73166,                0.49954,                 1.3865,                0.80669,                0.77867,                0.83284,                0.67655,                 0.6983,                0.45634,                 1.4612,               0.008218,               0.008218,               0.008218
                     20,                0.73229,                0.50167,                   1.38,                0.80567,                0.80587,                0.84797,                0.68959,                0.68679,                0.44366,                 1.4581,               0.008119,               0.008119,               0.008119
                     21,                0.72992,                0.49444,                 1.3846,                 0.8017,                0.79903,                0.83837,                0.68165,                0.68907,                0.44268,                 1.4802,                0.00802,                0.00802,                0.00802
                     22,                0.72286,                0.49263,                 1.3786,                0.81053,                0.78671,                 0.8322,                0.67718,                0.68219,                 0.4404,                 1.4613,               0.007921,               0.007921,               0.007921
                     23,                0.72384,                  0.491,                 1.3882,                0.81884,                0.79189,                0.84137,                0.68567,                0.67986,                 0.4343,                 1.4722,               0.007822,               0.007822,               0.007822
                     24,                0.72145,                0.48968,                 1.3805,                0.81402,                0.78655,                0.84304,                0.68869,                0.68094,                0.43871,                 1.4591,               0.007723,               0.007723,               0.007723
                     25,                0.71913,                0.48185,                 1.3796,                0.81304,                0.81206,                0.85039,                0.69577,                0.67988,                0.43178,                 1.4519,               0.007624,               0.007624,               0.007624
                     26,                0.71484,                0.47919,                 1.3801,                0.82391,                0.79926,                0.85129,                0.69803,                0.67837,                0.42976,                 1.4481,               0.007525,               0.007525,               0.007525
                     27,                0.71053,                0.47914,                 1.3727,                0.80934,                 0.8076,                0.85091,                0.69647,                0.67665,                0.43184,                 1.4446,               0.007426,               0.007426,               0.007426
                     28,                0.71096,                0.47555,                 1.3713,                0.81606,                0.81997,                0.85659,                0.70042,                0.67546,                0.42835,                  1.441,               0.007327,               0.007327,               0.007327
                     29,                 0.7123,                0.47732,                 1.3769,                0.82086,                0.81153,                0.85184,                0.69832,                0.67448,                0.42748,                  1.448,               0.007228,               0.007228,               0.007228
