                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7118,                 2.2683,                 2.8897,                0.20855,                0.22847,                0.21444,                 0.1119,                 1.6629,                 1.4268,                 2.6141,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4709,                 1.2308,                 2.2675,                0.33276,                 0.3699,                0.33757,                0.20746,                 1.2394,                 1.0403,                 2.2177,                0.04004,               0.006589,               0.006589
                      3,                 1.1931,                0.99071,                 2.0057,                0.36328,                0.38192,                0.34109,                0.22876,                  1.073,                0.99737,                  2.142,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0451,                0.85515,                 1.8653,                0.46826,                0.56579,                0.53053,                0.36966,                0.99943,                0.78886,                 1.8902,               0.009703,               0.009703,               0.009703
                      5,                0.96918,                0.77165,                 1.7935,                0.55765,                0.60041,                 0.5687,                 0.4117,                0.86919,                0.68836,                 1.9007,               0.009604,               0.009604,               0.009604
                      6,                0.92332,                0.71872,                 1.7411,                0.56894,                0.61548,                0.60471,                0.44103,                0.85426,                0.67131,                 1.8131,               0.009505,               0.009505,               0.009505
                      7,                0.89781,                 0.6877,                 1.7191,                0.59746,                0.66446,                0.63949,                 0.4743,                0.80765,                 0.6112,                 1.8144,               0.009406,               0.009406,               0.009406
                      8,                0.87907,                0.66865,                 1.7127,                  0.634,                0.64467,                0.64466,                0.48909,                0.79404,                0.59503,                 1.7803,               0.009307,               0.009307,               0.009307
                      9,                0.87115,                0.65209,                 1.6836,                0.65713,                0.67823,                0.66484,                0.49946,                0.79729,                0.57198,                 1.7387,               0.009208,               0.009208,               0.009208
                     10,                0.85912,                0.64067,                 1.6693,                0.64739,                0.67018,                0.66914,                0.50575,                0.76899,                0.58046,                 1.7804,               0.009109,               0.009109,               0.009109
                     11,                0.84963,                0.62695,                 1.6655,                0.71757,                0.68782,                0.71244,                0.54528,                0.75965,                0.54832,                 1.7468,                0.00901,                0.00901,                0.00901
                     12,                0.83888,                0.61218,                 1.6532,                 0.6771,                0.71763,                0.71801,                0.55684,                0.75096,                0.53657,                 1.7307,               0.008911,               0.008911,               0.008911
                     13,                0.83276,                0.60887,                 1.6498,                0.69532,                0.70763,                0.71881,                 0.5595,                0.74898,                 0.5327,                  1.741,               0.008812,               0.008812,               0.008812
                     14,                0.82653,                 0.6026,                 1.6386,                0.68663,                0.71997,                0.72411,                0.56848,                0.73946,                0.52351,                 1.7112,               0.008713,               0.008713,               0.008713
                     15,                 0.8215,                0.59338,                 1.6377,                0.69557,                0.73755,                0.74353,                0.58351,                0.74526,                0.51585,                  1.711,               0.008614,               0.008614,               0.008614
                     16,                0.81475,                0.58416,                 1.6291,                0.71692,                0.73218,                0.75382,                0.59063,                0.73639,                0.50143,                 1.7101,               0.008515,               0.008515,               0.008515
                     17,                0.81126,                0.57916,                 1.6325,                0.73894,                0.73688,                0.75971,                0.59943,                0.72612,                 0.4974,                 1.6915,               0.008416,               0.008416,               0.008416
                     18,                0.80348,                0.57255,                 1.6185,                0.73576,                0.75448,                0.77372,                0.61081,                0.72483,                0.49518,                 1.6833,               0.008317,               0.008317,               0.008317
                     19,                0.80218,                0.56869,                 1.6297,                0.74353,                0.74426,                0.77783,                0.61621,                0.72197,                0.49072,                 1.6925,               0.008218,               0.008218,               0.008218
                     20,                0.79953,                0.56872,                 1.6165,                0.72032,                0.77384,                0.78516,                0.62195,                0.71689,                0.48755,                 1.6917,               0.008119,               0.008119,               0.008119
                     21,                0.79707,                 0.5586,                 1.6173,                0.75611,                0.76615,                0.80016,                0.63816,                0.71887,                0.47563,                 1.6621,                0.00802,                0.00802,                0.00802
                     22,                0.78955,                0.55895,                 1.6085,                0.76331,                0.77203,                0.79753,                0.63614,                0.71053,                0.47212,                 1.6698,               0.007921,               0.007921,               0.007921
                     23,                0.78859,                0.55544,                 1.6178,                0.76598,                0.75932,                0.79958,                0.63837,                0.70906,                0.47058,                 1.6702,               0.007822,               0.007822,               0.007822
                     24,                0.78504,                0.55115,                 1.6088,                0.77348,                0.74682,                0.79946,                0.64249,                0.70636,                0.47188,                 1.6666,               0.007723,               0.007723,               0.007723
                     25,                0.78114,                0.54153,                 1.6034,                0.76531,                 0.7677,                0.79921,                0.64251,                0.70269,                0.46633,                 1.6629,               0.007624,               0.007624,               0.007624
                     26,                0.77564,                0.53894,                 1.6012,                0.77657,                0.77497,                0.80746,                0.64954,                0.70237,                0.46369,                 1.6551,               0.007525,               0.007525,               0.007525
