                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3325,                 1.5228,                 1.5859,                0.37175,                0.49695,                0.48211,                0.35877,                0.96513,                0.84176,                 1.5154,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0625,                0.89576,                 1.4179,                0.57824,                0.66848,                0.62781,                0.47474,                0.85198,                0.67331,                 1.4703,                0.04004,               0.006589,               0.006589
                      3,                0.88778,                0.69428,                 1.4108,                0.63871,                0.67234,                0.67456,                0.52446,                0.78243,                0.59137,                 1.5589,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80691,                0.60903,                 1.4272,                0.69346,                0.72719,                0.72377,                 0.5667,                0.76024,                0.55678,                 1.4935,               0.009703,               0.009703,               0.009703
                      5,                0.79104,                0.58628,                 1.4188,                0.70582,                0.68453,                0.71715,                0.56027,                0.77672,                0.56574,                 1.5498,               0.009604,               0.009604,               0.009604
                      6,                 0.7762,                0.56598,                 1.4028,                0.70919,                0.71285,                0.73749,                 0.5849,                0.74485,                0.53454,                 1.4925,               0.009505,               0.009505,               0.009505
                      7,                0.76788,                0.55177,                 1.4061,                0.76127,                0.73058,                0.77856,                0.62936,                0.72232,                0.51494,                 1.4931,               0.009406,               0.009406,               0.009406
                      8,                0.76205,                0.54718,                  1.405,                0.74047,                0.71003,                0.75678,                0.60865,                0.72086,                0.50846,                 1.4789,               0.009307,               0.009307,               0.009307
                      9,                0.75727,                0.53744,                 1.3937,                0.75988,                0.74847,                0.78087,                0.63183,                0.70712,                 0.4851,                 1.4491,               0.009208,               0.009208,               0.009208
                     10,                0.75281,                0.53393,                 1.3886,                0.73106,                0.69154,                 0.7398,                0.58087,                0.75301,                 0.5574,                 1.5457,               0.009109,               0.009109,               0.009109
                     11,                0.74903,                0.52763,                 1.3898,                 0.7532,                 0.7612,                0.79319,                 0.6357,                0.71867,                 0.5018,                 1.5078,                0.00901,                0.00901,                0.00901
                     12,                0.74448,                0.52179,                 1.3871,                0.73821,                0.76025,                0.78589,                0.63839,                0.70638,                0.49798,                 1.4876,               0.008911,               0.008911,               0.008911
                     13,                0.74055,                0.52118,                 1.3848,                0.79182,                 0.7603,                0.81226,                0.65995,                0.69901,                0.47188,                 1.4358,               0.008812,               0.008812,               0.008812
                     14,                0.73686,                0.51747,                 1.3824,                0.76634,                0.75371,                0.79387,                0.64441,                0.70017,                 0.4856,                 1.4754,               0.008713,               0.008713,               0.008713
                     15,                0.73528,                0.51293,                 1.3848,                0.77052,                0.76786,                0.80884,                0.65965,                0.70281,                0.48159,                 1.4611,               0.008614,               0.008614,               0.008614
                     16,                0.73087,                0.50648,                 1.3788,                0.78933,                0.78602,                0.82643,                0.67792,                0.68729,                0.45227,                 1.4465,               0.008515,               0.008515,               0.008515
                     17,                0.72958,                0.50521,                 1.3846,                0.79629,                0.76151,                0.81623,                0.66714,                0.69443,                0.46632,                  1.493,               0.008416,               0.008416,               0.008416
                     18,                0.72423,                0.49943,                 1.3761,                0.78817,                0.77248,                0.82041,                0.67243,                0.68527,                0.45379,                  1.451,               0.008317,               0.008317,               0.008317
                     19,                0.72297,                0.49738,                 1.3836,                 0.7839,                0.78593,                0.81424,                0.66279,                0.70057,                  0.468,                 1.4771,               0.008218,               0.008218,               0.008218
                     20,                0.72368,                0.49792,                 1.3782,                0.79714,                0.76217,                 0.8176,                0.66702,                0.68904,                0.46451,                 1.4851,               0.008119,               0.008119,               0.008119
                     21,                0.72215,                 0.4936,                   1.38,                0.80257,                0.81295,                0.84956,                 0.6999,                0.67718,                0.43779,                 1.4403,                0.00802,                0.00802,                0.00802
                     22,                0.71475,                0.49206,                 1.3739,                0.82922,                0.79664,                0.84305,                0.69483,                 0.6772,                 0.4423,                 1.4264,               0.007921,               0.007921,               0.007921
                     23,                0.71743,                 0.4907,                 1.3833,                0.80162,                0.79296,                0.84134,                0.69321,                0.67592,                0.44084,                  1.451,               0.007822,               0.007822,               0.007822
                     24,                0.71416,                0.48841,                 1.3778,                0.79196,                0.79007,                0.83594,                0.69071,                0.67355,                0.43596,                 1.4438,               0.007723,               0.007723,               0.007723
                     25,                0.71104,                0.48032,                  1.378,                0.81158,                0.80123,                0.84519,                0.69976,                0.66921,                0.43315,                 1.4363,               0.007624,               0.007624,               0.007624
                     26,                0.70797,                0.47724,                 1.3809,                0.82664,                0.80272,                0.84861,                0.70332,                0.67132,                0.43034,                 1.4479,               0.007525,               0.007525,               0.007525
                     27,                0.70313,                0.47695,                 1.3721,                0.81342,                0.80179,                0.84568,                 0.7012,                 0.6662,                0.42583,                 1.4508,               0.007426,               0.007426,               0.007426
                     28,                0.70368,                0.47445,                 1.3717,                0.80981,                0.81204,                0.85592,                0.70969,                0.66864,                0.42372,                 1.4466,               0.007327,               0.007327,               0.007327
                     29,                0.70372,                0.47239,                 1.3812,                0.82113,                0.80444,                 0.8533,                0.70876,                0.66654,                0.42305,                 1.4593,               0.007228,               0.007228,               0.007228
                     30,                 0.7009,                0.47081,                 1.3737,                0.83478,                0.79692,                0.85519,                0.70923,                0.66684,                0.42015,                 1.4549,               0.007129,               0.007129,               0.007129
                     31,                0.70335,                0.47099,                 1.3794,                0.82158,                0.81088,                 0.8598,                0.71391,                0.66432,                0.41814,                 1.4672,                0.00703,                0.00703,                0.00703
                     32,                0.69714,                0.46557,                 1.3763,                0.82754,                0.81017,                0.85611,                 0.7109,                0.66358,                0.41744,                 1.4511,               0.006931,               0.006931,               0.006931
                     33,                0.69848,                0.46775,                 1.3695,                 0.8139,                0.82222,                 0.8573,                0.71233,                0.66223,                0.41868,                 1.4531,               0.006832,               0.006832,               0.006832
                     34,                0.69353,                0.46144,                 1.3696,                0.82056,                0.81377,                0.85856,                0.71483,                0.66069,                0.41714,                 1.4508,               0.006733,               0.006733,               0.006733
                     35,                0.69585,                 0.4617,                 1.3729,                0.82775,                0.81462,                0.86116,                0.71741,                0.66133,                0.41591,                 1.4515,               0.006634,               0.006634,               0.006634
                     36,                0.69074,                0.45665,                  1.364,                0.83715,                 0.8163,                 0.8645,                0.72006,                0.66034,                0.41314,                 1.4469,               0.006535,               0.006535,               0.006535
                     37,                0.68634,                0.45488,                 1.3647,                0.83968,                0.81113,                0.86443,                0.71948,                0.65883,                0.41217,                 1.4474,               0.006436,               0.006436,               0.006436
                     38,                0.69016,                 0.4559,                 1.3691,                0.83822,                0.81935,                0.86668,                0.72291,                0.65876,                0.40998,                 1.4465,               0.006337,               0.006337,               0.006337
                     39,                0.68555,                0.45031,                 1.3739,                0.83616,                0.81884,                0.86533,                0.72121,                0.65887,                0.40982,                 1.4525,               0.006238,               0.006238,               0.006238
                     40,                0.68325,                0.45073,                 1.3678,                0.84826,                0.81691,                0.86828,                0.72412,                0.65854,                0.40796,                 1.4503,               0.006139,               0.006139,               0.006139
                     41,                0.68363,                0.44621,                 1.3737,                0.84616,                0.82605,                0.87013,                0.72612,                0.65814,                0.40617,                 1.4499,                0.00604,                0.00604,                0.00604
                     42,                0.68099,                 0.4455,                 1.3711,                0.84024,                0.82086,                0.86827,                0.72449,                0.65758,                0.40485,                 1.4572,               0.005941,               0.005941,               0.005941
                     43,                0.67587,                0.44309,                 1.3723,                0.83082,                0.82361,                0.86588,                0.72274,                0.65755,                0.40527,                 1.4582,               0.005842,               0.005842,               0.005842
