                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3362,                 1.4432,                 1.6044,                0.34338,                0.57912,                0.42185,                0.30793,                 1.0029,                0.86949,                 1.5124,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0596,                0.87065,                 1.4206,                0.58151,                0.64274,                0.62007,                 0.4659,                0.85382,                0.68148,                 1.4498,                0.04004,               0.006589,               0.006589
                      3,                0.88663,                0.70024,                 1.4089,                 0.5835,                0.64789,                0.63141,                0.48145,                0.79994,                0.61695,                 1.5684,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80701,                0.61032,                  1.427,                0.73441,                 0.7154,                0.74992,                0.59328,                0.75899,                0.55427,                 1.4781,               0.009703,               0.009703,               0.009703
                      5,                0.79205,                0.58815,                 1.4169,                0.73552,                0.73394,                0.76451,                0.60484,                0.73844,                0.53022,                 1.4909,               0.009604,               0.009604,               0.009604
                      6,                0.77617,                 0.5655,                 1.4022,                0.69641,                0.68137,                0.70645,                 0.5589,                0.75582,                0.54653,                 1.5411,               0.009505,               0.009505,               0.009505
                      7,                0.76778,                0.55336,                 1.4029,                0.77218,                0.72189,                0.78535,                0.63302,                0.71839,                0.51382,                 1.4736,               0.009406,               0.009406,               0.009406
                      8,                0.76209,                0.54867,                  1.406,                0.70551,                 0.6981,                0.72126,                0.56495,                0.75798,                0.57489,                 1.5145,               0.009307,               0.009307,               0.009307
                      9,                  0.758,                0.53855,                 1.3916,                0.77472,                0.73176,                0.78966,                0.63517,                0.71347,                0.49684,                 1.4836,               0.009208,               0.009208,               0.009208
                     10,                 0.7524,                0.53596,                 1.3868,                0.71504,                0.74438,                 0.7681,                0.60914,                0.73045,                0.52497,                 1.5424,               0.009109,               0.009109,               0.009109
                     11,                0.74908,                0.52922,                 1.3865,                0.76529,                0.76031,                0.80747,                0.65006,                0.71575,                0.50312,                 1.5053,                0.00901,                0.00901,                0.00901
                     12,                0.74461,                0.52274,                 1.3867,                0.78214,                0.75906,                0.80904,                0.66076,                0.69667,                0.48014,                 1.4431,               0.008911,               0.008911,               0.008911
                     13,                0.74009,                0.52156,                 1.3814,                 0.7802,                0.73815,                0.79954,                0.64609,                0.70556,                0.48524,                 1.4864,               0.008812,               0.008812,               0.008812
                     14,                0.73588,                0.51848,                 1.3781,                0.77777,                0.77603,                0.81595,                0.66569,                0.69019,                0.46903,                 1.4695,               0.008713,               0.008713,               0.008713
                     15,                0.73498,                 0.5131,                 1.3826,                0.79025,                0.79522,                0.83253,                0.68188,                0.68763,                0.46117,                 1.4637,               0.008614,               0.008614,               0.008614
                     16,                0.73102,                0.50809,                 1.3779,                0.78984,                0.76618,                0.81681,                0.66778,                0.68939,                0.46205,                 1.4484,               0.008515,               0.008515,               0.008515
                     17,                 0.7294,                0.50591,                 1.3815,                0.77492,                0.76332,                0.81351,                0.66603,                0.69249,                0.47237,                  1.473,               0.008416,               0.008416,               0.008416
                     18,                0.72429,                0.50086,                 1.3765,                0.80103,                0.77476,                0.83409,                0.68232,                0.68866,                0.45598,                 1.4423,               0.008317,               0.008317,               0.008317
                     19,                0.72271,                 0.4977,                 1.3835,                 0.8336,                0.78227,                0.84843,                0.69618,                0.68536,                0.44653,                  1.467,               0.008218,               0.008218,               0.008218
                     20,                0.72241,                0.49876,                 1.3766,                0.80237,                0.80046,                0.84499,                0.69395,                0.68021,                0.44874,                  1.455,               0.008119,               0.008119,               0.008119
                     21,                0.72109,                 0.4932,                 1.3818,                0.82658,                0.78531,                0.84961,                0.69865,                0.67731,                0.44023,                 1.4546,                0.00802,                0.00802,                0.00802
                     22,                0.71311,                0.49203,                 1.3744,                0.81749,                0.80439,                0.85143,                0.70282,                0.67479,                 0.4372,                 1.4501,               0.007921,               0.007921,               0.007921
                     23,                0.71674,                0.49102,                 1.3834,                0.80572,                 0.7769,                0.82935,                 0.6806,                0.67678,                0.44245,                 1.4595,               0.007822,               0.007822,               0.007822
                     24,                0.71344,                0.48831,                 1.3779,                0.80686,                0.79755,                0.84773,                0.69811,                0.67377,                0.43375,                  1.459,               0.007723,               0.007723,               0.007723
                     25,                0.71016,                0.48128,                 1.3744,                0.82606,                0.79741,                0.85231,                0.70278,                0.67117,                0.43052,                 1.4398,               0.007624,               0.007624,               0.007624
                     26,                0.70706,                0.47867,                 1.3753,                 0.8215,                0.80401,                0.85646,                0.70768,                0.67078,                0.42615,                 1.4414,               0.007525,               0.007525,               0.007525
