                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.334,                 1.4819,                 1.5979,                0.52795,                0.54232,                0.39991,                0.29678,                0.87138,                 0.7716,                 1.5291,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0593,                0.89893,                 1.4227,                0.54042,                0.65309,                0.60987,                0.45962,                0.83435,                0.66439,                 1.5176,                0.04004,               0.006589,               0.006589
                      3,                0.89259,                0.69695,                 1.4096,                0.59838,                0.67227,                0.65265,                0.50147,                0.80317,                0.59975,                 1.6085,              0.0099086,              0.0097904,              0.0097904
                      4,                 0.8072,                0.60992,                 1.4274,                0.69417,                0.67869,                0.70845,                0.54541,                0.78116,                0.59375,                 1.5224,               0.009703,               0.009703,               0.009703
                      5,                0.79192,                 0.5876,                 1.4206,                0.69631,                0.72883,                0.73924,                0.58449,                0.73909,                0.54195,                 1.4865,               0.009604,               0.009604,               0.009604
                      6,                0.77636,                0.56575,                 1.4047,                0.68069,                 0.6931,                0.70177,                0.56007,                0.75281,                0.55241,                 1.5081,               0.009505,               0.009505,               0.009505
                      7,                0.76728,                0.55226,                 1.4041,                0.72813,                0.75196,                 0.7794,                0.62904,                0.72147,                0.50665,                 1.4574,               0.009406,               0.009406,               0.009406
                      8,                0.76278,                0.54894,                 1.4077,                 0.7141,                0.68966,                0.72344,                0.56608,                0.75378,                0.57417,                 1.5116,               0.009307,               0.009307,               0.009307
                      9,                0.75831,                0.53831,                 1.3939,                0.75278,                0.76791,                0.77975,                0.63109,                   0.71,                0.48829,                 1.4346,               0.009208,               0.009208,               0.009208
                     10,                  0.754,                0.53585,                  1.388,                 0.7507,                0.73392,                0.77689,                0.61848,                0.73741,                0.52154,                 1.5162,               0.009109,               0.009109,               0.009109
                     11,                0.74991,                0.52874,                 1.3893,                0.75853,                0.74452,                0.79118,                0.63845,                0.71308,                0.49779,                 1.5022,                0.00901,                0.00901,                0.00901
                     12,                0.74496,                0.52326,                 1.3863,                0.74804,                0.76284,                0.79296,                0.64426,                0.70397,                0.48425,                 1.4618,               0.008911,               0.008911,               0.008911
                     13,                0.74107,                0.52235,                 1.3832,                0.77533,                0.72862,                 0.7864,                0.62663,                0.72492,                0.50761,                 1.5221,               0.008812,               0.008812,               0.008812
                     14,                0.73689,                0.51752,                 1.3819,                0.78503,                 0.7516,                0.80928,                0.66437,                0.68844,                0.46771,                  1.455,               0.008713,               0.008713,               0.008713
                     15,                0.73615,                0.51359,                 1.3831,                0.79535,                0.78231,                0.82482,                0.67614,                0.69281,                0.46156,                 1.4734,               0.008614,               0.008614,               0.008614
                     16,                0.73121,                0.50701,                 1.3809,                0.74344,                 0.7353,                0.77182,                 0.6145,                0.73346,                0.51907,                 1.5446,               0.008515,               0.008515,               0.008515
                     17,                0.73005,                  0.506,                 1.3851,                0.75389,                0.75699,                0.79412,                0.64292,                0.71246,                0.48963,                 1.4905,               0.008416,               0.008416,               0.008416
                     18,                0.72473,                0.50042,                 1.3767,                0.80517,                0.76571,                0.82629,                0.67286,                0.69609,                0.46598,                 1.4664,               0.008317,               0.008317,               0.008317
                     19,                0.72371,                0.49734,                 1.3858,                0.78874,                0.80506,                0.83515,                0.68452,                0.68511,                0.45099,                 1.4352,               0.008218,               0.008218,               0.008218
                     20,                0.72308,                0.49896,                 1.3786,                0.79189,                0.79367,                0.83549,                 0.6851,                0.68212,                0.45291,                 1.4616,               0.008119,               0.008119,               0.008119
                     21,                0.72292,                0.49435,                 1.3805,                 0.7959,                0.77771,                 0.8289,                0.67804,                0.68907,                0.45324,                 1.4737,                0.00802,                0.00802,                0.00802
                     22,                0.71485,                0.49122,                 1.3772,                0.82405,                0.77667,                0.83442,                0.68532,                0.68508,                0.44931,                   1.46,               0.007921,               0.007921,               0.007921
                     23,                0.71734,                0.49095,                 1.3859,                0.81205,                0.78094,                0.83668,                0.69103,                0.67667,                0.43868,                 1.4562,               0.007822,               0.007822,               0.007822
                     24,                0.71388,                0.48794,                 1.3792,                0.80505,                0.79165,                0.84035,                0.69328,                0.67353,                0.43379,                 1.4553,               0.007723,               0.007723,               0.007723
                     25,                0.71069,                0.48039,                 1.3799,                0.79307,                0.81083,                0.84347,                0.69614,                0.66995,                0.43303,                 1.4548,               0.007624,               0.007624,               0.007624
                     26,                0.70872,                0.47865,                 1.3815,                0.82433,                0.79156,                0.85188,                0.70421,                0.67226,                0.42607,                 1.4605,               0.007525,               0.007525,               0.007525
                     27,                0.70335,                0.47734,                 1.3732,                 0.8141,                0.79468,                0.84563,                0.69919,                0.67069,                0.42818,                  1.459,               0.007426,               0.007426,               0.007426
                     28,                0.70515,                0.47592,                 1.3713,                0.80591,                0.80172,                0.84706,                0.70115,                0.66927,                0.42746,                 1.4459,               0.007327,               0.007327,               0.007327
                     29,                0.70405,                0.47381,                 1.3781,                0.80603,                0.81555,                0.85138,                0.70439,                0.66854,                0.42598,                 1.4452,               0.007228,               0.007228,               0.007228
                     30,                0.70142,                0.47176,                 1.3722,                0.81682,                0.79521,                0.84768,                0.70149,                0.66856,                 0.4256,                 1.4487,               0.007129,               0.007129,               0.007129
                     31,                0.70397,                 0.4724,                 1.3789,                0.82807,                 0.8132,                0.86227,                0.71573,                0.66416,                0.41735,                  1.455,                0.00703,                0.00703,                0.00703
                     32,                0.69849,                 0.4671,                 1.3765,                0.81766,                0.81669,                0.85766,                0.71132,                0.66445,                 0.4178,                 1.4541,               0.006931,               0.006931,               0.006931
                     33,                0.70022,                 0.4686,                 1.3702,                0.80246,                0.82974,                0.85883,                0.71205,                0.66506,                0.41985,                 1.4422,               0.006832,               0.006832,               0.006832
                     34,                0.69518,                0.46365,                 1.3705,                0.81651,                0.82624,                0.86118,                0.71545,                0.66253,                0.41779,                 1.4502,               0.006733,               0.006733,               0.006733
                     35,                0.69725,                0.46358,                 1.3757,                 0.8183,                0.82167,                0.85754,                0.71185,                0.66266,                0.41808,                 1.4549,               0.006634,               0.006634,               0.006634
                     36,                0.69147,                0.45843,                 1.3632,                 0.8155,                0.82365,                0.85613,                0.71061,                0.66091,                0.41635,                 1.4465,               0.006535,               0.006535,               0.006535
                     37,                 0.6862,                0.45575,                 1.3656,                0.82021,                0.81121,                0.85945,                0.71506,                0.65927,                0.41557,                 1.4447,               0.006436,               0.006436,               0.006436
                     38,                0.69024,                0.45654,                 1.3716,                0.82919,                0.81645,                0.85921,                0.71555,                0.65896,                0.41525,                 1.4532,               0.006337,               0.006337,               0.006337
                     39,                0.68705,                0.45216,                 1.3739,                0.82438,                 0.8287,                 0.8632,                0.71863,                0.65926,                0.41156,                 1.4499,               0.006238,               0.006238,               0.006238
                     40,                0.68478,                0.45269,                 1.3693,                 0.8369,                0.81967,                0.86515,                 0.7209,                0.65871,                0.40896,                 1.4515,               0.006139,               0.006139,               0.006139
                     41,                0.68433,                0.44765,                 1.3751,                0.82615,                0.83575,                0.86763,                0.72302,                0.65968,                0.40851,                 1.4513,                0.00604,                0.00604,                0.00604
