                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6717,                 2.2431,                 2.8478,                0.18752,                0.26104,                0.22224,                0.11532,                 1.6131,                 1.4393,                 2.6077,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4502,                 1.2247,                 2.2409,                 0.2963,                0.36572,                 0.2881,                0.17179,                 1.3238,                 1.0879,                 2.4099,                0.04004,               0.006589,               0.006589
                      3,                 1.1896,                0.98864,                 2.0016,                 0.2677,                0.36364,                0.26802,                0.16232,                 1.3325,                 1.0844,                 2.4133,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0429,                0.85418,                 1.8674,                 0.4073,                0.52265,                0.46043,                0.32388,                 1.0065,                0.86086,                 1.9517,               0.009703,               0.009703,               0.009703
                      5,                0.96635,                 0.7695,                 1.7976,                0.51891,                0.59771,                  0.555,                 0.3997,                0.87564,                0.69928,                  1.868,               0.009604,               0.009604,               0.009604
                      6,                0.92119,                0.71626,                 1.7444,                0.58049,                0.61728,                0.61074,                0.43419,                0.88516,                0.69201,                 1.8225,               0.009505,               0.009505,               0.009505
                      7,                 0.8952,                0.68337,                 1.7223,                0.62472,                0.65166,                0.63715,                0.46536,                0.82484,                0.62358,                 1.8164,               0.009406,               0.009406,               0.009406
                      8,                0.87753,                0.66651,                 1.7151,                0.63039,                0.65278,                0.63437,                0.47522,                0.81666,                0.61101,                 1.7995,               0.009307,               0.009307,               0.009307
                      9,                0.86792,                0.64829,                 1.6852,                0.63004,                0.69715,                0.66012,                0.49792,                0.80673,                0.58012,                 1.7455,               0.009208,               0.009208,               0.009208
                     10,                0.85793,                0.63796,                 1.6707,                0.65416,                0.69416,                0.69471,                0.53252,                0.77154,                0.56372,                 1.7579,               0.009109,               0.009109,               0.009109
                     11,                0.84882,                0.62425,                 1.6665,                0.64144,                0.69357,                0.68655,                0.52491,                0.77381,                0.56485,                 1.7573,                0.00901,                0.00901,                0.00901
                     12,                0.83862,                0.60969,                 1.6532,                0.70382,                 0.6947,                0.71098,                 0.5517,                 0.7604,                 0.5297,                 1.7143,               0.008911,               0.008911,               0.008911
                     13,                0.83032,                0.60628,                 1.6492,                0.69782,                0.72743,                0.73753,                 0.5747,                0.75565,                0.52781,                 1.7349,               0.008812,               0.008812,               0.008812
                     14,                0.82414,                0.59887,                 1.6357,                0.65073,                0.71958,                0.69027,                0.53849,                 0.7536,                0.56211,                 1.7279,               0.008713,               0.008713,               0.008713
                     15,                0.81961,                0.59083,                 1.6352,                0.71927,                0.73869,                0.74775,                 0.5876,                0.74179,                0.51301,                 1.6966,               0.008614,               0.008614,               0.008614
                     16,                0.81446,                0.58137,                 1.6268,                0.75478,                0.74304,                0.77749,                0.61364,                0.73199,                0.49873,                 1.6888,               0.008515,               0.008515,               0.008515
                     17,                0.80947,                0.57626,                 1.6306,                0.72666,                0.74339,                0.76359,                 0.6048,                0.72547,                0.49635,                 1.6919,               0.008416,               0.008416,               0.008416
                     18,                0.80421,                 0.5695,                 1.6137,                 0.7404,                0.74759,                0.77539,                0.61301,                0.72387,                0.48884,                 1.6869,               0.008317,               0.008317,               0.008317
                     19,                0.80177,                0.56611,                  1.627,                0.73884,                0.75295,                0.78154,                0.61959,                0.72795,                0.49045,                 1.6829,               0.008218,               0.008218,               0.008218
