                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6336,                 2.1941,                  2.855,                0.55425,                0.16999,                0.20135,                0.10741,                 1.6776,                 1.4781,                 2.6714,               0.070106,              0.0033215,              0.0033215
                      2,                   1.43,                 1.2188,                 2.2416,                  0.263,                0.32074,                0.22693,                0.13543,                 1.4372,                 1.3638,                  2.488,                0.04004,               0.006589,               0.006589
                      3,                 1.1878,                0.99497,                 2.0097,                0.35425,                0.44453,                0.36598,                0.23575,                 1.0986,                 0.9128,                 2.2072,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0458,                0.85657,                 1.8764,                0.35613,                0.40116,                0.34765,                0.23434,                 1.0647,                  1.019,                 2.0765,               0.009703,               0.009703,               0.009703
                      5,                0.96778,                0.77398,                 1.8055,                0.42251,                0.47093,                0.40422,                0.28709,                0.93833,                 0.8942,                 1.9713,               0.009604,               0.009604,               0.009604
                      6,                0.92198,                0.71883,                 1.7513,                0.47998,                0.54136,                0.50723,                  0.362,                0.89124,                0.73987,                 1.8897,               0.009505,               0.009505,               0.009505
                      7,                0.89881,                 0.6888,                 1.7268,                0.62764,                0.65749,                0.64853,                0.47507,                0.81663,                0.61964,                 1.8101,               0.009406,               0.009406,               0.009406
                      8,                0.88149,                0.67154,                 1.7214,                0.60669,                0.65262,                0.62732,                0.46888,                0.80896,                 0.6277,                  1.793,               0.009307,               0.009307,               0.009307
                      9,                0.86953,                0.65267,                 1.6908,                0.63654,                0.67783,                0.67065,                0.50613,                0.79741,                0.59584,                 1.7655,               0.009208,               0.009208,               0.009208
                     10,                0.86031,                0.64216,                 1.6781,                0.68065,                 0.6959,                0.70635,                0.54022,                0.76791,                0.55851,                 1.7405,               0.009109,               0.009109,               0.009109
                     11,                0.85342,                0.62904,                 1.6734,                0.66463,                0.70302,                0.71049,                0.54087,                0.76653,                0.54969,                 1.7546,                0.00901,                0.00901,                0.00901
                     12,                  0.841,                0.61434,                 1.6599,                0.67427,                0.70451,                0.70677,                0.54589,                0.76007,                0.53665,                 1.7366,               0.008911,               0.008911,               0.008911
                     13,                0.83534,                0.61086,                  1.658,                0.68959,                 0.7364,                0.74605,                0.57818,                0.74988,                0.52536,                 1.7343,               0.008812,               0.008812,               0.008812
                     14,                0.82927,                0.60445,                 1.6455,                0.65796,                0.69737,                0.69776,                0.53777,                0.76735,                0.54865,                  1.757,               0.008713,               0.008713,               0.008713
                     15,                0.82491,                0.59644,                 1.6444,                0.69412,                 0.7343,                0.74137,                0.57704,                 0.7446,                0.51087,                 1.7132,               0.008614,               0.008614,               0.008614
                     16,                0.81962,                0.58767,                 1.6364,                0.71443,                0.74568,                0.75561,                0.58981,                0.73833,                 0.5069,                 1.7165,               0.008515,               0.008515,               0.008515
                     17,                0.81392,                0.58123,                 1.6385,                0.74111,                 0.7456,                0.77085,                0.60651,                0.73066,                0.49549,                 1.7007,               0.008416,               0.008416,               0.008416
                     18,                0.80939,                0.57564,                 1.6255,                0.72053,                0.75501,                0.77645,                0.60834,                0.72938,                0.49552,                 1.7002,               0.008317,               0.008317,               0.008317
                     19,                0.80614,                0.57132,                 1.6381,                0.76204,                0.74544,                0.78762,                0.62103,                  0.725,                0.48613,                 1.6966,               0.008218,               0.008218,               0.008218
                     20,                0.80362,                0.57213,                 1.6245,                0.73195,                0.75219,                0.77319,                0.61002,                0.72065,                 0.4948,                 1.6978,               0.008119,               0.008119,               0.008119
                     21,                0.80232,                0.56207,                  1.626,                0.75826,                0.76788,                0.79664,                0.63194,                0.72007,                0.48141,                 1.6872,                0.00802,                0.00802,                0.00802
                     22,                0.79432,                0.56245,                 1.6173,                0.74729,                0.76425,                  0.783,                0.61888,                0.71764,                0.47758,                 1.6791,               0.007921,               0.007921,               0.007921
                     23,                0.79276,                0.55887,                 1.6265,                0.77579,                0.75449,                0.79807,                 0.6337,                0.71552,                0.47613,                 1.6854,               0.007822,               0.007822,               0.007822
                     24,                0.79023,                0.55491,                 1.6176,                0.77936,                0.75516,                0.80339,                0.64052,                 0.7124,                 0.4697,                 1.6735,               0.007723,               0.007723,               0.007723
                     25,                0.78614,                0.54545,                 1.6116,                0.74984,                0.77604,                0.79262,                0.63293,                0.70592,                0.46945,                 1.6751,               0.007624,               0.007624,               0.007624
                     26,                0.78067,                0.54205,                 1.6089,                0.77551,                0.77296,                 0.8117,                0.65164,                0.70864,                0.46284,                 1.6614,               0.007525,               0.007525,               0.007525
                     27,                 0.7764,                0.54234,                 1.6053,                0.78166,                0.75475,                0.80784,                0.64905,                0.70431,                0.46326,                   1.67,               0.007426,               0.007426,               0.007426
                     28,                0.77542,                 0.5387,                 1.5981,                0.75815,                0.78002,                0.80569,                0.64761,                0.70317,                0.46138,                 1.6557,               0.007327,               0.007327,               0.007327
                     29,                0.77652,                0.53618,                 1.6043,                0.77378,                0.78149,                0.81585,                0.65644,                 0.6992,                0.45646,                 1.6645,               0.007228,               0.007228,               0.007228
                     30,                0.77159,                0.53334,                 1.5928,                0.76727,                0.78549,                0.81721,                 0.6593,                0.70043,                0.45321,                 1.6618,               0.007129,               0.007129,               0.007129
                     31,                0.77473,                0.53518,                 1.6013,                0.78494,                0.76945,                0.82167,                0.66512,                0.69632,                0.45298,                 1.6587,                0.00703,                0.00703,                0.00703
                     32,                0.76549,                0.52612,                 1.5968,                0.78026,                0.78022,                0.82262,                0.66335,                0.69427,                 0.4509,                 1.6564,               0.006931,               0.006931,               0.006931
                     33,                0.76821,                0.52754,                 1.5887,                0.77356,                0.79147,                0.82232,                0.66455,                0.69405,                 0.4504,                 1.6552,               0.006832,               0.006832,               0.006832
                     34,                0.76161,                0.52179,                 1.5887,                0.77692,                0.78585,                0.82169,                0.66449,                0.69344,                0.44831,                 1.6571,               0.006733,               0.006733,               0.006733
                     35,                0.76276,                0.52057,                 1.5896,                0.78404,                0.79126,                0.82787,                0.67085,                0.69276,                0.44682,                 1.6502,               0.006634,               0.006634,               0.006634
                     36,                0.75648,                0.51595,                 1.5778,                0.77757,                 0.7843,                0.82196,                0.66706,                 0.6902,                0.44579,                 1.6486,               0.006535,               0.006535,               0.006535
                     37,                0.75043,                0.51287,                 1.5743,                0.79644,                 0.7745,                0.82462,                0.66767,                0.68953,                0.44507,                 1.6447,               0.006436,               0.006436,               0.006436
                     38,                 0.7529,                0.51061,                 1.5816,                0.81088,                0.77789,                0.83603,                0.67851,                0.68972,                 0.4412,                 1.6417,               0.006337,               0.006337,               0.006337
                     39,                0.74889,                 0.5078,                 1.5813,                 0.8005,                  0.784,                0.83379,                0.67699,                0.68825,                0.44064,                 1.6399,               0.006238,               0.006238,               0.006238
                     40,                0.74781,                0.50968,                 1.5747,                0.79398,                0.78594,                0.83181,                0.67594,                 0.6869,                0.44098,                 1.6416,               0.006139,               0.006139,               0.006139
                     41,                0.74418,                0.50272,                 1.5798,                0.79104,                0.79371,                0.83459,                0.67871,                0.68647,                0.43963,                 1.6403,                0.00604,                0.00604,                0.00604
                     42,                0.74381,                0.50286,                 1.5743,                0.79569,                0.78213,                0.83149,                 0.6771,                0.68528,                0.43837,                 1.6385,               0.005941,               0.005941,               0.005941
                     43,                0.73627,                0.49927,                 1.5742,                0.79172,                 0.7884,                0.83325,                0.67825,                0.68389,                0.43649,                 1.6373,               0.005842,               0.005842,               0.005842
                     44,                0.73755,                0.49652,                 1.5709,                0.78864,                 0.8023,                0.83631,                0.68156,                0.68351,                0.43501,                 1.6364,               0.005743,               0.005743,               0.005743
                     45,                0.74142,                0.49906,                 1.5729,                0.78838,                0.80282,                0.83624,                0.68231,                0.68293,                0.43406,                 1.6347,               0.005644,               0.005644,               0.005644
                     46,                0.73682,                0.49635,                 1.5764,                 0.7932,                0.79925,                0.83841,                 0.6846,                0.68256,                0.43342,                 1.6329,               0.005545,               0.005545,               0.005545
                     47,                0.73442,                0.49174,                  1.563,                0.79375,                0.80211,                0.83718,                0.68375,                0.68138,                0.43316,                 1.6322,               0.005446,               0.005446,               0.005446
                     48,                0.73324,                0.49424,                 1.5689,                0.80488,                0.79194,                0.83972,                0.68617,                0.68099,                0.43192,                 1.6315,               0.005347,               0.005347,               0.005347
                     49,                0.72927,                0.48867,                 1.5565,                 0.8075,                0.78866,                0.84096,                0.68702,                 0.6802,                0.43131,                 1.6313,               0.005248,               0.005248,               0.005248
                     50,                0.72385,                0.48328,                 1.5563,                0.80885,                0.79099,                0.84141,                0.68814,                0.67888,                0.43089,                 1.6302,               0.005149,               0.005149,               0.005149
                     51,                0.72688,                0.48758,                 1.5621,                0.81339,                0.78729,                0.84088,                0.68828,                0.67841,                0.43059,                 1.6299,                0.00505,                0.00505,                0.00505
                     52,                0.72214,                0.48383,                 1.5648,                0.80984,                0.78905,                0.84258,                0.68942,                0.67769,                0.42968,                 1.6294,               0.004951,               0.004951,               0.004951
                     53,                0.72017,                0.47801,                 1.5634,                0.81368,                0.78872,                0.84362,                0.69052,                0.67733,                0.42876,                 1.6282,               0.004852,               0.004852,               0.004852
                     54,                 0.7159,                0.47692,                 1.5614,                 0.8148,                0.78998,                0.84452,                0.69106,                0.67677,                0.42812,                 1.6278,               0.004753,               0.004753,               0.004753
                     55,                0.71879,                 0.4764,                  1.551,                0.80605,                 0.7973,                0.84443,                0.69092,                 0.6765,                0.42771,                 1.6271,               0.004654,               0.004654,               0.004654
