                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3432,                 1.4688,                 1.5651,                0.37106,                0.59319,                0.45611,                0.34054,                0.99015,                 0.8998,                 1.4967,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0599,                 0.8793,                 1.4219,                0.56975,                0.64732,                0.60389,                0.45508,                0.82807,                 0.6599,                 1.4554,                0.04004,               0.006589,               0.006589
                      3,                0.88904,                0.69368,                 1.4087,                 0.5884,                 0.5684,                 0.5739,                0.43307,                0.85818,                0.67654,                 1.6239,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80619,                0.60992,                 1.4285,                 0.7154,                0.70675,                0.73675,                0.57918,                0.75246,                0.55695,                 1.4998,               0.009703,               0.009703,               0.009703
                      5,                0.79085,                0.58728,                 1.4176,                0.74189,                0.72223,                0.76177,                0.60391,                 0.7411,                0.53248,                 1.4834,               0.009604,               0.009604,               0.009604
                      6,                0.77592,                0.56733,                 1.4013,                0.71627,                0.71566,                0.74726,                0.59264,                0.74144,                0.54715,                 1.4957,               0.009505,               0.009505,               0.009505
                      7,                0.76662,                0.55221,                 1.4051,                0.75018,                0.74304,                0.78622,                0.63349,                0.72447,                 0.5102,                  1.492,               0.009406,               0.009406,               0.009406
                      8,                0.76176,                0.54864,                 1.4038,                0.75451,                0.73928,                0.77904,                0.63029,                  0.717,                0.48972,                 1.4566,               0.009307,               0.009307,               0.009307
                      9,                0.75704,                0.53901,                  1.391,                0.77134,                0.73353,                0.77683,                0.62318,                0.72797,                0.49472,                 1.4584,               0.009208,               0.009208,               0.009208
                     10,                0.75254,                0.53513,                 1.3866,                0.78158,                0.73838,                 0.7937,                0.64301,                0.70497,                 0.4879,                 1.4752,               0.009109,               0.009109,               0.009109
                     11,                0.74901,                 0.5285,                 1.3891,                  0.742,                0.77066,                0.79763,                0.64313,                0.71269,                0.49161,                 1.4894,                0.00901,                0.00901,                0.00901
                     12,                0.74494,                  0.522,                 1.3862,                0.77739,                0.76635,                0.81013,                0.65872,                0.69982,                0.47631,                 1.4455,               0.008911,               0.008911,               0.008911
                     13,                0.73963,                 0.5204,                 1.3833,                0.78573,                0.76294,                0.81042,                0.66075,                0.69396,                0.47036,                 1.4831,               0.008812,               0.008812,               0.008812
                     14,                0.73602,                0.51629,                 1.3813,                0.75119,                 0.7422,                0.77335,                0.61639,                0.72534,                 0.5055,                 1.5145,               0.008713,               0.008713,               0.008713
                     15,                0.73459,                0.51235,                 1.3818,                0.79809,                0.77223,                0.81989,                0.67343,                 0.6871,                0.45586,                  1.455,               0.008614,               0.008614,               0.008614
                     16,                 0.7314,                0.50742,                  1.378,                0.76645,                  0.801,                0.82313,                0.67404,                0.68948,                0.45775,                 1.4455,               0.008515,               0.008515,               0.008515
                     17,                0.72934,                0.50489,                 1.3819,                0.80253,                0.76728,                0.82438,                 0.6752,                0.69445,                0.46522,                 1.4659,               0.008416,               0.008416,               0.008416
                     18,                0.72359,                0.50042,                 1.3728,                0.78866,                0.80212,                0.83737,                0.68531,                0.68226,                0.44822,                 1.4519,               0.008317,               0.008317,               0.008317
                     19,                0.72202,                 0.4967,                 1.3822,                0.81143,                0.78805,                0.84332,                0.69143,                0.68602,                 0.4494,                 1.4497,               0.008218,               0.008218,               0.008218
                     20,                0.72237,                0.49795,                 1.3788,                0.82489,                0.78368,                0.84637,                0.69503,                0.68195,                0.44138,                  1.451,               0.008119,               0.008119,               0.008119
                     21,                0.72083,                0.49315,                 1.3779,                0.80662,                0.80068,                0.84283,                0.69127,                0.67777,                0.44227,                 1.4585,                0.00802,                0.00802,                0.00802
                     22,                0.71207,                0.49093,                 1.3744,                0.81215,                0.79136,                0.83507,                0.68856,                0.67376,                0.43631,                 1.4404,               0.007921,               0.007921,               0.007921
                     23,                0.71567,                0.48975,                 1.3819,                0.81763,                0.78159,                0.83884,                0.68946,                 0.6764,                0.44177,                 1.4742,               0.007822,               0.007822,               0.007822
                     24,                 0.7125,                0.48675,                 1.3781,                0.82098,                0.78769,                0.84763,                0.69931,                0.67152,                0.43089,                 1.4594,               0.007723,               0.007723,               0.007723
                     25,                0.70961,                0.47989,                 1.3778,                0.80475,                0.81643,                0.84974,                0.70194,                0.66937,                0.42734,                 1.4463,               0.007624,               0.007624,               0.007624
                     26,                0.70672,                0.47687,                 1.3805,                0.82153,                0.80449,                0.85767,                0.70872,                0.66807,                0.42316,                 1.4559,               0.007525,               0.007525,               0.007525
                     27,                0.70178,                0.47602,                 1.3698,                0.82137,                0.80042,                0.85759,                0.71187,                  0.666,                0.42381,                 1.4354,               0.007426,               0.007426,               0.007426
                     28,                0.70175,                0.47286,                 1.3699,                0.82025,                0.81656,                0.86146,                0.71516,                0.66538,                0.42169,                 1.4371,               0.007327,               0.007327,               0.007327
                     29,                0.70304,                0.47327,                 1.3745,                0.81914,                0.81852,                0.85952,                0.71307,                0.66488,                0.41923,                 1.4534,               0.007228,               0.007228,               0.007228
                     30,                0.69916,                0.47067,                  1.371,                0.83203,                 0.8025,                0.85428,                0.70778,                0.66499,                0.42129,                 1.4495,               0.007129,               0.007129,               0.007129
                     31,                0.70256,                0.47086,                 1.3739,                0.82744,                0.82614,                0.86731,                0.72168,                0.66099,                0.41562,                  1.451,                0.00703,                0.00703,                0.00703
                     32,                0.69619,                0.46466,                 1.3745,                0.82816,                0.81758,                 0.8654,                0.71839,                0.66065,                0.41369,                 1.4414,               0.006931,               0.006931,               0.006931
                     33,                 0.6977,                0.46611,                 1.3705,                0.82808,                0.81025,                0.86563,                 0.7193,                0.65992,                0.41432,                 1.4528,               0.006832,               0.006832,               0.006832
                     34,                0.69267,                0.46162,                 1.3712,                0.80875,                0.83001,                0.86289,                0.71699,                0.65845,                0.41354,                 1.4536,               0.006733,               0.006733,               0.006733
                     35,                0.69411,                0.46088,                 1.3739,                0.82057,                0.82544,                  0.859,                0.71357,                0.65848,                0.41313,                 1.4539,               0.006634,               0.006634,               0.006634
                     36,                0.68879,                0.45636,                 1.3646,                0.82247,                0.83254,                0.86525,                0.71966,                0.65814,                0.41155,                 1.4524,               0.006535,               0.006535,               0.006535
                     37,                0.68417,                0.45334,                 1.3687,                0.82448,                0.83072,                0.86839,                0.72279,                0.65599,                0.40842,                 1.4547,               0.006436,               0.006436,               0.006436
                     38,                0.68677,                 0.4539,                 1.3705,                 0.8341,                0.83577,                0.87174,                0.72527,                0.65567,                0.40681,                 1.4497,               0.006337,               0.006337,               0.006337
                     39,                0.68474,                0.44801,                 1.3738,                0.84362,                0.82441,                0.87053,                0.72538,                0.65527,                 0.4055,                 1.4546,               0.006238,               0.006238,               0.006238
                     40,                0.68227,                0.45093,                 1.3687,                0.83012,                0.82892,                0.87065,                0.72626,                0.65474,                0.40448,                  1.453,               0.006139,               0.006139,               0.006139
                     41,                0.68179,                0.44575,                 1.3732,                0.83818,                0.82766,                 0.8706,                0.72606,                0.65471,                0.40461,                 1.4537,                0.00604,                0.00604,                0.00604
                     42,                 0.6793,                0.44503,                 1.3693,                0.84356,                0.82667,                0.87285,                 0.7281,                0.65311,                0.40256,                 1.4552,               0.005941,               0.005941,               0.005941
                     43,                0.67437,                 0.4429,                 1.3702,                0.83159,                0.84157,                0.87512,                0.73113,                0.65298,                0.40153,                 1.4528,               0.005842,               0.005842,               0.005842
                     44,                0.67537,                0.43932,                  1.368,                0.83642,                0.84144,                0.87628,                0.73237,                0.65294,                0.40067,                 1.4531,               0.005743,               0.005743,               0.005743
                     45,                0.67928,                0.44331,                 1.3669,                0.83798,                0.83827,                0.87527,                0.73119,                0.65258,                 0.4008,                 1.4497,               0.005644,               0.005644,               0.005644
                     46,                0.67492,                0.44051,                 1.3724,                0.84315,                0.82884,                 0.8735,                 0.7302,                0.65266,                0.40137,                 1.4489,               0.005545,               0.005545,               0.005545
                     47,                0.67408,                0.43596,                 1.3677,                0.84326,                0.82987,                0.87296,                0.72995,                 0.6517,                0.39984,                 1.4517,               0.005446,               0.005446,               0.005446
                     48,                0.67328,                0.43778,                 1.3682,                0.84378,                 0.8297,                0.87265,                0.72977,                 0.6517,                0.39975,                 1.4504,               0.005347,               0.005347,               0.005347
                     49,                 0.6702,                0.43397,                 1.3587,                0.84368,                0.82724,                0.87239,                0.72938,                0.65179,                0.39997,                 1.4487,               0.005248,               0.005248,               0.005248
                     50,                0.66429,                0.42751,                 1.3643,                0.84082,                0.82811,                0.87137,                0.72863,                0.65205,                0.40023,                 1.4502,               0.005149,               0.005149,               0.005149
                     51,                0.66748,                0.43195,                 1.3637,                0.84664,                0.82526,                0.87142,                0.72844,                 0.6517,                0.39969,                 1.4503,                0.00505,                0.00505,                0.00505
                     52,                0.66371,                0.42795,                 1.3686,                0.85551,                0.82271,                0.87257,                0.72974,                0.65131,                0.39865,                  1.451,               0.004951,               0.004951,               0.004951
                     53,                0.66192,                0.42452,                 1.3682,                0.85423,                0.82302,                 0.8731,                0.72998,                0.65115,                0.39819,                 1.4525,               0.004852,               0.004852,               0.004852
                     54,                0.65855,                0.42262,                 1.3699,                0.84406,                 0.8339,                0.87361,                0.73081,                0.65068,                 0.3978,                 1.4533,               0.004753,               0.004753,               0.004753
                     55,                0.66139,                0.42133,                 1.3588,                0.84917,                0.82912,                0.87361,                0.73113,                0.65063,                0.39763,                 1.4537,               0.004654,               0.004654,               0.004654
                     56,                0.65567,                0.42047,                 1.3602,                0.84337,                0.83419,                0.87397,                0.73171,                0.65048,                0.39743,                 1.4546,               0.004555,               0.004555,               0.004555
                     57,                0.65323,                0.41517,                 1.3584,                0.84422,                0.83404,                0.87395,                0.73176,                0.65011,                0.39721,                 1.4553,               0.004456,               0.004456,               0.004456
                     58,                0.65934,                0.41796,                 1.3546,                0.83921,                0.83865,                0.87421,                0.73228,                0.64987,                 0.3969,                 1.4559,               0.004357,               0.004357,               0.004357
                     59,                0.65848,                0.41618,                 1.3705,                0.84099,                0.83724,                0.87399,                0.73229,                0.64983,                0.39712,                 1.4559,               0.004258,               0.004258,               0.004258
                     60,                0.65826,                0.41682,                 1.3573,                 0.8447,                0.83524,                0.87453,                 0.7327,                0.64951,                 0.3969,                 1.4559,               0.004159,               0.004159,               0.004159
                     61,                0.65206,                0.41092,                 1.3559,                0.84484,                0.83506,                0.87475,                0.73252,                0.64922,                 0.3968,                 1.4561,                0.00406,                0.00406,                0.00406
                     62,                0.64876,                0.40882,                 1.3608,                0.84785,                0.83303,                0.87359,                0.73217,                0.64908,                0.39676,                 1.4566,               0.003961,               0.003961,               0.003961
                     63,                0.65191,                0.41083,                 1.3608,                0.84524,                0.83383,                0.87321,                 0.7319,                0.64893,                0.39656,                 1.4563,               0.003862,               0.003862,               0.003862
                     64,                0.65118,                 0.4118,                 1.3598,                0.84566,                 0.8325,                0.87312,                0.73193,                0.64873,                0.39637,                 1.4565,               0.003763,               0.003763,               0.003763
                     65,                0.64604,                0.40549,                 1.3563,                 0.8482,                0.83101,                0.87326,                0.73238,                0.64857,                0.39624,                 1.4564,               0.003664,               0.003664,               0.003664
                     66,                0.64516,                0.40518,                 1.3594,                0.84898,                 0.8298,                0.87278,                0.73215,                0.64847,                0.39605,                 1.4567,               0.003565,               0.003565,               0.003565
                     67,                0.64957,                 0.4049,                 1.3513,                0.85187,                0.82725,                0.87256,                0.73217,                0.64839,                0.39606,                 1.4571,               0.003466,               0.003466,               0.003466
                     68,                0.64232,                0.39892,                 1.3581,                0.85022,                0.82751,                0.87224,                0.73196,                0.64823,                0.39598,                 1.4574,               0.003367,               0.003367,               0.003367
                     69,                0.64258,                0.39957,                 1.3554,                0.84975,                0.82808,                0.87204,                0.73161,                0.64807,                0.39604,                 1.4574,               0.003268,               0.003268,               0.003268
                     70,                0.64135,                0.39734,                 1.3476,                0.84746,                0.82998,                0.87162,                0.73112,                0.64795,                0.39596,                  1.458,               0.003169,               0.003169,               0.003169
                     71,                0.63999,                0.39869,                 1.3527,                0.84522,                0.83189,                0.87145,                0.73121,                0.64783,                0.39592,                 1.4587,                0.00307,                0.00307,                0.00307
                     72,                0.63787,                0.39387,                 1.3471,                0.84857,                0.82862,                0.87156,                0.73134,                0.64787,                 0.3958,                 1.4587,               0.002971,               0.002971,               0.002971
                     73,                0.63464,                0.39071,                 1.3567,                0.85183,                0.82536,                0.87175,                0.73128,                0.64778,                0.39564,                 1.4596,               0.002872,               0.002872,               0.002872
                     74,                0.63243,                0.38962,                 1.3508,                0.85211,                0.82635,                0.87198,                 0.7315,                0.64769,                0.39546,                 1.4599,               0.002773,               0.002773,               0.002773
                     75,                0.63293,                0.38921,                 1.3459,                0.85143,                 0.8266,                0.87185,                0.73136,                0.64765,                0.39534,                 1.4602,               0.002674,               0.002674,               0.002674
                     76,                0.63083,                0.38866,                 1.3436,                0.85153,                0.82661,                0.87164,                  0.731,                0.64747,                0.39528,                 1.4604,               0.002575,               0.002575,               0.002575
                     77,                0.63026,                0.38655,                 1.3425,                 0.8521,                0.82687,                0.87157,                0.73111,                0.64737,                0.39544,                 1.4608,               0.002476,               0.002476,               0.002476
                     78,                0.62974,                0.38589,                 1.3405,                0.84791,                0.83054,                0.87126,                0.73103,                0.64726,                0.39542,                 1.4609,               0.002377,               0.002377,               0.002377
                     79,                0.63054,                0.38593,                 1.3435,                0.85061,                0.82814,                0.87111,                0.73098,                0.64715,                0.39545,                  1.461,               0.002278,               0.002278,               0.002278
                     80,                0.62507,                0.38227,                 1.3456,                 0.8505,                0.82797,                0.87109,                  0.731,                0.64695,                0.39525,                 1.4614,               0.002179,               0.002179,               0.002179
                     81,                0.62497,                0.37922,                 1.3484,                0.84911,                 0.8293,                0.87111,                  0.731,                0.64691,                0.39514,                 1.4616,                0.00208,                0.00208,                0.00208
                     82,                0.62743,                0.38155,                 1.3373,                0.85134,                0.82823,                0.87094,                0.73125,                0.64678,                0.39507,                 1.4617,               0.001981,               0.001981,               0.001981
                     83,                0.62024,                 0.3751,                 1.3386,                0.84885,                0.83084,                0.87109,                0.73075,                0.64673,                0.39508,                 1.4619,               0.001882,               0.001882,               0.001882
