                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83927,                 1.4438,                 1.5875,                 0.6291,                 0.5486,                0.51609,                0.38206,                0.61678,                0.88632,                 1.4862,               0.070106,              0.0033215,              0.0033215
                      2,                0.65381,                0.85803,                 1.4087,                0.59042,                0.66418,                0.62506,                0.47392,                0.49136,                 0.6462,                 1.4951,                0.04004,               0.006589,               0.006589
                      3,                0.52876,                0.68973,                 1.3943,                0.59321,                0.65435,                0.63974,                0.48012,                0.47704,                 0.6405,                 1.6163,              0.0099086,              0.0097904,              0.0097904
                      4,                0.48139,                0.61598,                 1.4064,                0.64953,                0.69661,                0.67926,                0.52795,                0.45439,                0.59798,                  1.506,               0.009703,               0.009703,               0.009703
                      5,                0.47213,                 0.5941,                 1.3999,                 0.6952,                0.69564,                0.71288,                 0.5626,                0.43861,                0.57084,                 1.4884,               0.009604,               0.009604,               0.009604
                      6,                 0.4624,                0.57271,                 1.3849,                0.69416,                0.72513,                0.73379,                0.58021,                0.43649,                 0.5576,                 1.4887,               0.009505,               0.009505,               0.009505
                      7,                0.45565,                0.55972,                 1.3877,                0.72482,                0.74398,                  0.756,                0.60475,                0.42553,                 0.5307,                 1.4646,               0.009406,               0.009406,               0.009406
                      8,                0.45249,                0.55605,                 1.3861,                0.72313,                0.76878,                0.77266,                0.61822,                0.42768,                0.51488,                 1.4351,               0.009307,               0.009307,               0.009307
                      9,                0.44947,                0.54629,                 1.3739,                0.76703,                0.77381,                0.80605,                0.64994,                0.41894,                0.49864,                 1.4375,               0.009208,               0.009208,               0.009208
                     10,                0.44738,                0.54519,                 1.3663,                0.73961,                0.72767,                0.75837,                0.60676,                0.42254,                0.53473,                 1.4834,               0.009109,               0.009109,               0.009109
                     11,                0.44382,                0.53713,                  1.368,                 0.7363,                0.76388,                0.77596,                0.62226,                0.41913,                0.51825,                 1.4632,                0.00901,                0.00901,                0.00901
                     12,                0.44077,                0.53112,                 1.3646,                0.78514,                0.75602,                0.80061,                0.65178,                0.40874,                 0.4995,                 1.4314,               0.008911,               0.008911,               0.008911
                     13,                0.43718,                0.52921,                 1.3627,                0.76735,                0.75934,                 0.7969,                0.64211,                0.41498,                0.50132,                 1.5032,               0.008812,               0.008812,               0.008812
