                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.67,                 2.2509,                 2.8553,                0.95843,                0.15231,                0.21875,                0.10917,                 1.6729,                 1.6314,                 2.6607,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4406,                 1.2267,                 2.2492,                0.28398,                0.25961,                0.24109,                0.12965,                 1.6268,                 1.5346,                 2.5036,                0.04004,               0.006589,               0.006589
                      3,                 1.1826,                0.98426,                 2.0019,                0.28907,                0.45558,                0.34697,                0.22348,                 1.1108,                0.95195,                  2.207,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0407,                0.84877,                 1.8642,                0.34138,                0.37735,                0.32137,                0.21477,                 1.1886,                0.98992,                 2.2059,               0.009703,               0.009703,               0.009703
                      5,                0.96309,                0.76437,                 1.7952,                 0.6028,                0.62125,                0.59896,                0.44056,                0.84423,                0.66377,                 1.8546,               0.009604,               0.009604,               0.009604
                      6,                0.91784,                0.71112,                 1.7431,                0.49234,                0.45228,                 0.4461,                0.31438,                0.94092,                0.79181,                 1.9247,               0.009505,               0.009505,               0.009505
                      7,                0.89264,                0.67879,                 1.7206,                0.59573,                0.61013,                0.60483,                0.44456,                  0.836,                0.64508,                 1.8687,               0.009406,               0.009406,               0.009406
                      8,                0.87495,                0.66289,                 1.7157,                0.62901,                0.67996,                0.64352,                0.47735,                0.80904,                0.60628,                 1.7836,               0.009307,               0.009307,               0.009307
                      9,                0.86539,                0.64467,                 1.6848,                0.64315,                0.69934,                0.67115,                0.51163,                 0.7778,                0.56713,                 1.7537,               0.009208,               0.009208,               0.009208
                     10,                0.85495,                0.63321,                 1.6714,                0.68329,                0.70373,                0.71547,                0.55298,                0.76156,                0.54677,                 1.7246,               0.009109,               0.009109,               0.009109
                     11,                0.84637,                0.62072,                 1.6671,                0.66123,                0.70154,                0.70767,                0.54067,                0.77213,                0.55399,                 1.7597,                0.00901,                0.00901,                0.00901
                     12,                0.83519,                0.60493,                 1.6542,                0.68055,                0.70981,                0.70895,                0.54708,                0.77629,                0.53626,                 1.7129,               0.008911,               0.008911,               0.008911
                     13,                0.82861,                0.60211,                 1.6504,                0.69131,                0.70357,                0.71541,                0.55661,                0.74618,                0.53312,                 1.7373,               0.008812,               0.008812,               0.008812
                     14,                0.82105,                0.59405,                 1.6387,                0.67976,                0.74757,                0.73598,                0.57606,                0.74083,                0.52039,                 1.7187,               0.008713,               0.008713,               0.008713
                     15,                0.81661,                0.58651,                 1.6396,                0.72429,                 0.7277,                0.74601,                0.58595,                0.74748,                0.51533,                 1.7089,               0.008614,               0.008614,               0.008614
                     16,                0.81227,                0.57773,                 1.6291,                0.72896,                0.73327,                0.76093,                0.60177,                0.73218,                0.49443,                 1.6968,               0.008515,               0.008515,               0.008515
                     17,                0.80696,                 0.5716,                 1.6329,                0.72538,                0.74675,                0.75892,                0.60038,                0.73024,                0.49638,                 1.6905,               0.008416,               0.008416,               0.008416
                     18,                0.80066,                0.56703,                 1.6184,                0.72489,                0.74686,                0.76256,                0.60305,                0.72297,                0.49048,                 1.6958,               0.008317,               0.008317,               0.008317
                     19,                 0.7987,                0.56152,                 1.6308,                0.74183,                0.75323,                0.77733,                0.61511,                0.72361,                 0.4881,                 1.7082,               0.008218,               0.008218,               0.008218
