                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6918,                 2.2344,                 2.8744,                0.79306,                0.15251,                 0.1983,                0.10787,                 1.6402,                 1.4563,                 2.6637,               0.070106,              0.0033215,              0.0033215
                      2,                 1.4447,                 1.2247,                 2.2609,                 0.3185,                0.37501,                0.32746,                0.19227,                 1.3037,                 1.0859,                 2.2433,                0.04004,               0.006589,               0.006589
                      3,                  1.187,                 0.9842,                 2.0079,                0.21558,                0.28731,                0.19603,                 0.1178,                 1.4165,                 1.4268,                 2.4832,              0.0099086,              0.0097904,              0.0097904
                      4,                  1.043,                0.84577,                 1.8683,                0.37409,                0.43849,                0.37635,                0.26118,                 1.0485,                0.95799,                 2.0234,               0.009703,               0.009703,               0.009703
                      5,                0.96617,                0.76298,                 1.7977,                0.56397,                 0.5882,                0.55725,                0.40847,                0.85973,                0.72698,                 1.8877,               0.009604,               0.009604,               0.009604
                      6,                 0.9208,                0.71211,                 1.7444,                0.55748,                0.61383,                 0.5912,                0.43194,                0.85742,                0.68677,                 1.8473,               0.009505,               0.009505,               0.009505
                      7,                0.89354,                0.67907,                 1.7207,                0.62474,                0.64882,                0.63702,                0.47554,                 0.8159,                 0.6207,                 1.7934,               0.009406,               0.009406,               0.009406
                      8,                0.87812,                0.66507,                 1.7143,                0.62472,                0.68184,                0.65295,                0.48707,                0.80024,                0.59624,                 1.7842,               0.009307,               0.009307,               0.009307
                      9,                0.86707,                  0.646,                  1.684,                0.68289,                 0.7047,                0.70103,                0.52757,                0.80163,                0.56575,                 1.7456,               0.009208,               0.009208,               0.009208
                     10,                0.85607,                0.63579,                 1.6716,                0.62477,                0.65539,                0.65758,                0.50126,                0.77449,                0.59035,                 1.7656,               0.009109,               0.009109,               0.009109
                     11,                0.84689,                0.62141,                 1.6675,                0.61165,                0.70207,                0.68268,                0.52152,                0.78148,                0.55912,                 1.7609,                0.00901,                0.00901,                0.00901
                     12,                0.83726,                 0.6089,                 1.6521,                0.68316,                0.69962,                0.70315,                0.54149,                0.75527,                 0.5376,                 1.7445,               0.008911,               0.008911,               0.008911
                     13,                0.82955,                0.60451,                  1.649,                0.67661,                0.71031,                0.71222,                 0.5526,                0.75682,                0.54054,                 1.7319,               0.008812,               0.008812,               0.008812
                     14,                 0.8229,                 0.5965,                 1.6366,                0.69731,                0.71955,                0.72693,                0.57026,                0.75352,                 0.5233,                 1.7094,               0.008713,               0.008713,               0.008713
                     15,                0.81878,                0.58956,                 1.6338,                0.73654,                0.73102,                0.76106,                0.59932,                 0.7425,                0.50673,                  1.695,               0.008614,               0.008614,               0.008614
                     16,                0.81353,                0.58038,                 1.6262,                0.72269,                0.75095,                0.76348,                0.60403,                0.73054,                 0.4938,                 1.7027,               0.008515,               0.008515,               0.008515
                     17,                0.80792,                0.57469,                  1.629,                0.72431,                 0.7374,                0.75101,                0.59193,                0.73138,                0.50312,                 1.7122,               0.008416,               0.008416,               0.008416
                     18,                0.80223,                0.56846,                  1.617,                0.73289,                 0.7481,                0.77015,                 0.6082,                0.72688,                0.49377,                 1.6912,               0.008317,               0.008317,               0.008317
                     19,                0.80065,                0.56533,                 1.6259,                 0.7429,                0.75526,                0.77754,                0.62015,                0.72234,                0.48512,                  1.683,               0.008218,               0.008218,               0.008218
                     20,                0.79787,                0.56604,                  1.614,                0.74176,                0.76029,                0.78875,                  0.629,                0.71846,                0.48373,                 1.6833,               0.008119,               0.008119,               0.008119
                     21,                0.79587,                 0.5544,                 1.6138,                0.75581,                0.76318,                0.79286,                0.63351,                0.71859,                0.48211,                 1.6838,                0.00802,                0.00802,                0.00802
                     22,                0.78812,                0.55487,                  1.608,                0.75573,                0.77365,                0.79383,                0.63792,                0.70926,                0.46816,                 1.6773,               0.007921,               0.007921,               0.007921
                     23,                0.78746,                0.55105,                 1.6159,                0.77259,                0.74397,                0.79484,                0.63737,                0.70853,                0.47134,                 1.6779,               0.007822,               0.007822,               0.007822
                     24,                0.78512,                0.54988,                 1.6075,                0.77538,                0.76926,                0.80844,                0.65017,                0.70624,                0.46188,                 1.6599,               0.007723,               0.007723,               0.007723
                     25,                0.77998,                0.53888,                 1.5997,                0.77236,                0.76506,                0.80016,                 0.6443,                0.70261,                 0.4629,                 1.6651,               0.007624,               0.007624,               0.007624
                     26,                0.77535,                0.53586,                 1.6002,                0.78097,                0.77172,                0.81392,                0.65877,                0.70405,                0.45772,                 1.6552,               0.007525,               0.007525,               0.007525
                     27,                0.76985,                0.53405,                 1.5958,                0.76843,                0.77492,                0.81211,                0.65742,                0.70082,                0.45573,                 1.6587,               0.007426,               0.007426,               0.007426
                     28,                0.76948,                0.53213,                 1.5864,                0.77466,                0.76987,                0.80818,                  0.655,                 0.6998,                0.45604,                 1.6471,               0.007327,               0.007327,               0.007327
                     29,                0.76995,                0.53075,                 1.5942,                0.76015,                0.78981,                0.81636,                0.66297,                0.69478,                0.44949,                 1.6548,               0.007228,               0.007228,               0.007228
                     30,                0.76548,                0.52607,                 1.5848,                0.77881,                0.77732,                0.81455,                0.66113,                0.69521,                0.44869,                 1.6496,               0.007129,               0.007129,               0.007129
                     31,                0.76678,                0.52782,                 1.5916,                0.77354,                0.77939,                0.81692,                0.66453,                0.69162,                0.44804,                 1.6476,                0.00703,                0.00703,                0.00703
                     32,                0.75969,                0.52074,                 1.5869,                0.78683,                0.77073,                0.81957,                0.66527,                0.69059,                0.44518,                   1.64,               0.006931,               0.006931,               0.006931
                     33,                0.76072,                0.52195,                 1.5793,                0.77933,                0.77761,                0.82476,                0.67205,                 0.6919,                0.44458,                 1.6388,               0.006832,               0.006832,               0.006832
                     34,                0.75345,                 0.5147,                 1.5801,                0.78148,                0.78944,                0.82363,                0.67238,                0.68682,                0.44102,                 1.6413,               0.006733,               0.006733,               0.006733
                     35,                0.75516,                0.51437,                 1.5807,                0.79405,                0.78565,                0.83131,                 0.6774,                0.68721,                0.43785,                 1.6368,               0.006634,               0.006634,               0.006634
                     36,                0.75039,                0.50915,                 1.5685,                0.78875,                0.78159,                0.82564,                0.67368,                0.68517,                0.43829,                  1.638,               0.006535,               0.006535,               0.006535
                     37,                0.74242,                0.50566,                 1.5644,                0.78256,                0.78371,                0.82629,                0.67277,                0.68199,                0.43823,                 1.6336,               0.006436,               0.006436,               0.006436
                     38,                 0.7452,                0.50508,                 1.5715,                0.78651,                0.79932,                0.83261,                0.67969,                 0.6809,                0.43395,                 1.6334,               0.006337,               0.006337,               0.006337
                     39,                0.73898,                0.49912,                 1.5706,                0.79587,                0.78041,                0.83123,                0.68097,                0.67996,                0.43392,                  1.631,               0.006238,               0.006238,               0.006238
                     40,                0.73907,                0.50231,                 1.5679,                0.79678,                0.78885,                0.83301,                0.68202,                 0.6791,                0.43228,                 1.6303,               0.006139,               0.006139,               0.006139
                     41,                0.73596,                0.49516,                 1.5712,                0.81218,                 0.7863,                0.83808,                0.68661,                0.67848,                 0.4312,                 1.6311,                0.00604,                0.00604,                0.00604
                     42,                0.73549,                0.49478,                 1.5641,                0.81872,                0.78048,                0.83977,                0.68856,                0.67776,                0.42899,                 1.6293,               0.005941,               0.005941,               0.005941
                     43,                0.72794,                0.49354,                 1.5643,                0.81431,                0.78751,                0.84305,                0.69224,                0.67658,                0.42755,                 1.6264,               0.005842,               0.005842,               0.005842
                     44,                0.72927,                0.48931,                 1.5608,                0.81684,                 0.7894,                0.84485,                0.69371,                0.67623,                0.42684,                 1.6243,               0.005743,               0.005743,               0.005743
                     45,                0.73166,                0.49093,                 1.5632,                0.81918,                0.79131,                0.84503,                0.69464,                0.67459,                 0.4262,                 1.6223,               0.005644,               0.005644,               0.005644
                     46,                0.72791,                0.49006,                 1.5656,                 0.8094,                0.79682,                0.84564,                0.69547,                0.67467,                0.42576,                 1.6202,               0.005545,               0.005545,               0.005545
                     47,                0.72609,                0.48419,                 1.5535,                0.81412,                0.79792,                0.84497,                0.69549,                0.67351,                0.42513,                 1.6197,               0.005446,               0.005446,               0.005446
                     48,                0.72448,                0.48811,                  1.556,                0.81085,                0.80162,                0.84678,                0.69634,                0.67331,                0.42405,                 1.6182,               0.005347,               0.005347,               0.005347
                     49,                0.72099,                0.48276,                 1.5453,                0.81367,                0.79867,                0.84644,                0.69616,                0.67222,                0.42384,                 1.6178,               0.005248,               0.005248,               0.005248
                     50,                0.71429,                0.47618,                 1.5459,                0.80947,                0.80384,                 0.8452,                0.69522,                0.67156,                0.42341,                 1.6164,               0.005149,               0.005149,               0.005149
                     51,                0.71783,                0.48034,                 1.5549,                0.81522,                0.79963,                0.84616,                0.69634,                 0.6712,                0.42223,                 1.6161,                0.00505,                0.00505,                0.00505
                     52,                0.71257,                0.47583,                 1.5543,                0.80732,                0.80713,                 0.8474,                0.69753,                0.67097,                0.42154,                 1.6147,               0.004951,               0.004951,               0.004951
                     53,                0.70993,                0.47025,                 1.5528,                0.80475,                 0.8085,                 0.8479,                0.69828,                0.67041,                0.42091,                 1.6141,               0.004852,               0.004852,               0.004852
                     54,                0.70571,                0.46828,                 1.5525,                0.81074,                0.80545,                0.84954,                0.69963,                0.66986,                0.42006,                 1.6139,               0.004753,               0.004753,               0.004753
                     55,                 0.7091,                0.46807,                 1.5426,                0.81051,                0.80604,                0.84959,                 0.6997,                0.66928,                0.41954,                 1.6132,               0.004654,               0.004654,               0.004654
                     56,                 0.7051,                0.46754,                 1.5423,                0.80969,                0.80952,                0.85091,                0.70079,                0.66872,                 0.4189,                 1.6128,               0.004555,               0.004555,               0.004555
                     57,                0.70003,                0.45993,                 1.5356,                0.80996,                0.80883,                0.85122,                0.70154,                0.66807,                0.41886,                 1.6124,               0.004456,               0.004456,               0.004456
