                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3189,                   1.47,                 1.5878,                0.49509,                0.53686,                0.50929,                0.33928,                 1.2073,                 1.2836,                 1.4897,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0677,                0.88212,                  1.424,                0.57394,                0.65495,                0.61392,                0.46055,                0.83567,                0.67431,                 1.4651,                0.04004,               0.006589,               0.006589
                      3,                0.88941,                0.69022,                 1.4112,                0.62402,                0.65857,                0.65092,                 0.5033,                0.79889,                0.60669,                 1.5688,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80301,                0.60486,                 1.4271,                0.72026,                0.70385,                 0.7282,                0.57531,                0.75449,                0.55354,                 1.4675,               0.009703,               0.009703,               0.009703
                      5,                0.78783,                0.58115,                 1.4193,                0.71426,                0.71567,                0.73713,                0.58619,                0.73415,                0.52785,                 1.5219,               0.009604,               0.009604,               0.009604
                      6,                0.77229,                0.56099,                 1.4012,                0.71756,                0.74313,                 0.7662,                0.61007,                0.74079,                0.52361,                 1.4791,               0.009505,               0.009505,               0.009505
                      7,                0.76344,                 0.5465,                 1.4048,                0.75642,                0.73309,                0.77905,                0.62672,                0.71796,                0.50701,                  1.502,               0.009406,               0.009406,               0.009406
                      8,                0.75812,                0.54257,                 1.4057,                0.77775,                0.74528,                0.79047,                0.63988,                0.71255,                0.48191,                 1.4767,               0.009307,               0.009307,               0.009307
                      9,                0.75323,                 0.5331,                 1.3934,                 0.7522,                0.75065,                0.78506,                0.63432,                 0.7107,                0.48437,                 1.4418,               0.009208,               0.009208,               0.009208
                     10,                0.74812,                0.53056,                 1.3856,                0.73713,                0.71399,                0.74675,                0.60021,                0.72228,                 0.5091,                 1.5054,               0.009109,               0.009109,               0.009109
                     11,                0.74408,                0.52262,                 1.3886,                0.72474,                0.70827,                0.74064,                0.59118,                0.73162,                0.54154,                 1.5378,                0.00901,                0.00901,                0.00901
                     12,                0.73862,                0.51469,                 1.3853,                0.77583,                0.77441,                0.80957,                0.66296,                0.69365,                0.47167,                  1.435,               0.008911,               0.008911,               0.008911
                     13,                0.73469,                0.51635,                 1.3832,                 0.7673,                0.76862,                 0.8101,                0.65922,                0.70034,                0.47393,                 1.4714,               0.008812,               0.008812,               0.008812
