                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3422,                 1.5038,                 1.5738,                0.11748,                  0.374,                0.52893,                0.44991,                0.33701,                0.98017,                0.91689,                 1.4459,                0.10233,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0527,                0.88834,                 1.4237,                0.09713,                0.57247,                0.66821,                0.62157,                0.47041,                0.81338,                 0.6621,                 1.4599,                0.09914,                0.04004,               0.006589,               0.006589
                      3,                0.88897,                0.69378,                 1.4099,                 0.0962,                 0.6035,                0.62167,                0.62486,                0.47277,                 0.8192,                0.63002,                 1.6095,                0.09883,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80655,                0.60938,                 1.4299,                0.09446,                0.69461,                0.69725,                0.71835,                0.56431,                0.75864,                0.56795,                  1.502,                0.09402,               0.009703,               0.009703,               0.009703
                      5,                0.79118,                0.58604,                  1.419,                0.08596,                 0.7327,                0.73252,                0.76526,                0.60624,                0.74026,                0.52602,                 1.5078,                0.08365,               0.009604,               0.009604,               0.009604
                      6,                0.77574,                0.56534,                 1.4044,                0.07349,                0.72008,                0.71678,                0.74007,                0.58725,                 0.7449,                0.52556,                 1.5007,                0.07339,               0.009505,               0.009505,               0.009505
                      7,                0.76695,                0.55163,                 1.4064,                0.06282,                0.75486,                0.73062,                 0.7703,                0.62361,                0.71778,                0.51063,                 1.4731,                0.06177,               0.009406,               0.009406,               0.009406
                      8,                0.76105,                0.54646,                 1.4056,                 0.0521,                 0.7604,                0.73084,                0.76672,                0.61902,                 0.7233,                0.50022,                  1.449,                0.05128,               0.009307,               0.009307,               0.009307
                      9,                0.75745,                0.53653,                 1.3936,                0.04511,                0.76837,                0.74812,                0.79553,                0.64304,                0.71199,                0.48687,                 1.4809,                 0.0486,               0.009208,               0.009208,               0.009208
                     10,                0.75247,                0.53367,                 1.3877,                0.04265,                 0.7762,                0.74524,                0.79713,                0.65001,                0.69619,                 0.4785,                 1.4746,                0.04605,               0.009109,               0.009109,               0.009109
                     11,                0.74855,                0.52722,                 1.3911,                0.04126,                0.75641,                0.75808,                0.80046,                0.64219,                0.72415,                0.50549,                 1.4831,                0.04718,                0.00901,                0.00901,                0.00901
                     12,                0.74383,                0.52084,                 1.3867,                0.04005,                0.77967,                0.77339,                0.81553,                0.66476,                0.69798,                0.46842,                 1.4618,                0.04491,               0.008911,               0.008911,               0.008911
                     13,                0.73863,                0.51955,                 1.3862,                0.03948,                 0.7556,                0.77993,                0.80197,                0.64899,                0.70535,                0.48649,                 1.4898,                0.04524,               0.008812,               0.008812,               0.008812
                     14,                0.73579,                0.51474,                 1.3807,                0.03856,                0.78751,                 0.7531,                0.80213,                0.65354,                0.69911,                0.47529,                 1.4937,                0.04445,               0.008713,               0.008713,               0.008713
                     15,                0.73499,                0.51219,                 1.3819,                0.03825,                0.77937,                0.76742,                0.81159,                0.66198,                0.70045,                0.47784,                 1.4717,                 0.0438,               0.008614,               0.008614,               0.008614
