                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,saliency/P3_background_mean,saliency/P3_foreground_background_gap,saliency/P3_foreground_mean,  saliency/P3_gate_mean,   saliency/P3_gate_std,saliency/P3_negative_ratio,saliency/P3_positive_ratio,saliency/P4_background_mean,saliency/P4_foreground_background_gap,saliency/P4_foreground_mean,  saliency/P4_gate_mean,   saliency/P4_gate_std,saliency/P4_negative_ratio,saliency/P4_positive_ratio,          saliency/gain
                      1,                 1.3391,                 1.4765,                 1.5826,                      0,                 0.3852,                0.53098,                0.45251,                0.34111,                0.87166,                0.79557,                 1.4896,                      0,               0.070106,              0.0033215,              0.0033215,               0.099506,             8.6856e-06,               0.099515,               0.099506,              0.0004398,                      1,                      0,                0.09961,            -2.1467e-06,               0.099608,                0.09961,             0.00014434,                      1,                      0,                      0
                      2,                  1.057,                0.87205,                 1.4256,                0.00473,                0.57085,                0.66631,                 0.6162,                0.47074,                0.80186,                0.64159,                 1.4695,                0.00445,                0.04004,               0.006589,               0.006589,                0.10177,               1.33e-05,                0.10178,                0.10177,              0.0010761,                      1,                      0,                0.10074,            -1.0616e-06,                0.10074,                0.10074,             0.00080659,                      1,                      0,                 0.0025
                      3,                0.88747,                0.69349,                 1.4108,                0.00936,                0.60885,                0.63432,                 0.6274,                0.48275,                0.80164,                 0.6106,                 1.6257,                0.00883,              0.0099086,              0.0097904,              0.0097904,                0.11147,             1.6992e-05,                0.11149,                0.11148,              0.0034697,                      1,                      0,                0.10572,            -1.1157e-07,                0.10572,                0.10572,             0.00072341,                      1,                      0,                  0.005
                      4,                0.80682,                0.61052,                 1.4274,                0.01388,                0.70781,                0.70725,                0.72512,                0.57325,                0.75097,                0.55802,                 1.4978,                0.01313,               0.009703,               0.009703,               0.009703,                0.12489,             3.5756e-05,                0.12493,                0.12489,              0.0055014,                      1,                      0,                0.11247,             4.0159e-09,                0.11247,                0.11247,             0.00043248,                      1,                      0,                 0.0075
                      5,                0.79101,                0.58726,                 1.4189,                0.01827,                0.71538,                0.72185,                0.75114,                0.59224,                0.73673,                0.53329,                 1.4982,                0.01737,               0.009604,               0.009604,               0.009604,                0.14222,             8.3866e-05,                0.14231,                0.14223,               0.010655,                      1,                      0,                0.12123,             1.3338e-06,                0.12123,                0.12123,              0.0010573,                      1,                      0,                   0.01
                      6,                0.77515,                0.56596,                 1.4017,                 0.0228,                0.75236,                0.73387,                0.77752,                0.62437,                0.73188,                0.51233,                 1.4504,                0.02157,               0.009505,               0.009505,               0.009505,                0.16264,             0.00016496,                 0.1628,                0.16264,              0.0083709,                      1,                      0,                0.13262,             3.0413e-06,                0.13262,                0.13262,               0.002082,                      1,                      0,                 0.0125
                      7,                0.76735,                0.55244,                 1.4051,                0.02709,                0.74783,                 0.7279,                0.76871,                0.62059,                0.72181,                0.51642,                 1.4798,                0.02577,               0.009406,               0.009406,               0.009406,                 0.1837,             0.00074592,                0.18445,                0.18372,               0.010474,                      1,                      0,                0.14572,             4.4652e-06,                0.14572,                0.14572,              0.0025156,                      1,                      0,                  0.015
                      8,                0.76167,                0.54835,                 1.4066,                0.03128,                0.75378,                0.71393,                0.76013,                0.60954,                0.73043,                0.53346,                 1.4806,                0.02991,               0.009307,               0.009307,               0.009307,                0.21317,              0.0073179,                0.22049,                0.21339,               0.024663,                      1,                      0,                0.16002,             5.3064e-06,                0.16003,                0.16002,               0.001943,                      1,                      0,                 0.0175
                      9,                0.75774,                0.53825,                 1.3925,                0.03546,                0.77495,                0.76646,                0.81388,                0.65888,                0.71373,                0.48084,                 1.4552,                0.03376,               0.009208,               0.009208,               0.009208,                0.22742,               0.024899,                0.25232,                0.22819,                 0.0343,                      1,              1.238e-06,                0.17422,              7.926e-06,                0.17423,                0.17422,              0.0020731,                      1,                      0,                   0.02
                     10,                0.75311,                 0.5355,                 1.3872,                0.03892,                0.74392,                0.71316,                0.76243,                0.60985,                0.74048,                0.52545,                 1.5094,                0.03695,               0.009109,               0.009109,               0.009109,                0.21237,               0.095067,                0.30744,                0.21528,               0.062612,                0.98924,               0.010732,                0.18734,             9.1828e-06,                0.18735,                0.18734,              0.0023718,                      1,                      0,                 0.0225
                     11,                0.74881,                0.52875,                 1.3876,                0.04224,                 0.7732,                0.76804,                0.80473,                0.64882,                0.71555,                0.49512,                 1.4998,                0.04055,                0.00901,                0.00901,                0.00901,                0.18931,                0.14812,                0.33743,                0.19381,               0.087154,                 0.9827,               0.017267,                0.19844,             1.1384e-05,                0.19845,                0.19844,              0.0016633,                      1,                      0,                  0.025
                     12,                 0.7455,                 0.5236,                 1.3854,                  0.042,                0.77246,                0.76857,                0.80768,                0.65706,                0.69953,                0.47768,                 1.4601,                0.04028,               0.008911,               0.008911,               0.008911,                0.17701,                0.16563,                0.34263,                 0.1821,               0.096415,                0.98236,               0.017601,                0.20707,             1.2798e-05,                0.20708,                0.20707,              0.0016217,                      1,                      0,                  0.025
                     13,                0.73992,                0.52019,                 1.3848,                0.04186,                0.78262,                0.76981,                0.81378,                0.65845,                0.70246,                0.47439,                 1.4464,                0.04025,               0.008812,               0.008812,               0.008812,                0.16782,                0.17302,                0.34084,                0.17319,                0.10192,                0.98277,               0.017194,                0.21277,              1.627e-05,                0.21279,                0.21277,              0.0014225,                      1,                      0,                  0.025
                     14,                0.73602,                 0.5166,                   1.38,                0.04161,                0.77002,                0.75713,                0.79635,                0.65335,                0.68866,                0.47064,                 1.4656,                0.03995,               0.008713,               0.008713,               0.008713,                0.16192,                0.18209,                0.34402,                0.16753,                0.10658,                 0.9825,               0.017466,                0.21645,             1.7033e-05,                0.21647,                0.21645,              0.0019434,                      1,                      0,                  0.025
                     15,                0.73498,                0.51208,                 1.3824,                 0.0414,                0.78005,                0.79831,                0.82565,                0.67843,                0.69164,                0.45797,                 1.4498,                0.03978,               0.008614,               0.008614,               0.008614,                0.15798,                0.18517,                0.34315,                0.16364,                   0.11,                0.98302,               0.016945,                 0.2189,             1.9559e-05,                0.21892,                 0.2189,              0.0018205,                      1,                      0,                  0.025
                     16,                0.73078,                0.50542,                 1.3779,                0.04126,                0.81954,                0.78174,                0.84018,                0.68611,                0.68802,                0.45649,                 1.4528,                 0.0397,               0.008515,               0.008515,               0.008515,                0.15556,                0.19146,                0.34702,                0.16143,                0.11366,                 0.9826,               0.017373,                 0.2211,             2.1629e-05,                0.22112,                 0.2211,             0.00065128,                      1,                      0,                  0.025
                     17,                0.72905,                0.50465,                 1.3837,                0.04125,                0.80006,                0.78094,                 0.8316,                0.68267,                0.68728,                0.45379,                 1.4625,                0.03958,               0.008416,               0.008416,               0.008416,                0.15097,                0.19364,                 0.3446,                0.15692,                0.11519,                0.98264,               0.017333,                0.22202,             2.0509e-05,                0.22204,                0.22202,             0.00067459,                      1,                      0,                  0.025
                     18,                 0.7235,                0.49913,                 1.3725,                0.04136,                0.80737,                0.76526,                0.82968,                0.67757,                0.68869,                0.46065,                 1.4673,                0.03956,               0.008317,               0.008317,               0.008317,                 0.1502,                0.19484,                0.34505,                0.15627,                0.11724,                0.98252,                0.01745,                0.22306,             2.6854e-05,                0.22309,                0.22306,              0.0017878,                      1,                      0,                  0.025
                     19,                0.72189,                0.49724,                 1.3822,                0.04128,                0.80385,                0.77828,                 0.8299,                0.68002,                0.68885,                0.45782,                 1.4528,                0.03951,               0.008218,               0.008218,               0.008218,                 0.1462,                0.19585,                0.34204,                0.15227,                0.11762,                0.98265,               0.017319,                0.22319,             2.4004e-05,                0.22321,                0.22319,              0.0028541,                      1,                      0,                  0.025
