                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/prompt_warmup_factor
                      1,                 1.3304,                 1.4707,                 1.6023,                      0,                      0,                0.46314,                0.56161,                0.48367,                0.35579,                0.88677,                0.77929,                 1.5404,                      0,                      0,               0.070106,              0.0033215,              0.0033215,                0.10768,              0.0010457,                0.10873,                0.10772,              0.0033234,                 0.4947,               0.045625,              0.0057986,                0.10296,             0.00066281,                0.10363,                0.10298,              0.0065343,                0.51971,               0.045222,                0.01397,                      0
                      2,                 1.0667,                0.88635,                 1.4205,                0.00466,                  5e-05,                0.56625,                0.66621,                0.61256,                0.45997,                0.88397,                0.69677,                 1.4685,                0.00437,                  4e-05,                0.04004,               0.006589,               0.006589,                0.11596,              0.0011769,                0.11714,                  0.116,              0.0034596,                0.49528,               0.045575,              0.0058462,                0.11091,              0.0011272,                0.11204,                0.11095,               0.007289,                0.51959,               0.045098,               0.013933,                    0.1
                      3,                0.88522,                0.69651,                 1.4092,                0.00904,                  9e-05,                0.52064,                0.53386,                0.52609,                  0.391,                0.87391,                0.76609,                 1.6703,                0.00855,                  8e-05,              0.0099086,              0.0097904,              0.0097904,                0.14922,              0.0033451,                0.15256,                0.14932,              0.0065033,                0.49706,               0.045405,              0.0055869,                0.16424,               0.005598,                0.16984,                0.16442,               0.018074,                0.51935,                0.04503,               0.013605,                    0.2
                      4,                 0.8031,                0.60474,                 1.4274,                0.01321,                0.00014,                0.66601,                0.71357,                0.70097,                0.55236,                0.75489,                0.56521,                 1.4945,                0.01274,                0.00012,               0.009703,               0.009703,               0.009703,                0.22811,               0.018876,                0.24698,                0.22869,               0.026247,                0.49987,               0.045188,              0.0049743,                0.22418,               0.014629,                0.23881,                0.22463,               0.033871,                0.51887,               0.044928,               0.012719,                    0.3
                      5,                 0.7883,                  0.581,                 1.4195,                0.01751,                0.00018,                0.66518,                0.70025,                0.70185,                0.55526,                0.74194,                0.55086,                 1.4716,                0.01688,                0.00016,               0.009604,               0.009604,               0.009604,                 0.2305,                0.02543,                0.25593,                0.23127,               0.032116,                0.50309,               0.044861,              0.0043819,                0.22497,               0.020173,                0.24515,                0.22559,               0.034498,                0.51826,               0.044742,               0.011946,                    0.4
                      6,                0.77228,                0.55917,                 1.4051,                 0.0219,                0.00023,                0.72529,                0.73968,                0.76223,                0.60804,                0.73505,                0.52699,                 1.4949,                0.02094,                 0.0002,               0.009505,               0.009505,               0.009505,                0.23113,                0.03574,                0.26687,                0.23224,               0.038719,                 0.5059,               0.045517,              0.0039277,                0.22623,               0.027053,                0.25328,                0.22708,               0.036598,                0.51742,               0.045553,               0.011119,                    0.5
                      7,                0.76316,                0.54668,                 1.4041,                0.02602,                0.00027,                0.74324,                0.75404,                0.78585,                0.63392,                0.71955,                0.49688,                 1.4821,                0.02498,                0.00024,               0.009406,               0.009406,               0.009406,                0.22822,               0.048306,                0.27653,                0.22971,               0.046302,                0.50875,               0.045136,              0.0035371,                0.22398,               0.037519,                 0.2615,                0.22515,               0.040571,                0.51685,               0.045148,               0.010303,                    0.6
                      8,                0.75876,                0.54292,                 1.4067,                0.02989,                0.00032,                0.76481,                0.75811,                 0.7932,                0.64222,                0.71495,                0.48247,                 1.4654,                0.02854,                0.00028,               0.009307,               0.009307,               0.009307,                0.22422,               0.068915,                0.29313,                0.22633,               0.056994,                0.51102,               0.045106,              0.0032126,                0.22193,               0.059293,                0.28122,                0.22375,               0.048705,                0.51623,               0.045116,              0.0096331,                    0.7
                      9,                0.75424,                0.53319,                 1.3933,                0.03315,                0.00036,                 0.7715,                0.77832,                0.81606,                0.66135,                0.70886,                0.47586,                 1.4567,                 0.0312,                0.00032,               0.009208,               0.009208,               0.009208,                0.20679,                0.11903,                0.32581,                0.21044,                0.07531,                0.51317,               0.045106,              0.0029655,                0.20815,                0.11144,                0.31959,                0.21159,               0.063886,                0.51592,               0.045147,              0.0090253,                    0.8
                     10,                0.74861,                0.53052,                 1.3856,                0.03517,                 0.0004,                0.73889,                0.76237,                0.77986,                0.63318,                0.70485,                0.48511,                  1.497,                0.03313,                0.00036,               0.009109,               0.009109,               0.009109,                0.15904,                0.22461,                0.38365,                0.16592,                0.10503,                0.51465,                0.04485,              0.0027103,                0.17037,                0.20718,                0.37755,                0.17674,               0.091316,                0.51547,               0.044857,              0.0084022,                    0.9
