                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gder_attention_weight,p2/P3_gder_modality_weight,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                      1,                 1.3576,                 1.5063,                  1.584,                      0,                      0,                0.42909,                0.53572,                0.48789,                0.36875,                 0.9547,                0.88311,                 1.4786,                      0,                      0,               0.070106,              0.0033215,              0.0033215,                0.50027,                0.49973,                0.10768,              0.0010507,                0.10873,                0.10772,              0.0033262,                 0.4947,               0.045622,              0.0057936,                0.50004,                0.49996,                0.15729,              0.0046948,                0.16199,                0.15744,               0.013931,                0.51875,               0.045015,               0.010035,                0.50001,                0.49999,                      0
                      2,                 1.0647,                0.88282,                 1.4172,                 0.0046,                  5e-05,                0.56446,                0.65344,                0.60987,                0.46349,                 0.8447,                0.65739,                 1.4596,                0.00434,                  4e-05,                0.04004,               0.006589,               0.006589,                0.50084,                0.49916,                0.11606,              0.0011858,                0.11725,                 0.1161,              0.0034581,                0.49531,               0.045574,              0.0058456,                0.50013,                0.49987,                0.16455,              0.0050306,                0.16958,                0.16471,               0.015392,                0.51842,               0.044922,              0.0099024,                0.50005,                0.49995,                    0.1
                      3,                0.88459,                0.69118,                 1.4096,                  0.009,                  9e-05,                0.53135,                0.61258,                0.60526,                0.45546,                0.82422,                0.67093,                 1.5742,                0.00856,                  8e-05,              0.0099086,              0.0097904,              0.0097904,                0.50094,                0.49906,                0.14914,              0.0033056,                0.15245,                0.14925,              0.0063973,                0.49711,               0.045406,              0.0055995,                0.50017,                0.49983,                 0.1979,              0.0076745,                0.20558,                0.19814,               0.022966,                0.51771,               0.044859,              0.0096733,                0.50007,                0.49993,                    0.2
                      4,                 0.8034,                0.60447,                 1.4254,                0.01323,                0.00014,                0.67787,                0.69118,                0.69753,                0.54535,                0.76313,                0.56365,                    1.5,                0.01283,                0.00012,               0.009703,               0.009703,               0.009703,                 0.5008,                 0.4992,                0.22767,               0.017688,                0.24536,                0.22822,               0.024837,                0.49993,               0.045207,              0.0049906,                0.50016,                0.49984,                0.22404,               0.012463,                0.23651,                0.22443,               0.029877,                0.51615,               0.044768,               0.008842,                0.50008,                0.49992,                    0.3
                      5,                0.78892,                0.58243,                 1.4179,                0.01752,                0.00018,                0.68676,                0.72089,                0.72916,                0.57301,                0.75541,                0.54499,                 1.5327,                0.01688,                0.00016,               0.009604,               0.009604,               0.009604,                0.50073,                0.49927,                0.23069,               0.025169,                0.25586,                0.23145,               0.031169,                0.50319,               0.044877,               0.004401,                0.50016,                0.49984,                0.22439,               0.016973,                0.24137,                0.22491,               0.031257,                0.51563,               0.044592,              0.0082017,                0.50007,                0.49993,                    0.4
                      6,                0.77461,                0.55845,                 1.4051,                0.02187,                0.00023,                0.75079,                0.75344,                0.78303,                0.62639,                0.73499,                 0.5252,                 1.4908,                0.02098,                 0.0002,               0.009505,               0.009505,               0.009505,                 0.5007,                 0.4993,                 0.2307,               0.035592,                0.26629,                 0.2318,               0.038028,                0.50605,               0.045186,              0.0039047,                0.50015,                0.49985,                0.22472,               0.023355,                0.24807,                0.22545,               0.033851,                0.51495,               0.045021,              0.0075387,                0.50007,                0.49993,                    0.5
                      7,                0.76633,                0.55135,                 1.3946,                0.02606,                0.00027,                0.75575,                0.74233,                0.77833,                0.62456,                0.72554,                0.51564,                 1.4516,                0.02502,                0.00024,               0.009406,               0.009406,               0.009406,                0.50067,                0.49933,                0.22964,               0.049362,                  0.279,                0.23117,               0.046188,                0.50924,               0.045022,              0.0035127,                0.50015,                0.49985,                0.22546,               0.035167,                0.26063,                0.22656,               0.038542,                0.51583,               0.044892,              0.0072427,                0.50007,                0.49993,                    0.6
                      8,                0.76265,                0.54355,                 1.4001,                0.02979,                0.00031,                0.70096,                0.70004,                0.72633,                0.57453,                0.73507,                0.54785,                 1.5262,                0.02869,                0.00028,               0.009307,               0.009307,               0.009307,                0.50064,                0.49936,                0.22333,               0.069947,                0.29328,                0.22545,               0.056012,                0.51153,               0.044978,              0.0032042,                0.50016,                0.49984,                0.22109,               0.054606,                 0.2757,                0.22275,               0.045713,                0.51576,               0.044836,              0.0067353,                0.50007,                0.49993,                    0.7
                      9,                0.75725,                0.53788,                 1.3936,                0.03308,                0.00036,                0.69078,                0.75726,                 0.7455,                0.60118,                0.72479,                0.51823,                 1.4765,                0.03165,                0.00032,               0.009208,               0.009208,               0.009208,                0.50061,                0.49939,                0.20672,                 0.1209,                0.32762,                0.21044,               0.076903,                0.51369,               0.044975,              0.0029126,                0.50016,                0.49984,                0.20491,                0.11554,                0.32045,                0.20848,                0.06446,                0.51656,                 0.0449,              0.0064418,                0.50008,                0.49992,                    0.8
                     10,                0.74618,                0.52893,                 1.3941,                0.03509,                 0.0004,                0.73406,                0.75984,                0.77798,                 0.6298,                0.70536,                0.50413,                 1.4531,                0.03314,                0.00036,               0.009109,               0.009109,               0.009109,                0.50058,                0.49942,                 0.1638,                0.21568,                0.37948,                0.17035,                0.10473,                 0.5149,               0.044907,              0.0026637,                0.50016,                0.49984,                0.16041,                0.22528,                0.38569,                0.16728,               0.095624,                  0.516,                0.04486,              0.0059086,                0.50008,                0.49992,                    0.9
                     11,                0.74238,                0.52089,                 1.3904,                  0.037,                0.00045,                0.75283,                0.72561,                0.76594,                 0.6207,                0.70807,                0.49273,                 1.4724,                0.03498,                 0.0004,                0.00901,                0.00901,                0.00901,                0.50053,                0.49947,                0.11981,                0.29936,                0.41917,                 0.1289,                0.12065,                 0.5161,               0.045035,              0.0024717,                0.50016,                0.49984,                 0.1237,                0.30527,                0.42897,                0.13302,                0.11201,                0.51647,               0.044993,              0.0056011,                0.50008,                0.49992,                      1
                     12,                0.74178,                0.51951,                 1.3873,                0.03567,                0.00045,                 0.7571,                0.76997,                 0.7872,                0.64353,                0.69824,                0.47583,                 1.4491,                 0.0337,                 0.0004,               0.008911,               0.008911,               0.008911,                0.50048,                0.49952,               0.091921,                 0.3504,                0.44232,                0.10264,                0.12998,                0.51717,               0.044986,              0.0022807,                0.50016,                0.49984,                0.10268,                0.34766,                0.45033,                0.11336,                0.12119,                0.51708,               0.044937,              0.0054291,                0.50008,                0.49992,                      1
                     13,                 0.7349,                0.51503,                 1.3931,                0.03512,                0.00045,                0.78054,                0.78436,                0.81059,                0.66263,                 0.6937,                0.46788,                  1.448,                0.03305,                 0.0004,               0.008812,               0.008812,               0.008812,                0.50044,                0.49956,               0.079734,                0.37022,                0.44996,               0.091308,                0.13535,                0.51734,               0.045329,              0.0021085,                0.50016,                0.49984,               0.087399,                0.37051,                 0.4579,               0.099044,                0.12774,                 0.5165,               0.045254,              0.0051708,                0.50008,                0.49992,                      1
                     14,                0.73328,                0.51144,                 1.3826,                0.03435,                0.00045,                0.74655,                0.75131,                0.75884,                0.61575,                0.70129,                 0.4894,                 1.4762,                0.03258,                 0.0004,               0.008713,               0.008713,               0.008713,                0.50039,                0.49961,               0.071263,                0.38261,                0.45387,               0.083085,                  0.137,                0.51793,               0.044837,              0.0019482,                0.50016,                0.49984,               0.069676,                0.39626,                0.46593,               0.081979,                0.13395,                0.51662,               0.044771,              0.0049656,                0.50008,                0.49992,                      1
                     15,                0.73123,                0.50789,                 1.3789,                0.03341,                0.00044,                0.77822,                0.75444,                0.80498,                0.65418,                0.69875,                0.47391,                 1.4786,                0.03173,                 0.0004,               0.008614,               0.008614,               0.008614,                0.50033,                0.49967,               0.065693,                0.39634,                0.46203,               0.077698,                0.13896,                0.51827,               0.044513,              0.0018262,                0.50016,                0.49984,               0.055394,                0.42382,                0.47922,               0.068299,                  0.139,                0.51661,               0.044438,              0.0046792,                0.50008,                0.49992,                      1
                     16,                0.72572,                0.50371,                 1.3843,                0.03284,                0.00045,                 0.7635,                  0.737,                0.79077,                0.63886,                0.71148,                0.49314,                 1.4897,                0.03155,                 0.0004,               0.008515,               0.008515,               0.008515,                0.50028,                0.49972,               0.062149,                0.40202,                0.46417,               0.074288,                0.13934,                0.51845,               0.044571,              0.0016952,                0.50017,                0.49983,               0.048294,                0.44103,                0.48932,               0.061679,                0.14169,                0.51672,               0.044507,              0.0044917,                0.50008,                0.49992,                      1
                     17,                 0.7232,                0.49777,                 1.3796,                 0.0326,                0.00045,                0.78672,                0.80413,                0.83296,                0.68212,                0.68495,                0.45193,                 1.4335,                0.03101,                 0.0004,               0.008416,               0.008416,               0.008416,                0.50022,                0.49978,               0.059015,                0.40357,                0.46258,               0.071365,                0.13996,                0.51865,                0.04493,              0.0015702,                0.50017,                0.49983,               0.042853,                 0.4528,                0.49565,               0.056795,                0.14374,                0.51677,                0.04487,              0.0043391,                0.50009,                0.49991,                      1
                     18,                0.71883,                0.49374,                 1.3775,                0.03238,                0.00045,                 0.7886,                0.78456,                0.82722,                0.67848,                0.67924,                0.45204,                 1.4587,                0.03073,                 0.0004,               0.008317,               0.008317,               0.008317,                0.50013,                0.49987,               0.056848,                0.40877,                0.46562,               0.069477,                0.14121,                0.51829,                0.04509,              0.0014654,                0.50017,                0.49983,               0.039926,                 0.4614,                0.50133,                0.05426,                0.14506,                0.51598,               0.045032,              0.0039657,                0.50009,                0.49991,                      1
