                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                      1,                  1.336,                 1.4673,                 1.6099,                      0,                      0,                0.60159,                0.52704,                 0.4982,                0.37408,                0.92476,                  0.872,                 1.4982,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.079786,             -0.0028345,               0.076952,               0.079699,              0.0055765,                0.42722,               0.053654,               0.014981,                0.50005,                0.49995,                0.08968,            -0.00056915,                0.08911,               0.089662,              0.0029392,                0.48326,               0.046353,               0.013603,                0.50002,                0.49998,                      0
                      2,                 1.0619,                 0.8843,                 1.4221,                 0.0048,                  5e-05,                0.56044,                0.65376,                0.61089,                0.45699,                0.84801,                0.65023,                 1.4849,                0.00446,                  5e-05,                0.04004,               0.006589,               0.006589,               0.093024,             -0.0020248,               0.090999,               0.092961,               0.004543,                0.43135,               0.053372,               0.015462,                0.50016,                0.49984,               0.094191,            -0.00050863,               0.093683,               0.094175,              0.0029085,                0.48388,               0.046343,               0.013625,                0.50008,                0.49992,                    0.1
                      3,                0.88838,                0.69309,                  1.408,                0.00925,                 0.0001,                0.59126,                0.64209,                0.64378,                0.48909,                0.80636,                0.63395,                 1.5732,                0.00868,                  9e-05,              0.0099086,              0.0097904,              0.0097904,                 0.1324,              0.0002068,                0.13261,                0.13241,              0.0031666,                0.44691,               0.050723,               0.013465,                0.50023,                0.49977,                0.10925,            -0.00026232,                0.10899,                0.10924,              0.0025945,                0.48588,               0.046162,               0.013393,                0.50011,                0.49989,                    0.2
                      4,                0.80284,                0.60466,                 1.4263,                0.01347,                0.00014,                 0.6645,                 0.6999,                0.68876,                0.54031,                0.76081,                0.56466,                 1.4977,                0.01296,                0.00013,               0.009703,               0.009703,               0.009703,                0.20923,              0.0087207,                0.21795,                 0.2095,               0.014926,                0.47481,                0.04709,              0.0090944,                0.50021,                0.49979,                0.13171,             0.00015254,                0.13187,                0.13172,              0.0027678,                0.48993,               0.045744,               0.012296,                0.50012,                0.49988,                    0.3
                      5,                0.78886,                0.58158,                 1.4189,                0.01771,                0.00018,                0.70476,                 0.7248,                0.74371,                  0.593,                0.73677,                0.53265,                 1.5345,                0.01695,                0.00016,               0.009604,               0.009604,               0.009604,                0.23199,               0.016649,                0.24864,                0.23249,               0.022627,                0.49354,               0.045458,              0.0061733,                 0.5002,                 0.4998,                0.16665,               0.001468,                0.16811,                0.16669,              0.0067743,                0.49468,               0.045313,               0.011464,                0.50011,                0.49989,                    0.4
                      6,                0.77263,                0.56004,                  1.404,                0.02208,                0.00023,                0.74534,                  0.727,                0.76149,                0.60693,                 0.7334,                0.51624,                 1.4829,                0.02119,                 0.0002,               0.009505,               0.009505,               0.009505,                0.23421,               0.027305,                0.26152,                0.23506,               0.029178,                0.50331,               0.045703,              0.0046793,                 0.5002,                 0.4998,                0.22416,               0.006525,                0.23068,                0.22436,               0.019522,                0.49917,               0.045798,               0.010507,                 0.5001,                 0.4999,                    0.5
                      7,                0.76385,                0.54704,                 1.4045,                0.02628,                0.00027,                0.74701,                0.75375,                0.78065,                0.63012,                0.71802,                0.50431,                 1.4653,                0.02526,                0.00024,               0.009406,               0.009406,               0.009406,                0.23198,               0.039622,                 0.2716,                 0.2332,               0.036656,                0.50944,               0.045222,              0.0038522,                 0.5002,                 0.4998,                0.22782,              0.0098234,                0.23764,                0.22812,               0.021794,                0.50342,               0.045352,              0.0095161,                 0.5001,                 0.4999,                    0.6
                      8,                0.75812,                0.54246,                 1.4031,                0.03028,                0.00032,                0.76665,                0.74789,                0.78719,                0.63445,                0.71668,                0.48551,                 1.4613,                0.02904,                0.00028,               0.009307,               0.009307,               0.009307,                0.22917,               0.060664,                0.28984,                0.23103,               0.048868,                0.51333,               0.045159,              0.0032353,                 0.5002,                 0.4998,                0.23124,               0.014875,                0.24612,                 0.2317,               0.024851,                0.50683,               0.045225,              0.0087673,                 0.5001,                 0.4999,                    0.7
                      9,                0.75428,                0.53315,                 1.3927,                0.03393,                0.00036,                0.74332,                0.77574,                 0.7889,                0.63927,                0.70832,                0.48511,                 1.4594,                0.03218,                0.00032,               0.009208,               0.009208,               0.009208,                0.21484,                0.10663,                0.32147,                0.21811,               0.067576,                0.51609,               0.045138,              0.0028175,                 0.5002,                 0.4998,                 0.2312,               0.020819,                0.25202,                0.23185,               0.028021,                0.50985,               0.045217,              0.0080259,                 0.5001,                 0.4999,                    0.8
                     10,                0.74815,                0.53029,                 1.3844,                0.03654,                 0.0004,                0.77032,                0.74736,                0.79279,                0.64694,                0.70254,                0.48997,                 1.4581,                0.03456,                0.00036,               0.009109,               0.009109,               0.009109,                0.16582,                0.21853,                0.38435,                0.17251,                0.10179,                0.51754,               0.044869,               0.002483,                 0.5002,                 0.4998,                0.23114,               0.032803,                0.26394,                0.23215,               0.033855,                0.51193,               0.044895,              0.0073146,                0.50011,                0.49989,                    0.9
