                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                      1,                   1.31,                 1.4484,                 1.6141,                      0,                      0,                      0,                0.42372,                0.56615,                0.48294,                0.32442,                 1.1968,                 1.2209,                 1.5395,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,                0.10768,               0.001056,                0.10874,                0.10772,              0.0033246,                0.50885,                0.01006,               0.016383,               0.096172,            -0.00042816,               0.095743,               0.096158,              0.0041364,                0.47079,               0.014393,                0.03996,                0.69226,                0.51807,                0.31993,               0.094047,                      0
                      2,                 1.0699,                0.89286,                 1.4208,                0.00468,                      0,                  1e-05,                0.58149,                0.66589,                0.61728,                0.46204,                0.90022,                 0.7004,                 1.4717,                0.00439,                      0,                  1e-05,                0.04004,               0.006589,               0.006589,                0.11585,              0.0011623,                0.11701,                0.11589,              0.0034426,                 0.5089,              0.0096681,                0.01627,                0.10208,            -8.6376e-05,                0.10199,                0.10208,               0.004047,                0.48669,               0.012872,               0.038377,                0.69538,                0.52091,                 0.3223,               0.094522,                    0.1
                      3,                0.88973,                0.69488,                 1.4071,                0.00912,                      0,                  1e-05,                 0.5701,                0.59384,                0.58535,                0.43893,                0.83983,                0.67292,                 1.6057,                0.00859,                      0,                  2e-05,              0.0099086,              0.0097904,              0.0097904,                0.14857,              0.0031902,                0.15176,                0.14867,              0.0062576,                0.51623,              0.0093622,               0.016175,                0.12373,             0.00063462,                0.12437,                0.12375,              0.0045666,                0.51836,               0.010668,                0.03713,                0.69379,                0.52101,                0.32264,               0.094026,                    0.2
                      4,                 0.8035,                0.60501,                 1.4258,                0.01327,                      0,                  1e-05,                0.66162,                0.70048,                0.69836,                0.54762,                0.75832,                0.57094,                 1.4952,                0.01273,                      0,                  3e-05,               0.009703,               0.009703,               0.009703,                0.22715,                0.01753,                0.24468,                0.22769,               0.025117,                 0.5201,              0.0092695,               0.016347,                0.18525,              0.0053558,                0.19061,                0.18542,               0.015527,                0.51871,               0.010684,               0.033281,                0.69553,                0.51988,                0.31573,               0.095637,                    0.3
                      5,                0.78706,                0.58047,                 1.4184,                0.01754,                      0,                  2e-05,                0.68775,                0.69293,                0.72076,                0.56854,                0.74563,                0.54863,                 1.4992,                0.01692,                      0,                  4e-05,               0.009604,               0.009604,               0.009604,                0.23058,               0.025573,                0.25615,                0.23136,               0.031784,                0.52225,              0.0084835,               0.016147,                0.22601,               0.011943,                0.23795,                0.22637,               0.025565,                0.52115,              0.0092482,               0.032077,                0.69178,                0.51961,                0.32459,               0.093355,                    0.4
                      6,                0.77277,                0.56085,                 1.4038,                0.02195,                      0,                  2e-05,                0.68199,                0.67216,                0.69942,                0.54471,                0.76482,                0.58661,                 1.5317,                0.02104,                      0,                  5e-05,               0.009505,               0.009505,               0.009505,                0.23124,               0.035404,                0.26665,                0.23234,               0.038315,                0.51962,               0.008233,               0.017289,                0.22803,                0.01536,                0.24339,                0.22852,               0.027399,                0.51861,              0.0092634,               0.032771,                0.69071,                0.51598,                0.31854,               0.094903,                    0.5
                      7,                0.76451,                0.54631,                  1.406,                0.02612,                      0,                  2e-05,                0.73861,                 0.7351,                0.76807,                0.61844,                0.72168,                0.50736,                 1.4754,                0.02512,                      0,                  5e-05,               0.009406,               0.009406,               0.009406,                0.22824,               0.047296,                0.27554,                 0.2297,               0.045552,                 0.5244,              0.0081281,               0.016595,                0.22698,               0.021148,                0.24813,                0.22764,               0.029687,                 0.5229,              0.0081863,               0.035943,                0.69343,                0.51871,                0.32047,               0.093893,                    0.6
                      8,                0.75819,                0.54292,                 1.4045,                0.03004,                      0,                  3e-05,                0.75101,                0.72924,                0.77188,                0.62301,                0.71657,                0.50052,                 1.4609,                0.02886,                      0,                  6e-05,               0.009307,               0.009307,               0.009307,                0.22442,               0.069456,                0.29387,                0.22654,               0.056344,                 0.5227,              0.0076427,               0.018127,                0.22866,               0.033892,                0.26255,                 0.2297,               0.035383,                0.51957,              0.0071014,               0.043898,                0.69121,                0.51846,                0.32313,                0.09368,                    0.7
                      9,                0.75332,                0.53346,                 1.3942,                0.03347,                      0,                  3e-05,                0.75572,                0.76732,                0.80473,                0.65267,                0.70647,                0.48468,                 1.4544,                0.03164,                      0,                  6e-05,               0.009208,               0.009208,               0.009208,                0.20642,                 0.1203,                0.32673,                0.21012,               0.075513,                0.52335,              0.0070873,               0.020315,                0.22526,               0.059834,                0.28509,                0.22711,               0.045863,                0.52076,              0.0066571,               0.049616,                0.69313,                0.51914,                0.32499,               0.093353,                    0.8
                     10,                0.74826,                 0.5302,                 1.3854,                0.03581,                      0,                  3e-05,                0.72341,                0.74099,                0.77137,                 0.6224,                0.71193,                0.50308,                 1.5009,                0.03387,                      0,                  6e-05,               0.009109,               0.009109,               0.009109,                0.15933,                0.22449,                0.38382,                0.16621,                0.10536,                0.52374,              0.0068687,               0.021427,                0.20896,                 0.1178,                0.32675,                0.21258,               0.066398,                0.52422,               0.006709,               0.056361,                 0.6931,                0.52113,                0.32608,               0.093092,                    0.9
                     11,                0.74423,                0.52249,                 1.3892,                0.03764,                      0,                  3e-05,                0.75163,                0.75512,                0.79317,                0.63731,                0.71343,                0.50344,                 1.5088,                0.03585,                      0,                  6e-05,                0.00901,                0.00901,                0.00901,                0.11564,                0.30937,                  0.425,                0.12502,                 0.1224,                0.52307,              0.0066279,               0.024348,                0.17209,                0.20848,                0.38057,                0.17846,               0.093628,                0.52005,              0.0066671,               0.059264,                0.69495,                0.52101,                0.32102,               0.095068,                      1
                     12,                0.73933,                0.51607,                 1.3877,                0.03622,                      0,                  3e-05,                0.79464,                0.77046,                0.81044,                0.66418,                0.68639,                0.46052,                 1.4758,                0.03418,                      0,                  5e-05,               0.008911,               0.008911,               0.008911,               0.090014,                0.35483,                0.44484,                0.10091,                0.13116,                0.52326,              0.0061031,               0.027764,                0.13718,                0.27814,                0.41532,                0.14576,                0.11063,                0.52141,              0.0072917,               0.071701,                 0.6942,                0.51973,                0.32147,               0.094245,                      1
                     13,                0.73501,                0.51568,                 1.3853,                0.03543,                      0,                  3e-05,                0.76553,                0.77548,                 0.8096,                0.66118,                0.69118,                0.46386,                 1.4823,                0.03366,                      0,                  5e-05,               0.008812,               0.008812,               0.008812,               0.077994,                0.37221,                 0.4502,               0.089494,                0.13458,                0.52295,              0.0058001,               0.030515,                0.11331,                0.32476,                0.43807,                 0.1234,                0.12043,                0.52291,              0.0082538,               0.081747,                0.69492,                0.52032,                0.32212,               0.094499,                      1
                     14,                0.73066,                0.51066,                 1.3797,                0.03463,                      0,                  4e-05,                 0.7551,                0.74529,                0.78735,                0.64338,                0.69112,                0.47433,                 1.4917,                0.03299,                      0,                  5e-05,               0.008713,               0.008713,               0.008713,               0.070081,                0.38681,                0.45689,               0.081963,                0.13754,                 0.5232,               0.005727,               0.032475,               0.096326,                0.35763,                0.45395,                0.10737,                0.12636,                0.52135,              0.0096667,               0.091388,                  0.695,                0.51955,                0.31969,               0.095327,                      1
                     15,                0.73073,                0.50739,                 1.3826,                0.03406,                      0,                  4e-05,                0.78933,                 0.7713,                0.81847,                0.67311,                0.68577,                0.45642,                 1.4598,                 0.0323,                      0,                  5e-05,               0.008614,               0.008614,               0.008614,               0.065528,                0.39591,                0.46144,               0.077618,                0.13906,                0.52261,               0.005351,               0.033141,               0.084521,                0.38116,                0.46568,                0.09622,                0.13056,                 0.5224,               0.010601,               0.097071,                0.69397,                0.52098,                0.32659,               0.092129,                      1
                     16,                 0.7259,                 0.5014,                 1.3797,                0.03351,                      0,                  4e-05,                0.78449,                0.79064,                0.83443,                0.68298,                0.68235,                0.45769,                 1.4388,                0.03194,                      0,                  5e-05,               0.008515,               0.008515,               0.008515,                0.06195,                0.40323,                0.46518,               0.074284,                0.14052,                0.52251,              0.0052278,               0.035778,               0.074965,                0.40183,                0.47679,               0.087313,                0.13404,                0.52254,               0.011654,                0.10117,                0.69233,                0.51997,                0.32144,               0.094417,                      1
                     17,                 0.7234,                0.49875,                 1.3854,                 0.0333,                      0,                  4e-05,                0.77215,                0.76072,                0.80324,                0.65409,                0.69167,                0.47281,                 1.4958,                0.03172,                      0,                  5e-05,               0.008416,               0.008416,               0.008416,               0.058905,                0.40474,                0.46364,               0.071333,                0.14102,                0.52531,              0.0050542,               0.036948,               0.067806,                0.41322,                0.48102,               0.080561,                0.13649,                0.51981,               0.012995,                0.10459,                0.69206,                0.52021,                0.32377,                0.09321,                      1
                     18,                 0.7183,                0.49489,                 1.3777,                0.03317,                      0,                  4e-05,                0.79876,                0.78829,                0.83278,                0.68321,                0.67631,                0.44522,                 1.4726,                0.03131,                      0,                  5e-05,               0.008317,               0.008317,               0.008317,               0.057232,                 0.4053,                0.46254,               0.069844,                0.14117,                0.52197,              0.0052999,               0.037461,               0.062525,                0.42153,                0.48406,               0.075721,                0.13901,                0.52318,               0.014805,                0.10548,                0.68909,                0.51668,                0.31885,               0.094386,                      1
