                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,p2/P4_gder_attention_weight,    p2/P4_gder_gate_std,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/P5_gder_attention_weight,    p2/P5_gder_gate_std,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,p2/prompt_warmup_factor
                      1,                 1.3423,                 1.4815,                 1.6094,                      0,                      0,                      0,                0.46032,                0.54179,                0.48504,                0.36301,                0.88051,                0.80386,                 1.5309,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.079886,             -0.0029073,               0.076978,               0.079796,              0.0056003,                0.50007,             0.00010759,                0.49993,               8.27e-05,               0.092613,            -0.00063293,                0.09198,               0.092593,              0.0020731,                0.50001,             1.8128e-05,                0.49999,             1.3038e-05,                      0
                      2,                 1.0669,                0.88976,                 1.4211,                0.00479,                      0,                      0,                0.56746,                0.65378,                0.61739,                0.46621,                0.85975,                  0.682,                 1.4715,                0.00445,                      0,                      0,                0.04004,               0.006589,               0.006589,               0.093348,             -0.0022275,               0.091121,                0.09328,              0.0045619,                0.50024,             0.00033876,                0.49976,             0.00024032,               0.096834,            -0.00049133,               0.096342,               0.096818,              0.0020563,                0.50004,             5.5989e-05,                0.49996,             3.5363e-05,                    0.1
                      3,                0.88624,                0.69635,                 1.4089,                0.00924,                      0,                      0,                0.55566,                 0.6181,                0.60961,                0.46313,                0.83044,                0.66055,                  1.629,                0.00868,                      0,                      0,              0.0099086,              0.0097904,              0.0097904,                0.13299,             0.00022956,                0.13322,                  0.133,              0.0031826,                0.50033,             0.00044128,                0.49967,             0.00029101,                 0.1103,            -0.00030599,                0.10999,                0.11029,              0.0019468,                0.50007,             8.2241e-05,                0.49993,               4.88e-05,                    0.2
                      4,                0.80375,                0.60531,                 1.4286,                0.01347,                      0,                      0,                0.60353,                0.68715,                0.67715,                0.52671,                0.76772,                0.59879,                 1.5321,                0.01286,                      0,                      0,               0.009703,               0.009703,               0.009703,                0.21027,               0.008859,                0.21913,                0.21054,               0.014842,                0.50031,             0.00042617,                0.49969,             0.00029022,                 0.1312,             8.0064e-05,                0.13128,                0.13121,               0.002169,                0.50007,             8.7418e-05,                0.49993,             5.2777e-05,                    0.3
                      5,                0.78921,                0.58148,                 1.4171,                0.01772,                      0,                      0,                 0.6881,                0.69478,                0.71592,                0.56337,                0.75592,                0.55106,                 1.5215,                0.01716,                      0,                      0,               0.009604,               0.009604,               0.009604,                0.23231,               0.017696,                0.25001,                0.23285,               0.023407,                 0.5003,              0.0004201,                 0.4997,             0.00029023,                0.16103,             0.00077382,                0.16181,                0.16106,              0.0043666,                0.50007,             8.6587e-05,                0.49993,             5.5236e-05,                    0.4
                      6,                 0.7731,                0.56105,                  1.404,                0.02209,                      0,                      0,                0.70439,                0.68299,                0.72209,                0.56449,                0.75888,                0.57051,                 1.5009,                0.02139,                      0,                      0,               0.009505,               0.009505,               0.009505,                 0.2342,               0.027516,                0.26172,                0.23506,               0.029797,                 0.5003,             0.00041612,                 0.4997,              0.0002859,                0.21404,              0.0045527,                 0.2186,                0.21419,               0.014506,                0.50007,             9.0018e-05,                0.49993,             5.9951e-05,                    0.5
                      7,                0.76468,                 0.5476,                 1.4053,                0.02629,                      0,                      0,                0.72769,                0.74594,                0.76448,                 0.6196,                0.72161,                  0.504,                 1.4986,                0.02529,                      0,                      0,               0.009406,               0.009406,               0.009406,                0.23201,               0.039831,                0.27184,                0.23323,                0.03753,                 0.5003,             0.00041457,                 0.4997,             0.00028506,                0.22792,              0.0077014,                0.23562,                0.22816,               0.018813,                0.50007,             9.4149e-05,                0.49993,             6.4305e-05,                    0.6
                      8,                0.75895,                0.54443,                 1.4036,                0.03034,                      0,                      0,                 0.7622,                0.74517,                0.77416,                0.62424,                0.71923,                0.49334,                 1.4417,                0.02917,                      0,                      0,               0.009307,               0.009307,               0.009307,                0.22937,               0.058358,                0.28772,                0.23115,               0.048702,                 0.5003,             0.00041636,                 0.4997,             0.00028734,                0.23128,               0.011509,                0.24279,                0.23163,               0.021711,                0.50007,              9.696e-05,                0.49993,             6.7301e-05,                    0.7
                      9,                0.75386,                0.53422,                 1.3909,                0.03416,                      0,                      0,                0.74491,                0.74281,                0.76836,                0.61974,                0.71721,                0.49269,                 1.4894,                0.03269,                      0,                      0,               0.009208,               0.009208,               0.009208,                0.21889,                0.09285,                0.31173,                0.22174,               0.063837,                 0.5003,             0.00041705,                 0.4997,             0.00028696,                0.23134,               0.015755,                 0.2471,                0.23183,               0.024301,                0.50007,             0.00010052,                0.49993,             7.0568e-05,                    0.8
                     10,                0.74861,                0.53093,                 1.3858,                0.03707,                      0,                      0,                0.69136,                0.71637,                0.74317,                0.58843,                0.74138,                 0.5372,                 1.5175,                0.03524,                      0,                      0,               0.009109,               0.009109,               0.009109,                0.18356,                0.18213,                0.36569,                0.18914,               0.093723,                 0.5003,             0.00041792,                 0.4997,             0.00028753,                0.23183,               0.023548,                0.25538,                0.23256,               0.028367,                0.50007,             0.00010333,                0.49993,             7.3307e-05,                    0.9
