                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,p2/P4_gder_attention_weight,    p2/P4_gder_gate_std,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                      1,                 1.3076,                 1.4058,                 1.5508,                      0,                      0,                      0,                0.42411,                0.56019,                0.43817,                 0.3198,                0.93144,                0.83404,                 1.5359,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.093479,            -8.3757e-05,               0.093395,               0.093477,             0.00087107,                0.50032,             0.00040618,                0.49968,             0.00024768,                0.10895,             0.00086682,                0.10982,                0.10898,              0.0035392,                      0
                      2,                 1.0642,                0.88584,                 1.4402,                0.00471,                      0,                      0,                0.53307,                0.65726,                0.58254,                0.43852,                0.88556,                0.70567,                 1.4546,                0.00442,                      0,                      0,                0.04004,               0.006589,               0.006589,                0.10086,            -5.6847e-05,                0.10081,                0.10086,             0.00091849,                0.50094,              0.0011463,                0.49906,             0.00064899,                0.11314,             0.00076749,                0.11391,                0.11317,              0.0037239,                    0.1
                      3,                 0.9211,                0.73075,                 1.4301,                0.00923,                      0,                      0,                0.59761,                0.65991,                0.63273,                 0.4843,                0.82729,                0.63797,                 1.6263,                0.00868,                      0,                      0,              0.0099086,              0.0097904,              0.0097904,                0.12189,            -1.7089e-05,                0.12187,                0.12189,              0.0010257,                0.50115,              0.0014027,                0.49885,             0.00079744,                 0.1288,              0.0013888,                0.13019,                0.12884,              0.0052441,                    0.2
                      4,                0.85036,                0.65977,                 1.4436,                0.01351,                      0,                      0,                0.58762,                0.63193,                0.62157,                 0.4713,                0.82027,                0.68922,                 1.5561,                0.01288,                      0,                      0,               0.009703,               0.009703,               0.009703,                0.15167,             0.00057838,                0.15225,                0.15169,              0.0013985,                0.50099,              0.0012978,                0.49901,             0.00083781,                0.19593,              0.0083698,                 0.2043,                0.19619,               0.020555,                    0.3
                      5,                0.83362,                0.63466,                 1.4338,                0.01769,                      0,                      0,                0.70267,                0.71217,                 0.7253,                0.56651,                0.77094,                0.56408,                 1.5339,                0.01697,                      0,                      0,               0.009604,               0.009604,               0.009604,                0.20458,              0.0067785,                0.21135,                0.20478,              0.0082219,                0.50091,              0.0012602,                0.49909,             0.00087312,                0.22515,                0.01707,                0.24222,                0.22567,               0.028599,                    0.4
                      6,                0.81612,                0.61227,                 1.4187,                0.02205,                      0,                      0,                0.69426,                0.71344,                0.72007,                0.56307,                0.76446,                0.57088,                 1.5065,                0.02107,                      0,                      0,               0.009505,               0.009505,               0.009505,                0.23822,               0.019595,                0.25782,                0.23883,               0.020182,                 0.5009,              0.0012731,                 0.4991,             0.00089724,                0.22816,               0.028411,                0.25657,                0.22905,               0.033837,                    0.5
                      7,                0.80786,                0.59797,                 1.4177,                0.02615,                      0,                      0,                0.68237,                0.69459,                0.71698,                0.55795,                0.76794,                0.57151,                  1.547,                0.02508,                      0,                      0,               0.009406,               0.009406,               0.009406,                0.23611,               0.033107,                0.26921,                0.23713,               0.030048,                 0.5009,               0.001297,                 0.4991,             0.00093726,                0.22548,               0.046567,                0.27205,                0.22693,               0.040443,                    0.6
                      8,                0.80199,                0.59238,                 1.4203,                0.02991,                      0,                      0,                0.70755,                0.71598,                0.72135,                0.57264,                0.75468,                0.54173,                 1.4522,                0.02855,                      0,                      0,               0.009307,               0.009307,               0.009307,                 0.2324,               0.054338,                0.28674,                0.23406,               0.044414,                0.50087,              0.0013201,                0.49913,             0.00098944,                0.21555,                0.09133,                0.30688,                0.21835,               0.056767,                    0.7
                      9,                0.79695,                0.58209,                 1.4066,                0.03341,                      0,                      0,                0.74184,                0.73833,                0.77291,                0.61591,                0.73791,                0.51345,                 1.4689,                0.03184,                      0,                      0,               0.009208,               0.009208,               0.009208,                0.22358,               0.081858,                0.30544,                0.22609,               0.061069,                0.50086,              0.0013327,                0.49914,              0.0010221,                0.18703,                0.16362,                0.35065,                0.19207,               0.083657,                    0.8
                     10,                0.79221,                0.57924,                 1.4009,                0.03659,                      0,                      0,                0.70641,                 0.7188,                0.73937,                0.59138,                0.74423,                0.53255,                  1.485,                0.03477,                      0,                      0,               0.009109,               0.009109,               0.009109,                0.20907,                0.11827,                0.32734,                0.21269,               0.080518,                0.50085,              0.0013645,                0.49915,               0.001068,                0.15873,                0.22503,                0.38376,                0.16565,                    0.1,                    0.9
