                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,p2/P4_gder_attention_weight,    p2/P4_gder_gate_std,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                      1,                 1.3286,                 1.4671,                 1.6085,                      0,                      0,                      0,                0.47433,                0.53986,                0.49223,                0.37281,                0.87168,                0.85168,                 1.4951,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.079775,             -0.0028094,               0.076965,               0.079688,              0.0056102,                0.50007,             0.00010661,                0.49993,             8.1511e-05,               0.092613,            -0.00063139,               0.091982,               0.092593,              0.0020755,                      0
                      2,                 1.0642,                0.88913,                 1.4232,                0.00479,                      0,                      0,                0.57024,                0.66342,                0.61613,                0.46413,                0.83525,                0.66864,                 1.4552,                0.00445,                      0,                      0,                0.04004,               0.006589,               0.006589,               0.093131,              -0.002125,               0.091005,               0.093065,              0.0046217,                0.50024,             0.00034044,                0.49976,             0.00024323,               0.096803,            -0.00049848,               0.096304,               0.096787,              0.0020627,                    0.1
                      3,                0.88462,                0.69681,                 1.4099,                0.00924,                      0,                      0,                0.59714,                0.63011,                0.63967,                  0.488,                0.80763,                0.62335,                 1.5428,                0.00868,                      0,                      0,              0.0099086,              0.0097904,              0.0097904,                0.13297,             0.00020426,                0.13318,                0.13298,              0.0032101,                0.50033,              0.0004465,                0.49967,             0.00029922,                0.11031,            -0.00030654,                   0.11,                 0.1103,              0.0019609,                    0.2
                      4,                0.80307,                0.60457,                  1.426,                0.01346,                      0,                      0,                0.66256,                0.69672,                0.69592,                0.54165,                0.75969,                0.57162,                 1.4953,                0.01297,                      0,                      0,               0.009703,               0.009703,               0.009703,                0.21056,              0.0095228,                0.22008,                0.21085,               0.015803,                0.50031,             0.00043522,                0.49969,               0.000303,                0.13135,             7.5613e-05,                0.13142,                0.13135,              0.0022097,                    0.3
                      5,                0.78853,                0.58165,                 1.4169,                0.01771,                      0,                      0,                0.68658,                0.72235,                 0.7375,                0.58814,                0.73445,                0.53197,                 1.4957,                0.01701,                      0,                      0,               0.009604,               0.009604,               0.009604,                0.23249,               0.017788,                0.25027,                0.23303,               0.023937,                 0.5003,             0.00042708,                 0.4997,              0.0003007,                0.16161,             0.00083155,                0.16244,                0.16163,              0.0045264,                    0.4
                      6,                0.77301,                0.56127,                  1.402,                 0.0221,                      0,                      0,                0.73797,                 0.7426,                0.76945,                0.61726,                  0.729,                0.51391,                 1.4702,                0.02118,                      0,                      0,               0.009505,               0.009505,               0.009505,                0.23409,               0.026837,                0.26093,                0.23493,               0.029861,                 0.5003,             0.00042249,                 0.4997,             0.00029593,                0.21463,              0.0042925,                0.21892,                0.21476,               0.014849,                    0.5
                      7,                0.76462,                0.54684,                 1.4046,                 0.0263,                      0,                      0,                0.75062,                0.75702,                0.78279,                 0.6328,                0.71605,                0.50644,                 1.4627,                0.02526,                      0,                      0,               0.009406,               0.009406,               0.009406,                0.23193,               0.039041,                0.27097,                0.23314,               0.036889,                 0.5003,             0.00042021,                 0.4997,             0.00029331,                0.22811,              0.0075138,                0.23562,                0.22834,               0.018806,                    0.6
                      8,                0.75815,                0.54326,                 1.4043,                0.03031,                      0,                      0,                0.75884,                0.75062,                0.77726,                0.62691,                0.71918,                0.48708,                   1.47,                0.02912,                      0,                      0,               0.009307,               0.009307,               0.009307,                0.22923,               0.060613,                0.28984,                0.23108,                0.04934,                 0.5003,             0.00042084,                 0.4997,             0.00029427,                0.23088,               0.011079,                0.24195,                0.23122,               0.021262,                    0.7
                      9,                0.75403,                0.53455,                 1.3924,                0.03401,                      0,                      0,                0.76048,                0.75922,                0.79546,                0.64211,                0.71133,                0.48849,                 1.4776,                0.03232,                      0,                      0,               0.009208,               0.009208,               0.009208,                0.21573,                0.10305,                0.31877,                0.21889,               0.066789,                 0.5003,             0.00042118,                 0.4997,             0.00029605,                0.23163,               0.016525,                0.24816,                0.23214,               0.024476,                    0.8
                     10,                0.74936,                0.53089,                 1.3848,                 0.0368,                      0,                      0,                 0.7513,                0.75609,                0.77895,                0.63122,                0.70448,                0.48735,                 1.4879,                0.03496,                      0,                      0,               0.009109,               0.009109,               0.009109,                0.17285,                0.20333,                0.37618,                0.17908,               0.099292,                 0.5003,             0.00042156,                 0.4997,             0.00029656,                0.23222,               0.025048,                0.25727,                0.23299,               0.028656,                    0.9
