                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                      1,                 1.3514,                 1.5067,                 1.6006,                      0,                      0,                      0,                0.38806,                0.53764,                0.45499,                0.30242,                 1.2454,                 1.2418,                 1.4811,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.079932,             -0.0029521,                0.07698,               0.079841,               0.005623,               0.092613,            -0.00063202,               0.091981,               0.092594,              0.0020782,                      0
                      2,                 1.0617,                0.88941,                 1.4163,                0.00479,                      0,                      0,                 0.5691,                0.66616,                0.61792,                0.46696,                0.84171,                0.66396,                  1.462,                0.00445,                      0,                      0,                0.04004,               0.006589,               0.006589,               0.093239,             -0.0021756,               0.091063,               0.093172,              0.0045542,               0.096818,            -0.00050099,               0.096317,               0.096803,              0.0020659,                    0.1
                      3,                0.88673,                0.69454,                 1.4075,                0.00924,                      0,                      0,                0.58717,                0.61378,                 0.6134,                 0.4619,                0.82449,                 0.6587,                  1.609,                0.00868,                      0,                      0,              0.0099086,              0.0097904,              0.0097904,                0.13284,             0.00020471,                0.13305,                0.13285,              0.0031873,                0.11027,             -0.0003122,                0.10996,                0.11026,              0.0019585,                    0.2
                      4,                 0.8049,                0.60569,                 1.4263,                0.01346,                      0,                      0,                0.65758,                0.68019,                0.68603,                0.53635,                0.76643,                0.59017,                 1.5374,                0.01291,                      0,                      0,               0.009703,               0.009703,               0.009703,                 0.2096,               0.009327,                0.21893,                0.20988,                 0.0154,                0.13106,             8.5884e-05,                0.13114,                0.13106,              0.0021663,                    0.3
                      5,                0.78874,                0.58205,                 1.4182,                0.01772,                      0,                      0,                0.68701,                0.72822,                0.73688,                0.58479,                 0.7419,                0.53637,                 1.4947,                0.01702,                      0,                      0,               0.009604,               0.009604,               0.009604,                0.23255,               0.017725,                0.25028,                0.23309,               0.023787,                0.16105,             0.00076797,                0.16182,                0.16107,                0.00437,                    0.4
                      6,                0.77312,                0.56135,                 1.4016,                 0.0221,                      0,                      0,                0.70064,                0.73104,                0.74672,                0.58885,                0.74239,                 0.5563,                  1.519,                0.02117,                      0,                      0,               0.009505,               0.009505,               0.009505,                0.23407,               0.026788,                0.26086,                0.23491,               0.029151,                  0.214,              0.0046507,                0.21865,                0.21415,               0.014479,                    0.5
                      7,                0.76431,                0.54775,                 1.4043,                0.02629,                      0,                      0,                0.73706,                0.74041,                0.77833,                0.63013,                 0.7213,                0.50602,                 1.4787,                0.02535,                      0,                      0,               0.009406,               0.009406,               0.009406,                 0.2319,               0.039465,                0.27137,                0.23312,               0.036867,                 0.2284,              0.0077769,                0.23618,                0.22864,               0.019129,                    0.6
                      8,                  0.759,                0.54334,                 1.4059,                0.03031,                      0,                      0,                0.69766,                0.73253,                0.74529,                0.59566,                0.72997,                0.52637,                 1.4947,                0.02912,                      0,                      0,               0.009307,               0.009307,               0.009307,                0.22913,               0.060809,                0.28994,                0.23099,               0.049296,                0.23023,               0.010293,                0.24052,                0.23055,                0.02092,                    0.7
                      9,                0.75452,                0.53313,                 1.3913,                0.03405,                      0,                      0,                0.74904,                0.75206,                0.79014,                0.63793,                0.71835,                0.49426,                 1.4572,                0.03245,                      0,                      0,               0.009208,               0.009208,               0.009208,                0.21625,                0.10129,                0.31755,                0.21936,               0.066803,                0.23127,               0.015228,                 0.2465,                0.23174,                0.02386,                    0.8
                     10,                0.74888,                0.53208,                 1.3853,                0.03683,                      0,                      0,                0.73052,                0.74841,                0.77132,                0.62309,                0.71551,                0.50541,                 1.5205,                0.03493,                      0,                      0,               0.009109,               0.009109,               0.009109,                0.17384,                0.20126,                0.37509,                   0.18,               0.098958,                0.23213,               0.023596,                0.25572,                0.23285,               0.028166,                    0.9
