                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                      1,                 1.3419,                 1.4652,                 1.6111,                      0,                      0,                      0,                0.42096,                0.55196,                 0.4795,                0.35633,                 0.8883,                0.81303,                 1.5712,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.088857,             -0.0017075,                0.08715,               0.088804,              0.0030932,                0.10223,             8.4013e-05,                0.10232,                0.10224,              0.0018974,                      0
                      2,                 1.0778,                0.89811,                 1.4279,                0.00474,                      0,                      0,                0.55543,                0.65207,                0.60745,                  0.457,                0.85497,                0.68767,                  1.473,                0.00443,                      0,                      0,                0.04004,               0.006589,               0.006589,               0.098643,             -0.0013112,               0.097332,               0.098603,              0.0027353,                0.10628,             0.00011413,                0.10639,                0.10628,              0.0019054,                    0.1
                      3,                 0.9003,                0.69514,                 1.4139,                0.00922,                      0,                      0,                0.56337,                0.61572,                0.61316,                0.45757,                0.84164,                0.66327,                 1.6012,                0.00866,                      0,                      0,              0.0099086,              0.0097904,              0.0097904,                0.13088,             0.00017728,                0.13106,                0.13089,              0.0021107,                0.11982,             0.00030188,                0.12012,                0.11983,              0.0020024,                    0.2
                      4,                0.81753,                0.60929,                 1.4329,                 0.0134,                      0,                      0,                 0.6208,                0.61093,                0.62122,                0.46934,                0.82702,                0.63494,                 1.5759,                0.01291,                      0,                      0,               0.009703,               0.009703,               0.009703,                0.20799,              0.0087384,                0.21673,                0.20826,               0.014652,                0.15754,              0.0027547,                0.16029,                0.15762,              0.0069793,                    0.3
                      5,                0.80108,                0.58541,                  1.423,                 0.0176,                      0,                      0,                0.70702,                0.73911,                0.74873,                0.58732,                0.74174,                0.52255,                 1.4936,                0.01696,                      0,                      0,               0.009604,               0.009604,               0.009604,                0.23137,               0.016988,                0.24836,                0.23188,               0.023095,                0.22451,                0.01262,                0.23713,                0.22489,               0.024177,                    0.4
                      6,                0.78547,                0.56452,                 1.4082,                0.02203,                      0,                      0,                0.69829,                0.73547,                0.75266,                0.59057,                0.75645,                0.53161,                 1.4937,                0.02112,                      0,                      0,               0.009505,               0.009505,               0.009505,                0.23327,               0.026042,                0.25931,                0.23408,               0.029142,                0.22882,               0.018275,                0.24709,                0.22939,               0.027642,                    0.5
                      7,                0.77805,                0.55178,                 1.4085,                0.02619,                      0,                      0,                0.74131,                0.74813,                0.77111,                0.61382,                0.73209,                 0.5133,                 1.4833,                0.02525,                      0,                      0,               0.009406,               0.009406,               0.009406,                0.23115,               0.038048,                 0.2692,                0.23232,               0.036734,                0.22749,               0.026509,                  0.254,                0.22831,                0.03091,                    0.6
                      8,                0.77157,                0.54858,                 1.4083,                 0.0301,                      0,                      0,                0.76663,                0.73729,                0.78332,                0.62518,                0.72855,                0.49203,                 1.4708,                0.02889,                      0,                      0,               0.009307,               0.009307,               0.009307,                0.22838,               0.056653,                0.28503,                0.23011,               0.048136,                0.22631,               0.048734,                0.27504,                 0.2278,               0.039058,                    0.7
                      9,                0.76576,                0.53829,                 1.3973,                0.03342,                      0,                      0,                0.76737,                0.76618,                 0.8032,                0.64173,                0.71906,                0.48783,                 1.4775,                0.03148,                      0,                      0,               0.009208,               0.009208,               0.009208,                0.21609,               0.094438,                0.31053,                0.21899,               0.065593,                 0.2049,                0.11958,                0.32448,                0.20858,               0.062343,                    0.8
                     10,                0.76123,                0.53534,                 1.3905,                0.03574,                      0,                      0,                0.70867,                0.74912,                 0.7664,                0.61016,                 0.7288,                0.51362,                 1.4874,                0.03377,                      0,                      0,               0.009109,               0.009109,               0.009109,                0.18355,                0.17369,                0.35723,                0.18886,               0.096896,                0.15448,                0.23276,                0.38724,                0.16163,               0.096404,                    0.9
