                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3189,                 1.4425,                 1.5906,                 0.3592,                0.60372,                0.42346,                0.31618,                0.92601,                0.80649,                 1.5006,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0482,                0.86289,                 1.4233,                0.56194,                0.66711,                0.60906,                0.46053,                0.85402,                0.63727,                 1.4789,                0.04004,               0.006589,               0.006589
                      3,                0.88475,                0.69409,                  1.409,                0.58697,                0.64889,                0.63705,                0.49088,                 0.7923,                0.61309,                 1.5368,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80553,                0.60888,                 1.4268,                0.70968,                 0.6925,                0.71756,                0.56578,                 0.7573,                0.55994,                 1.5164,               0.009703,               0.009703,               0.009703
                      5,                0.78975,                0.58495,                 1.4182,                0.69712,                0.63961,                0.67567,                0.52174,                0.80273,                0.60364,                 1.6666,               0.009604,               0.009604,               0.009604
                      6,                0.77379,                0.56419,                 1.4044,                0.69603,                0.69594,                0.70964,                0.56203,                0.75413,                0.55148,                 1.5245,               0.009505,               0.009505,               0.009505
                      7,                0.76602,                0.54986,                 1.4043,                0.74962,                0.73217,                0.75836,                0.60496,                0.73161,                0.52756,                 1.4936,               0.009406,               0.009406,               0.009406
                      8,                0.75969,                0.54639,                  1.406,                0.73414,                0.71617,                0.75125,                 0.6005,                0.73339,                0.54067,                 1.4888,               0.009307,               0.009307,               0.009307
                      9,                 0.7559,                0.53605,                 1.3917,                0.78641,                0.77149,                0.80755,                0.65423,                0.70788,                0.47784,                  1.447,               0.009208,               0.009208,               0.009208
                     10,                 0.7508,                0.53293,                 1.3867,                0.77625,                0.75875,                0.80202,                0.64796,                0.70916,                0.48828,                 1.4756,               0.009109,               0.009109,               0.009109
                     11,                0.74597,                0.52516,                 1.3886,                0.76604,                0.76115,                0.80114,                0.64615,                0.70681,                0.49344,                 1.5201,                0.00901,                0.00901,                0.00901
                     12,                0.74151,                0.51926,                 1.3851,                0.76485,                0.75885,                0.79656,                0.65117,                0.69337,                0.47509,                 1.4559,               0.008911,               0.008911,               0.008911
                     13,                0.73721,                0.51782,                 1.3849,                0.80543,                0.76693,                0.82535,                0.67225,                0.69633,                0.46546,                 1.4628,               0.008812,               0.008812,               0.008812
                     14,                  0.733,                0.51471,                 1.3811,                0.78867,                0.72731,                0.79204,                0.64031,                 0.7119,                0.48835,                 1.4945,               0.008713,               0.008713,               0.008713
                     15,                0.73199,                0.50973,                 1.3822,                0.81113,                0.77418,                0.83036,                0.67973,                0.68829,                0.46277,                 1.4628,               0.008614,               0.008614,               0.008614
                     16,                 0.7278,                0.50266,                  1.379,                0.78542,                0.78305,                0.81919,                0.66485,                0.69604,                0.46875,                   1.49,               0.008515,               0.008515,               0.008515
                     17,                0.72598,                0.50288,                 1.3809,                0.77561,                0.76824,                0.81386,                0.66079,                0.70078,                0.47271,                 1.4867,               0.008416,               0.008416,               0.008416
                     18,                0.72032,                0.49583,                 1.3733,                0.77018,                0.79024,                0.82183,                0.66916,                0.69263,                0.45818,                 1.4781,               0.008317,               0.008317,               0.008317
                     19,                0.71882,                0.49395,                 1.3813,                0.80395,                0.78249,                0.83066,                0.68205,                 0.6876,                0.45146,                 1.4744,               0.008218,               0.008218,               0.008218
                     20,                0.71976,                 0.4949,                 1.3769,                 0.8044,                0.79065,                0.83624,                0.68783,                 0.6805,                0.44982,                 1.4586,               0.008119,               0.008119,               0.008119
                     21,                0.71846,                  0.489,                 1.3804,                0.79683,                0.76592,                0.82206,                0.66884,                0.69892,                0.46225,                 1.4961,                0.00802,                0.00802,                0.00802
                     22,                0.71008,                0.48764,                 1.3774,                0.80369,                0.80137,                0.84149,                0.69432,                 0.6742,                0.43511,                 1.4583,               0.007921,               0.007921,               0.007921
                     23,                0.71268,                0.48652,                 1.3822,                0.83205,                0.77554,                0.84587,                0.69791,                0.67369,                0.43312,                 1.4664,               0.007822,               0.007822,               0.007822
                     24,                0.71014,                0.48328,                 1.3776,                0.81439,                0.78281,                0.84138,                0.69291,                0.67429,                 0.4338,                 1.4648,               0.007723,               0.007723,               0.007723
                     25,                0.70692,                0.47527,                 1.3778,                0.80974,                0.80584,                0.84817,                0.69973,                0.67193,                0.43005,                 1.4451,               0.007624,               0.007624,               0.007624
                     26,                0.70316,                0.47191,                 1.3798,                0.79637,                0.81917,                0.85215,                0.70513,                0.66671,                0.42234,                 1.4521,               0.007525,               0.007525,               0.007525
                     27,                0.69851,                0.47126,                 1.3714,                0.79866,                0.81014,                0.84684,                 0.6994,                0.66819,                0.42503,                  1.452,               0.007426,               0.007426,               0.007426
                     28,                0.69889,                 0.4693,                 1.3716,                0.81719,                0.80456,                  0.853,                0.70594,                 0.6666,                0.42295,                 1.4463,               0.007327,               0.007327,               0.007327
                     29,                0.69997,                0.46874,                 1.3765,                0.81134,                0.82114,                0.85327,                0.70647,                0.66511,                 0.4208,                 1.4507,               0.007228,               0.007228,               0.007228
                     30,                0.69709,                 0.4667,                 1.3717,                0.82745,                0.79181,                0.84557,                0.70174,                0.66681,                0.42313,                 1.4576,               0.007129,               0.007129,               0.007129
                     31,                0.69977,                0.46608,                 1.3779,                0.84869,                0.79988,                0.86307,                0.71886,                0.66153,                0.41443,                 1.4575,                0.00703,                0.00703,                0.00703
