class,dimension,bucket,count,class_share
bus,angle,0-15,946,0.21177524065368256
bus,angle,15-30,415,0.09290351466308484
bus,angle,30-60,951,0.21289456010745467
bus,angle,60-90,2155,0.4824266845757779
bus,area,large,4306,0.9639579135885382
bus,area,medium,160,0.03581822252070741
bus,area,small,1,0.00022386389075442132
bus,aspect_ratio,compact_<2,204,0.04566823371390195
bus,aspect_ratio,elongated_2-4,3019,0.675845086187598
bus,aspect_ratio,very_elongated_>=4,1244,0.27848668009850014
bus,density,dense_>=4,56,0.012536377882247594
bus,density,moderate_1-3,2521,0.5643608685918962
bus,density,sparse_0,1890,0.4231027535258563
bus,overlap_proxy,isolated_<0.01,3889,0.8706066711439445
bus,overlap_proxy,overlap_>=0.10,80,0.017909111260353706
bus,overlap_proxy,touching_0.01-0.10,498,0.11148421759570182
car,angle,0-15,40317,0.2939713881556881
car,angle,15-30,11949,0.08712612835955842
car,angle,30-60,26187,0.19094249923439255
car,angle,60-90,58693,0.4279599842503609
car,area,large,31561,0.23012701792250595
car,area,medium,104092,0.7589867732197804
car,area,small,1493,0.010886208857713678
car,aspect_ratio,compact_<2,44146,0.3218905400084581
car,aspect_ratio,elongated_2-4,92595,0.6751564026657723
car,aspect_ratio,very_elongated_>=4,405,0.0029530573257696177
car,density,dense_>=4,13241,0.09654674580374199
car,density,moderate_1-3,85858,0.6260335700640194
car,density,sparse_0,38047,0.2774196841322386
car,overlap_proxy,isolated_<0.01,129771,0.9462251906727137
car,overlap_proxy,overlap_>=0.10,899,0.006555058113251571
car,overlap_proxy,touching_0.01-0.10,6476,0.047219751214034676
freight_car,angle,0-15,1171,0.2313314895298301
freight_car,angle,15-30,549,0.10845515606479653
freight_car,angle,30-60,991,0.19577242196760175
freight_car,angle,60-90,2351,0.4644409324377716
freight_car,area,large,3847,0.7599762939549585
freight_car,area,medium,1198,0.23666534966416436
freight_car,area,small,17,0.0033583563808771235
freight_car,aspect_ratio,compact_<2,739,0.14598972738048202
freight_car,aspect_ratio,elongated_2-4,3072,0.6068747530620309
freight_car,aspect_ratio,very_elongated_>=4,1251,0.24713551955748717
freight_car,density,dense_>=4,373,0.07368629000395101
freight_car,density,moderate_1-3,2659,0.5252864480442513
freight_car,density,sparse_0,2030,0.4010272619517977
freight_car,overlap_proxy,isolated_<0.01,4409,0.8709996048992493
freight_car,overlap_proxy,overlap_>=0.10,181,0.03575661793757408
freight_car,overlap_proxy,touching_0.01-0.10,472,0.09324377716317661
truck,angle,0-15,2334,0.2696084093796927
truck,angle,15-30,1082,0.12498556081783528
truck,angle,30-60,1829,0.2112741134342151
truck,angle,60-90,3412,0.3941319163682569
truck,area,large,6589,0.761118170266836
truck,area,medium,2067,0.23876631627584613
truck,area,small,1,0.00011551345731777752
truck,aspect_ratio,compact_<2,925,0.10684994801894421
truck,aspect_ratio,elongated_2-4,5460,0.6307034769550652
truck,aspect_ratio,very_elongated_>=4,2272,0.2624465750259905
truck,density,dense_>=4,519,0.059951484347926534
truck,density,moderate_1-3,4700,0.5429132493935543
truck,density,sparse_0,3438,0.39713526625851914
truck,overlap_proxy,isolated_<0.01,7294,0.8425551576758692
truck,overlap_proxy,overlap_>=0.10,213,0.02460436640868661
truck,overlap_proxy,touching_0.01-0.10,1150,0.13284047591544415
van,angle,0-15,1506,0.3517048108360579
van,angle,15-30,449,0.10485754320411023
van,angle,30-60,909,0.2122839794488557
van,angle,60-90,1418,0.33115366651097616
van,area,large,1969,0.4598318542737039
van,area,medium,2287,0.5340962167211584
van,area,small,26,0.006071929005137786
van,aspect_ratio,compact_<2,1396,0.32601588042970575
van,aspect_ratio,elongated_2-4,2547,0.5948155067725363
van,aspect_ratio,very_elongated_>=4,339,0.07916861279775805
van,density,dense_>=4,349,0.08150397010742644
van,density,moderate_1-3,2497,0.5831387202241943
van,density,sparse_0,1436,0.3353573096683793
van,overlap_proxy,isolated_<0.01,3868,0.9033162073797291
van,overlap_proxy,overlap_>=0.10,81,0.018916394208313873
van,overlap_proxy,touching_0.01-0.10,333,0.07776739841195703
