sequence_bucket,samples,median_shift_px,p90_shift_px,median_dx_px,median_dy_px,median_correlation
test:00k,12,1.634,4.565,0.505,-0.077,0.718
test:01k,15,1.832,3.943,0.572,-0.171,0.777
test:02k,13,1.386,6.164,0.346,-0.097,0.845
test:03k,15,1.833,6.371,0.42,-0.089,0.804
test:04k,14,1.623,4.879,0.256,-0.315,0.82
test:05k,8,1.317,5.141,0.45,-1.197,0.752
test:06k,9,0.537,5.892,0.124,-0.19,0.713
test:07k,11,1.123,7.68,0.112,-0.503,0.752
test:08k,7,2.505,6.854,-1.413,-0.817,0.643
train:00k,10,1.402,4.983,0.474,-0.345,0.711
train:01k,10,3.719,7.771,0.118,-0.037,0.725
train:02k,9,2.616,5.409,0.354,-2.589,0.737
train:03k,10,1.162,4.203,0.337,-0.358,0.726
train:04k,10,4.125,7.924,0.84,-0.839,0.788
train:05k,11,2.646,6.551,0.531,-0.474,0.835
train:06k,11,0.829,1.73,0.328,-0.072,0.826
train:07k,11,0.927,2.649,0.355,-0.398,0.817
train:08k,11,2.022,6.307,0.446,0.045,0.845
train:09k,11,1.371,5.57,0.391,-0.607,0.833
train:10k,5,1.741,6.042,0.147,-0.476,0.8
train:11k,7,1.708,6.874,0.087,-0.601,0.776
train:12k,6,0.753,2.515,0.091,0.041,0.702
train:13k,4,2.942,5.362,0.314,-1.215,0.75
train:14k,6,1.985,3.231,0.302,-1.023,0.699
train:15k,9,1.585,4.313,0.319,-0.055,0.742
train:16k,8,4.708,6.717,0.565,-1.655,0.773
train:17k,7,3.188,5.846,0.044,-0.206,0.64
val:00k,24,3.055,7.601,0.013,-0.937,0.808
val:01k,9,1.977,8.393,-0.137,-0.74,0.796
