                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3805,                 1.4875,                 1.6487,                0.39803,                0.55424,                0.45787,                 0.3392,                0.90015,                0.83038,                 1.5221,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0877,                0.89593,                 1.4348,                0.57031,                0.62791,                0.61202,                0.45215,                0.89231,                 0.6953,                 1.4912,                0.04004,               0.006589,               0.006589
                      3,                 0.9048,                 0.6996,                 1.4192,                0.59743,                0.62661,                0.61969,                0.47022,                0.82149,                0.63752,                 1.5997,              0.0099086,              0.0097904,              0.0097904
                      4,                0.82121,                0.61467,                 1.4336,                0.69402,                0.69657,                0.69628,                0.53974,                0.77247,                0.56549,                 1.5165,               0.009703,               0.009703,               0.009703
                      5,                0.80506,                0.59087,                 1.4248,                0.72267,                0.70807,                0.74067,                0.57299,                0.76966,                0.55065,                 1.5195,               0.009604,               0.009604,               0.009604
                      6,                0.78993,                0.56989,                 1.4108,                 0.7152,                 0.7151,                 0.7423,                0.58634,                0.75943,                0.53591,                 1.5155,               0.009505,               0.009505,               0.009505
                      7,                0.78107,                0.55665,                 1.4112,                0.65333,                0.62859,                0.65361,                0.50303,                0.81733,                0.66483,                 1.5793,               0.009406,               0.009406,               0.009406
                      8,                0.77613,                0.55402,                 1.4122,                0.71774,                0.72723,                0.74178,                0.58971,                0.74173,                0.51986,                 1.4888,               0.009307,               0.009307,               0.009307
                      9,                0.77095,                0.54376,                 1.3982,                0.78254,                0.75496,                0.80431,                0.64035,                0.72505,                0.49189,                 1.4551,               0.009208,               0.009208,               0.009208
                     10,                0.76718,                0.54174,                 1.3889,                0.79534,                0.75541,                0.79946,                0.63789,                0.71548,                0.48535,                 1.4648,               0.009109,               0.009109,               0.009109
                     11,                0.76267,                0.53429,                 1.3923,                0.71864,                0.69135,                0.73851,                0.57343,                 0.7666,                0.56281,                 1.5509,                0.00901,                0.00901,                0.00901
                     12,                0.75707,                 0.5267,                 1.3944,                0.79269,                0.75103,                0.80483,                0.64462,                0.71246,                 0.4787,                 1.4907,               0.008911,               0.008911,               0.008911
                     13,                0.75388,                0.52679,                 1.3909,                0.78525,                0.76443,                0.81613,                0.65423,                0.71171,                0.47873,                 1.4636,               0.008812,               0.008812,               0.008812
                     14,                 0.7496,                0.52322,                 1.3891,                 0.7524,                0.78166,                0.80255,                0.64721,                0.70927,                0.48081,                 1.4589,               0.008713,               0.008713,               0.008713
                     15,                0.74852,                0.51863,                 1.3877,                0.75178,                0.77276,                 0.7923,                0.63709,                 0.7095,                0.48404,                 1.4599,               0.008614,               0.008614,               0.008614
                     16,                0.74583,                0.51299,                 1.3851,                0.79505,                0.78489,                 0.8188,                0.65662,                0.70387,                0.46612,                 1.4693,               0.008515,               0.008515,               0.008515
                     17,                 0.7425,                0.51201,                  1.387,                0.78305,                0.78107,                0.82093,                0.66314,                0.70271,                0.46332,                 1.4569,               0.008416,               0.008416,               0.008416
                     18,                0.73837,                0.50706,                 1.3816,                0.80066,                0.76638,                0.82074,                0.66019,                0.70206,                0.46515,                 1.4756,               0.008317,               0.008317,               0.008317
                     19,                0.73541,                0.50299,                 1.3904,                0.79312,                0.76796,                 0.8147,                0.65459,                0.71425,                0.48019,                 1.4918,               0.008218,               0.008218,               0.008218
                     20,                0.73556,                0.50429,                 1.3855,                0.80705,                0.80261,                0.83854,                0.67976,                 0.6911,                0.44872,                 1.4683,               0.008119,               0.008119,               0.008119
                     21,                0.73428,                0.49802,                  1.386,                0.80575,                0.80492,                0.84698,                0.68711,                0.69087,                0.43954,                 1.4746,                0.00802,                0.00802,                0.00802
                     22,                0.72661,                0.49633,                 1.3834,                0.80966,                0.79725,                0.83546,                  0.679,                0.68998,                0.44343,                 1.4716,               0.007921,               0.007921,               0.007921
                     23,                0.72842,                0.49517,                 1.3926,                0.79645,                0.79692,                0.83141,                 0.6758,                 0.6887,                0.44472,                 1.4701,               0.007822,               0.007822,               0.007822
                     24,                0.72657,                0.49322,                 1.3863,                0.79916,                 0.7919,                0.84027,                0.68645,                0.68362,                 0.4362,                 1.4688,               0.007723,               0.007723,               0.007723
                     25,                0.72278,                0.48536,                 1.3851,                0.82328,                 0.7976,                0.84202,                0.68422,                0.68324,                0.43675,                  1.456,               0.007624,               0.007624,               0.007624
                     26,                0.71985,                0.48299,                 1.3855,                0.80745,                0.79752,                0.83981,                0.68237,                0.68474,                0.43392,                 1.4658,               0.007525,               0.007525,               0.007525
                     27,                0.71535,                0.48179,                 1.3762,                0.79589,                0.80831,                0.83874,                0.68044,                0.68618,                0.44027,                 1.4713,               0.007426,               0.007426,               0.007426
                     28,                 0.7159,                0.47966,                 1.3759,                0.81035,                0.80039,                0.83666,                0.68323,                0.68121,                0.43373,                 1.4514,               0.007327,               0.007327,               0.007327
                     29,                0.71594,                0.47902,                 1.3829,                0.81359,                0.80555,                0.84335,                0.68951,                0.67804,                0.42761,                 1.4615,               0.007228,               0.007228,               0.007228
                     30,                 0.7122,                0.47649,                 1.3756,                 0.8224,                 0.8021,                0.84617,                0.69279,                0.67967,                0.42637,                 1.4647,               0.007129,               0.007129,               0.007129
                     31,                0.71592,                0.47843,                 1.3846,                0.80998,                 0.8273,                0.85695,                  0.702,                0.67541,                0.42237,                 1.4714,                0.00703,                0.00703,                0.00703
                     32,                0.70996,                0.47285,                 1.3808,                0.81363,                0.80716,                0.85053,                0.69762,                0.67669,                0.42403,                 1.4538,               0.006931,               0.006931,               0.006931
                     33,                0.70995,                0.47264,                 1.3745,                0.81897,                 0.8191,                0.85164,                0.69861,                0.67625,                0.42271,                 1.4546,               0.006832,               0.006832,               0.006832
                     34,                0.70526,                 0.4684,                 1.3745,                0.81729,                0.81789,                0.85272,                0.69925,                0.67464,                0.42304,                 1.4545,               0.006733,               0.006733,               0.006733
                     35,                 0.7082,                0.46782,                 1.3793,                 0.8261,                 0.8256,                0.85572,                0.70191,                0.67419,                0.42036,                 1.4656,               0.006634,               0.006634,               0.006634
                     36,                0.70309,                0.46453,                 1.3665,                0.81684,                0.82752,                0.85533,                  0.702,                 0.6725,                0.41914,                 1.4502,               0.006535,               0.006535,               0.006535
                     37,                0.69713,                0.46037,                 1.3712,                0.81202,                 0.8316,                0.85906,                  0.705,                0.67117,                0.41646,                 1.4576,               0.006436,               0.006436,               0.006436
                     38,                0.70029,                0.46108,                 1.3775,                0.83019,                0.82643,                  0.862,                0.70727,                0.67078,                0.41483,                 1.4591,               0.006337,               0.006337,               0.006337
                     39,                0.69704,                0.45648,                 1.3774,                0.82771,                0.82147,                0.85883,                0.70516,                0.66991,                0.41569,                 1.4584,               0.006238,               0.006238,               0.006238
                     40,                0.69672,                0.45833,                 1.3708,                0.83229,                0.81947,                0.86024,                0.70675,                0.67053,                0.41524,                 1.4528,               0.006139,               0.006139,               0.006139
                     41,                0.69636,                0.45356,                 1.3757,                0.83724,                0.82213,                0.86117,                0.70729,                0.67084,                0.41412,                 1.4525,                0.00604,                0.00604,                0.00604
                     42,                0.69336,                0.45316,                 1.3696,                0.82362,                0.83518,                0.86071,                0.70851,                0.67019,                0.41264,                 1.4528,               0.005941,               0.005941,               0.005941
                     43,                0.68751,                0.44963,                 1.3748,                0.82321,                0.82798,                0.85806,                0.70612,                0.66919,                0.41255,                 1.4598,               0.005842,               0.005842,               0.005842
                     44,                0.68953,                0.44765,                 1.3747,                0.82862,                 0.8292,                0.86025,                0.70871,                0.66824,                0.41039,                 1.4619,               0.005743,               0.005743,               0.005743
                     45,                0.69322,                0.45037,                 1.3764,                0.83359,                0.83049,                0.86273,                0.71099,                0.66809,                0.40948,                 1.4642,               0.005644,               0.005644,               0.005644
