                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.316,                 1.5047,                 1.5571,                0.40447,                0.54297,                0.43228,                0.31844,                0.89713,                0.81869,                 1.4962,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0712,                0.88978,                 1.4171,                0.57484,                0.68628,                0.63539,                0.47067,                0.85135,                0.66275,                 1.4695,                0.04004,               0.006589,               0.006589
                      3,                0.89856,                0.69925,                 1.4084,                0.64852,                0.67394,                0.67675,                0.51501,                0.80111,                0.59356,                 1.5669,              0.0099086,              0.0097904,              0.0097904
                      4,                0.81709,                0.61055,                 1.4287,                0.69933,                0.71853,                0.72864,                0.56179,                0.77096,                0.55311,                 1.5121,               0.009703,               0.009703,               0.009703
                      5,                 0.8024,                0.58597,                 1.4177,                0.71115,                0.72764,                0.74658,                0.58458,                0.74858,                0.53024,                  1.533,               0.009604,               0.009604,               0.009604
                      6,                 0.7821,                0.56272,                 1.4031,                0.76324,                0.69445,                0.75498,                0.58893,                0.76228,                0.53325,                 1.4779,               0.009505,               0.009505,               0.009505
                      7,                0.77428,                0.55492,                 1.4001,                0.73088,                 0.7584,                0.76862,                0.60777,                0.73434,                0.52499,                 1.4747,               0.009406,               0.009406,               0.009406
                      8,                0.76841,                0.54562,                 1.3951,                0.73365,                0.72441,                0.76081,                0.60313,                0.73393,                0.51345,                 1.4859,               0.009307,               0.009307,               0.009307
                      9,                0.76528,                0.54347,                 1.3938,                0.77442,                0.77025,                0.79988,                0.64092,                0.71655,                0.48658,                  1.462,               0.009208,               0.009208,               0.009208
                     10,                0.76382,                0.53961,                  1.395,                0.75697,                0.73546,                  0.771,                 0.6173,                0.72088,                0.49678,                 1.4672,               0.009109,               0.009109,               0.009109
                     11,                0.75324,                0.52639,                 1.3954,                 0.7579,                0.76318,                0.79466,                0.63865,                0.70722,                 0.4831,                 1.4735,                0.00901,                0.00901,                0.00901
                     12,                0.75193,                0.52337,                 1.3878,                0.73965,                0.76688,                0.78722,                0.63193,                0.71057,                0.47939,                 1.4841,               0.008911,               0.008911,               0.008911
                     13,                0.74608,                0.51779,                 1.3942,                0.67732,                0.72228,                0.72771,                0.57358,                0.72604,                0.54363,                 1.5005,               0.008812,               0.008812,               0.008812
                     14,                0.74257,                0.51743,                 1.3832,                0.77041,                0.75266,                0.78902,                0.63833,                0.70081,                0.46822,                  1.483,               0.008713,               0.008713,               0.008713
                     15,                0.74031,                0.51188,                 1.3858,                0.78005,                0.77791,                0.81598,                0.65965,                0.69323,                0.46039,                  1.456,               0.008614,               0.008614,               0.008614
                     16,                0.73976,                 0.5104,                 1.3832,                0.77373,                0.74836,                0.79539,                0.64554,                0.69682,                0.46794,                 1.4601,               0.008515,               0.008515,               0.008515
                     17,                0.73702,                0.50539,                 1.3838,                 0.8048,                0.78456,                0.83668,                 0.6757,                0.69512,                0.45353,                 1.4736,               0.008416,               0.008416,               0.008416
                     18,                0.73168,                0.49992,                 1.3715,                0.80176,                0.77292,                0.82586,                0.66952,                0.69236,                0.45216,                 1.4685,               0.008317,               0.008317,               0.008317
                     19,                 0.7303,                0.49893,                 1.3752,                0.77404,                0.78257,                 0.8195,                0.66709,                0.69359,                0.45966,                 1.4464,               0.008218,               0.008218,               0.008218
                     20,                0.72808,                0.49684,                 1.3735,                 0.7816,                0.77595,                 0.8176,                0.66266,                0.68995,                0.45696,                 1.4448,               0.008119,               0.008119,               0.008119
                     21,                 0.7281,                0.49445,                 1.3731,                0.80447,                0.78534,                0.83921,                0.68344,                0.68282,                0.44391,                 1.4562,                0.00802,                0.00802,                0.00802
                     22,                0.72293,                0.49188,                 1.3765,                  0.789,                0.78361,                0.82844,                0.67483,                0.68399,                0.44093,                 1.4514,               0.007921,               0.007921,               0.007921
                     23,                0.72262,                0.48808,                 1.3829,                0.80743,                0.78756,                0.83843,                0.68396,                0.67998,                0.43962,                  1.465,               0.007822,               0.007822,               0.007822
