                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                 1.3082,                  1.503,                 1.5545,                 0.0201,                0.37302,                0.58664,                0.44445,                0.29008,                 1.1115,                0.90638,                 1.5456,                 0.0201,               0.070106,              0.0033215,              0.0033215,                      0,                0.95896,                0.69319,                0.69311,                0.69314,                0.70654,               0.035155,                 0.1581,                0.49987,                0.69314,                0.41359,               0.039507,                      0,                0.96348,                0.69315,                0.69251,                0.69312,                0.70864,               0.032944,                0.15763,                0.49872,                0.69311,                0.41359,               0.035216,             1.3801e-06,                      0,                0.86637,                0.57858,                0.31632,                0.47969,                0.27453,                0.72547,                0.72547,                    0.2
                      2,                 1.0733,                0.88624,                 1.4165,                0.04017,                0.57801,                 0.6875,                0.63668,                0.47281,                0.84507,                0.66124,                  1.489,                0.04015,                0.04004,               0.006589,               0.006589,                      0,                0.99998,                0.69311,                  0.692,                0.69311,                0.72839,               0.047129,                0.15749,                0.49774,                0.69308,                0.41238,             0.00016022,                      0,                      1,                0.69322,                0.68575,                0.69312,                0.72836,               0.074945,                  0.153,                0.48479,                0.69239,                0.41238,                      0,             0.00010049,                      0,                0.86559,                0.57974,                0.31685,                0.47904,                0.27164,                0.72836,                0.72836,                    0.4
                      3,                 0.8996,                0.69897,                 1.4078,                 0.0601,                0.64235,                 0.6684,                0.66045,                0.50203,                0.79853,                0.58852,                 1.5492,                 0.0601,              0.0099086,              0.0097904,              0.0097904,                      0,                      1,                0.69366,                0.68425,                0.69355,                0.73011,               0.060601,                0.15092,                0.48089,                0.69249,                0.41206,             4.4649e-05,                      0,                0.98983,                0.69318,                0.67769,                0.69179,                0.72791,                0.14555,                0.14699,                0.46879,                0.68844,                0.41206,               0.019407,             0.00013641,                      0,                0.86348,                0.58341,                0.31463,                0.48316,                 0.2699,                 0.7301,                 0.7301,                    0.6
                      4,                0.81657,                0.61051,                  1.428,                0.07806,                0.68603,                0.69514,                0.71117,                0.55008,                   0.77,                 0.5785,                 1.5638,                 0.0784,               0.009703,               0.009703,               0.009703,                      0,                0.99998,                0.69485,                0.67811,                0.69434,                0.73615,               0.068298,                0.14843,                0.46686,                0.69176,                0.41068,             0.00012423,                      0,                0.74367,                 0.6811,                0.66548,                0.63139,                0.66921,                0.29307,                0.16127,                0.46318,                0.62584,                0.41068,                0.46148,              0.0080948,                      0,                0.84183,                0.58712,                0.31808,                0.48547,                0.26387,                0.73613,                0.73613,                    0.8
                      5,                0.80175,                0.58597,                 1.4167,                 0.0954,                0.73827,                0.72947,                0.75726,                0.59731,                0.74206,                0.52006,                 1.4918,                0.09676,               0.009604,               0.009604,               0.009604,                      0,                0.99999,                0.69487,                0.67875,                0.69427,                0.72539,               0.076723,                0.14861,                0.46672,                0.69177,                0.41417,             0.00010208,                      0,                0.62709,                0.67881,                0.66931,                0.57135,                0.63852,                0.36777,                0.18351,                0.46509,                0.59357,                0.41417,                0.66873,               0.020117,                      0,                 0.8222,                0.57984,                0.31694,                0.48256,                0.27463,                0.72537,                0.72537,                      1
                      6,                0.78176,                0.56272,                 1.4035,                0.09464,                 0.7431,                0.72893,                0.76709,                0.59821,                0.75852,                0.52864,                   1.48,                0.09771,               0.009505,               0.009505,               0.009505,                      0,                      1,                0.69494,                0.67673,                0.69414,                0.73651,               0.096515,                0.14671,                0.46389,                  0.691,                0.41059,             0.00015257,                      0,                 0.6275,                0.67666,                0.66543,                0.55429,                0.64214,                0.39697,                0.18465,                0.46439,                0.57705,                0.41059,                0.68306,                0.02296,                      0,                0.81577,                0.58711,                0.31611,                0.48511,                0.26353,                0.73647,                0.73647,                      1
                      7,                0.77284,                0.55402,                 1.4002,                0.09446,                0.72971,                0.74753,                0.76743,                0.60987,                0.73248,                0.51272,                 1.4633,                0.09673,               0.009406,               0.009406,               0.009406,                      0,                0.99997,                0.69468,                0.67612,                0.69381,                0.72964,                0.11416,                0.14458,                0.46198,                0.69042,                0.41298,             0.00016344,                      0,                0.62954,                0.67681,                0.66597,                0.54797,                0.64612,                0.40394,                0.18528,                0.46533,                0.58707,                0.41298,                0.69086,                0.02379,                      0,                0.81338,                 0.5836,                0.31135,                0.48415,                0.27038,                0.72962,                0.72962,                      1
                      8,                0.76866,                0.54522,                 1.3974,                0.09382,                0.74882,                0.71274,                0.75446,                0.59823,                0.73242,                0.51232,                 1.4699,                 0.0949,               0.009307,               0.009307,               0.009307,                      0,                0.98912,                0.69335,                0.67332,                0.69113,                0.73397,                0.16143,                0.14624,                0.46017,                 0.6858,                0.40945,                0.02664,                      0,                0.63564,                0.67484,                  0.663,                0.53911,                0.65135,                 0.4129,                0.18682,                0.46101,                0.58267,                0.40945,                0.69493,               0.024627,                      0,                0.80793,                0.58339,                 0.3171,                0.47906,                0.26509,                0.73491,                0.73491,                      1
                      9,                0.76526,                0.54339,                 1.3958,                 0.0877,                 0.7614,                0.75593,                0.78413,                0.62977,                0.72085,                0.48862,                 1.4647,                0.09018,               0.009208,               0.009208,               0.009208,                      0,                0.64011,                0.68056,                0.66744,                0.61018,                0.63167,                0.32456,                0.16998,                0.46609,                0.63148,                0.41104,                 0.6082,                      0,                0.63948,                0.67663,                0.66599,                0.54113,                0.65382,                0.40697,                0.18718,                0.45976,                0.58403,                0.41104,                0.69375,               0.013978,                      0,                 0.7539,                0.58587,                0.31775,                 0.4845,                0.26432,                0.73568,                0.73568,                      1
                     10,                0.76352,                0.54015,                 1.3951,                0.08427,                 0.7556,                0.75631,                0.78936,                 0.6298,                0.72617,                 0.4885,                 1.4389,                0.08944,               0.009109,               0.009109,               0.009109,                      0,                0.66216,                0.68026,                0.66707,                0.57054,                0.65305,                0.37491,                0.17861,                0.45862,                0.60487,                0.41079,                0.62811,                      0,                  0.642,                0.67427,                0.66239,                0.53142,                0.65625,                0.42434,                0.18756,                0.46067,                0.57193,                0.41079,                0.69525,               0.011517,                      0,                0.72388,                0.58406,                0.31827,                0.48249,                0.26755,                0.73245,                0.73245,                      1
