                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                 1.3185,                 1.5086,                 1.5544,                 0.0201,                0.35176,                0.60358,                0.44154,                0.31858,                0.93221,                0.95416,                 1.4681,                 0.0201,               0.070106,              0.0033215,              0.0033215,                      0,                0.95893,                0.69318,                0.69311,                0.69315,                0.70653,               0.034525,                 0.1581,                0.49987,                0.69314,                0.41359,             3.5761e-07,               0.039578,                      0,                0.96348,                0.69315,                0.69252,                0.69312,                0.70864,                 0.0326,                0.15763,                0.49873,                0.69311,                0.41359,            -2.6239e-07,               0.035216,             1.3741e-06,                      0,                0.86637,                0.57858,                0.31632,                0.47969,                0.27453,                0.72547,                0.72547,                    0.2
                      2,                  1.073,                0.87906,                 1.4198,                0.04017,                0.60194,                0.66739,                0.63611,                0.46717,                 0.8411,                0.67133,                 1.4668,                0.04015,                0.04004,               0.006589,               0.006589,                      0,                0.99998,                0.69311,                0.69199,                0.69311,                0.72839,               0.048681,                0.15749,                0.49774,                0.69307,                0.41238,             7.3342e-06,             0.00014565,                      0,                      1,                0.69322,                 0.6858,                0.69313,                0.72836,                0.07471,                0.15304,                0.48492,                0.69239,                0.41238,            -1.6122e-05,                      0,              9.826e-05,                      0,                 0.8656,                0.57974,                0.31685,                0.47904,                0.27164,                0.72836,                0.72836,                    0.4
                      3,                0.89754,                0.69848,                 1.4091,                 0.0601,                0.63226,                0.64297,                0.64829,                0.48775,                0.81338,                0.61046,                 1.5648,                0.06007,              0.0099086,              0.0097904,              0.0097904,                      0,                      1,                0.69366,                0.68415,                0.69355,                0.73011,                0.06245,                0.15086,                0.48068,                0.69244,                0.41206,              2.969e-06,             2.9766e-05,                      0,                0.98906,                 0.6931,                0.67747,                0.69163,                0.72775,                0.15155,                0.14691,                0.46861,                0.68804,                0.41206,            -4.8608e-05,               0.020911,             0.00013983,                      0,                0.86339,                0.58341,                0.31463,                0.48316,                 0.2699,                 0.7301,                 0.7301,                    0.6
                      4,                0.81718,                 0.6113,                 1.4273,                0.07801,                0.68147,                0.71928,                0.71708,                0.54987,                  0.775,                 0.5697,                 1.5027,                0.07798,               0.009703,               0.009703,               0.009703,                      0,                0.99999,                 0.6949,                 0.6778,                0.69434,                0.73615,               0.074097,                0.14826,                0.46612,                0.69161,                0.41068,            -0.00052782,             0.00012423,                      0,                0.72315,                0.67949,                0.66388,                0.63022,                0.66201,                 0.3004,                 0.1609,                0.46443,                 0.6254,                0.41068,            -0.00022313,                0.49144,              0.0080996,                      0,                0.84125,                0.58712,                0.31808,                0.48547,                0.26387,                0.73613,                0.73613,                    0.8
                      5,                0.80246,                0.58601,                 1.4165,                0.09536,                0.70023,                0.70329,                0.72423,                0.56049,                0.77703,                0.56065,                 1.5547,                 0.0981,               0.009604,               0.009604,               0.009604,                      0,                0.99999,                0.69491,                0.67843,                0.69426,                 0.7254,               0.081078,                0.14846,                0.46598,                0.69156,                0.41417,             -0.0011465,             0.00016042,                      0,                0.63185,                 0.6773,                0.66771,                0.57044,                0.64086,                0.36843,                0.18233,                0.46431,                0.59592,                0.41417,            -0.00032735,                0.66466,               0.019814,                      0,                 0.8217,                0.57984,                0.31694,                0.48256,                0.27463,                0.72537,                0.72537,                      1
                      6,                0.78153,                0.56349,                 1.4008,                0.09464,                0.72381,                0.68831,                0.73663,                0.57181,                0.76791,                0.55777,                 1.4946,                0.09791,               0.009505,               0.009505,               0.009505,                      0,                0.99998,                0.69495,                 0.6766,                0.69411,                0.73651,               0.097213,                0.14665,                 0.4636,                0.69083,                0.41059,             -0.0019698,              0.0002136,                      0,                0.63136,                0.67521,                  0.664,                 0.5549,                0.64409,                0.39644,                0.18319,                0.46392,                0.57779,                0.41059,              0.0031183,                0.67965,               0.022435,                      0,                 0.8158,                0.58711,                0.31611,                0.48511,                0.26353,                0.73647,                0.73647,                      1
                      7,                0.77325,                0.55522,                 1.4002,                0.09445,                0.73785,                0.74932,                0.76771,                0.60834,                0.72988,                0.50637,                 1.4681,                0.09638,               0.009406,               0.009406,               0.009406,                      0,                0.99997,                0.69474,                0.67578,                0.69377,                0.72968,                0.11356,                0.14443,                0.46114,                0.69018,                0.41298,             -0.0028533,             0.00032687,                      0,                0.63555,                0.67651,                0.66542,                  0.548,                0.64954,                0.40254,                0.18418,                0.46414,                0.58783,                0.41298,              0.0034701,                0.68727,               0.023606,                      0,                0.81326,                 0.5836,                0.31135,                0.48415,                0.27038,                0.72962,                0.72962,                      1
                      8,                0.76872,                0.54666,                 1.3962,                0.09382,                0.72947,                0.71176,                0.75141,                0.59226,                0.73602,                0.50848,                 1.4808,                0.09542,               0.009307,               0.009307,               0.009307,                      0,                0.99355,                0.69368,                0.67299,                0.69161,                0.73522,                0.15549,                0.14601,                0.45875,                0.68632,                0.40945,             -0.0038247,               0.019056,                      0,                 0.6382,                 0.6737,                0.66183,                0.53867,                0.65207,                0.41375,                0.18546,                0.46046,                0.58162,                0.40945,              0.0088427,                0.69052,               0.024481,                      0,                0.80795,                0.58339,                 0.3171,                0.47906,                0.26509,                0.73491,                0.73491,                      1
                      9,                0.76569,                0.54536,                 1.3929,                0.08783,                0.75688,                0.76354,                0.79323,                0.63724,                0.71512,                0.48863,                 1.4664,                0.09007,               0.009208,               0.009208,               0.009208,                      0,                0.65017,                0.68101,                0.66799,                0.61234,                0.63502,                0.32077,                0.16913,                0.46598,                0.63169,                0.41104,            -0.00095569,                0.59283,                      0,                0.64591,                0.67516,                0.66436,                0.54058,                 0.6566,                 0.4088,                0.18484,                0.45888,                0.58395,                0.41104,              0.0099121,                0.68635,               0.014069,                      0,                0.75512,                0.58587,                0.31775,                 0.4845,                0.26432,                0.73568,                0.73568,                      1
                     10,                0.76358,                0.54053,                 1.3944,                0.08414,                0.75102,                0.75134,                0.78446,                0.62626,                0.71748,                0.49374,                  1.451,                0.08993,               0.009109,               0.009109,               0.009109,                      0,                0.66286,                0.67987,                0.66687,                 0.5699,                0.65392,                0.37394,                0.17867,                 0.4585,                0.60349,                0.41079,              0.0037003,                0.62943,                      0,                0.65076,                0.67311,                0.66025,                0.53021,                0.66005,                0.42829,                0.18434,                0.45891,                0.57107,                0.41079,              0.0090098,                0.68548,               0.011231,                      0,                0.72283,                0.58406,                0.31827,                0.48249,                0.26755,                0.73245,                0.73245,                      1
