                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                 1.4667,                 1.5864,                  1.648,                 0.0201,                0.34245,                0.60986,                0.43503,                0.31315,                  1.024,                  1.027,                 1.6246,                 0.0201,               0.070106,              0.0033215,              0.0033215,                      0,                0.95888,                0.69318,                0.69312,                0.69315,                 0.7065,               0.032837,                0.15811,                0.49988,                0.69314,                0.41359,             3.4043e-07,                0.03955,                      0,                0.96348,                0.69315,                0.69259,                0.69312,                0.70864,               0.033695,                0.15769,                0.49887,                0.69311,                0.41359,               0.035216,             1.0523e-06,                      0,                0.86637,                0.57858,                0.31632,                0.47969,                0.27453,                0.72547,                0.72547,                    0.2
                      2,                 1.1937,                0.94483,                 1.5169,                0.04017,                0.57767,                0.68528,                0.62139,                0.45389,                0.85348,                0.67517,                 1.4686,                0.04015,                0.04004,               0.006589,               0.006589,                      0,                0.99998,                0.69311,                0.69219,                0.69312,                0.72839,               0.047674,                0.15764,                0.49812,                0.69308,                0.41238,             6.8739e-06,             0.00014565,                      0,                      1,                0.69317,                0.68647,                0.69308,                0.72836,               0.075642,                0.15349,                0.48637,                0.69245,                0.41238,                      0,             8.4548e-05,                      0,                0.86567,                0.57974,                0.31685,                0.47904,                0.27164,                0.72836,                0.72836,                    0.4
                      3,                0.90805,                0.70836,                 1.4238,                 0.0601,                0.64547,                0.68574,                0.66654,                0.50041,                0.79896,                0.59314,                 1.5309,                0.06008,              0.0099086,              0.0097904,              0.0097904,                      0,                0.99999,                0.69363,                 0.6845,                0.69351,                 0.7301,               0.063165,                0.15111,                0.48145,                0.69245,                0.41206,             1.3023e-05,             1.4883e-05,                      0,                0.99013,                0.69314,                0.67763,                0.69172,                0.72802,                0.14761,                0.14698,                0.46874,                 0.6884,                0.41206,               0.018991,             0.00014539,                      0,                0.86346,                0.58341,                0.31463,                0.48316,                 0.2699,                 0.7301,                 0.7301,                    0.6
                      4,                0.82385,                0.61873,                 1.4411,                0.07812,                0.67356,                0.72292,                0.71613,                 0.5501,                 0.7739,                0.55839,                 1.5459,                0.07819,               0.009703,               0.009703,               0.009703,                      0,                0.99999,                0.69488,                0.67794,                0.69434,                0.73616,               0.070917,                0.14834,                0.46645,                0.69163,                0.41068,            -0.00037265,             0.00015529,                      0,                0.73152,                0.67966,                0.66373,                0.63343,                0.66336,                0.29624,                0.15989,                0.46435,                0.62826,                0.41068,                 0.4732,               0.007515,                      0,                0.84234,                0.58712,                0.31808,                0.48547,                0.26387,                0.73613,                0.73613,                    0.8
                      5,                 0.8068,                0.59108,                 1.4277,                0.09547,                0.72536,                0.71072,                0.73949,                0.57319,                0.75926,                0.54184,                   1.55,                0.09836,               0.009604,               0.009604,               0.009604,                      0,                0.99998,                 0.6949,                0.67851,                0.69426,                 0.7254,               0.079027,                 0.1485,                0.46613,                0.69156,                0.41417,             -0.0013044,             0.00016042,                      0,                0.63127,                 0.6787,                0.66858,                0.57302,                0.63989,                0.36557,                0.18246,                0.46429,                0.59747,                0.41417,                0.66263,               0.019659,                      0,                0.82264,                0.57984,                0.31694,                0.48256,                0.27463,                0.72537,                0.72537,                      1
                      6,                0.78679,                0.56686,                 1.4132,                0.09468,                0.77755,                0.71717,                 0.7731,                0.60452,                0.75354,                0.51914,                 1.4896,                0.09699,               0.009505,               0.009505,               0.009505,                      0,                0.99999,                0.69497,                0.67649,                 0.6941,                0.73651,               0.098907,                0.14658,                0.46336,                0.69077,                0.41059,             -0.0025891,             0.00018309,                      0,                0.62682,                0.67563,                0.66417,                0.55617,                0.64134,                0.39679,                0.18301,                0.46477,                0.57645,                0.41059,                0.68193,               0.022165,                      0,                0.81622,                0.58711,                0.31611,                0.48511,                0.26353,                0.73647,                0.73647,                      1
                      7,                0.77824,                0.55931,                 1.4099,                0.09452,                0.69646,                0.72151,                0.72685,                0.57185,                0.74529,                0.54379,                  1.506,                0.09653,               0.009406,               0.009406,               0.009406,                      0,                0.99997,                0.69474,                0.67584,                0.69379,                0.72966,                0.11387,                0.14447,                0.46127,                0.69015,                0.41298,             -0.0035129,             0.00023772,                      0,                0.63037,                0.67693,                0.66559,                0.54966,                0.64584,                0.40341,                0.18409,                0.46503,                0.59056,                0.41298,                0.68757,               0.023431,                      0,                0.81386,                 0.5836,                0.31135,                0.48415,                0.27038,                0.72962,                0.72962,                      1
                      8,                0.77031,                0.54836,                 1.3964,                0.09404,                0.76685,                0.74011,                0.77539,                0.61262,                0.73251,                0.50178,                 1.4461,                0.09585,               0.009307,               0.009307,               0.009307,                      0,                0.99981,                0.69461,                0.67304,                0.69329,                0.73502,                0.14162,                0.14602,                0.45704,                0.68847,                0.40945,             -0.0044136,             0.00098334,                      0,                0.63367,                0.67433,                0.66226,                0.54028,                0.64932,                0.41507,                0.18549,                0.46179,                 0.5839,                0.40945,                0.69271,               0.024604,                      0,                0.80965,                0.58339,                 0.3171,                0.47906,                0.26509,                0.73491,                0.73491,                      1
                      9,                0.76608,                0.54502,                 1.3933,                0.09397,                0.75757,                0.74283,                0.78258,                0.62575,                0.72175,                0.49036,                 1.4497,                0.09559,               0.009208,               0.009208,               0.009208,                      0,                0.99628,                0.69448,                0.67226,                0.69123,                0.73674,                0.15675,                0.14528,                0.45502,                0.68595,                0.41104,             -0.0051681,               0.014378,                      0,                0.64162,                0.67592,                0.66463,                0.54335,                0.65401,                0.40841,                0.18503,                0.45975,                0.58319,                0.41104,                0.68848,               0.023766,                      0,                0.80937,                0.58587,                0.31775,                 0.4845,                0.26432,                0.73568,                0.73568,                      1
                     10,                 0.7648,                0.54139,                 1.3957,                 0.0893,                0.75686,                0.73633,                0.77404,                0.61846,                0.72852,                0.48816,                 1.4587,                0.09162,               0.009109,               0.009109,               0.009109,                      0,                 0.7537,                0.68364,                0.66803,                0.63785,                0.66629,                0.28312,                0.16092,                0.46441,                0.64295,                0.41079,             -0.0049722,                0.42698,                      0,                0.64341,                0.67375,                0.66108,                0.53255,                0.65645,                0.42672,                0.18531,                0.46077,                 0.5718,                0.41079,                0.69216,               0.018305,                      0,                0.76917,                0.58406,                0.31827,                0.48249,                0.26755,                0.73245,                0.73245,                      1
