                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/P5_gate_direction_loss,    p2/P5_ir_win_recall,p2/P5_object_balanced_loss,p2/P5_object_calibrated_loss,p2/P5_object_hard_winner_loss,p2/P5_object_prompt_accuracy,p2/P5_object_prompt_correlation,p2/P5_object_prompt_mae,p2/P5_object_prompt_rgb, p2/P5_object_rank_loss,p2/P5_object_target_rgb,p2/P5_prompt_residual_gain,   p2/P5_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                 1.3152,                 1.4784,                 1.5567,                0.02345,                0.34848,                0.59038,                0.44739,                0.32674,                0.94088,                 0.9369,                 1.4504,                0.02344,               0.070106,              0.0033215,              0.0033215,                      0,                0.95891,                0.69318,                0.69311,                0.69314,                0.70651,               0.033803,                 0.1581,                0.49986,                0.69314,                0.41359,             3.9837e-07,               0.039535,                      0,                0.96348,                0.69315,                0.69249,                0.69312,                0.70864,               0.032878,                0.15761,                0.49869,                0.69311,                0.41359,             -3.335e-07,               0.035216,                      0,                0.96348,                0.69316,                0.69201,                0.69314,                0.70864,            -0.00013054,                0.15722,                0.49769,                0.69311,                0.41359,             1.0337e-07,               0.035216,             3.4618e-06,                      0,                 1.0107,                0.57858,                0.31632,                0.47969,                0.27453,                0.72547,                0.72547,                    0.2
                      2,                 1.0725,                0.88845,                 1.4169,                0.04686,                0.60385,                0.68547,                0.64958,                0.48389,                0.84213,                0.65138,                 1.4656,                0.04684,                0.04004,               0.006589,               0.006589,                      0,                0.99998,                0.69311,                0.69199,                0.69311,                0.72839,               0.049756,                0.15749,                0.49773,                0.69307,                0.41238,             7.2742e-06,             0.00016022,                      0,                      1,                0.69321,                0.68572,                0.69309,                0.72836,               0.078427,                0.15299,                0.48477,                0.69234,                0.41238,            -1.3347e-05,                      0,                      0,                      1,                0.69374,                 0.6841,                0.69377,                0.72836,               0.012764,                0.15183,                0.48032,                0.69298,                0.41238,            -4.5398e-06,                      0,             0.00013131,                      0,                 1.0097,                0.57974,                0.31685,                0.47904,                0.27164,                0.72836,                0.72836,                    0.4
                      3,                0.90013,                0.69953,                 1.4081,                0.07012,                0.63517,                0.67893,                0.67027,                0.51453,                0.79434,                0.58383,                 1.5914,                0.07009,              0.0099086,              0.0097904,              0.0097904,                      0,                      1,                0.69367,                0.68414,                0.69355,                0.73011,               0.061869,                0.15086,                0.48066,                0.69243,                0.41206,             1.0787e-05,             2.9766e-05,                      0,                0.98926,                0.69299,                0.67711,                0.69138,                 0.7279,                0.15672,                0.14673,                0.46804,                0.68759,                0.41206,            -1.5995e-05,               0.020925,                      0,                      1,                0.69422,                0.68145,                0.69413,                 0.7301,               0.016403,                0.14891,                0.47404,                 0.6929,                0.41206,            -5.4004e-06,                      0,             0.00013876,                      0,                 1.0074,                0.58341,                0.31463,                0.48316,                 0.2699,                 0.7301,                 0.7301,                    0.6
                      4,                0.81681,                0.61086,                 1.4287,                0.09128,                0.71143,                0.71976,                0.73576,                0.56754,                0.77361,                0.55503,                 1.5257,                 0.0915,               0.009703,               0.009703,               0.009703,                      0,                0.99999,                0.69489,                0.67787,                0.69435,                0.73616,                0.07156,                0.14831,                0.46628,                 0.6916,                0.41068,            -0.00051179,             0.00013976,                      0,                0.71442,                0.67956,                0.66388,                0.62684,                0.65886,                0.30691,                 0.1621,                0.46369,                 0.6234,                0.41068,             3.4353e-05,                0.50387,                      0,                0.99733,                 0.6944,                0.68139,                0.69392,                0.73573,               0.021356,                0.15013,                0.47417,                0.69245,                0.41068,            -1.3503e-05,              0.0059632,              0.0077368,                      0,                0.98419,                0.58712,                0.31808,                0.48547,                0.26387,                0.73613,                0.73613,                    0.8
                      5,                 0.8018,                0.58524,                 1.4169,                0.11201,                0.65104,                0.69319,                0.70094,                0.53576,                0.79116,                0.58532,                 1.5799,                0.11553,               0.009604,               0.009604,               0.009604,                      0,                0.99998,                0.69493,                0.67837,                0.69425,                 0.7254,               0.080887,                0.14843,                0.46581,                0.69152,                0.41417,             -0.0013839,             0.00016042,                      0,                0.62842,                0.67813,                 0.6687,                0.57015,                0.63887,                0.36812,                0.18321,                0.46449,                0.59511,                0.41417,             0.00096598,                0.66648,                      0,                0.93224,                0.69327,                0.68168,                0.69111,                0.70346,               0.071044,                0.15041,                0.47598,                0.68854,                0.41417,             3.6162e-05,               0.099224,               0.017445,                      0,                0.96526,                0.57984,                0.31694,                0.48256,                0.27463,                0.72537,                0.72537,                      1
                      6,                0.78143,                 0.5611,                 1.4058,                0.11019,                0.75514,                0.73719,                 0.7772,                0.61101,                0.74754,                0.51638,                 1.4717,                0.11286,               0.009505,               0.009505,               0.009505,                      0,                0.99998,                0.69495,                0.67655,                0.69408,                0.73653,                0.09672,                0.14662,                0.46351,                0.69079,                0.41059,             -0.0022098,             0.00027463,                      0,                0.62666,                 0.6759,                 0.6648,                0.55447,                0.64211,                0.39821,                0.18413,                0.46499,                0.57693,                0.41059,              0.0024333,                0.68528,                      0,                 0.7025,                0.68262,                0.67039,                0.63757,                 0.6513,                0.24471,                0.16119,                  0.472,                0.64178,                0.41059,            -0.00055342,                0.50822,               0.020478,                      0,                 0.9499,                0.58711,                0.31611,                0.48511,                0.26353,                0.73647,                0.73647,                      1
                      7,                0.77387,                0.55423,                  1.402,                0.10932,                0.73412,                0.73051,                0.75354,                0.59462,                0.74168,                0.53045,                 1.4788,                0.11226,               0.009406,               0.009406,               0.009406,                      0,                0.99988,                0.69468,                0.67596,                 0.6937,                0.72974,                0.11055,                0.14451,                0.46162,                0.69015,                0.41298,             -0.0029552,              0.0007726,                      0,                 0.6318,                0.67683,                0.66591,                0.54739,                0.64777,                0.40357,                0.18514,                0.46488,                0.58664,                0.41298,              0.0035845,                0.69086,                      0,                0.70505,                0.68608,                0.67077,                0.60077,                0.66707,                0.30875,                0.17394,                0.46609,                0.62639,                0.41298,             -0.0022323,                0.56459,               0.023945,                      0,                0.94116,                 0.5836,                0.31135,                0.48415,                0.27038,                0.72962,                0.72962,                      1
                      8,                0.76901,                0.54564,                 1.3971,                0.10662,                0.73319,                0.73513,                0.76663,                0.60678,                0.73563,                 0.5186,                 1.4662,                0.10847,               0.009307,               0.009307,               0.009307,                      0,                0.84876,                 0.6882,                0.67012,                0.66911,                 0.6898,                0.21605,                0.15292,                0.46407,                0.66671,                0.40945,             -0.0041302,                0.24913,                      0,                0.63514,                0.67498,                0.66314,                0.53901,                0.65039,                0.41308,                0.18711,                0.46139,                0.58099,                0.40945,              0.0064284,                0.69266,                      0,                0.70778,                0.68394,                0.66654,                0.58623,                0.67198,                0.33666,                0.17708,                 0.4624,                0.61134,                0.40945,              -0.003996,                0.57274,               0.023312,                      0,                0.91817,                0.58339,                 0.3171,                0.47906,                0.26509,                0.73491,                0.73491,                      1
                      9,                0.76486,                0.54331,                 1.3955,                0.10059,                0.71843,                0.75201,                0.75766,                0.60348,                0.74018,                0.52659,                 1.5151,                0.10781,               0.009208,               0.009208,               0.009208,                      0,                0.64372,                0.68085,                0.66872,                0.58878,                0.64082,                0.34914,                0.17562,                0.46208,                0.62292,                0.41104,            -0.00089345,                0.63274,                      0,                0.63991,                0.67551,                0.66488,                0.54103,                0.65397,                0.40928,                0.18615,                0.46027,                0.58192,                0.41104,              0.0072285,                0.69311,                      0,                0.71189,                0.68333,                0.66768,                0.57772,                0.67876,                0.34201,                0.17991,                0.45994,                0.60585,                0.41104,             -0.0079877,                0.58657,               0.017527,                      0,                0.86383,                0.58587,                0.31775,                 0.4845,                0.26432,                0.73568,                0.73568,                      1
                     10,                0.76331,                0.53913,                  1.397,                0.09795,                0.74403,                0.77386,                0.79605,                0.63515,                0.72283,                0.47874,                 1.4507,                 0.1045,               0.009109,               0.009109,               0.009109,                      0,                0.66443,                0.68069,                0.66772,                0.56621,                 0.6558,                0.37662,                0.18004,                0.45764,                0.60074,                0.41079,              0.0099075,                0.63215,                      0,                 0.6429,                0.67388,                0.66168,                0.52999,                0.65605,                0.42698,                 0.1866,                0.46047,                0.56809,                0.41079,              0.0094097,                0.69204,                      0,                0.71806,                 0.6824,                0.66608,                0.56019,                 0.6862,                 0.3682,                0.18196,                0.45988,                0.59468,                0.41079,              -0.010126,                0.59899,               0.017402,                      0,                0.84168,                0.58406,                0.31827,                0.48249,                0.26755,                0.73245,                0.73245,                      1
