                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                 1.3275,                 1.5277,                 1.5488,                 0.0201,                0.36594,                0.60062,                0.42916,                0.31715,                 0.8859,                0.78809,                 1.5015,                 0.0201,               0.070106,              0.0033215,              0.0033215,                      0,                0.95893,                0.69318,                0.69311,                0.69315,                0.70654,                0.03372,                 0.1581,                0.49987,                0.69314,                0.41359,               0.039593,                      0,                0.96348,                0.69315,                0.69251,                0.69312,                0.70864,               0.031798,                0.15763,                0.49873,                0.69311,                0.41359,               0.035216,             1.3644e-06,                      0,                0.86637,                0.57858,                0.31632,                0.47969,                0.27453,                0.72547,                0.72547,                    0.2
                      2,                 1.0728,                0.89257,                 1.4153,                0.04017,                  0.569,                0.68538,                 0.6291,                0.46667,                0.84452,                0.65853,                 1.4655,                0.04015,                0.04004,               0.006589,               0.006589,                      0,                0.99999,                0.69311,                  0.692,                0.69311,                 0.7284,               0.048676,                0.15749,                0.49775,                0.69307,                0.41238,             0.00014565,                      0,                      1,                0.69321,                0.68586,                0.69312,                0.72836,               0.073939,                0.15308,                0.48504,                 0.6924,                0.41238,                      0,             9.6669e-05,                      0,                 0.8656,                0.57974,                0.31685,                0.47904,                0.27164,                0.72836,                0.72836,                    0.4
                      3,                0.89715,                0.70002,                 1.4051,                0.06012,                0.65332,                0.63397,                0.65414,                0.49805,                0.79405,                0.60473,                 1.5264,                0.06014,              0.0099086,              0.0097904,              0.0097904,                      0,                0.99999,                0.69366,                0.68418,                0.69356,                0.73011,               0.061866,                0.15087,                0.48075,                0.69248,                0.41206,             4.4649e-05,                      0,                 0.9892,                0.69337,                0.67848,                 0.6923,                0.72777,                0.13105,                0.14742,                0.47006,                0.68948,                0.41206,               0.020583,              0.0001206,                      0,                0.86371,                0.58341,                0.31463,                0.48316,                 0.2699,                 0.7301,                 0.7301,                    0.6
                      4,                0.81713,                0.61052,                 1.4272,                0.07984,                0.67396,                 0.7345,                0.71962,                0.55685,                0.76677,                0.55823,                 1.5064,                0.07976,               0.009703,               0.009703,               0.009703,                      0,                0.99999,                0.69484,                0.67839,                0.69438,                0.73616,               0.063131,                0.14858,                0.46747,                0.69191,                0.41068,             0.00013976,                      0,                0.89619,                0.69112,                 0.6751,                0.68477,                0.70636,                0.15557,                0.14901,                0.46949,                0.67956,                0.41068,                0.17678,             0.00047903,                      0,                 0.8605,                0.58712,                0.31808,                0.48547,                0.26387,                0.73613,                0.73613,                    0.8
                      5,                0.80181,                0.58532,                 1.4173,                0.09857,                0.73735,                0.69326,                0.74535,                0.57721,                0.77388,                0.55146,                 1.5603,                0.09928,               0.009604,               0.009604,               0.009604,                      0,                0.99999,                0.69481,                0.67928,                0.69432,                 0.7254,               0.066773,                0.14889,                0.46797,                  0.692,                0.41417,             0.00011667,                      0,                0.67134,                0.68797,                0.67437,                0.65288,                0.62714,                0.23657,                0.16291,                0.47266,                0.65267,                0.41417,                0.51041,              0.0054423,                      0,                0.84991,                0.57984,                0.31694,                0.48256,                0.27463,                0.72537,                0.72537,                      1
                      6,                0.78177,                 0.5615,                 1.4051,                0.09727,                0.74244,                0.72313,                0.76188,                0.59822,                0.75574,                0.52832,                 1.4794,                0.09854,               0.009505,               0.009505,               0.009505,                      0,                0.99999,                0.69485,                0.67775,                0.69426,                0.73651,               0.078028,                0.14725,                0.46613,                 0.6915,                0.41059,             0.00015257,                      0,                0.63198,                0.68538,                0.67121,                0.62029,                 0.6258,                0.30427,                0.17252,                0.47017,                0.62965,                0.41059,                0.60855,               0.011469,                      0,                 0.8385,                0.58711,                0.31611,                0.48511,                0.26353,                0.73647,                0.73647,                      1
                      7,                0.77406,                0.55426,                 1.4011,                 0.0969,                0.74578,                0.74842,                0.77402,                0.61385,                0.72641,                0.50757,                 1.4834,                0.09843,               0.009406,               0.009406,               0.009406,                      0,                0.99999,                0.69461,                0.67763,                 0.6941,                0.72964,                0.08533,                 0.1453,                0.46528,                0.69133,                0.41298,             0.00011886,                      0,                0.61961,                0.68477,                 0.6719,                 0.6096,                0.62585,                0.32077,                0.17632,                0.47227,                0.62934,                0.41298,                0.64269,               0.013846,                      0,                0.83486,                 0.5836,                0.31135,                0.48415,                0.27038,                0.72962,                0.72962,                      1
                      8,                0.76868,                0.54426,                 1.3993,                0.09665,                0.74242,                0.75183,                0.77955,                0.61902,                0.73074,                0.50561,                 1.4541,                 0.0978,               0.009307,               0.009307,               0.009307,                      0,                0.99998,                0.69456,                 0.6757,                0.69399,                0.73494,                0.10079,                 0.1472,                0.46255,                0.69064,                0.40945,             0.00016389,                      0,                 0.6231,                0.68414,                0.66996,                 0.6042,                0.63011,                0.33063,                0.17936,                  0.469,                0.62837,                0.40945,                0.64956,               0.015158,                      0,                 0.8325,                0.58339,                 0.3171,                0.47906,                0.26509,                0.73491,                0.73491,                      1
                      9,                0.76537,                0.54458,                 1.3921,                0.09648,                 0.7548,                0.77162,                0.79574,                0.63678,                0.71842,                0.48518,                 1.4651,                0.09771,               0.009208,               0.009208,               0.009208,                      0,                0.99967,                0.69484,                0.67612,                 0.6935,                0.73596,                 0.1051,                0.14718,                 0.4625,                0.69032,                0.41104,              0.0019952,                      0,                0.62691,                0.68391,                0.67145,                0.60119,                 0.6346,                0.33312,                0.17981,                0.46965,                0.62146,                0.41104,                0.65603,                0.01551,                      0,                0.83137,                0.58587,                0.31775,                 0.4845,                0.26432,                0.73568,                0.73568,                      1
                     10,                0.76345,                 0.5391,                 1.3972,                0.09597,                0.75127,                0.74806,                0.77469,                0.61582,                0.72389,                0.49453,                  1.442,                 0.0984,               0.009109,               0.009109,               0.009109,                      0,                0.99722,                0.69433,                0.67539,                0.69287,                0.73328,                0.11929,                0.14737,                0.46186,                0.68924,                0.41079,               0.010685,                      0,                 0.6194,                0.67945,                0.66725,                0.59077,                0.63395,                0.35404,                0.18009,                0.47067,                0.61122,                0.41079,                0.67378,               0.016479,                      0,                0.82701,                0.58406,                0.31827,                0.48249,                0.26755,                0.73245,                0.73245,                      1
                     11,                0.75244,                0.52594,                  1.398,                0.09579,                0.76342,                0.74807,                0.78514,                0.62803,                0.71758,                0.48791,                 1.4855,                0.09791,                0.00901,                0.00901,                0.00901,                      0,                0.99282,                0.69376,                0.67426,                0.69151,                0.73366,                0.14392,                0.14611,                0.46051,                0.68694,                0.41128,               0.026329,                      0,                0.63129,                0.68135,                 0.6687,                0.58965,                0.63868,                0.35246,                 0.1804,                0.46921,                0.60974,                0.41128,                0.65884,               0.016664,                      0,                0.82566,                0.58568,                0.31684,                  0.484,                0.26814,                0.73186,                0.73186,                      1
                     12,                0.75082,                0.52224,                 1.3906,                0.09328,                0.74034,                0.76118,                 0.7817,                0.62479,                0.71341,                0.48316,                 1.4765,                0.09413,               0.008911,               0.008911,               0.008911,                      0,                0.79468,                0.68637,                0.67134,                0.65971,                0.67341,                0.23455,                0.15372,                0.46743,                 0.6624,                0.41254,                0.34545,                      0,                0.63076,                0.68277,                0.67126,                0.58772,                0.64102,                0.34613,                0.18186,                0.47137,                0.61438,                0.41254,                0.66877,               0.014292,                      0,                0.80354,                0.58096,                0.31278,                0.48099,                0.26996,                0.73004,                0.73004,                      1
                     13,                0.74633,                0.51774,                 1.3923,                0.08989,                0.73812,                0.73063,                0.76599,                0.60719,                0.72325,                0.50486,                 1.5196,                0.09419,               0.008812,               0.008812,               0.008812,                      0,                0.61913,                0.68284,                0.66719,                0.61393,                0.62322,                0.32768,                0.17299,                0.46593,                0.63508,                0.40976,                0.63468,                      0,                0.63063,                0.68214,                0.66762,                 0.5907,                0.63974,                0.35481,                0.18117,                0.46784,                0.61853,                0.40976,                0.66526,               0.010498,                      0,                0.77302,                 0.5842,                0.31812,                0.48102,                0.26312,                0.73688,                0.73688,                      1
                     14,                0.74343,                0.51827,                 1.3831,                0.08798,                0.73831,                0.76494,                0.79002,                0.63927,                0.70056,                0.47343,                 1.4734,                0.09216,               0.008713,               0.008713,               0.008713,                      0,                0.62947,                0.67805,                0.66524,                 0.5929,                0.63531,                0.35352,                0.17225,                0.46674,                0.62541,                0.41092,                0.65155,                      0,                0.63423,                0.68203,                0.66947,                 0.5819,                0.64587,                0.35908,                0.18056,                0.46874,                0.60821,                0.41092,                0.67825,              0.0097591,                      0,                0.75589,                0.58655,                0.31289,                0.48549,                0.26434,                0.73566,                0.73566,                      1
                     15,                 0.7398,                0.51222,                 1.3875,                0.08779,                0.78456,                 0.7711,                0.81676,                0.66398,                0.69305,                0.45983,                 1.4438,                0.09276,               0.008614,               0.008614,               0.008614,                      0,                0.63802,                0.67814,                0.66652,                0.58995,                0.63901,                0.35211,                0.17463,                0.46373,                0.62649,                 0.4106,                0.64177,                      0,                0.63475,                0.68207,                 0.6696,                0.58163,                0.64432,                0.35801,                0.18231,                0.46648,                0.60494,                 0.4106,                0.67101,               0.010347,                      0,                0.75406,                 0.5856,                0.31765,                0.48426,                0.26381,                0.73619,                0.73619,                      1
                     16,                0.73936,                0.51001,                 1.3851,                0.08791,                0.76321,                0.77868,                0.81445,                0.65997,                0.69687,                0.46355,                 1.4804,                0.09176,               0.008515,               0.008515,               0.008515,                      0,                0.63571,                0.67869,                0.66717,                0.59175,                0.63579,                0.34867,                 0.1753,                0.46538,                0.61907,                0.41236,                0.63599,                      0,                 0.6283,                0.68169,                0.66894,                0.58509,                0.63817,                0.36106,                0.18212,                0.47054,                0.60093,                0.41236,                0.66511,                0.01009,                      0,                0.75647,                0.58123,                0.31533,                0.48155,                0.26825,                0.73175,                0.73175,                      1
                     17,                0.73681,                0.50519,                 1.3853,                0.08694,                0.77743,                 0.7749,                0.81798,                0.65643,                  0.705,                0.47041,                 1.5003,                0.09237,               0.008416,               0.008416,               0.008416,                      0,                0.64482,                0.67595,                0.66502,                0.57981,                 0.6435,                0.36057,                 0.1754,                0.46397,                 0.6262,                0.41182,                0.63995,                      0,                0.62309,                 0.6782,                0.66546,                0.57789,                0.63858,                0.37382,                0.18121,                0.47083,                0.60621,                0.41182,                0.68016,               0.010486,                      0,                0.74546,                0.58096,                0.31421,                0.47986,                0.27155,                0.72845,                0.72845,                      1
                     18,                 0.7309,                0.49881,                 1.3733,                0.08676,                0.78611,                0.78903,                0.82795,                0.66917,                0.69289,                0.45284,                 1.4593,                0.09145,               0.008317,               0.008317,               0.008317,                      0,                 0.6468,                 0.6757,                0.66097,                0.58146,                0.64666,                0.37111,                0.17466,                0.46119,                0.61774,                0.40969,                0.64628,                      0,                0.63369,                0.67779,                0.66331,                0.57545,                0.64584,                0.37781,                0.18155,                 0.4689,                0.60484,                0.40969,                0.67954,               0.010153,                      0,                 0.7449,                 0.5827,                0.32068,                0.47864,                0.26495,                0.73505,                0.73505,                      1
                     19,                0.72938,                0.49695,                   1.38,                0.08668,                0.79466,                0.78713,                0.82528,                0.67096,                0.68937,                0.44458,                 1.4715,                0.09114,               0.008218,               0.008218,               0.008218,                      0,                0.64923,                0.67879,                0.66533,                0.57704,                 0.6482,                0.36716,                0.17751,                0.46131,                0.62492,                0.41019,                 0.6454,                      0,                0.63466,                0.67998,                0.66445,                0.57652,                0.64621,                0.37876,                0.18181,                0.46786,                0.60564,                0.41019,                0.67786,                0.01104,                      0,                0.74313,                0.58532,                0.31768,                0.48241,                0.26725,                0.73275,                0.73275,                      1
                     20,                0.72724,                0.49662,                  1.375,                0.08683,                0.79138,                0.77545,                0.81983,                0.66682,                0.68631,                0.45067,                 1.4564,                0.09099,               0.008119,               0.008119,               0.008119,                      0,                0.63977,                0.67682,                0.66642,                 0.5801,                0.64048,                0.36005,                0.17573,                0.46544,                 0.6253,                0.41197,                0.64241,                      0,                0.62371,                0.67869,                0.66724,                0.57426,                0.63863,                0.37512,                0.18273,                 0.4727,                0.60196,                0.41197,                0.67913,               0.010366,                      0,                0.74483,                0.58195,                0.31557,                0.48117,                0.26921,                0.73079,                0.73079,                      1
                     21,                0.72899,                0.49378,                 1.3743,                0.08653,                0.79304,                0.79156,                0.83652,                0.67821,                0.68973,                 0.4484,                 1.4707,                0.09113,                0.00802,                0.00802,                0.00802,                      0,                0.65078,                0.67893,                0.66668,                 0.5781,                0.64733,                0.36445,                0.17781,                0.46249,                0.61732,                0.41286,                0.63816,                      0,                0.63597,                   0.68,                0.66662,                0.57378,                0.64636,                0.37694,                0.18325,                0.46978,                0.59432,                0.41286,                0.67393,               0.010643,                      0,                0.74332,                0.57717,                0.31643,                0.47805,                 0.2735,                 0.7265,                 0.7265,                      1
                     22,                0.72295,                  0.491,                 1.3794,                0.08623,                0.78701,                0.79422,                0.83073,                0.67764,                0.68063,                0.43951,                 1.4656,                0.09159,               0.007921,               0.007921,               0.007921,                      0,                 0.6504,                0.67667,                0.66458,                  0.575,                0.64955,                 0.3714,                0.17419,                0.46181,                0.61367,                0.41166,                0.64718,                      0,                0.63245,                0.67893,                0.66482,                 0.5736,                0.64513,                0.38144,                0.17981,                0.46868,                0.59628,                0.41166,                0.68012,               0.010329,                      0,                 0.7407,                0.58783,                0.31497,                0.48757,                0.26605,                0.73395,                0.73395,                      1
                     23,                 0.7222,                0.48823,                 1.3825,                0.08681,                0.81465,                0.80395,                0.84987,                0.69127,                0.68613,                0.44173,                  1.475,                0.09078,               0.007822,               0.007822,               0.007822,                      0,                0.65336,                0.68057,                0.66773,                0.57831,                0.64966,                0.36477,                0.17701,                0.46112,                0.62837,                0.41033,                0.63952,                      0,                0.63734,                 0.6806,                0.66698,                0.57446,                0.64621,                0.37358,                0.18214,                0.46719,                0.60685,                0.41033,                0.67056,               0.010657,                      0,                 0.7439,                0.58385,                0.31669,                 0.4814,                0.26724,                0.73276,                0.73276,                      1
                     24,                 0.7203,                0.48733,                 1.3775,                0.08612,                0.82323,                0.77998,                0.84752,                0.69536,                0.67779,                0.43105,                 1.4609,                0.09063,               0.007723,               0.007723,               0.007723,                      0,                0.64345,                0.67735,                0.66741,                0.57322,                0.64557,                0.36974,                0.17651,                0.46465,                0.61956,                0.41155,                0.65145,                      0,                0.63262,                0.68065,                0.66895,                0.56809,                0.64544,                0.37962,                0.18399,                0.47095,                0.60163,                0.41155,                0.68098,               0.011268,                      0,                0.73849,                0.58422,                 0.3137,                0.48391,                0.26505,                0.73495,                0.73495,                      1
                     25,                0.71607,                0.48223,                 1.3803,                0.08626,                0.81627,                0.81752,                 0.8524,                0.69832,                0.67801,                0.42812,                 1.4504,                0.09053,               0.007624,               0.007624,               0.007624,                      0,                0.64288,                0.67729,                0.66609,                 0.5759,                0.64645,                 0.3712,                0.17589,                0.46564,                0.61833,                0.41361,                0.65605,                      0,                0.62589,                0.67828,                0.66602,                0.56985,                0.64425,                0.38486,                0.18204,                0.47346,                0.59683,                0.41361,                0.69358,               0.010158,                      0,                 0.7404,                0.58057,                0.31345,                 0.4822,                 0.2713,                 0.7287,                 0.7287,                      1
