                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_class0_prompt_accuracy,p2/P3_class0_prompt_correlation,p2/P3_class1_prompt_accuracy,p2/P3_class1_prompt_correlation,p2/P3_class2_prompt_accuracy,p2/P3_class2_prompt_correlation,p2/P3_class3_prompt_accuracy,p2/P3_class3_prompt_correlation,p2/P3_class4_prompt_accuracy,p2/P3_class4_prompt_correlation,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_class_winner_balanced_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_class0_prompt_accuracy,p2/P4_class0_prompt_correlation,p2/P4_class1_prompt_accuracy,p2/P4_class1_prompt_correlation,p2/P4_class2_prompt_accuracy,p2/P4_class2_prompt_correlation,p2/P4_class3_prompt_accuracy,p2/P4_class3_prompt_correlation,p2/P4_class4_prompt_accuracy,p2/P4_class4_prompt_correlation,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_class_winner_balanced_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                 1.3151,                 1.4849,                 1.5592,                 0.0201,                 0.3654,                  0.598,                 0.4528,                0.31686,                  0.995,                0.83807,                 1.5185,                 0.0201,               0.070106,              0.0033215,              0.0033215,                0.69445,               0.034897,                0.75703,               0.064606,                0.81315,              0.0074295,                0.75385,               0.061001,                0.77717,               0.059558,                      0,                0.95893,                0.69318,                 0.6931,                0.86642,                0.69314,                0.70655,               0.034368,                 0.1581,                0.49986,                0.69314,                0.41359,               0.039621,                0.69647,               0.032962,                0.75838,               0.044474,                0.81618,              -0.065143,                0.75549,               0.049571,                0.78123,               0.056239,                      0,                0.96348,                0.69315,                0.69245,                 0.8662,                0.69312,                0.70864,                0.03177,                0.15758,                0.49861,                0.69311,                0.41359,               0.035216,             1.6899e-06,                      0,                0.86635,                0.57858,                0.31632,                0.47969,                0.27453,                0.72547,                0.72547,                    0.2
                      2,                 1.0687,                0.88083,                 1.4204,                0.04017,                0.58622,                0.68614,                0.63796,                0.47308,                0.84981,                0.66192,                 1.4602,                0.04016,                0.04004,               0.006589,               0.006589,                 0.7171,               0.049509,                0.76763,                0.07141,                0.83725,               -0.01511,                0.76336,               0.096839,                0.80823,                0.06524,                      0,                0.99998,                0.69311,                0.69199,                0.86608,                0.69311,                 0.7284,               0.048424,                0.15748,                0.49773,                0.69307,                0.41238,             0.00016022,                0.71707,               0.075827,                0.76763,                0.07011,                0.83715,              -0.030752,                0.76336,                0.11128,                0.80812,                0.06682,                      0,                      1,                0.69323,                0.68575,                0.86443,                0.69313,                0.72836,               0.073708,                  0.153,                0.48479,                0.69241,                0.41238,                      0,             0.00010018,                      0,                0.86556,                0.57974,                0.31685,                0.47904,                0.27164,                0.72836,                0.72836,                    0.4
                      3,                0.90102,                 0.6997,                 1.4097,                 0.0601,                0.62688,                0.66277,                0.65698,                0.50483,                0.79024,                0.58517,                 1.5341,                0.06013,              0.0099086,              0.0097904,              0.0097904,                0.71917,               0.065141,                0.76181,               0.086281,                0.82703,              0.0049782,                0.77771,                0.10771,                0.80416,               0.059148,                      0,                0.99999,                0.69366,                0.68417,                0.86461,                0.69354,                0.73011,               0.063825,                0.15088,                0.48071,                0.69243,                0.41206,             4.4649e-05,                0.71776,                0.14672,                0.75757,                0.19847,                0.82299,               0.087162,                0.76839,                0.19126,                0.79891,                0.16458,                      0,                0.98976,                0.69327,                 0.6772,                0.86138,                0.69182,                0.72811,                0.14779,                0.14674,                 0.4676,                0.68838,                0.41206,                0.02036,             0.00014664,                      0,                0.86348,                0.58341,                0.31463,                0.48316,                 0.2699,                 0.7301,                 0.7301,                    0.6
                      4,                0.81778,                0.61074,                 1.4282,                0.07832,                0.66686,                0.71615,                0.69748,                0.53538,                0.77988,                0.57864,                 1.5322,                0.07862,               0.009703,               0.009703,               0.009703,                0.72446,               0.071186,                0.76078,               0.083663,                0.84393,               0.013876,                0.78508,                 0.1194,                0.82005,               0.083844,                      0,                0.99998,                0.69509,                0.67725,                0.86258,                0.69453,                0.73615,               0.070511,                0.14799,                0.46465,                0.69158,                0.41068,             0.00012423,                0.66908,                0.28436,                0.66096,                 0.3668,                0.72296,                0.25144,                0.68835,                0.29904,                 0.7134,                0.27283,                      0,                0.76015,                0.68078,                0.66213,                0.81017,                0.63833,                0.67286,                0.28917,                0.15754,                0.45902,                0.63449,                0.41068,                0.42935,              0.0068094,                      0,                0.84448,                0.58712,                0.31808,                0.48547,                0.26387,                0.73613,                0.73613,                    0.8
                      5,                0.80259,                0.58688,                 1.4172,                0.09605,                0.66165,                0.69632,                0.70111,                0.53318,                0.80611,                0.59753,                 1.5878,                 0.0998,               0.009604,               0.009604,               0.009604,                0.71233,               0.077226,                  0.772,               0.098167,                0.83619,                0.02632,                0.77703,                0.16616,                0.81071,                0.13116,                      0,                0.99999,                0.69506,                0.67807,                0.86303,                0.69441,                0.72539,               0.078066,                0.14829,                0.46495,                0.69164,                0.41417,             0.00010208,                0.64262,                0.35462,                0.58276,                0.39038,                0.68451,                0.34912,                0.63712,                0.35628,                0.67647,                0.34871,                      0,                0.63692,                0.67671,                0.66543,                 0.7695,                0.57866,                0.64225,                0.35754,                0.17964,                 0.4617,                0.60305,                0.41417,                0.65633,               0.017836,                      0,                0.82807,                0.57984,                0.31694,                0.48256,                0.27463,                0.72537,                0.72537,                      1
                      6,                0.78245,                0.56381,                 1.4043,                0.09541,                0.73403,                0.70122,                0.74325,                0.57668,                0.76659,                 0.5498,                 1.4817,                0.09888,               0.009505,               0.009505,               0.009505,                 0.7248,               0.092901,                 0.7715,                0.12374,                0.83496,               0.051183,                  0.788,                0.17472,                  0.817,               0.095422,                      0,                0.99998,                0.69509,                0.67645,                0.86255,                0.69422,                0.73651,               0.093429,                0.14658,                0.46303,                 0.6909,                0.41059,             0.00022886,                0.64403,                0.38821,                0.60097,                 0.4367,                0.68669,                0.34569,                0.61424,                0.34969,                0.66362,                0.36309,                      0,                0.63096,                0.67407,                0.66106,                0.75942,                0.56247,                0.64338,                0.38902,                0.18096,                0.46219,                0.58268,                0.41059,                0.67809,               0.020536,                      0,                0.82315,                0.58711,                0.31611,                0.48511,                0.26353,                0.73647,                0.73647,                      1
                      7,                  0.774,                 0.5549,                  1.401,                0.09513,                0.74214,                0.73149,                0.75479,                0.59809,                0.72834,                0.51316,                 1.4825,                0.09685,               0.009406,               0.009406,               0.009406,                0.71716,                0.11779,                0.77141,                 0.1255,                0.83474,               0.065679,                  0.778,                0.21512,                0.82394,                0.13307,                      0,                0.99746,                0.69436,                0.67618,                0.86172,                 0.6932,                0.73021,                0.11721,                 0.1446,                0.46278,                0.68967,                0.41298,              0.0090484,                0.63907,                0.39677,                0.60604,                0.44933,                0.70579,                0.34169,                0.64305,                0.39798,                0.68903,                0.38339,                      0,                0.62447,                0.67422,                0.66216,                0.74827,                0.55598,                0.64196,                 0.4001,                0.18194,                 0.4661,                0.59539,                0.41298,                0.68916,                0.02172,                      0,                0.81962,                 0.5836,                0.31135,                0.48415,                0.27038,                0.72962,                0.72962,                      1
                      8,                0.76834,                0.54509,                 1.3969,                0.08991,                0.75496,                0.72605,                0.76824,                  0.609,                0.72532,                0.50246,                 1.4611,                0.09235,               0.009307,               0.009307,               0.009307,                0.62904,                0.29184,                0.61816,                0.36529,                0.71117,                0.31321,                0.67389,                0.33274,                0.68529,                0.33465,                      0,                0.67396,                0.68151,                0.66642,                0.79787,                0.63095,                0.63463,                0.29998,                0.16529,                0.46901,                0.64278,                0.40945,                0.52561,                0.64783,                0.40595,                0.60328,                0.45886,                0.70194,                  0.368,                0.64349,                0.38875,                0.65905,                0.39416,                      0,                0.63183,                0.67188,                0.65851,                0.74199,                0.54743,                0.64786,                0.40836,                0.18315,                0.46024,                0.58894,                0.40945,                 0.6923,               0.014788,                      0,                0.77415,                0.58339,                 0.3171,                0.47906,                0.26509,                0.73491,                0.73491,                      1
                      9,                0.76548,                0.54339,                  1.394,                0.08744,                0.75553,                 0.7507,                0.77545,                0.61978,                0.71878,                 0.4888,                 1.4648,                0.09246,               0.009208,               0.009208,               0.009208,                0.63636,                0.34731,                0.59975,                0.43637,                0.70493,                0.34603,                0.63499,                0.32352,                0.69403,                0.35694,                      0,                 0.6368,                0.67822,                0.66538,                0.76971,                0.58914,                0.63905,                0.35732,                0.17366,                0.46443,                  0.623,                0.41104,                 0.6453,                0.65053,                 0.4013,                0.61112,                0.44831,                0.70077,                0.34965,                0.61368,                 0.3383,                0.69144,                 0.3896,                      0,                0.63537,                0.67237,                0.66046,                0.74839,                0.54908,                0.65087,                0.40373,                0.18273,                0.45981,                 0.5875,                0.41104,                  0.694,              0.0097389,                      0,                0.75216,                0.58587,                0.31775,                 0.4845,                0.26432,                0.73568,                0.73568,                      1
                     10,                0.76387,                0.53983,                 1.3957,                0.08562,                0.74992,                0.76194,                0.78718,                0.63031,                0.72003,                0.48716,                 1.4517,                0.09218,               0.009109,               0.009109,               0.009109,                0.65209,                0.37566,                0.59029,                0.44089,                0.72642,                0.36691,                0.65744,                 0.3366,                0.68509,                0.37915,                      0,                0.65889,                0.67618,                0.66209,                0.75545,                0.57101,                0.65305,                  0.382,                0.17508,                0.45938,                0.60349,                0.41079,                0.63706,                0.65109,                0.42048,                0.59997,                0.46169,                0.73042,                0.38192,                 0.6343,                0.37429,                0.67532,                0.41406,                      0,                0.63649,                0.67064,                0.65701,                0.73664,                0.53946,                0.65193,                0.42309,                0.18341,                0.46036,                0.57545,                0.41079,                 0.6942,              0.0099827,                      0,                0.73739,                0.58406,                0.31827,                0.48249,                0.26755,                0.73245,                0.73245,                      1
