                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                  1.312,                 1.4938,                 1.5534,                 0.0201,                 0.3475,                 0.5794,                 0.4411,                0.32315,                0.91468,                0.90668,                 1.4451,                 0.0201,               0.070106,              0.0033215,              0.0033215,                      0,                 0.9589,                0.69318,                0.69311,                0.69314,                0.70651,               0.034044,                 0.1581,                0.49987,                0.69314,                0.41359,               0.039564,                      0,                0.96348,                0.69315,                 0.6925,                0.69312,                0.70864,               0.032656,                0.15762,                 0.4987,                0.69311,                0.41359,            -2.7764e-07,               0.035216,             1.4148e-06,                      0,                0.86636,                0.57858,                0.31632,                0.47969,                0.27453,                0.72547,                0.72547,                    0.2
                      2,                 1.0725,                0.89928,                 1.4156,                0.04017,                0.59339,                0.68156,                0.63471,                0.47272,                0.84666,                0.65883,                 1.4716,                0.04015,                0.04004,               0.006589,               0.006589,                      0,                0.99999,                0.69311,                  0.692,                0.69311,                0.72839,               0.049011,                0.15749,                0.49775,                0.69307,                0.41238,             0.00013109,                      0,                      1,                0.69321,                0.68591,                0.69312,                0.72836,               0.073001,                0.15311,                0.48514,                0.69241,                0.41238,            -1.4624e-05,                      0,             9.5095e-05,                      0,                0.86561,                0.57974,                0.31685,                0.47904,                0.27164,                0.72836,                0.72836,                    0.4
                      3,                0.89883,                0.69994,                 1.4066,                 0.0601,                0.63863,                0.63558,                0.64758,                0.49069,                0.81458,                0.60722,                 1.5665,                0.06008,              0.0099086,              0.0097904,              0.0097904,                      0,                      1,                0.69368,                0.68397,                0.69355,                0.73011,               0.064517,                0.15075,                0.48028,                 0.6924,                0.41206,             4.4649e-05,                      0,                 0.9894,                0.69312,                0.67765,                0.69171,                0.72793,                0.14888,                  0.147,                0.46891,                0.68836,                0.41206,            -2.4511e-05,               0.020628,             0.00012894,                      0,                 0.8634,                0.58341,                0.31463,                0.48316,                 0.2699,                 0.7301,                 0.7301,                    0.6
                      4,                0.81754,                0.61107,                 1.4268,                0.07817,                0.69236,                0.71388,                0.72399,                0.55849,                0.76466,                0.55197,                 1.5359,                0.07825,               0.009703,               0.009703,               0.009703,                      0,                0.99999,                0.69492,                 0.6777,                0.69435,                0.73616,               0.073442,                0.14821,                0.46587,                0.69152,                0.41068,             0.00013976,                      0,                0.73986,                0.68085,                0.66505,                0.63476,                0.66639,                 0.2912,                0.16015,                0.46436,                0.63024,                0.41068,            -0.00043366,                0.46142,              0.0074193,                      0,                0.84286,                0.58712,                0.31808,                0.48547,                0.26387,                0.73613,                0.73613,                    0.8
                      5,                0.80223,                0.58635,                  1.416,                0.09544,                0.73433,                0.70574,                0.74309,                0.58023,                0.74793,                0.53728,                  1.497,                0.09716,               0.009604,               0.009604,               0.009604,                      0,                0.99999,                0.69491,                0.67834,                0.69423,                0.72542,               0.082213,                0.14841,                0.46576,                0.69149,                0.41417,             0.00018958,                      0,                0.63333,                0.67875,                0.66931,                 0.5724,                0.64097,                0.36304,                0.18282,                0.46405,                0.59589,                0.41417,             0.00052357,                0.66116,               0.019601,                      0,                0.82245,                0.57984,                0.31694,                0.48256,                0.27463,                0.72537,                0.72537,                      1
                      6,                 0.7831,                 0.5636,                 1.4017,                0.09463,                 0.7008,                0.67747,                0.70589,                0.53955,                0.78547,                0.58578,                 1.5068,                0.09867,               0.009505,               0.009505,               0.009505,                      0,                0.99999,                0.69496,                0.67616,                  0.694,                0.73651,                0.10603,                0.14641,                0.46268,                0.69054,                0.41059,             0.00016783,                      0,                 0.6331,                0.67603,                0.66447,                0.55487,                0.64447,                0.39641,                0.18322,                0.46366,                0.57807,                0.41059,              0.0010884,                0.67624,               0.022325,                      0,                0.81569,                0.58711,                0.31611,                0.48511,                0.26353,                0.73647,                0.73647,                      1
                      7,                0.77349,                0.55547,                 1.3978,                0.09444,                0.74221,                0.73154,                0.75764,                 0.5983,                0.73499,                0.51666,                 1.4763,                0.09634,               0.009406,               0.009406,               0.009406,                      0,                0.99992,                0.69471,                0.67525,                0.69354,                 0.7297,                0.12463,                0.14419,                0.46006,                0.68963,                0.41298,             0.00050516,                      0,                0.63602,                0.67733,                0.66572,                0.54851,                0.64901,                0.40239,                0.18443,                0.46408,                0.58801,                0.41298,            -0.00024709,                0.68407,               0.023565,                      0,                0.81321,                 0.5836,                0.31135,                0.48415,                0.27038,                0.72962,                0.72962,                      1
                      8,                0.76938,                0.54644,                 1.3949,                0.09192,                0.67846,                0.64872,                0.67693,                0.51839,                0.77929,                0.59233,                 1.5181,                0.09331,               0.009307,               0.009307,               0.009307,                      0,                 0.8445,                0.68836,                0.66993,                0.66721,                 0.6886,                0.22341,                0.15347,                0.46267,                0.66444,                0.40945,                0.25638,                      0,                0.63908,                 0.6751,                0.66263,                0.54027,                0.65219,                0.41177,                 0.1859,                0.46056,                0.58222,                0.40945,              0.0046463,                0.68852,               0.021117,                      0,                0.79177,                0.58339,                 0.3171,                0.47906,                0.26509,                0.73491,                0.73491,                      1
                      9,                0.76607,                0.54481,                 1.3921,                0.08628,                0.74751,                 0.7454,                0.77468,                0.61922,                0.72392,                0.49634,                 1.4881,                0.09064,               0.009208,               0.009208,               0.009208,                      0,                0.64091,                0.68087,                0.66875,                0.59015,                 0.6398,                0.34814,                0.17569,                0.46318,                0.62252,                0.41104,                 0.6367,                      0,                0.64328,                0.67534,                0.66422,                0.54189,                 0.6549,                0.40897,                0.18509,                0.45931,                0.58373,                0.41104,              0.0072208,                0.68726,                0.01142,                      0,                0.74087,                0.58587,                0.31775,                 0.4845,                0.26432,                0.73568,                0.73568,                      1
                     10,                0.76413,                0.54067,                 1.3956,                0.08391,                 0.7475,                0.75558,                0.78032,                0.62305,                0.72051,                0.49335,                 1.4522,                0.08969,               0.009109,               0.009109,               0.009109,                      0,                0.66458,                0.68018,                0.66711,                0.56705,                0.65491,                0.37619,                0.17945,                0.45771,                0.60156,                0.41079,                0.62847,                      0,                0.64885,                0.67351,                0.66113,                0.52998,                0.65909,                0.42656,                0.18564,                0.45923,                0.56876,                0.41079,              0.0081157,                0.68712,               0.011158,                      0,                0.72097,                0.58406,                0.31827,                0.48249,                0.26755,                0.73245,                0.73245,                      1
