                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2961,                 1.4906,                 1.5619,                 0.3605,                0.61645,                0.44231,                0.32183,                0.90813,                 0.8098,                 1.4933,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0799,                0.89235,                 1.4241,                0.57323,                0.64658,                0.60971,                0.44525,                0.91866,                0.71616,                 1.4904,                0.04004,               0.006589,               0.006589
                      3,                 0.8981,                0.69908,                 1.4128,                0.62965,                0.65792,                0.64952,                0.49366,                0.80661,                0.60175,                 1.6341,              0.0099086,              0.0097904,              0.0097904
                      4,                0.81614,                0.60905,                 1.4283,                0.66857,                0.69696,                0.70361,                0.54158,                0.77413,                0.56885,                 1.5243,               0.009703,               0.009703,               0.009703
                      5,                0.79997,                 0.5859,                 1.4206,                0.63271,                0.68404,                0.66876,                0.51485,                0.77128,                0.59012,                 1.5403,               0.009604,               0.009604,               0.009604
                      6,                0.78417,                0.56479,                 1.4063,                0.74161,                0.73273,                0.76747,                0.60472,                0.75066,                0.51736,                 1.5152,               0.009505,               0.009505,               0.009505
                      7,                 0.7749,                0.55147,                 1.4075,                0.72652,                0.74262,                0.76971,                0.61331,                0.73143,                0.50363,                 1.4839,               0.009406,               0.009406,               0.009406
                      8,                0.77033,                0.54743,                 1.4089,                 0.7276,                0.71861,                0.74935,                0.59172,                0.74336,                0.51893,                 1.5141,               0.009307,               0.009307,               0.009307
                      9,                0.76436,                0.53747,                  1.394,                0.75952,                0.76446,                0.78773,                 0.6282,                0.72005,                0.48476,                 1.4629,               0.009208,               0.009208,               0.009208
                     10,                0.75951,                0.53429,                 1.3893,                0.74444,                0.73287,                0.77195,                 0.6168,                0.72693,                0.50746,                  1.493,               0.009109,               0.009109,               0.009109
                     11,                0.75467,                0.52711,                 1.3921,                0.74286,                0.74988,                 0.7778,                 0.6202,                0.72484,                0.51083,                  1.519,                0.00901,                0.00901,                0.00901
                     12,                0.75015,                0.52037,                 1.3902,                0.78295,                0.77451,                0.81373,                0.65339,                0.70539,                 0.4704,                 1.4565,               0.008911,               0.008911,               0.008911
                     13,                 0.7459,                0.52086,                 1.3855,                0.78898,                0.75785,                0.81075,                0.65013,                0.70781,                0.47364,                 1.5006,               0.008812,               0.008812,               0.008812
                     14,                0.74392,                 0.5172,                 1.3845,                0.76617,                0.77428,                0.81389,                0.65621,                0.70456,                0.47593,                 1.4532,               0.008713,               0.008713,               0.008713
                     15,                0.74108,                0.51161,                 1.3833,                0.78557,                0.78554,                0.82231,                0.66569,                0.69845,                0.46319,                 1.4696,               0.008614,               0.008614,               0.008614
                     16,                0.73768,                0.50669,                 1.3804,                0.79171,                0.78921,                0.83366,                0.67479,                0.69224,                0.45654,                 1.4545,               0.008515,               0.008515,               0.008515
                     17,                0.73376,                0.50469,                 1.3828,                0.77446,                0.79145,                0.82495,                0.67124,                0.69304,                0.45492,                 1.4695,               0.008416,               0.008416,               0.008416
                     18,                0.73017,                0.50016,                 1.3783,                0.81041,                0.78912,                0.84588,                 0.6849,                0.68874,                 0.4456,                 1.4581,               0.008317,               0.008317,               0.008317
                     19,                0.72875,                0.49685,                 1.3852,                0.76045,                0.73334,                0.77965,                 0.6249,                0.71839,                0.48514,                 1.4847,               0.008218,               0.008218,               0.008218
                     20,                0.72837,                0.49823,                 1.3799,                 0.7947,                0.79458,                  0.835,                0.67757,                0.68639,                0.44886,                 1.4623,               0.008119,               0.008119,               0.008119
                     21,                0.72734,                0.49239,                  1.383,                0.79274,                0.80124,                 0.8397,                0.68495,                0.68365,                 0.4395,                 1.4603,                0.00802,                0.00802,                0.00802
                     22,                0.71853,                0.49092,                 1.3789,                0.80306,                0.80699,                0.83706,                0.68425,                0.67813,                0.43567,                 1.4568,               0.007921,               0.007921,               0.007921
                     23,                0.72117,                0.48944,                  1.386,                0.81664,                0.79746,                 0.8506,                0.69675,                 0.6812,                0.43241,                 1.4515,               0.007822,               0.007822,               0.007822
                     24,                0.71909,                0.48785,                 1.3799,                0.81685,                 0.7931,                 0.8462,                 0.6939,                0.67962,                0.43353,                 1.4568,               0.007723,               0.007723,               0.007723
