                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/true_object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/true_object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,p2/P3_gate_prompt_direction_agreement,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_gate_accuracy,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,  p2/P3_prompt_strength,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,p2/P4_gate_prompt_direction_agreement,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_gate_accuracy,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,  p2/P4_prompt_strength,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                      1,                  1.338,                 1.4895,                 1.6103,                0.02303,                0.37868,                0.55692,                0.45568,                0.33868,                0.91068,                0.76267,                 1.5024,                0.02381,               0.070106,              0.0033215,              0.0033215,                0.68956,                0.91954,                0.96474,                0.70677,                0.67779,                0.67401,                0.70627,                  0.711,               0.028792,                0.15785,                0.44224,                0.69249,                0.41307,                      1,               0.039997,                0.71237,                0.97802,                 0.3997,                0.69426,                0.69953,                0.44576,                0.69448,                0.45575,             -0.0031031,                0.16686,                 0.5106,                0.69338,                0.41307,                      1,                0.60396,              0.0054112,                0.13943,                 0.8736,                0.57662,                0.31811,                0.47728,                0.27439,                0.72561,                0.72561,                    0.2
                      2,                 1.0754,                0.89035,                 1.4197,                 0.0473,                0.56179,                0.63087,                0.61289,                0.45724,                0.85714,                0.68951,                 1.4554,                0.04737,                0.04004,               0.006589,               0.006589,                0.70494,                      1,                      1,                0.73419,                0.65928,                0.72648,                0.73069,                0.72648,                0.18371,                0.16763,                0.35042,                0.68017,                0.41275,                      1,                      0,                0.85695,                0.99997,             0.00014649,                0.70582,                  0.742,                0.27349,                0.70643,                0.27348,              -0.054007,                0.21248,                0.57271,                  0.696,                0.41275,                      1,                0.99947,               0.025729,                0.15112,                0.89431,                0.57994,                0.31752,                0.48022,                0.27352,                0.72648,                0.72648,                    0.4
                      3,                0.89734,                0.69237,                 1.4101,                  0.069,                0.59236,                0.67158,                0.63874,                0.48314,                0.79191,                0.60419,                 1.5511,                0.07038,              0.0099086,              0.0097904,              0.0097904,                0.65969,                      1,                      1,                0.72212,                0.64861,                0.72831,                0.71228,                0.72831,                 0.3375,                0.16004,                0.35217,                0.65702,                0.41209,                      1,                      0,                0.78718,                      1,             1.0948e-05,                0.69829,                0.72043,                 0.2717,                0.69812,                 0.2717,               -0.02914,                0.18937,                0.54443,                0.69398,                0.41209,                      1,                      1,               0.019826,                0.14044,                 0.8757,                0.58377,                0.31608,                0.48301,                0.27169,                0.72831,                0.72831,                    0.6
                      4,                 0.8156,                0.60891,                  1.429,                0.08958,                0.67949,                0.69272,                0.70732,                0.54353,                0.77592,                0.56883,                 1.5211,                0.09005,               0.009703,               0.009703,               0.009703,                0.62919,                      1,                      1,                0.70658,                0.64001,                0.73139,                0.68938,                0.73139,                0.36198,                 0.1498,                 0.3666,                0.64278,                0.41144,                      1,                      0,                0.72056,                0.99936,              0.0014916,                0.69379,                0.70154,                0.26888,                0.69349,                0.26893,                0.03864,                 0.1692,                0.51593,                0.69273,                0.41144,                      1,                0.99712,                0.01348,                0.13193,                0.85588,                0.58154,                0.31764,                0.48009,                0.26861,                0.73139,                0.73139,                    0.8
                      5,                0.80059,                0.58615,                 1.4205,                0.11044,                 0.6548,                 0.6813,                0.68411,                0.52176,                0.78614,                0.57563,                 1.6099,                0.11204,               0.009604,               0.009604,               0.009604,                0.61215,                      1,                      1,                0.69792,                0.63783,                0.73212,                0.67579,                0.73212,                0.35326,                0.14372,                0.37785,                0.64365,                0.41178,                      1,                      0,                0.68607,                0.98497,                0.77646,                0.69313,                0.68876,                0.63292,                0.69266,                0.63974,               0.057452,                0.15454,                 0.4915,                0.69229,                0.41178,                      1,                0.26608,              0.0094936,                0.12736,                0.84512,                0.58357,                0.31502,                0.48308,                0.26788,                0.73212,                0.73212,                      1
                      6,                0.78504,                0.56559,                 1.4071,                0.10945,                0.66236,                 0.6671,                0.69702,                0.54054,                0.77773,                0.59171,                 1.5315,                0.11162,               0.009505,               0.009505,               0.009505,                0.60019,                      1,                      1,                0.69337,                0.63428,                0.73077,                0.66767,                0.73077,                0.36958,                0.14318,                0.37958,                 0.6345,                0.41158,                      1,                      0,                0.67475,                0.98868,                0.96757,                0.69363,                0.68268,                0.72144,                0.69306,                0.72613,               0.055227,                0.15096,                0.47809,                0.69201,                0.41158,                      1,               0.070773,              0.0085702,                0.12501,                0.83874,                0.58147,                0.31718,                0.48018,                0.26923,                0.73077,                0.73077,                      1
                      7,                0.77657,                0.55224,                 1.4066,                 0.1093,                  0.746,                0.73944,                0.77996,                0.61839,                0.73967,                 0.5115,                  1.494,                0.11114,               0.009406,               0.009406,               0.009406,                0.59684,                      1,                      1,                0.69297,                0.63531,                 0.7319,                0.66508,                 0.7319,                0.36315,                0.14183,                0.38161,                0.64194,                0.41235,                      1,                      0,                0.66971,                0.99181,                0.97667,                0.69414,                 0.6802,                0.72662,                0.69322,                0.72903,               0.061961,                0.14826,                0.47194,                0.69183,                0.41235,                      1,               0.053009,              0.0081098,                0.12423,                0.83703,                0.58358,                0.31518,                0.48351,                 0.2681,                 0.7319,                 0.7319,                      1
                      8,                0.77283,                0.54866,                 1.4078,                0.10859,                0.73137,                0.72833,                0.74702,                0.59402,                0.73354,                0.51206,                 1.4634,                0.11126,               0.009307,               0.009307,               0.009307,                0.58838,                0.99997,                0.99992,                0.68898,                0.63235,                0.73225,                0.65971,                0.73226,                0.37469,                0.13975,                0.38386,                0.63154,                0.41137,                      1,              0.0001522,                0.66568,                0.99264,                0.97552,                0.69418,                0.67826,                0.72677,                 0.6932,                0.72928,               0.069541,                0.14718,                0.46806,                0.69135,                0.41137,                      1,               0.055782,              0.0079103,                0.12283,                0.83279,                0.58421,                0.31482,                 0.4831,                0.26773,                0.73227,                0.73227,                      1
                      9,                0.76685,                0.54022,                 1.3949,                0.10848,                0.75733,                  0.768,                0.79125,                0.63103,                0.72197,                0.49772,                 1.4651,                0.11101,               0.009208,               0.009208,               0.009208,                 0.5854,                 0.9999,                0.99987,                0.68907,                0.63228,                0.73496,                0.65856,                0.73499,                0.37266,                0.13959,                 0.3834,                0.63952,                0.41024,                      1,             0.00065515,                 0.6619,                0.99255,                0.97904,                0.69352,                0.67723,                0.73115,                0.69166,                0.73276,                0.10399,                 0.1468,                0.46727,                0.68972,                0.41024,                      1,               0.050005,              0.0079814,                0.12218,                0.83141,                 0.5853,                0.31562,                0.48306,                0.26509,                0.73491,                0.73491,                      1
                     10,                0.76321,                0.53751,                 1.3909,                0.10762,                0.72591,                0.73153,                0.75036,                0.59731,                0.73605,                0.51569,                 1.5138,                0.11099,               0.009109,               0.009109,               0.009109,                0.58426,                0.99952,                0.99926,                0.68794,                0.63246,                0.73061,                0.65608,                0.73079,                0.37325,                0.14094,                0.38326,                0.62849,                0.41188,                      1,              0.0035998,                0.64829,                0.98251,                0.91505,                0.68895,                0.67486,                0.71495,                0.68117,                0.71889,                0.19209,                0.14722,                0.46996,                0.67714,                0.41188,                      1,                0.18759,              0.0079744,                0.12112,                0.82609,                0.58274,                0.31667,                0.48211,                0.26964,                0.73036,                0.73036,                      1
