                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5276,                 1.5706,                 1.7676,                0.38688,                0.50487,                0.41099,                0.26893,                 1.2372,                 1.0093,                 1.7314,               0.070106,              0.0033215,              0.0033215
                      2,                 1.3425,                 1.0668,                 1.6344,                0.52638,                0.56378,                0.53105,                0.34351,                 1.1991,                0.90179,                 1.7273,                0.04004,               0.006589,               0.006589
                      3,                 1.2159,                0.93085,                 1.6326,                0.53747,                0.54189,                0.52782,                0.34433,                 1.1926,                0.91842,                 1.7931,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.1893,                0.90366,                 1.6532,                0.58396,                 0.5746,                0.57341,                0.38069,                 1.1963,                0.84553,                 1.7997,               0.009703,               0.009703,               0.009703
                      5,                 1.1647,                0.86716,                 1.6445,                0.63257,                0.61969,                0.61562,                0.40797,                 1.1447,                0.78788,                 1.7895,               0.009604,               0.009604,               0.009604
                      6,                 1.1578,                0.85303,                 1.6353,                 0.6489,                0.59223,                0.62202,                0.41512,                 1.1357,                0.84099,                 1.7671,               0.009505,               0.009505,               0.009505
                      7,                 1.1375,                0.83103,                 1.6298,                0.65539,                0.60684,                0.62589,                0.42691,                 1.1166,                0.77127,                 1.7489,               0.009406,               0.009406,               0.009406
                      8,                 1.1302,                0.82637,                 1.6327,                0.67083,                0.61353,                0.62978,                0.42231,                 1.1102,                0.79563,                 1.7934,               0.009307,               0.009307,               0.009307
                      9,                 1.1209,                0.81576,                 1.6132,                0.69179,                0.63334,                0.66607,                0.45374,                    1.1,                0.75731,                 1.7326,               0.009208,               0.009208,               0.009208
                     10,                 1.1151,                0.80572,                 1.6076,                0.70699,                 0.6425,                0.67705,                0.46917,                 1.0831,                 0.7539,                 1.7162,               0.009109,               0.009109,               0.009109
                     11,                 1.1023,                0.79106,                 1.6064,                0.68582,                 0.6464,                0.67152,                0.45721,                 1.0949,                0.72463,                 1.7839,                0.00901,                0.00901,                0.00901
                     12,                 1.0959,                0.78432,                 1.6013,                0.70648,                0.64492,                0.68107,                0.47763,                  1.067,                0.72888,                  1.695,               0.008911,               0.008911,               0.008911
                     13,                 1.1012,                 0.7928,                 1.6014,                0.69495,                0.66084,                0.68254,                0.47399,                 1.0646,                0.72792,                 1.7079,               0.008812,               0.008812,               0.008812
                     14,                 1.0896,                0.77846,                 1.5912,                0.70823,                0.65084,                 0.6905,                0.48254,                 1.0593,                0.72449,                 1.7037,               0.008713,               0.008713,               0.008713
                     15,                 1.0893,                0.77637,                 1.5951,                0.71862,                0.67123,                0.71148,                 0.4948,                 1.0613,                0.71477,                  1.695,               0.008614,               0.008614,               0.008614
                     16,                 1.0768,                0.76272,                 1.5867,                0.73002,                0.66174,                 0.7093,                0.49128,                 1.0602,                0.70852,                 1.7078,               0.008515,               0.008515,               0.008515
                     17,                 1.0818,                0.76788,                 1.5935,                0.75656,                0.65603,                0.71001,                0.49625,                 1.0543,                0.69196,                 1.7101,               0.008416,               0.008416,               0.008416
                     18,                 1.0755,                0.76177,                 1.5906,                0.72876,                0.67244,                0.71458,                0.49815,                 1.0462,                0.68909,                 1.7446,               0.008317,               0.008317,               0.008317
                     19,                 1.0662,                0.75389,                  1.594,                0.74324,                0.66178,                0.71095,                0.49904,                 1.0433,                0.70933,                 1.6822,               0.008218,               0.008218,               0.008218
                     20,                 1.0705,                0.75647,                 1.5883,                0.72345,                0.67817,                0.71898,                0.50584,                 1.0412,                0.68403,                  1.704,               0.008119,               0.008119,               0.008119
                     21,                  1.063,                0.74748,                 1.5864,                0.74396,                0.67482,                0.72326,                0.50906,                 1.0369,                0.67288,                 1.6995,                0.00802,                0.00802,                0.00802
                     22,                 1.0537,                0.74472,                 1.5806,                0.72883,                0.68658,                0.73132,                0.51628,                  1.037,                 0.6682,                 1.7068,               0.007921,               0.007921,               0.007921
                     23,                 1.0549,                0.74095,                 1.5826,                0.75465,                 0.6778,                0.73537,                0.51998,                 1.0289,                0.67117,                 1.7003,               0.007822,               0.007822,               0.007822
                     24,                 1.0536,                0.73986,                 1.5841,                0.75754,                0.67632,                0.73177,                0.52043,                 1.0204,                0.66526,                 1.6964,               0.007723,               0.007723,               0.007723
                     25,                 1.0441,                0.72683,                 1.5741,                0.74102,                0.68635,                0.73049,                0.51805,                 1.0212,                0.67001,                 1.6753,               0.007624,               0.007624,               0.007624
                     26,                  1.046,                 0.7276,                 1.5872,                0.75137,                0.68749,                0.73674,                0.52298,                 1.0245,                0.65763,                 1.7138,               0.007525,               0.007525,               0.007525
                     27,                 1.0283,                0.71582,                 1.5699,                0.75776,                0.67825,                0.73614,                0.52481,                 1.0237,                 0.6568,                 1.7141,               0.007426,               0.007426,               0.007426
                     28,                 1.0417,                0.72588,                 1.5708,                0.77316,                0.68423,                0.73934,                0.53073,                 1.0185,                0.65851,                 1.6793,               0.007327,               0.007327,               0.007327
                     29,                  1.044,                0.72554,                 1.5753,                0.77136,                0.69476,                0.75123,                0.53864,                 1.0152,                0.64846,                 1.6938,               0.007228,               0.007228,               0.007228
                     30,                 1.0416,                0.72478,                 1.5701,                 0.7696,                0.69005,                0.74679,                0.53349,                 1.0208,                0.65449,                 1.6883,               0.007129,               0.007129,               0.007129
                     31,                 1.0319,                0.71443,                 1.5655,                 0.7753,                0.69497,                0.75071,                0.53588,                 1.0169,                0.64613,                 1.6881,                0.00703,                0.00703,                0.00703
                     32,                 1.0252,                 0.7043,                 1.5662,                0.75418,                0.71189,                0.74761,                0.53522,                  1.008,                 0.6431,                 1.6892,               0.006931,               0.006931,               0.006931
                     33,                 1.0355,                0.71454,                 1.5668,                 0.7777,                0.69332,                0.75354,                0.53985,                 1.0128,                0.64148,                 1.6925,               0.006832,               0.006832,               0.006832
                     34,                 1.0172,                0.69779,                 1.5584,                0.78189,                0.69412,                0.75436,                0.54074,                 1.0082,                0.64037,                 1.6835,               0.006733,               0.006733,               0.006733
                     35,                 1.0275,                 0.7073,                 1.5638,                0.77528,                0.69713,                0.75305,                0.53888,                 1.0061,                0.63815,                  1.681,               0.006634,               0.006634,               0.006634
                     36,                 1.0176,                0.69673,                  1.552,                0.78771,                0.69261,                0.75806,                0.54301,                 1.0049,                0.63714,                 1.6813,               0.006535,               0.006535,               0.006535
                     37,                 1.0176,                0.70001,                 1.5593,                0.78533,                0.69617,                0.76113,                0.54624,                  1.006,                0.63363,                 1.6858,               0.006436,               0.006436,               0.006436
                     38,                 1.0172,                 0.6963,                 1.5564,                0.79101,                0.70542,                0.76638,                 0.5497,                  1.005,                0.63185,                 1.6802,               0.006337,               0.006337,               0.006337
                     39,                 1.0089,                0.68996,                 1.5591,                0.79357,                0.70692,                0.76511,                0.54919,                 1.0024,                0.63295,                 1.6851,               0.006238,               0.006238,               0.006238
                     40,                 1.0081,                0.69143,                 1.5535,                0.79809,                0.70502,                0.76694,                0.54942,                 1.0031,                0.62876,                 1.6825,               0.006139,               0.006139,               0.006139
                     41,                 1.0077,                0.68567,                 1.5569,                0.78028,                 0.7218,                0.76668,                0.55025,                  1.003,                 0.6271,                 1.6792,                0.00604,                0.00604,                0.00604
                     42,                 1.0076,                0.68931,                 1.5559,                0.80319,                 0.7031,                0.76512,                0.55023,                 1.0012,                0.62558,                 1.6814,               0.005941,               0.005941,               0.005941
                     43,                0.99559,                0.67865,                 1.5564,                0.78894,                0.70505,                0.76366,                0.55056,                0.99943,                 0.6252,                 1.6879,               0.005842,               0.005842,               0.005842
                     44,                 1.0003,                0.67794,                 1.5522,                0.77878,                0.71366,                 0.7672,                0.55269,                0.99961,                0.62258,                 1.6844,               0.005743,               0.005743,               0.005743
                     45,                 1.0026,                0.68179,                 1.5482,                0.79522,                0.70138,                0.76364,                0.55105,                0.99746,                0.62365,                 1.6804,               0.005644,               0.005644,               0.005644
                     46,                 1.0008,                0.68114,                 1.5534,                0.79306,                0.70234,                 0.7639,                0.55062,                0.99694,                0.62319,                  1.678,               0.005545,               0.005545,               0.005545
                     47,                 1.0001,                0.67743,                 1.5477,                 0.7996,                0.70204,                0.76589,                0.55302,                0.99665,                0.62166,                 1.6775,               0.005446,               0.005446,               0.005446
                     48,                0.99031,                0.67553,                 1.5401,                0.79169,                0.70959,                0.76605,                0.55354,                0.99672,                0.62196,                 1.6723,               0.005347,               0.005347,               0.005347
