                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3302,                 1.5212,                 1.5135,                0.36512,                0.61488,                 0.4466,                0.33383,                0.89721,                0.77332,                  1.486,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0623,                0.87885,                 1.4141,                0.55548,                0.64273,                  0.597,                0.44199,                0.86165,                0.65675,                 1.4694,                0.04004,               0.006589,               0.006589
                      3,                0.89896,                0.69987,                 1.4106,                0.61885,                0.64552,                0.63548,                 0.4839,                 0.8074,                  0.609,                 1.5878,              0.0099086,              0.0097904,              0.0097904
                      4,                0.82064,                0.61967,                  1.437,                0.65894,                0.68907,                0.67845,                 0.5275,                0.77952,                0.57288,                 1.5018,               0.009703,               0.009703,               0.009703
                      5,                0.81114,                 0.6022,                 1.4317,                0.62192,                0.64513,                0.63932,                0.48831,                0.80639,                 0.6026,                  1.558,               0.009604,               0.009604,               0.009604
                      6,                0.79797,                0.58246,                 1.4187,                0.69612,                0.69424,                0.72033,                0.56464,                0.75729,                0.54354,                 1.4986,               0.009505,               0.009505,               0.009505
                      7,                0.79102,                0.57182,                 1.4172,                0.68093,                0.73116,                0.73081,                 0.5805,                0.75191,                0.52892,                 1.4996,               0.009406,               0.009406,               0.009406
                      8,                0.78931,                0.56818,                 1.4221,                0.64426,                0.63444,                0.64737,                0.50495,                0.78639,                0.59703,                 1.5575,               0.009307,               0.009307,               0.009307
                      9,                 0.7849,                0.55905,                 1.4085,                0.74316,                0.73633,                 0.7714,                0.61624,                0.74086,                0.50617,                 1.4763,               0.009208,               0.009208,               0.009208
                     10,                 0.7816,                0.55668,                 1.4036,                0.72654,                 0.7365,                0.76852,                0.61867,                 0.7278,                0.49536,                 1.5046,               0.009109,               0.009109,               0.009109
                     11,                0.77815,                 0.5484,                 1.4052,                0.73424,                0.75703,                0.77471,                0.61652,                0.73467,                0.50074,                 1.5309,                0.00901,                0.00901,                0.00901
                     12,                0.77225,                0.54163,                 1.4001,                0.73423,                0.72513,                0.75582,                0.60064,                0.74346,                0.52293,                 1.4858,               0.008911,               0.008911,               0.008911
                     13,                0.76828,                0.54182,                 1.3987,                0.76249,                0.72736,                0.77541,                0.61696,                 0.7377,                0.49942,                 1.4706,               0.008812,               0.008812,               0.008812
                     14,                0.76512,                0.53748,                 1.3953,                0.74735,                0.73451,                0.77112,                0.62044,                0.72297,                0.49178,                 1.4865,               0.008713,               0.008713,               0.008713
                     15,                 0.7654,                0.53305,                 1.4011,                0.75246,                0.75812,                0.78919,                0.63226,                0.72454,                 0.4886,                  1.483,               0.008614,               0.008614,               0.008614
                     16,                0.76196,                0.52694,                 1.3961,                0.77494,                0.75534,                 0.8087,                0.65082,                0.71869,                0.47583,                 1.4808,               0.008515,               0.008515,               0.008515
                     17,                0.75866,                0.52499,                 1.3987,                0.68672,                0.68084,                0.69945,                0.55133,                0.75341,                0.54267,                 1.5346,               0.008416,               0.008416,               0.008416
                     18,                0.75483,                0.52033,                   1.39,                0.78681,                0.75223,                0.80762,                0.64693,                0.71987,                0.47673,                 1.4803,               0.008317,               0.008317,               0.008317
                     19,                0.75317,                0.51727,                 1.3997,                 0.7718,                0.74195,                0.79241,                0.63748,                0.72584,                0.48073,                 1.4812,               0.008218,               0.008218,               0.008218
                     20,                0.75318,                0.51914,                 1.3925,                0.75882,                0.76851,                0.79929,                0.64278,                0.71353,                0.47467,                 1.4863,               0.008119,               0.008119,               0.008119
                     21,                0.75406,                0.51309,                 1.3945,                 0.8015,                0.76821,                0.82462,                 0.6685,                0.70824,                0.46101,                 1.4678,                0.00802,                0.00802,                0.00802
                     22,                 0.7473,                0.51248,                 1.3926,                0.78699,                 0.7744,                0.81489,                0.65888,                0.70912,                0.46123,                 1.4782,               0.007921,               0.007921,               0.007921
                     23,                 0.7485,                0.51088,                 1.4026,                0.75806,                0.73934,                0.78989,                0.63164,                0.72442,                0.48126,                 1.5174,               0.007822,               0.007822,               0.007822
                     24,                0.74538,                0.50842,                 1.3945,                0.78155,                0.75924,                 0.8104,                0.65869,                0.70531,                0.45555,                 1.4797,               0.007723,               0.007723,               0.007723
                     25,                0.74386,                 0.5009,                 1.3957,                0.79345,                0.78812,                0.83415,                0.68033,                0.70431,                0.44964,                  1.473,               0.007624,               0.007624,               0.007624
                     26,                0.73893,                0.49807,                 1.3971,                 0.7957,                0.74939,                0.80596,                0.64853,                0.71403,                0.46324,                  1.503,               0.007525,               0.007525,               0.007525
                     27,                0.73469,                0.49732,                  1.389,                0.78822,                0.78153,                0.82805,                0.67403,                0.70028,                0.44923,                 1.4706,               0.007426,               0.007426,               0.007426
                     28,                0.73615,                0.49518,                 1.3865,                0.78932,                0.78546,                0.82459,                0.67005,                0.70107,                0.44907,                 1.4822,               0.007327,               0.007327,               0.007327
                     29,                0.73649,                0.49551,                 1.3962,                0.79314,                0.79278,                0.83696,                0.68272,                0.69789,                0.44354,                  1.483,               0.007228,               0.007228,               0.007228
                     30,                0.73294,                0.49173,                 1.3881,                0.78796,                0.79928,                0.83399,                0.68149,                0.69827,                0.44468,                 1.4685,               0.007129,               0.007129,               0.007129
                     31,                0.73708,                0.49234,                 1.3951,                0.80902,                0.79534,                0.84378,                0.68788,                0.69669,                0.43851,                 1.4853,                0.00703,                0.00703,                0.00703
                     32,                0.72982,                0.48593,                 1.3952,                0.80789,                0.77385,                0.83198,                0.67865,                0.69717,                0.44121,                 1.4822,               0.006931,               0.006931,               0.006931
                     33,                0.73066,                0.48795,                 1.3855,                  0.802,                0.78975,                0.83789,                0.68409,                0.69403,                0.43801,                 1.4665,               0.006832,               0.006832,               0.006832
                     34,                0.72571,                0.48084,                 1.3875,                 0.8046,                0.78633,                0.83786,                0.68425,                0.69464,                0.43792,                 1.4846,               0.006733,               0.006733,               0.006733
                     35,                0.73066,                0.48394,                 1.3883,                0.80936,                0.79901,                0.84182,                0.68828,                0.69275,                0.43716,                 1.4712,               0.006634,               0.006634,               0.006634
                     36,                0.72462,                0.47873,                 1.3852,                 0.8116,                0.78003,                0.83455,                0.68305,                0.69051,                0.43632,                 1.4741,               0.006535,               0.006535,               0.006535
                     37,                 0.7182,                0.47459,                 1.3852,                0.81262,                 0.7802,                0.83871,                0.68654,                0.69029,                0.43417,                 1.4805,               0.006436,               0.006436,               0.006436
                     38,                0.72042,                0.47495,                 1.3867,                0.81887,                0.78408,                 0.8385,                0.68663,                0.68954,                0.43401,                 1.4743,               0.006337,               0.006337,               0.006337
                     39,                 0.7186,                0.47114,                 1.3899,                0.79237,                0.80356,                0.83887,                0.68654,                0.68985,                0.43325,                 1.4778,               0.006238,               0.006238,               0.006238
                     40,                0.71795,                0.47252,                 1.3864,                 0.8047,                0.79263,                  0.841,                0.68895,                0.68929,                0.43122,                 1.4779,               0.006139,               0.006139,               0.006139
                     41,                 0.7133,                0.46638,                 1.3903,                0.81321,                0.80145,                0.84536,                0.69268,                 0.6888,                0.43003,                  1.477,                0.00604,                0.00604,                0.00604
                     42,                0.71444,                0.46729,                 1.3834,                0.82024,                0.79256,                0.84481,                0.69252,                 0.6886,                0.43002,                 1.4748,               0.005941,               0.005941,               0.005941
                     43,                0.70945,                 0.4632,                 1.3875,                0.81117,                0.79636,                0.84198,                0.69115,                0.68813,                0.43075,                  1.476,               0.005842,               0.005842,               0.005842
                     44,                0.71006,                0.46167,                 1.3852,                0.81956,                0.79329,                 0.8435,                0.69263,                0.68741,                0.42989,                 1.4777,               0.005743,               0.005743,               0.005743
                     45,                0.71316,                0.46336,                 1.3878,                0.80738,                0.80484,                0.84406,                0.69326,                 0.6871,                0.42833,                 1.4809,               0.005644,               0.005644,               0.005644
                     46,                0.71052,                0.46186,                 1.3919,                0.81137,                0.80173,                0.84684,                0.69603,                0.68649,                0.42691,                 1.4821,               0.005545,               0.005545,               0.005545
                     47,                0.70734,                0.45583,                 1.3849,                0.81382,                0.80217,                 0.8478,                 0.6963,                0.68684,                0.42604,                 1.4847,               0.005446,               0.005446,               0.005446
                     48,                0.70629,                 0.4589,                 1.3864,                0.81639,                0.80441,                0.84875,                0.69784,                0.68637,                 0.4252,                 1.4834,               0.005347,               0.005347,               0.005347
                     49,                0.70444,                0.45515,                 1.3768,                0.82105,                 0.8064,                0.84929,                0.69865,                0.68572,                 0.4249,                 1.4801,               0.005248,               0.005248,               0.005248
                     50,                0.69914,                0.44889,                 1.3824,                0.81264,                 0.8107,                0.84752,                0.69692,                0.68581,                0.42467,                 1.4816,               0.005149,               0.005149,               0.005149
                     51,                0.70311,                0.45431,                 1.3824,                0.81567,                0.80808,                0.84798,                0.69821,                0.68559,                0.42444,                 1.4815,                0.00505,                0.00505,                0.00505
                     52,                0.69908,                0.44971,                 1.3868,                 0.8131,                0.81277,                0.84818,                0.69862,                0.68519,                0.42428,                 1.4817,               0.004951,               0.004951,               0.004951
                     53,                0.69695,                0.44533,                 1.3888,                0.81973,                0.80364,                0.84693,                0.69842,                0.68501,                0.42424,                  1.483,               0.004852,               0.004852,               0.004852
                     54,                0.69399,                0.44411,                 1.3907,                0.81827,                 0.8115,                0.84744,                0.69882,                0.68481,                0.42368,                 1.4841,               0.004753,               0.004753,               0.004753
                     55,                0.69516,                0.44186,                 1.3787,                0.82092,                0.81054,                0.84712,                0.69891,                0.68479,                0.42346,                 1.4834,               0.004654,               0.004654,               0.004654
                     56,                 0.6908,                0.44198,                  1.378,                0.81364,                0.81386,                0.84678,                0.69863,                0.68462,                0.42324,                 1.4834,               0.004555,               0.004555,               0.004555
                     57,                0.68823,                0.43833,                 1.3737,                0.81396,                0.81411,                0.84651,                0.69822,                0.68428,                0.42288,                 1.4828,               0.004456,               0.004456,               0.004456
                     58,                0.69527,                0.44165,                 1.3669,                0.81389,                0.81323,                0.84716,                0.69912,                0.68418,                0.42276,                 1.4817,               0.004357,               0.004357,               0.004357
                     59,                0.69421,                0.43914,                 1.3891,                0.81803,                0.80832,                0.84625,                0.69839,                0.68368,                0.42292,                 1.4823,               0.004258,               0.004258,               0.004258
                     60,                0.69376,                0.43963,                  1.373,                0.81921,                 0.8089,                0.84671,                0.69836,                0.68354,                0.42296,                 1.4815,               0.004159,               0.004159,               0.004159
                     61,                0.68715,                0.43252,                  1.373,                0.82078,                0.80666,                0.84719,                 0.6989,                0.68345,                0.42257,                 1.4822,                0.00406,                0.00406,                0.00406
                     62,                0.68475,                0.43276,                 1.3734,                0.81738,                0.81221,                0.84721,                0.69915,                 0.6833,                0.42233,                 1.4821,               0.003961,               0.003961,               0.003961
                     63,                0.68851,                0.43523,                 1.3769,                0.81521,                0.81414,                0.84674,                 0.6991,                0.68303,                0.42234,                 1.4816,               0.003862,               0.003862,               0.003862
                     64,                0.68786,                0.43283,                 1.3792,                0.81675,                0.81442,                0.84716,                0.69966,                0.68293,                0.42184,                  1.482,               0.003763,               0.003763,               0.003763
                     65,                0.67936,                0.42617,                 1.3726,                 0.8232,                0.80972,                0.84744,                0.70003,                0.68269,                0.42168,                 1.4825,               0.003664,               0.003664,               0.003664
                     66,                0.68024,                  0.427,                 1.3748,                0.82912,                0.80614,                0.84751,                0.70008,                0.68255,                0.42162,                 1.4828,               0.003565,               0.003565,               0.003565
                     67,                0.68641,                0.42847,                 1.3677,                0.83168,                 0.8055,                0.84788,                0.70036,                0.68236,                0.42129,                 1.4832,               0.003466,               0.003466,               0.003466
                     68,                0.67884,                0.42165,                 1.3764,                0.82746,                0.80687,                0.84777,                0.70022,                0.68223,                0.42111,                 1.4841,               0.003367,               0.003367,               0.003367
                     69,                0.67746,                 0.4201,                 1.3786,                0.82766,                 0.8079,                0.84779,                0.70067,                0.68215,                 0.4209,                 1.4847,               0.003268,               0.003268,               0.003268
                     70,                0.67555,                0.41882,                 1.3648,                0.82646,                0.80863,                0.84785,                0.70056,                0.68203,                0.42097,                 1.4852,               0.003169,               0.003169,               0.003169
                     71,                0.67546,                0.42091,                 1.3661,                0.82671,                0.80847,                 0.8481,                0.70108,                0.68194,                0.42091,                 1.4854,                0.00307,                0.00307,                0.00307
                     72,                0.67376,                0.41706,                 1.3637,                0.82871,                0.80725,                0.84826,                0.70079,                0.68187,                0.42092,                 1.4854,               0.002971,               0.002971,               0.002971
                     73,                0.67019,                 0.4142,                 1.3722,                0.82996,                0.80596,                0.84823,                0.70091,                0.68181,                0.42068,                 1.4858,               0.002872,               0.002872,               0.002872
                     74,                0.66831,                0.41277,                 1.3651,                0.83079,                0.80607,                0.84818,                0.70066,                 0.6817,                0.42059,                 1.4861,               0.002773,               0.002773,               0.002773
                     75,                0.66718,                0.41032,                 1.3674,                0.83407,                0.80407,                0.84842,                0.70098,                0.68162,                0.42019,                 1.4866,               0.002674,               0.002674,               0.002674
                     76,                0.66749,                0.41073,                 1.3657,                0.83501,                0.80389,                0.84858,                0.70109,                0.68151,                0.42004,                 1.4871,               0.002575,               0.002575,               0.002575
                     77,                0.66576,                0.40745,                 1.3603,                0.83328,                0.80421,                0.84844,                0.70117,                0.68132,                 0.4199,                 1.4873,               0.002476,               0.002476,               0.002476
                     78,                0.66649,                0.40814,                   1.36,                  0.834,                0.80316,                0.84831,                0.70111,                0.68126,                0.41995,                 1.4878,               0.002377,               0.002377,               0.002377
                     79,                0.66647,                 0.4087,                 1.3623,                0.83306,                0.80406,                0.84806,                0.70091,                0.68122,                0.41997,                 1.4882,               0.002278,               0.002278,               0.002278
                     80,                0.66041,                0.40491,                 1.3575,                 0.8354,                0.80221,                0.84787,                 0.7006,                0.68121,                0.41981,                 1.4883,               0.002179,               0.002179,               0.002179
                     81,                0.66273,                0.40309,                 1.3613,                0.83378,                0.80352,                0.84747,                0.70043,                0.68123,                0.42011,                 1.4883,                0.00208,                0.00208,                0.00208
                     82,                0.66485,                0.40436,                 1.3565,                0.83447,                0.80288,                0.84741,                0.70048,                0.68131,                0.42018,                 1.4887,               0.001981,               0.001981,               0.001981
                     83,                0.65729,                0.39666,                 1.3541,                0.83508,                0.80228,                0.84715,                0.70051,                0.68126,                0.42035,                 1.4889,               0.001882,               0.001882,               0.001882
                     84,                0.65979,                0.40172,                 1.3586,                0.83454,                0.80265,                0.84678,                0.70031,                0.68126,                 0.4205,                  1.489,               0.001783,               0.001783,               0.001783
                     85,                 0.6593,                0.39743,                 1.3587,                0.83491,                0.80233,                0.84652,                0.69996,                0.68135,                0.42058,                 1.4895,               0.001684,               0.001684,               0.001684
