                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7581,                 2.2886,                 2.9043,                0.85658,                 0.1665,                0.21682,                0.11521,                 1.6759,                 1.4852,                 2.6832,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5128,                 1.3136,                 2.3437,                0.28602,                0.37089,                0.32329,                0.20648,                  1.209,                 1.1184,                 2.2371,                0.04004,               0.006589,               0.006589
                      3,                 1.2421,                  1.066,                 2.0301,                0.21513,                 0.3703,                0.23097,                0.13844,                 1.4058,                 1.3094,                 2.5463,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0818,                0.91334,                 1.8433,                0.43823,                0.51788,                0.47077,                0.32252,                 1.0004,                 0.8322,                 1.9315,               0.009703,               0.009703,               0.009703
                      5,                0.99915,                0.81651,                  1.757,                0.50989,                0.58866,                0.54631,                0.39076,                0.87452,                0.74882,                 1.8246,               0.009604,               0.009604,               0.009604
                      6,                0.94936,                0.75366,                 1.6981,                0.54119,                0.57771,                0.55873,                0.40114,                0.87584,                0.71952,                 1.7871,               0.009505,               0.009505,               0.009505
                      7,                0.92113,                0.71659,                 1.6761,                0.57455,                0.60667,                0.59767,                0.44249,                0.82973,                0.65685,                 1.7618,               0.009406,               0.009406,               0.009406
                      8,                0.89861,                0.69708,                 1.6708,                0.58522,                0.63209,                0.60494,                0.45229,                0.81944,                0.63394,                  1.715,               0.009307,               0.009307,               0.009307
                      9,                0.88581,                 0.6751,                 1.6458,                0.61617,                0.61598,                0.62078,                0.46691,                 0.8223,                 0.6389,                 1.7523,               0.009208,               0.009208,               0.009208
                     10,                0.87376,                0.66245,                 1.6352,                0.62835,                0.67212,                0.66485,                0.50963,                0.77165,                0.58275,                 1.7199,               0.009109,               0.009109,               0.009109
                     11,                0.86259,                0.64639,                  1.631,                0.63616,                0.65305,                0.66725,                0.50029,                0.80026,                0.59806,                 1.7313,                0.00901,                0.00901,                0.00901
                     12,                0.85097,                0.63103,                 1.6209,                0.66203,                0.71236,                0.69703,                0.53624,                 0.7729,                0.55514,                 1.6831,               0.008911,               0.008911,               0.008911
                     13,                0.84357,                0.62826,                 1.6177,                0.67073,                0.68984,                0.69927,                0.53801,                0.75494,                0.54997,                 1.7183,               0.008812,               0.008812,               0.008812
                     14,                0.83746,                0.62082,                 1.6099,                0.68073,                0.71473,                0.71363,                 0.5563,                0.74489,                0.54351,                  1.676,               0.008713,               0.008713,               0.008713
                     15,                0.83404,                0.61236,                 1.6086,                0.71072,                0.72717,                0.74875,                0.58256,                0.75085,                0.53178,                 1.6577,               0.008614,               0.008614,               0.008614
                     16,                0.82623,                0.60061,                 1.6015,                0.71661,                0.73339,                0.74613,                0.58562,                0.74006,                0.51396,                 1.6612,               0.008515,               0.008515,               0.008515
                     17,                 0.8201,                0.59526,                 1.6067,                0.70919,                0.74381,                0.74557,                0.58503,                0.73601,                0.52054,                 1.6724,               0.008416,               0.008416,               0.008416
                     18,                0.81589,                0.58925,                 1.5922,                0.69661,                0.73947,                 0.7512,                0.58924,                0.73153,                0.51967,                 1.6497,               0.008317,               0.008317,               0.008317
                     19,                 0.8124,                0.58617,                 1.6067,                0.75106,                 0.7253,                0.76657,                0.60302,                0.73208,                0.50323,                 1.6574,               0.008218,               0.008218,               0.008218
                     20,                 0.8115,                0.58558,                 1.5942,                0.72409,                0.74892,                0.75944,                0.59965,                0.72774,                0.50792,                 1.6605,               0.008119,               0.008119,               0.008119
                     21,                0.80804,                0.57471,                 1.5972,                0.74713,                 0.7522,                0.77987,                 0.6158,                0.72036,                0.49549,                 1.6618,                0.00802,                0.00802,                0.00802
                     22,                0.79955,                 0.5754,                 1.5893,                0.74968,                0.75557,                0.77957,                0.62099,                0.72118,                0.48837,                  1.633,               0.007921,               0.007921,               0.007921
                     23,                0.79955,                0.57117,                 1.5965,                0.76547,                0.74935,                 0.7949,                0.63287,                0.71897,                0.48454,                 1.6303,               0.007822,               0.007822,               0.007822
                     24,                0.79596,                  0.568,                 1.5889,                0.76805,                0.75629,                0.79509,                0.63339,                0.71121,                0.47946,                 1.6414,               0.007723,               0.007723,               0.007723
                     25,                0.79179,                0.55782,                 1.5839,                0.75248,                0.75863,                 0.7857,                0.62824,                  0.709,                0.47649,                 1.6312,               0.007624,               0.007624,               0.007624
