                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3409,                 1.4162,                 1.6313,                0.37323,                0.56336,                0.46172,                0.31646,                 1.1752,                0.97709,                 1.4973,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0733,                0.88987,                 1.4283,                0.58644,                0.66036,                 0.6367,                0.47906,                0.85917,                0.67569,                 1.4701,                0.04004,               0.006589,               0.006589
                      3,                0.88909,                0.69225,                 1.4125,                0.62749,                0.60985,                0.63225,                0.48271,                0.81126,                0.63619,                 1.5779,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80647,                0.60882,                 1.4281,                0.69963,                0.73648,                0.73924,                0.58006,                 0.7504,                0.54563,                 1.5004,               0.009703,               0.009703,               0.009703
                      5,                0.79103,                0.58487,                 1.4185,                0.72305,                0.73675,                0.76734,                0.61025,                0.73581,                0.52703,                 1.4931,               0.009604,               0.009604,               0.009604
                      6,                 0.7753,                0.56418,                 1.4058,                0.73317,                0.70798,                0.74057,                0.58971,                0.74583,                0.53843,                 1.4994,               0.009505,               0.009505,               0.009505
                      7,                0.76785,                0.55065,                 1.4051,                0.73668,                 0.7327,                0.77507,                0.61952,                0.72426,                0.51068,                 1.4931,               0.009406,               0.009406,               0.009406
                      8,                0.76238,                0.54583,                  1.407,                0.74125,                0.73324,                0.76556,                0.62194,                0.71704,                0.48995,                 1.4521,               0.009307,               0.009307,               0.009307
                      9,                0.75775,                0.53744,                 1.3922,                0.74035,                0.77355,                0.78062,                0.63009,                0.71627,                0.49379,                  1.461,               0.009208,               0.009208,               0.009208
                     10,                 0.7532,                0.53538,                 1.3874,                0.77359,                0.75401,                0.79741,                0.64668,                0.70364,                0.47996,                 1.4675,               0.009109,               0.009109,               0.009109
                     11,                0.74947,                0.52821,                 1.3898,                0.75255,                0.75344,                0.79239,                0.63582,                0.71832,                0.50523,                 1.5035,                0.00901,                0.00901,                0.00901
                     12,                0.74411,                0.52154,                 1.3892,                0.76168,                0.76007,                0.79438,                0.64828,                0.69774,                0.47653,                 1.4473,               0.008911,               0.008911,               0.008911
                     13,                 0.7398,                0.52007,                 1.3862,                 0.7858,                0.76442,                0.81581,                0.66119,                0.69999,                0.47414,                 1.4531,               0.008812,               0.008812,               0.008812
                     14,                0.73596,                0.51629,                 1.3818,                0.76863,                0.75228,                0.79669,                0.64672,                0.70122,                0.47867,                 1.4993,               0.008713,               0.008713,               0.008713
                     15,                0.73551,                0.51324,                 1.3816,                0.77661,                   0.77,                0.80632,                0.66063,                0.68995,                  0.466,                 1.4488,               0.008614,               0.008614,               0.008614
                     16,                0.73233,                0.50854,                 1.3749,                0.77891,                0.78662,                0.81927,                0.66942,                0.69016,                0.46359,                 1.4449,               0.008515,               0.008515,               0.008515
                     17,                0.72948,                0.50512,                 1.3816,                0.79316,                0.74917,                0.80613,                0.65648,                 0.6989,                0.47365,                 1.4905,               0.008416,               0.008416,               0.008416
                     18,                0.72442,                0.50043,                 1.3752,                0.80071,                0.77315,                0.82759,                0.67749,                0.68427,                0.45064,                 1.4539,               0.008317,               0.008317,               0.008317
                     19,                0.72341,                0.49816,                 1.3845,                0.79025,                0.76353,                0.81457,                0.66485,                0.69413,                0.46841,                 1.4784,               0.008218,               0.008218,               0.008218
