                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3307,                 1.4699,                 1.5771,                0.38954,                0.57986,                0.45589,                0.33878,                 1.0606,                 0.9707,                 1.4673,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0548,                0.88071,                 1.4121,                0.54384,                0.65912,                0.59519,                0.44868,                 0.8884,                0.71097,                 1.4613,                0.04004,               0.006589,               0.006589
                      3,                0.88274,                0.69546,                 1.4048,                0.61159,                 0.6813,                0.65077,                 0.5039,                0.78585,                0.59707,                 1.5618,              0.0099086,              0.0097904,              0.0097904
                      4,                 0.8022,                0.60385,                 1.4244,                0.67746,                 0.7218,                0.71139,                0.56192,                0.75276,                0.55471,                 1.5063,               0.009703,               0.009703,               0.009703
                      5,                0.78754,                0.58116,                 1.4162,                0.69166,                0.67151,                0.70509,                0.54577,                0.76609,                0.56394,                 1.5196,               0.009604,               0.009604,               0.009604
                      6,                0.77088,                 0.5605,                 1.4029,                 0.6915,                0.73414,                0.74675,                0.59734,                0.74674,                0.52846,                 1.5005,               0.009505,               0.009505,               0.009505
                      7,                0.76318,                0.54647,                 1.4041,                0.73053,                0.75507,                 0.7744,                0.62406,                0.72342,                0.50371,                 1.4796,               0.009406,               0.009406,               0.009406
                      8,                0.75716,                0.54242,                 1.4055,                0.76264,                0.74286,                0.77727,                0.62764,                0.71331,                0.49419,                 1.4599,               0.009307,               0.009307,               0.009307
                      9,                0.75268,                 0.5328,                 1.3901,                0.76713,                0.77156,                0.79776,                0.64726,                0.70925,                0.47665,                 1.4631,               0.009208,               0.009208,               0.009208
                     10,                0.74781,                0.53053,                 1.3857,                0.76279,                0.75717,                0.79119,                0.64645,                0.69551,                 0.4786,                 1.4672,               0.009109,               0.009109,               0.009109
                     11,                0.74387,                0.52323,                 1.3859,                0.74492,                0.74837,                0.76943,                0.62452,                0.70635,                0.50168,                 1.4861,                0.00901,                0.00901,                0.00901
                     12,                0.73875,                0.51632,                 1.3821,                0.75651,                0.76986,                0.80221,                0.65247,                0.69589,                0.47239,                 1.4842,               0.008911,               0.008911,               0.008911
                     13,                0.73342,                0.51589,                   1.38,                0.77663,                0.77014,                0.81433,                0.66495,                0.69277,                0.47571,                 1.4379,               0.008812,               0.008812,               0.008812
                     14,                0.73094,                0.51106,                 1.3779,                 0.8017,                0.76735,                0.81935,                0.67445,                0.68536,                0.46335,                 1.4376,               0.008713,               0.008713,               0.008713
                     15,                 0.7292,                0.50653,                 1.3823,                0.80412,                0.77741,                0.82875,                0.68289,                0.68279,                0.45098,                 1.4561,               0.008614,               0.008614,               0.008614
                     16,                0.72544,                0.50128,                 1.3757,                0.76942,                0.78838,                0.82125,                0.67516,                0.68028,                0.45395,                 1.4611,               0.008515,               0.008515,               0.008515
                     17,                  0.723,                0.49945,                  1.381,                 0.7785,                 0.7977,                0.83179,                0.68523,                0.67958,                0.45115,                 1.4577,               0.008416,               0.008416,               0.008416
                     18,                0.71754,                0.49375,                 1.3744,                0.80799,                0.77606,                0.83676,                0.68565,                0.67931,                0.44518,                 1.4575,               0.008317,               0.008317,               0.008317
                     19,                0.71664,                 0.4909,                 1.3826,                0.80544,                0.79535,                0.84521,                0.69817,                0.67638,                 0.4405,                  1.449,               0.008218,               0.008218,               0.008218
