                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3181,                 1.4932,                 1.5456,                0.36575,                0.62426,                0.46293,                0.34049,                 1.0499,                 1.0191,                 1.4283,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0524,                0.87753,                  1.415,                0.57516,                0.68839,                0.62018,                0.47544,                0.81082,                  0.646,                 1.4558,                0.04004,               0.006589,               0.006589
                      3,                0.88365,                0.68983,                 1.4059,                  0.628,                0.69282,                0.66602,                0.51717,                0.78126,                0.59858,                 1.5584,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80277,                0.60421,                 1.4251,                0.70667,                0.71146,                 0.7357,                0.58382,                0.75102,                0.54475,                 1.4892,               0.009703,               0.009703,               0.009703
                      5,                  0.788,                0.58144,                 1.4145,                0.69771,                0.65203,                0.70158,                0.55185,                0.75958,                0.57282,                 1.5328,               0.009604,               0.009604,               0.009604
                      6,                0.77236,                0.55993,                 1.4012,                0.67554,                0.66675,                0.70681,                0.55677,                0.75669,                0.56768,                 1.4968,               0.009505,               0.009505,               0.009505
                      7,                0.76297,                0.54638,                 1.4014,                 0.7545,                0.72089,                0.76326,                0.61614,                0.71659,                0.50549,                 1.4521,               0.009406,               0.009406,               0.009406
                      8,                0.75698,                0.54262,                 1.4035,                0.75359,                0.75679,                0.78746,                0.63571,                0.71515,                0.48437,                 1.4541,               0.009307,               0.009307,               0.009307
                      9,                0.75182,                0.53348,                 1.3892,                0.76967,                0.75599,                0.79915,                0.64573,                 0.7067,                0.49001,                 1.4645,               0.009208,               0.009208,               0.009208
                     10,                0.74747,                0.52938,                 1.3829,                0.72131,                0.74013,                0.76857,                0.61838,                0.72723,                0.50808,                 1.5111,               0.009109,               0.009109,               0.009109
                     11,                0.74366,                0.52445,                  1.385,                 0.7669,                0.75374,                0.79712,                  0.646,                0.70836,                0.49493,                 1.4679,                0.00901,                0.00901,                0.00901
                     12,                0.73861,                0.51654,                 1.3831,                0.75814,                 0.7742,                0.80546,                0.65923,                0.68793,                0.47003,                 1.4743,               0.008911,               0.008911,               0.008911
                     13,                0.73431,                0.51632,                 1.3794,                0.80116,                0.75753,                0.82065,                0.67038,                0.69501,                 0.4621,                 1.4459,               0.008812,               0.008812,               0.008812
                     14,                0.72973,                0.51012,                 1.3796,                0.78065,                0.76094,                0.80106,                0.65974,                0.68447,                0.46443,                 1.4699,               0.008713,               0.008713,               0.008713
                     15,                0.72928,                0.50728,                 1.3802,                0.76008,                0.77724,                0.81097,                0.65809,                0.70073,                0.47853,                 1.4839,               0.008614,               0.008614,               0.008614
                     16,                0.72539,                0.50099,                 1.3735,                0.77666,                0.78405,                0.82358,                0.67393,                0.68488,                0.45959,                 1.4385,               0.008515,               0.008515,               0.008515
                     17,                0.72278,                0.49946,                 1.3796,                0.79701,                0.78649,                 0.8311,                0.68372,                0.68377,                0.45466,                 1.4733,               0.008416,               0.008416,               0.008416
                     18,                0.71755,                0.49385,                 1.3743,                0.80227,                0.78286,                0.83518,                0.68446,                0.68143,                 0.4494,                 1.4683,               0.008317,               0.008317,               0.008317
                     19,                0.71699,                0.49171,                 1.3809,                0.77022,                 0.7612,                0.80927,                0.65782,                0.69528,                0.46988,                 1.4808,               0.008218,               0.008218,               0.008218
                     20,                0.71698,                0.49291,                  1.377,                0.80361,                0.79092,                0.84351,                0.69544,                0.67063,                0.43928,                  1.454,               0.008119,               0.008119,               0.008119
                     21,                0.71542,                0.48685,                 1.3776,                0.81349,                0.80059,                0.84894,                0.70048,                0.67339,                0.43372,                 1.4604,                0.00802,                0.00802,                0.00802
                     22,                 0.7074,                0.48459,                 1.3757,                0.80167,                0.79193,                0.84147,                0.69672,                0.66699,                 0.4333,                  1.449,               0.007921,               0.007921,               0.007921
                     23,                0.70963,                0.48328,                 1.3806,                0.82787,                0.79074,                  0.851,                 0.7042,                0.66976,                0.43239,                 1.4345,               0.007822,               0.007822,               0.007822
                     24,                0.70682,                0.48183,                 1.3773,                 0.8229,                0.78058,                0.84568,                0.70301,                0.66671,                 0.4286,                 1.4444,               0.007723,               0.007723,               0.007723
                     25,                0.70379,                0.47364,                 1.3727,                0.81439,                0.81391,                0.86129,                 0.7119,                0.66551,                0.42651,                 1.4361,               0.007624,               0.007624,               0.007624
                     26,                0.70109,                0.47207,                 1.3739,                 0.7922,                0.80211,                0.83272,                0.69215,                0.66576,                0.43002,                 1.4469,               0.007525,               0.007525,               0.007525
                     27,                0.69691,                 0.4725,                 1.3667,                0.82315,                0.78043,                 0.8477,                0.70404,                0.66405,                0.42495,                 1.4379,               0.007426,               0.007426,               0.007426
                     28,                0.69673,                0.46915,                  1.367,                0.81117,                0.78859,                0.84815,                0.70518,                0.66453,                0.42815,                 1.4276,               0.007327,               0.007327,               0.007327
                     29,                0.69734,                0.46742,                 1.3758,                0.80568,                0.81368,                0.84613,                0.70344,                0.66067,                0.42333,                 1.4435,               0.007228,               0.007228,               0.007228
                     30,                 0.6946,                0.46656,                 1.3669,                0.81578,                0.80724,                 0.8522,                 0.7098,                0.66169,                0.41758,                 1.4559,               0.007129,               0.007129,               0.007129
                     31,                 0.6973,                 0.4664,                  1.374,                0.82046,                0.82347,                0.86231,                0.72006,                0.65826,                0.41269,                 1.4433,                0.00703,                0.00703,                0.00703
                     32,                0.69194,                0.46066,                 1.3721,                  0.808,                0.82318,                0.86151,                0.71749,                0.65937,                0.41311,                 1.4381,               0.006931,               0.006931,               0.006931
                     33,                 0.6926,                0.46226,                 1.3657,                0.81038,                0.80132,                0.85382,                0.71396,                0.65629,                0.41675,                 1.4491,               0.006832,               0.006832,               0.006832
                     34,                0.68858,                0.45631,                  1.372,                0.81355,                0.80434,                0.85165,                 0.7122,                0.65656,                0.41721,                 1.4458,               0.006733,               0.006733,               0.006733
                     35,                0.69038,                0.45625,                 1.3694,                0.82605,                0.80855,                0.85918,                0.71787,                0.65621,                0.41133,                 1.4385,               0.006634,               0.006634,               0.006634
