                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7095,                 2.2716,                 2.8596,                 0.4209,                0.19804,                0.20573,                0.10153,                 1.7613,                 1.4933,                 2.6352,               0.070106,              0.0033215,              0.0033215
                      2,                 1.5143,                 1.2853,                 2.2578,                0.36196,                0.36559,                0.31611,                0.19549,                 1.2409,                 1.1114,                 2.2299,                0.04004,               0.006589,               0.006589
                      3,                  1.234,                 1.0339,                 1.9818,                0.32346,                 0.4948,                0.37973,                0.25045,                 1.0578,                0.96112,                 1.9979,              0.0099086,              0.0097904,              0.0097904
                      4,                 1.0614,                0.87979,                 1.8267,                0.50329,                0.53623,                0.50982,                0.36295,                0.96641,                  0.804,                 1.9129,               0.009703,               0.009703,               0.009703
                      5,                0.97352,                 0.7815,                 1.7577,                0.53514,                0.59093,                 0.5622,                0.40719,                0.86005,                0.72484,                 1.8388,               0.009604,               0.009604,               0.009604
                      6,                0.92633,                0.72579,                 1.7124,                0.57703,                0.59431,                0.58782,                0.42992,                0.84782,                0.69191,                 1.8012,               0.009505,               0.009505,               0.009505
                      7,                0.89888,                0.69145,                 1.6927,                0.62612,                0.65879,                0.64132,                0.47798,                 0.8051,                 0.6123,                 1.7728,               0.009406,               0.009406,               0.009406
                      8,                0.88253,                0.67373,                 1.6866,                0.63971,                 0.6708,                0.65188,                0.48941,                0.79334,                0.59872,                 1.7314,               0.009307,               0.009307,               0.009307
                      9,                 0.8691,                0.65385,                 1.6586,                0.62412,                0.68139,                0.64417,                0.49048,                0.80287,                 0.5975,                 1.7339,               0.009208,               0.009208,               0.009208
                     10,                0.86041,                0.64309,                 1.6448,                0.61861,                0.66878,                0.65274,                0.49456,                0.78519,                0.59745,                 1.7691,               0.009109,               0.009109,               0.009109
                     11,                0.85036,                0.62921,                 1.6423,                0.52243,                0.50299,                0.49125,                0.36573,                0.88228,                0.72764,                  1.848,                0.00901,                0.00901,                0.00901
                     12,                0.83889,                0.61447,                 1.6303,                0.69891,                0.73286,                0.72657,                0.56851,                0.75221,                0.52355,                 1.6941,               0.008911,               0.008911,               0.008911
                     13,                0.83225,                0.60999,                 1.6265,                0.71898,                 0.7125,                0.73839,                 0.5773,                0.74701,                0.52557,                 1.6998,               0.008812,               0.008812,               0.008812
                     14,                0.82566,                0.60286,                 1.6162,                0.67264,                0.70354,                0.71189,                0.55487,                0.74842,                0.53988,                  1.715,               0.008713,               0.008713,               0.008713
                     15,                 0.8214,                0.59426,                 1.6149,                0.68939,                0.73591,                0.72604,                0.56765,                0.76322,                0.52852,                 1.6703,               0.008614,               0.008614,               0.008614
                     16,                 0.8162,                  0.584,                 1.6094,                0.71253,                0.73715,                 0.7527,                0.59276,                0.73542,                0.50844,                 1.6839,               0.008515,               0.008515,               0.008515
                     17,                0.81287,                0.58026,                 1.6122,                 0.7341,                0.74617,                0.76156,                0.60591,                0.72423,                0.50391,                 1.6635,               0.008416,               0.008416,               0.008416
                     18,                0.80451,                0.57202,                 1.6013,                0.72211,                0.76493,                  0.773,                0.61118,                0.72147,                 0.4908,                 1.6775,               0.008317,               0.008317,               0.008317
                     19,                0.80381,                0.56936,                 1.6117,                0.72344,                 0.7339,                0.76288,                0.60637,                0.72743,                0.49951,                  1.659,               0.008218,               0.008218,               0.008218
                     20,                0.80006,                0.57079,                    1.6,                0.74206,                0.75723,                0.78148,                 0.6238,                0.71829,                0.48534,                 1.6532,               0.008119,               0.008119,               0.008119
                     21,                0.79834,                 0.5591,                 1.5992,                0.75608,                0.76941,                 0.7988,                0.63797,                0.71672,                0.47883,                 1.6443,                0.00802,                0.00802,                0.00802
                     22,                0.78938,                 0.5595,                 1.5917,                0.76143,                0.76179,                 0.7954,                0.63603,                0.71112,                0.47164,                 1.6513,               0.007921,               0.007921,               0.007921
                     23,                0.78951,                0.55706,                 1.5991,                0.74796,                0.73954,                0.78338,                 0.6282,                0.71252,                0.47954,                 1.6534,               0.007822,               0.007822,               0.007822
                     24,                0.78671,                0.55375,                 1.5905,                0.76995,                0.74678,                0.79897,                0.64325,                0.70482,                0.46993,                 1.6406,               0.007723,               0.007723,               0.007723
                     25,                0.78191,                0.54188,                 1.5874,                0.76759,                0.76586,                0.80379,                0.64723,                0.70172,                0.46727,                 1.6445,               0.007624,               0.007624,               0.007624
                     26,                0.77664,                0.53927,                  1.587,                0.77193,                0.77471,                0.81203,                 0.6565,                0.70191,                0.46108,                 1.6388,               0.007525,               0.007525,               0.007525
                     27,                0.77074,                0.53775,                 1.5806,                0.77817,                 0.7487,                0.80244,                0.65029,                0.69946,                0.46179,                 1.6375,               0.007426,               0.007426,               0.007426
                     28,                0.77089,                 0.5346,                 1.5756,                 0.7685,                0.75793,                0.80096,                0.64929,                 0.6961,                0.46151,                 1.6366,               0.007327,               0.007327,               0.007327
                     29,                0.77091,                0.53282,                 1.5827,                0.74979,                0.78778,                0.80673,                0.65255,                0.69606,                0.45524,                 1.6384,               0.007228,               0.007228,               0.007228
                     30,                0.76735,                0.52933,                 1.5697,                 0.7638,                0.78516,                0.81014,                0.65679,                0.69387,                0.45359,                 1.6341,               0.007129,               0.007129,               0.007129
                     31,                0.76926,                0.53229,                 1.5788,                0.76106,                0.78171,                0.81605,                0.66346,                0.69231,                0.45153,                 1.6352,                0.00703,                0.00703,                0.00703
                     32,                0.76161,                0.52342,                 1.5751,                0.79133,                0.76356,                 0.8121,                0.65839,                0.69072,                 0.4489,                 1.6377,               0.006931,               0.006931,               0.006931
                     33,                0.76304,                0.52477,                 1.5661,                 0.7683,                0.77168,                0.80658,                0.65691,                0.69036,                0.45237,                 1.6263,               0.006832,               0.006832,               0.006832
                     34,                0.75775,                0.51856,                 1.5643,                0.78206,                0.77203,                0.81566,                0.66555,                0.68796,                0.44886,                 1.6251,               0.006733,               0.006733,               0.006733
                     35,                0.75805,                0.51665,                 1.5706,                0.78566,                0.77318,                0.81677,                0.66771,                0.68633,                0.44608,                 1.6296,               0.006634,               0.006634,               0.006634
                     36,                0.75212,                 0.5116,                 1.5575,                0.79025,                0.76449,                0.81825,                0.66818,                0.68539,                0.44596,                 1.6217,               0.006535,               0.006535,               0.006535
                     37,                0.74638,                 0.5086,                 1.5531,                0.79052,                0.77748,                0.82428,                0.67434,                0.68302,                0.44359,                 1.6198,               0.006436,               0.006436,               0.006436
