                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3352,                 1.3855,                 1.6213,                0.54229,                0.56223,                0.46601,                  0.348,                0.85435,                0.75982,                 1.5076,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0629,                 0.8772,                 1.4188,                0.57619,                0.66371,                0.62159,                0.47436,                0.85381,                0.67129,                 1.4541,                0.04004,               0.006589,               0.006589
                      3,                0.88367,                0.69125,                 1.4049,                0.58908,                0.61876,                0.61758,                0.47259,                0.80179,                0.64728,                 1.5657,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80276,                0.60318,                 1.4258,                0.68451,                0.69561,                0.70253,                0.55223,                0.76266,                0.56401,                 1.4915,               0.009703,               0.009703,               0.009703
                      5,                 0.7879,                0.58085,                  1.416,                0.70968,                0.71924,                0.74106,                0.59068,                0.73885,                0.53052,                 1.4876,               0.009604,               0.009604,               0.009604
                      6,                0.77253,                0.56064,                 1.4023,                0.71242,                0.70388,                0.73408,                0.58395,                0.74251,                0.53915,                 1.4772,               0.009505,               0.009505,               0.009505
                      7,                0.76414,                0.54737,                 1.4025,                0.74768,                0.72284,                0.77635,                0.62471,                0.72181,                0.50512,                 1.4851,               0.009406,               0.009406,               0.009406
                      8,                 0.7583,                0.54381,                 1.4037,                 0.7537,                0.75524,                0.78474,                0.63561,                0.71756,                0.49375,                 1.4579,               0.009307,               0.009307,               0.009307
                      9,                0.75378,                0.53447,                  1.388,                0.79359,                0.76282,                0.81042,                0.65553,                0.70423,                0.48107,                 1.4539,               0.009208,               0.009208,               0.009208
                     10,                0.74824,                0.53151,                 1.3836,                0.77372,                0.75432,                0.80039,                0.65493,                 0.6934,                0.47713,                  1.467,               0.009109,               0.009109,               0.009109
                     11,                0.74383,                0.52417,                 1.3858,                0.70649,                0.68095,                 0.7297,                0.57576,                0.75155,                0.57964,                 1.5816,                0.00901,                0.00901,                0.00901
                     12,                0.73919,                0.51679,                 1.3835,                0.75708,                0.76475,                0.79112,                0.64199,                0.70441,                0.48789,                 1.4526,               0.008911,               0.008911,               0.008911
                     13,                0.73443,                0.51615,                 1.3828,                0.76586,                0.74264,                0.79735,                0.64942,                0.69948,                0.48165,                 1.4685,               0.008812,               0.008812,               0.008812
                     14,                 0.7315,                0.51191,                 1.3778,                0.74484,                   0.79,                  0.811,                0.66504,                0.68953,                0.46998,                 1.4506,               0.008713,               0.008713,               0.008713
                     15,                 0.7304,                0.50817,                 1.3791,                0.76547,                0.76594,                0.80446,                 0.6577,                0.69673,                0.47467,                 1.4673,               0.008614,               0.008614,               0.008614
                     16,                0.72632,                0.50185,                 1.3751,                0.80201,                0.78317,                0.83219,                0.68274,                0.67931,                0.45283,                 1.4398,               0.008515,               0.008515,               0.008515
                     17,                 0.7229,                0.49918,                 1.3797,                 0.7999,                0.77792,                0.83071,                0.68508,                 0.6777,                0.45169,                  1.448,               0.008416,               0.008416,               0.008416
                     18,                0.71778,                 0.4947,                 1.3739,                 0.7813,                0.78745,                0.82806,                0.68074,                0.67507,                0.44624,                  1.447,               0.008317,               0.008317,               0.008317
                     19,                0.71621,                0.49135,                 1.3822,                0.79762,                0.75005,                0.81155,                0.66405,                0.69794,                0.46395,                 1.4594,               0.008218,               0.008218,               0.008218
                     20,                0.71629,                0.49302,                 1.3728,                0.80836,                0.78604,                0.84128,                0.69373,                0.67102,                 0.4444,                 1.4386,               0.008119,               0.008119,               0.008119
                     21,                0.71558,                0.48772,                 1.3767,                0.79939,                0.80066,                0.84425,                0.69643,                0.67384,                0.43457,                 1.4407,                0.00802,                0.00802,                0.00802
                     22,                0.70776,                0.48526,                 1.3736,                0.80807,                0.80777,                0.84797,                0.70245,                0.66689,                0.42864,                 1.4544,               0.007921,               0.007921,               0.007921
                     23,                0.70987,                0.48458,                 1.3794,                0.83629,                0.78479,                0.85574,                0.70713,                0.66689,                0.42848,                 1.4397,               0.007822,               0.007822,               0.007822
                     24,                0.70734,                0.48193,                 1.3775,                0.80565,                0.78374,                0.83231,                0.68536,                0.68102,                0.44534,                 1.4777,               0.007723,               0.007723,               0.007723
                     25,                0.70336,                0.47421,                 1.3702,                 0.8101,                0.81344,                0.85461,                0.71053,                0.66151,                 0.4259,                 1.4326,               0.007624,               0.007624,               0.007624
                     26,                0.69965,                0.47122,                 1.3768,                0.82036,                0.79508,                0.84634,                0.70224,                0.66709,                0.43025,                 1.4308,               0.007525,               0.007525,               0.007525
                     27,                0.69602,                0.47064,                 1.3693,                0.80736,                0.81039,                0.85472,                0.71027,                0.66446,                0.42185,                 1.4674,               0.007426,               0.007426,               0.007426
                     28,                0.69626,                0.46778,                 1.3674,                0.81367,                0.79343,                0.84502,                0.70285,                0.66256,                0.42696,                 1.4419,               0.007327,               0.007327,               0.007327
                     29,                 0.6972,                0.46738,                 1.3744,                0.79884,                0.82371,                0.85494,                0.71227,                0.65888,                0.41711,                 1.4492,               0.007228,               0.007228,               0.007228
                     30,                0.69384,                0.46484,                 1.3682,                0.83276,                0.80707,                0.86229,                0.71759,                0.65911,                0.41314,                 1.4508,               0.007129,               0.007129,               0.007129
                     31,                0.69615,                0.46434,                 1.3735,                0.82375,                0.82696,                0.86514,                0.72156,                0.65748,                0.41325,                 1.4453,                0.00703,                0.00703,                0.00703
                     32,                0.69078,                0.45846,                 1.3749,                0.82662,                0.79958,                0.85555,                0.71278,                 0.6593,                0.41221,                 1.4472,               0.006931,               0.006931,               0.006931
