                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.307,                 1.4634,                  1.577,                0.41794,                0.56795,                0.47797,                0.35801,                 1.0548,                0.91485,                 1.4983,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0523,                0.87092,                 1.4143,                  0.592,                0.66331,                0.63733,                0.48538,                0.80764,                 0.6413,                 1.4513,                0.04004,               0.006589,               0.006589
                      3,                0.88427,                0.68959,                 1.4049,                0.57353,                0.62229,                0.60746,                0.45712,                0.82632,                0.63752,                 1.6585,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80193,                0.60404,                 1.4241,                0.68607,                0.71736,                0.72293,                 0.5721,                0.74227,                0.54066,                  1.499,               0.009703,               0.009703,               0.009703
                      5,                0.78714,                0.58178,                 1.4148,                0.70759,                0.69226,                0.71596,                0.56885,                0.74837,                0.54677,                 1.5452,               0.009604,               0.009604,               0.009604
                      6,                  0.772,                 0.5615,                 1.3988,                0.72525,                0.73925,                0.75884,                0.60977,                0.73523,                0.50897,                 1.4614,               0.009505,               0.009505,               0.009505
                      7,                0.76266,                0.54653,                  1.401,                0.75392,                0.74069,                0.78433,                0.62902,                0.73497,                0.52533,                  1.487,               0.009406,               0.009406,               0.009406
                      8,                 0.7573,                0.54312,                 1.4043,                0.70172,                0.70368,                0.73486,                0.58632,                0.74019,                0.54499,                  1.519,               0.009307,               0.009307,               0.009307
                      9,                0.75357,                0.53379,                 1.3888,                0.75046,                0.75891,                0.78812,                0.63783,                0.71169,                0.48792,                 1.4903,               0.009208,               0.009208,               0.009208
                     10,                0.74796,                0.53074,                 1.3856,                0.75328,                0.77173,                0.79903,                 0.6512,                0.70121,                0.47538,                 1.4931,               0.009109,               0.009109,               0.009109
                     11,                0.74394,                0.52293,                 1.3859,                0.71406,                0.68937,                0.73253,                0.58297,                0.73771,                 0.5598,                 1.5102,                0.00901,                0.00901,                0.00901
                     12,                0.73899,                0.51603,                 1.3826,                0.77215,                0.77585,                0.81549,                0.66582,                0.69178,                0.47669,                 1.4435,               0.008911,               0.008911,               0.008911
                     13,                0.73476,                0.51589,                 1.3836,                0.77338,                0.74042,                0.79243,                0.64384,                0.69616,                 0.4769,                 1.4751,               0.008812,               0.008812,               0.008812
                     14,                 0.7308,                0.51134,                 1.3794,                0.75864,                0.76844,                0.80103,                0.65658,                0.68974,                0.47019,                  1.447,               0.008713,               0.008713,               0.008713
                     15,                0.72959,                0.50735,                 1.3815,                0.79207,                0.80353,                0.83875,                0.69041,                 0.6855,                0.45211,                 1.4431,               0.008614,               0.008614,               0.008614
                     16,                0.72512,                0.50078,                  1.378,                0.78938,                0.79432,                0.83248,                0.68296,                0.68145,                0.45046,                 1.4609,               0.008515,               0.008515,               0.008515
                     17,                0.72252,                0.49894,                  1.381,                0.79112,                0.78791,                0.82251,                0.67689,                0.68128,                0.45468,                 1.4571,               0.008416,               0.008416,               0.008416
                     18,                0.71796,                0.49489,                 1.3733,                0.78979,                0.76739,                0.82449,                0.67432,                0.68661,                0.46186,                 1.4563,               0.008317,               0.008317,               0.008317
                     19,                0.71715,                0.49251,                 1.3827,                0.82613,                0.81004,                0.85857,                0.71058,                0.67295,                0.43425,                 1.4552,               0.008218,               0.008218,               0.008218
                     20,                0.71715,                0.49327,                 1.3755,                0.78248,                0.81239,                0.84676,                0.69802,                0.67142,                0.43971,                 1.4551,               0.008119,               0.008119,               0.008119
                     21,                0.71551,                0.48835,                 1.3784,                0.80063,                0.79685,                0.83953,                0.69334,                0.67693,                0.44188,                 1.4763,                0.00802,                0.00802,                0.00802
                     22,                0.70786,                0.48572,                  1.375,                0.80524,                0.80209,                0.84776,                0.69893,                0.66939,                0.43321,                 1.4626,               0.007921,               0.007921,               0.007921
                     23,                0.71003,                0.48396,                 1.3847,                0.82526,                 0.7923,                0.85395,                0.70892,                0.66583,                0.42601,                 1.4569,               0.007822,               0.007822,               0.007822
                     24,                0.70704,                0.48252,                 1.3769,                0.82343,                0.79008,                0.84806,                0.70117,                0.66991,                0.43418,                 1.4557,               0.007723,               0.007723,               0.007723
                     25,                0.70448,                0.47359,                 1.3746,                 0.8192,                 0.8179,                0.85937,                0.71211,                0.66594,                0.42528,                 1.4288,               0.007624,               0.007624,               0.007624
                     26,                0.70197,                 0.4724,                 1.3764,                0.80456,                 0.7964,                0.83489,                0.69142,                0.66599,                0.43043,                 1.4441,               0.007525,               0.007525,               0.007525
                     27,                0.69641,                0.47124,                 1.3698,                 0.8181,                0.80489,                0.85128,                0.70743,                0.66178,                0.42575,                 1.4379,               0.007426,               0.007426,               0.007426
                     28,                0.69685,                0.46885,                 1.3685,                0.80163,                0.81005,                0.84561,                0.70174,                0.66224,                0.42556,                 1.4458,               0.007327,               0.007327,               0.007327
                     29,                0.69695,                0.46789,                 1.3746,                0.81198,                 0.8212,                0.85503,                0.71231,                0.65851,                0.41739,                 1.4358,               0.007228,               0.007228,               0.007228
                     30,                0.69577,                0.46625,                 1.3685,                0.81776,                0.80168,                0.85114,                 0.7096,                0.65986,                0.42105,                 1.4434,               0.007129,               0.007129,               0.007129
                     31,                0.69819,                0.46759,                 1.3731,                0.82783,                0.80987,                0.86004,                0.71832,                0.65694,                0.41362,                 1.4421,                0.00703,                0.00703,                0.00703
