                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3388,                 1.4908,                 1.5796,                 0.1175,                0.39453,                0.52031,                0.45392,                0.33919,                0.95626,                0.84527,                 1.5092,                0.10212,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0615,                0.88862,                 1.4202,                0.09706,                0.57802,                0.66115,                0.61779,                0.46759,                0.81053,                0.66557,                  1.461,                0.09907,                0.04004,               0.006589,               0.006589
                      3,                0.88956,                0.69248,                 1.4101,                0.09577,                0.59927,                 0.6077,                0.61317,                0.46561,                0.83929,                0.64708,                 1.6656,                0.09746,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80677,                0.61085,                 1.4294,                0.08991,                0.70035,                0.69342,                0.70796,                 0.5505,                0.76733,                0.57075,                 1.5319,                0.08943,               0.009703,               0.009703,               0.009703
                      5,                0.79164,                0.58577,                 1.4209,                0.08002,                0.74223,                0.69364,                0.74904,                0.59279,                0.75517,                0.54355,                 1.5424,                0.07893,               0.009604,               0.009604,               0.009604
                      6,                0.77512,                0.56512,                 1.4054,                0.06858,                0.74486,                0.71554,                0.75678,                0.60285,                0.74085,                0.51844,                 1.4832,                0.06879,               0.009505,               0.009505,               0.009505
                      7,                0.76739,                0.55191,                 1.4052,                0.06346,                  0.755,                0.73474,                0.77269,                0.62315,                0.72435,                0.51123,                  1.466,                0.06669,               0.009406,               0.009406,               0.009406
                      8,                0.76147,                0.54679,                 1.4064,                0.06284,                0.73556,                0.74605,                0.76834,                0.62097,                0.71825,                0.49486,                 1.4844,                0.06598,               0.009307,               0.009307,               0.009307
                      9,                0.75654,                0.53744,                 1.3944,                 0.0616,                0.76562,                0.75057,                0.78922,                0.63626,                0.71449,                 0.4903,                 1.4763,                 0.0654,               0.009208,               0.009208,               0.009208
                     10,                0.75313,                0.53567,                 1.3869,                0.06081,                0.70855,                0.69855,                0.74147,                0.58022,                0.75852,                0.55752,                 1.5584,                0.06544,               0.009109,               0.009109,               0.009109
                     11,                0.74827,                0.52623,                 1.3907,                0.06054,                0.74828,                0.76636,                0.79726,                0.64304,                0.71657,                0.48805,                 1.4942,                0.06512,                0.00901,                0.00901,                0.00901
                     12,                0.74379,                0.52086,                 1.3855,                0.05995,                0.76858,                0.75108,                0.79997,                0.65091,                0.69932,                0.47741,                 1.4715,                0.06443,               0.008911,               0.008911,               0.008911
                     13,                0.73929,                0.51992,                 1.3855,                0.05977,                0.78622,                0.75814,                0.80764,                0.65457,                 0.6973,                0.46936,                  1.482,                  0.064,               0.008812,               0.008812,               0.008812
                     14,                  0.736,                0.51591,                 1.3849,                0.05912,                0.77598,                0.76798,                0.80855,                0.65986,                0.69007,                0.46779,                 1.4748,                0.06282,               0.008713,               0.008713,               0.008713
                     15,                0.73414,                0.51055,                 1.3854,                0.05903,                0.81179,                0.76469,                0.82299,                0.67433,                0.69088,                0.46782,                 1.4592,                0.06288,               0.008614,               0.008614,               0.008614
                     16,                0.73059,                 0.5053,                 1.3789,                0.05841,                0.79663,                0.79854,                0.84365,                0.68838,                0.68652,                 0.4529,                 1.4519,                0.06233,               0.008515,               0.008515,               0.008515
                     17,                0.72803,                0.50417,                  1.382,                0.05846,                0.80685,                0.77993,                0.83264,                0.68303,                0.68994,                0.45264,                  1.448,                0.06252,               0.008416,               0.008416,               0.008416
                     18,                0.72356,                0.49896,                 1.3776,                0.05803,                0.79703,                0.78769,                0.83658,                 0.6833,                0.68117,                0.44833,                  1.475,                0.06208,               0.008317,               0.008317,               0.008317
                     19,                0.72134,                0.49592,                 1.3864,                0.05847,                0.83091,                0.77687,                0.84131,                0.69222,                 0.6821,                0.44341,                 1.4766,                0.06172,               0.008218,               0.008218,               0.008218
                     20,                0.72261,                0.49688,                 1.3778,                0.05807,                0.80784,                0.80967,                0.84577,                0.69521,                0.67882,                0.43995,                 1.4482,                 0.0616,               0.008119,               0.008119,               0.008119
                     21,                0.72073,                0.49165,                 1.3812,                0.05791,                0.80622,                0.80465,                0.84797,                 0.6989,                0.67678,                0.43755,                 1.4687,                0.06133,                0.00802,                0.00802,                0.00802
                     22,                0.71361,                0.49041,                 1.3764,                0.05745,                0.82951,                0.79239,                0.85304,                0.70318,                0.67309,                0.43362,                 1.4438,                  0.061,               0.007921,               0.007921,               0.007921
                     23,                0.71627,                0.48834,                 1.3839,                0.05765,                0.80883,                0.81574,                0.85225,                0.70287,                0.67071,                0.42987,                 1.4675,                0.06071,               0.007822,               0.007822,               0.007822
                     24,                0.71246,                0.48596,                 1.3786,                 0.0572,                0.82206,                 0.7893,                0.85012,                 0.7032,                0.67013,                0.42958,                 1.4576,                0.06039,               0.007723,               0.007723,               0.007723
                     25,                0.70876,                 0.4791,                 1.3759,                0.05677,                0.82654,                0.79905,                 0.8515,                0.70163,                0.66883,                 0.4286,                 1.4442,                0.06004,               0.007624,               0.007624,               0.007624
                     26,                0.70557,                0.47506,                 1.3806,                0.05443,                0.82041,                0.80169,                0.85451,                0.70642,                0.66966,                0.42726,                 1.4389,                 0.0562,               0.007525,               0.007525,               0.007525
                     27,                0.70163,                0.47557,                   1.37,                0.05087,                0.81188,                0.81197,                0.85435,                0.70645,                0.66763,                0.42832,                 1.4557,                 0.0534,               0.007426,               0.007426,               0.007426
