                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3424,                 1.4912,                 1.5805,                0.11744,                0.37837,                0.51509,                0.44567,                0.33205,                0.99154,                0.87077,                 1.5045,                0.10226,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0557,                0.87622,                 1.4245,                0.09713,                0.57905,                 0.6723,                0.62244,                0.46609,                0.90756,                 0.7188,                 1.4899,                0.09918,                0.04004,               0.006589,               0.006589
                      3,                0.88933,                 0.6938,                   1.41,                 0.0963,                0.64772,                0.64486,                0.65102,                0.49304,                0.80398,                0.60682,                 1.6134,                0.09912,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80606,                0.61008,                 1.4288,                0.09636,                0.69758,                0.69735,                 0.7106,                0.56128,                0.75853,                 0.5564,                 1.4755,                0.09859,               0.009703,               0.009703,               0.009703
                      5,                0.79133,                0.58816,                 1.4177,                0.09399,                0.73105,                0.71641,                0.75472,                0.59691,                0.74236,                0.52576,                 1.5289,                0.09525,               0.009604,               0.009604,               0.009604
                      6,                0.77607,                0.56633,                 1.4022,                0.09038,                0.73598,                0.71499,                0.74931,                0.60035,                0.73914,                0.52536,                 1.4679,                0.09295,               0.009505,               0.009505,               0.009505
                      7,                0.76809,                0.55287,                 1.4036,                0.08912,                0.76763,                0.72259,                0.78109,                0.63216,                0.72104,                0.51246,                 1.4803,                0.09273,               0.009406,               0.009406,               0.009406
                      8,                0.76221,                0.54742,                 1.4061,                0.08578,                0.72545,                 0.7268,                0.74808,                0.59614,                0.72981,                0.52545,                 1.5047,                0.08741,               0.009307,               0.009307,               0.009307
                      9,                0.75759,                0.53751,                 1.3961,                0.08177,                0.75449,                0.76746,                0.79495,                0.64304,                0.71799,                0.48431,                 1.4694,                0.08477,               0.009208,               0.009208,               0.009208
                     10,                0.75255,                0.53485,                  1.388,                0.07987,                0.78526,                 0.7574,                0.80882,                0.65697,                0.69887,                0.47522,                 1.4735,                0.08332,               0.009109,               0.009109,               0.009109
                     11,                0.74826,                0.52714,                 1.3886,                0.07947,                0.76995,                  0.785,                0.81962,                0.66538,                0.70499,                0.46707,                 1.5026,                0.08254,                0.00901,                0.00901,                0.00901
                     12,                0.74366,                0.52137,                 1.3866,                0.07872,                0.77929,                0.76277,                0.81109,                0.66308,                0.69703,                  0.472,                 1.4617,                0.08211,               0.008911,               0.008911,               0.008911
                     13,                0.73956,                0.51938,                 1.3849,                0.07681,                0.78924,                0.75883,                 0.8132,                0.65994,                0.70066,                0.46634,                 1.4717,                0.07898,               0.008812,               0.008812,               0.008812
                     14,                0.73596,                0.51538,                 1.3801,                0.07301,                0.79297,                0.75284,                0.81004,                0.66068,                0.69614,                0.47421,                 1.4481,                0.07606,               0.008713,               0.008713,               0.008713
                     15,                 0.7346,                0.51213,                 1.3819,                 0.0718,                0.79719,                0.78288,                0.82942,                0.67719,                0.69169,                0.45883,                 1.4663,                0.07476,               0.008614,               0.008614,               0.008614
                     16,                0.73062,                0.50611,                 1.3775,                0.07076,                 0.7932,                0.78699,                0.83437,                0.68435,                0.68645,                0.45163,                 1.4399,                0.07365,               0.008515,               0.008515,               0.008515
                     17,                0.72898,                0.50472,                 1.3835,                0.06514,                0.78203,                0.76511,                0.81602,                0.66692,                0.69311,                0.46251,                 1.5001,                0.06576,               0.008416,               0.008416,               0.008416
                     18,                0.72311,                0.49943,                 1.3763,                0.06086,                0.80907,                0.76522,                0.82847,                0.67398,                0.69008,                0.45916,                 1.4667,                0.06411,               0.008317,               0.008317,               0.008317
                     19,                0.72251,                0.49589,                 1.3846,                0.06045,                0.80085,                0.79391,                0.83519,                0.68482,                0.68543,                0.44858,                 1.4738,                0.06376,               0.008218,               0.008218,               0.008218
                     20,                0.72229,                0.49717,                 1.3786,                0.05974,                0.81627,                 0.7991,                0.84419,                 0.6936,                0.67986,                0.44459,                 1.4536,                0.06301,               0.008119,               0.008119,               0.008119
                     21,                0.71996,                0.49076,                 1.3803,                0.05938,                0.81467,                0.80499,                0.85217,                0.70285,                0.67943,                0.43417,                 1.4528,                0.06245,                0.00802,                0.00802,                0.00802
                     22,                0.71375,                0.49009,                 1.3746,                0.05874,                0.82326,                 0.7992,                0.84853,                0.69954,                0.67387,                0.43341,                 1.4463,                0.06208,               0.007921,               0.007921,               0.007921
                     23,                0.71522,                 0.4879,                 1.3856,                0.05883,                0.81794,                0.79697,                0.84044,                0.69296,                0.67316,                 0.4342,                 1.4617,                0.06171,               0.007822,               0.007822,               0.007822
                     24,                0.71241,                0.48589,                 1.3771,                0.05832,                0.81109,                0.79604,                0.84288,                 0.6957,                0.67226,                 0.4337,                 1.4504,                0.06121,               0.007723,               0.007723,               0.007723
                     25,                0.70954,                0.47772,                 1.3786,                0.05717,                0.79824,                0.81278,                0.84589,                0.69903,                0.67068,                0.43027,                 1.4362,                0.05919,               0.007624,               0.007624,               0.007624
                     26,                0.70617,                0.47621,                 1.3789,                0.05335,                0.80142,                0.81037,                0.84977,                0.70457,                0.66878,                0.42535,                 1.4463,                0.05537,               0.007525,               0.007525,               0.007525
                     27,                 0.7017,                0.47541,                 1.3686,                0.05083,                0.81988,                0.80109,                0.85491,                0.70568,                0.67071,                0.42764,                 1.4448,                0.05339,               0.007426,               0.007426,               0.007426
                     28,                0.70234,                0.47319,                 1.3713,                0.04958,                 0.7997,                 0.8247,                  0.859,                 0.7118,                0.66618,                0.42421,                 1.4474,                0.05147,               0.007327,               0.007327,               0.007327
                     29,                0.70228,                0.47255,                 1.3756,                0.04845,                0.82117,                0.81413,                0.86083,                0.71578,                0.66313,                0.42045,                 1.4421,                0.05071,               0.007228,               0.007228,               0.007228
                     30,                0.69943,                0.46909,                 1.3705,                 0.0478,                0.80961,                0.81052,                0.85184,                0.70708,                0.66459,                0.41984,                  1.447,                0.05011,               0.007129,               0.007129,               0.007129
                     31,                0.70197,                0.46927,                 1.3767,                 0.0474,                0.82945,                0.81639,                0.86421,                0.71785,                0.66097,                0.41736,                 1.4484,                0.04993,                0.00703,                0.00703,                0.00703
                     32,                 0.6976,                0.46652,                 1.3732,                0.04676,                0.82653,                0.80855,                0.85786,                0.71159,                0.66213,                 0.4173,                 1.4435,                0.04958,               0.006931,               0.006931,               0.006931
                     33,                 0.6975,                0.46558,                 1.3675,                0.04688,                0.80579,                0.83467,                0.86125,                0.71644,                0.65812,                0.41488,                 1.4468,                0.04931,               0.006832,               0.006832,               0.006832
                     34,                0.69303,                0.46087,                 1.3682,                0.04631,                0.81679,                0.83037,                0.86738,                0.72141,                0.65835,                0.41363,                 1.4454,                 0.0492,               0.006733,               0.006733,               0.006733
                     35,                0.69472,                0.45974,                 1.3718,                0.04642,                0.82375,                0.83812,                0.86853,                0.72207,                0.65809,                0.41068,                 1.4517,                0.04879,               0.006634,               0.006634,               0.006634
                     36,                0.68868,                 0.4542,                 1.3639,                0.04602,                 0.8244,                0.82623,                0.86542,                0.72055,                0.65727,                0.41008,                 1.4438,                0.04879,               0.006535,               0.006535,               0.006535
                     37,                0.68379,                0.45248,                 1.3626,                0.04573,                0.82437,                0.82607,                0.86612,                0.71971,                0.65553,                0.40947,                 1.4406,                0.04858,               0.006436,               0.006436,               0.006436
                     38,                 0.6864,                0.45229,                 1.3706,                0.04592,                0.83494,                0.83234,                 0.8715,                0.72579,                0.65366,                0.40614,                 1.4452,                0.04846,               0.006337,               0.006337,               0.006337
                     39,                0.68395,                0.44903,                 1.3682,                0.04538,                 0.8389,                0.82407,                0.87219,                0.72666,                 0.6552,                  0.407,                 1.4423,                0.04834,               0.006238,               0.006238,               0.006238
                     40,                0.68119,                0.44938,                 1.3656,                0.04538,                0.82418,                0.83912,                0.87155,                0.72655,                0.65426,                0.40719,                 1.4444,                0.04817,               0.006139,               0.006139,               0.006139
                     41,                0.68065,                0.44402,                 1.3744,                0.04551,                0.82726,                0.83069,                0.86833,                0.72456,                0.65401,                0.40717,                 1.4494,                0.04813,                0.00604,                0.00604,                0.00604
                     42,                0.67907,                 0.4447,                 1.3649,                0.04521,                0.83364,                0.83404,                0.87087,                0.72696,                0.65405,                 0.4056,                 1.4494,                0.04792,               0.005941,               0.005941,               0.005941
                     43,                0.67399,                0.44062,                 1.3697,                0.04505,                0.84159,                0.82262,                0.87083,                 0.7276,                0.65423,                0.40492,                 1.4473,                0.04789,               0.005842,               0.005842,               0.005842
                     44,                0.67503,                0.43876,                 1.3654,                0.04497,                0.83966,                0.82962,                0.87155,                  0.728,                0.65335,                0.40319,                 1.4486,                0.04785,               0.005743,               0.005743,               0.005743
