                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3346,                 1.4422,                 1.5735,                0.47959,                0.56083,                0.49411,                0.36598,                 0.9593,                 0.8653,                 1.4431,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0596,                0.87525,                 1.4141,                0.53564,                0.66452,                0.59114,                0.44463,                0.84205,                0.64935,                 1.4912,                0.04004,               0.006589,               0.006589
                      3,                0.88455,                0.69003,                 1.4048,                0.56799,                0.63481,                0.61543,                0.46974,                0.81221,                0.63978,                 1.6084,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80291,                0.60553,                 1.4225,                0.69733,                0.70669,                0.71935,                0.56782,                0.75411,                0.55432,                 1.4751,               0.009703,               0.009703,               0.009703
                      5,                0.78731,                0.58236,                 1.4149,                0.67882,                0.72235,                0.70622,                0.56384,                0.73353,                0.53944,                 1.4945,               0.009604,               0.009604,               0.009604
                      6,                0.77181,                0.56121,                 1.4002,                0.69734,                0.70351,                0.72899,                0.57777,                0.74903,                0.55729,                 1.5169,               0.009505,               0.009505,               0.009505
                      7,                0.76274,                0.54564,                 1.4041,                0.75648,                0.73404,                0.77937,                0.63013,                0.71505,                 0.5036,                  1.493,               0.009406,               0.009406,               0.009406
                      8,                0.75653,                0.54275,                 1.4035,                 0.7404,                0.73734,                0.76427,                0.61723,                0.71728,                0.49804,                 1.4774,               0.009307,               0.009307,               0.009307
                      9,                0.75233,                0.53292,                 1.3898,                0.77117,                0.77841,                0.81502,                0.65999,                0.70951,                 0.4826,                  1.442,               0.009208,               0.009208,               0.009208
                     10,                0.74692,                0.53034,                 1.3843,                0.71102,                0.72263,                0.74789,                0.59247,                0.73892,                 0.5239,                 1.5252,               0.009109,               0.009109,               0.009109
                     11,                0.74346,                0.52354,                  1.386,                0.72269,                0.69748,                0.73927,                0.59292,                0.72627,                0.56655,                 1.5448,                0.00901,                0.00901,                0.00901
                     12,                0.73746,                0.51479,                 1.3848,                0.76044,                0.77576,                0.80594,                0.65588,                0.70133,                0.47183,                 1.4688,               0.008911,               0.008911,               0.008911
                     13,                0.73395,                0.51481,                 1.3835,                0.71454,                0.71556,                0.73936,                0.59221,                0.72026,                0.53031,                 1.5207,               0.008812,               0.008812,               0.008812
                     14,                0.72993,                0.51064,                 1.3796,                 0.7691,                0.75262,                0.79544,                0.65441,                0.69026,                0.47428,                 1.4562,               0.008713,               0.008713,               0.008713
                     15,                0.72833,                0.50667,                 1.3783,                0.79836,                0.78507,                0.83263,                0.68716,                0.68218,                0.45519,                 1.4501,               0.008614,               0.008614,               0.008614
                     16,                0.72522,                0.50043,                 1.3747,                0.78384,                0.79361,                0.83617,                0.68658,                0.67893,                0.44887,                 1.4634,               0.008515,               0.008515,               0.008515
                     17,                 0.7224,                0.49892,                 1.3822,                0.80666,                0.77462,                0.82979,                0.68281,                0.68033,                 0.4488,                 1.4692,               0.008416,               0.008416,               0.008416
