                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3406,                 1.4386,                 1.5906,                0.60836,                0.51762,                0.49562,                0.32873,                 1.2825,                 1.1897,                    1.5,               0.070106,              0.0033215,              0.0033215
                      2,                  1.069,                0.87353,                 1.4238,                0.58815,                0.61729,                0.61522,                0.45984,                 0.9326,                0.74763,                 1.4551,                0.04004,               0.006589,               0.006589
                      3,                0.89129,                0.69035,                 1.4133,                0.61081,                0.59699,                0.61857,                0.46623,                0.83016,                0.67718,                 1.6415,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80337,                0.60367,                 1.4281,                0.64625,                0.68904,                0.67884,                0.52836,                0.77132,                0.57042,                 1.5394,               0.009703,               0.009703,               0.009703
                      5,                 0.7892,                 0.5824,                 1.4186,                0.68905,                0.74755,                0.74212,                0.59226,                0.73855,                0.53137,                 1.5052,               0.009604,               0.009604,               0.009604
                      6,                0.77262,                0.56018,                 1.4054,                0.71939,                 0.7425,                0.76192,                0.60678,                0.74418,                0.52273,                 1.4822,               0.009505,               0.009505,               0.009505
                      7,                0.76416,                0.54717,                 1.4041,                0.75398,                 0.7553,                0.78686,                0.63486,                0.71608,                0.49421,                 1.4659,               0.009406,               0.009406,               0.009406
                      8,                 0.7579,                0.54324,                 1.4059,                0.74665,                0.77197,                0.79061,                0.63877,                0.71333,                0.48609,                 1.4663,               0.009307,               0.009307,               0.009307
                      9,                 0.7536,                0.53308,                 1.3935,                0.73488,                0.76725,                 0.7798,                0.63094,                0.70751,                0.48694,                 1.4542,               0.009208,               0.009208,               0.009208
                     10,                0.74843,                0.53138,                 1.3872,                0.70461,                0.71853,                0.75314,                0.60116,                0.73341,                0.53676,                 1.5133,               0.009109,               0.009109,               0.009109
                     11,                0.74455,                 0.5235,                 1.3889,                0.75716,                0.76149,                0.79916,                0.64796,                0.70317,                0.50051,                 1.4999,                0.00901,                0.00901,                0.00901
                     12,                0.73909,                0.51716,                 1.3852,                0.76405,                0.76025,                0.78611,                0.63986,                0.69269,                0.47362,                 1.4715,               0.008911,               0.008911,               0.008911
                     13,                0.73486,                0.51542,                 1.3822,                 0.7847,                0.75741,                0.80764,                0.65777,                0.69349,                0.47021,                 1.4567,               0.008812,               0.008812,               0.008812
                     14,                0.73045,                0.51031,                 1.3817,                0.77659,                0.76123,                0.79585,                0.65394,                0.68772,                0.46978,                  1.425,               0.008713,               0.008713,               0.008713
                     15,                0.72951,                0.50814,                  1.382,                0.80158,                0.77005,                0.82625,                0.67933,                0.68446,                0.45204,                 1.4799,               0.008614,               0.008614,               0.008614
                     16,                0.72644,                0.50133,                  1.377,                0.79574,                0.78285,                0.83616,                0.68696,                0.68181,                0.45139,                  1.445,               0.008515,               0.008515,               0.008515
                     17,                0.72325,                0.49932,                  1.381,                0.79953,                0.77598,                0.82984,                0.68189,                0.67847,                0.45522,                 1.4617,               0.008416,               0.008416,               0.008416
                     18,                0.71881,                0.49445,                 1.3744,                0.81036,                0.79253,                0.84496,                0.69316,                0.67432,                 0.4404,                 1.4544,               0.008317,               0.008317,               0.008317
                     19,                0.71696,                0.49266,                 1.3827,                0.79876,                0.77355,                0.82994,                0.68026,                0.68777,                0.45633,                 1.4683,               0.008218,               0.008218,               0.008218
                     20,                0.71735,                0.49222,                 1.3766,                0.79251,                0.81242,                0.84631,                0.69823,                0.67341,                0.43954,                 1.4481,               0.008119,               0.008119,               0.008119
                     21,                0.71638,                0.48701,                 1.3821,                0.83429,                0.81305,                0.85823,                0.70871,                0.67184,                0.42883,                 1.4639,                0.00802,                0.00802,                0.00802
                     22,                0.70799,                0.48557,                  1.376,                0.80861,                0.79974,                 0.8469,                0.69958,                0.67005,                0.43455,                 1.4707,               0.007921,               0.007921,               0.007921
                     23,                0.71017,                0.48393,                 1.3844,                0.81433,                0.78934,                0.84945,                0.70334,                0.66848,                0.42561,                 1.4508,               0.007822,               0.007822,               0.007822
                     24,                0.70761,                0.48188,                 1.3776,                0.80002,                0.80341,                0.84764,                0.70277,                0.66754,                0.42819,                 1.4328,               0.007723,               0.007723,               0.007723
                     25,                0.70371,                0.47393,                 1.3731,                0.82696,                0.80356,                0.85815,                0.71208,                0.66526,                0.42512,                 1.4337,               0.007624,               0.007624,               0.007624
                     26,                0.70125,                0.47122,                   1.38,                 0.8099,                0.80212,                0.84939,                0.70575,                 0.6647,                0.42342,                 1.4542,               0.007525,               0.007525,               0.007525
                     27,                 0.6967,                0.47134,                 1.3713,                0.80763,                0.81064,                0.85858,                 0.7129,                0.66095,                  0.422,                  1.445,               0.007426,               0.007426,               0.007426
                     28,                0.69643,                0.46841,                 1.3715,                0.81765,                 0.8069,                0.85952,                0.71231,                0.66291,                0.42087,                 1.4422,               0.007327,               0.007327,               0.007327
                     29,                 0.6978,                0.46822,                 1.3776,                0.81729,                0.80414,                0.85186,                0.70911,                0.66013,                0.41933,                 1.4518,               0.007228,               0.007228,               0.007228
                     30,                0.69435,                0.46403,                 1.3699,                0.81303,                0.80578,                0.85208,                 0.7081,                0.66124,                0.42106,                 1.4511,               0.007129,               0.007129,               0.007129
                     31,                0.69809,                 0.4665,                 1.3762,                0.82645,                0.80609,                0.85914,                0.71687,                0.65794,                0.41339,                 1.4434,                0.00703,                0.00703,                0.00703
                     32,                0.69229,                 0.4608,                 1.3739,                0.83086,                0.79689,                0.86106,                 0.7181,                0.65766,                0.41242,                 1.4471,               0.006931,               0.006931,               0.006931
                     33,                0.69239,                 0.4611,                 1.3667,                0.81301,                0.82369,                0.86262,                0.71998,                0.65651,                0.41208,                 1.4491,               0.006832,               0.006832,               0.006832
                     34,                0.68699,                0.45662,                 1.3674,                0.81798,                 0.8221,                0.86583,                0.72274,                0.65487,                0.41052,                 1.4473,               0.006733,               0.006733,               0.006733
