                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0722,                 1.4672,                 1.5442,                0.48602,                0.57155,                0.46065,                0.33278,                 0.7283,                0.78467,                 1.5232,               0.070106,              0.0033215,              0.0033215
                      2,                0.84781,                0.86051,                 1.4116,                0.55601,                0.66445,                0.61737,                 0.4675,                 0.6517,                0.67189,                 1.4487,                0.04004,               0.006589,               0.006589
                      3,                0.70641,                0.68685,                 1.3988,                0.63667,                0.67882,                0.66856,                0.51453,                0.61777,                0.60417,                 1.5836,              0.0099086,              0.0097904,              0.0097904
                      4,                0.64052,                0.60729,                 1.4168,                0.65154,                0.68685,                0.68616,                0.53447,                0.60497,                0.57797,                 1.5133,               0.009703,               0.009703,               0.009703
                      5,                0.62946,                0.58506,                 1.4066,                0.68858,                0.69856,                0.71376,                0.56278,                0.59358,                0.54892,                 1.5112,               0.009604,               0.009604,               0.009604
                      6,                0.61714,                0.56525,                 1.3916,                0.74931,                0.75403,                0.77931,                0.62506,                0.58106,                0.51121,                 1.4593,               0.009505,               0.009505,               0.009505
                      7,                0.61017,                0.55292,                 1.3931,                 0.7534,                0.75114,                0.77978,                0.62703,                0.57109,                0.50812,                 1.4632,               0.009406,               0.009406,               0.009406
                      8,                0.60561,                0.54821,                 1.3936,                0.74541,                0.74475,                0.76986,                0.61913,                0.57401,                 0.5023,                 1.4566,               0.009307,               0.009307,               0.009307
                      9,                0.60169,                0.53824,                 1.3796,                0.75818,                0.77243,                0.79981,                0.64459,                0.56721,                0.48969,                 1.4416,               0.009208,               0.009208,               0.009208
                     10,                0.59787,                0.53562,                 1.3745,                0.74588,                0.75014,                0.77815,                0.62954,                0.55962,                0.49644,                 1.5052,               0.009109,               0.009109,               0.009109
                     11,                0.59393,                0.52803,                  1.376,                0.65345,                0.65769,                0.69148,                0.54593,                 0.6014,                0.61421,                 1.5361,                0.00901,                0.00901,                0.00901
                     12,                0.58931,                0.52038,                  1.377,                0.76174,                 0.7901,                0.80952,                0.65999,                0.55226,                0.46998,                 1.4512,               0.008911,               0.008911,               0.008911
                     13,                0.58534,                0.51949,                 1.3759,                0.74899,                0.73503,                0.77625,                0.62577,                0.56117,                0.50639,                 1.4626,               0.008812,               0.008812,               0.008812
                     14,                0.58345,                0.51583,                  1.369,                0.79991,                0.76017,                0.81795,                0.67233,                0.54786,                0.47425,                 1.4315,               0.008713,               0.008713,               0.008713
                     15,                0.58303,                0.51357,                 1.3685,                0.79971,                0.75955,                0.81876,                0.67247,                0.54375,                0.46955,                 1.4515,               0.008614,               0.008614,               0.008614
                     16,                0.57899,                 0.5074,                 1.3667,                0.77372,                0.79831,                0.83051,                0.68187,                0.54179,                0.46042,                 1.4189,               0.008515,               0.008515,               0.008515
