                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                      1,                  1.345,                 1.4765,                 1.6121,                      0,                      0,                 0.4702,                 0.5346,                0.47834,                0.35917,                0.88404,                0.79961,                 1.5521,                      0,                      0,               0.070106,              0.0033215,              0.0033215,                0.10768,               0.001049,                0.10873,                0.10771,              0.0033291,               0.078975,             -0.0013273,               0.077647,               0.078933,              0.0050923,                      0
                      2,                 1.0678,                 0.8873,                 1.4237,                0.00472,                      0,                0.58246,                0.66588,                0.61756,                0.46668,                0.85965,                 0.6726,                 1.4403,                0.00442,                      0,                0.04004,               0.006589,               0.006589,                0.11592,              0.0011757,                0.11709,                0.11596,               0.003474,               0.084896,             -0.0011049,               0.083791,               0.084862,              0.0049146,                    0.1
                      3,                0.88677,                0.69084,                 1.4102,                0.00917,                      0,                0.58053,                0.63417,                0.63447,                0.48242,                0.81777,                0.62743,                 1.5802,                0.00862,                      0,              0.0099086,              0.0097904,              0.0097904,                0.14869,               0.003243,                0.15193,                0.14879,              0.0064229,                0.10658,            -0.00042231,                0.10616,                0.10657,              0.0040135,                    0.2
                      4,                0.80351,                0.60351,                 1.4266,                0.01337,                      0,                0.57896,                 0.6596,                0.64934,                0.50352,                0.78154,                0.63944,                 1.5373,                0.01285,                      0,               0.009703,               0.009703,               0.009703,                0.22747,               0.017415,                0.24489,                0.22801,               0.025475,                0.13763,             0.00055111,                0.13819,                0.13765,              0.0041989,                    0.3
                      5,                0.78983,                0.58175,                 1.4192,                0.01763,                      0,                0.70167,                   0.74,                0.74658,                0.59413,                0.73327,                0.52731,                 1.4799,                0.01694,                      0,               0.009604,               0.009604,               0.009604,                0.23048,               0.024993,                0.25547,                0.23124,               0.031541,                0.17017,              0.0015601,                0.17173,                0.17021,              0.0068632,                    0.4
                      6,                0.77349,                0.56079,                 1.4037,                0.02201,                      0,                 0.7378,                0.75126,                0.77613,                0.62059,                0.73696,                0.51818,                  1.468,                0.02108,                      0,               0.009505,               0.009505,               0.009505,                0.23125,               0.034882,                0.26614,                0.23234,               0.038357,                0.21992,              0.0053763,                 0.2253,                0.22009,               0.016369,                    0.5
                      7,                0.76458,                0.54721,                 1.4048,                 0.0262,                      0,                0.76136,                 0.7499,                0.79827,                 0.6455,                0.71579,                0.50022,                 1.4717,                0.02521,                      0,               0.009406,               0.009406,               0.009406,                0.22811,               0.046845,                0.27496,                0.22956,               0.045325,                0.22844,              0.0097736,                0.23821,                0.22874,               0.019642,                    0.6
                      8,                0.75782,                0.54335,                 1.4074,                0.03021,                      0,                0.74277,                0.73104,                0.76727,                0.61958,                0.72342,                0.50989,                 1.4858,                0.02928,                      0,               0.009307,               0.009307,               0.009307,                0.22475,               0.066241,                0.29099,                0.22677,               0.055707,                0.23179,               0.015454,                0.24724,                0.23227,               0.023131,                    0.7
                      9,                0.75434,                0.53275,                 1.3927,                 0.0339,                      0,                0.77389,                 0.7573,                0.80484,                0.65255,                0.71311,                 0.4841,                 1.4595,                0.03231,                      0,               0.009208,               0.009208,               0.009208,                0.21138,                 0.1058,                0.31718,                0.21462,               0.071427,                0.23193,               0.026276,                 0.2582,                0.23274,               0.028175,                    0.8
                     10,                0.74858,                0.53001,                 1.3863,                0.03671,                      0,                0.72818,                0.75137,                0.77165,                0.62368,                0.71106,                0.49503,                 1.4936,                0.03497,                      0,               0.009109,               0.009109,               0.009109,                0.17534,                0.19127,                0.36661,                 0.1812,               0.099116,                 0.2287,               0.052463,                0.28116,                0.23031,               0.038831,                    0.9
                     11,                0.74493,                 0.5247,                 1.3856,                0.03859,                      0,                 0.6764,                0.69712,                0.70479,                0.56178,                 0.7366,                0.58112,                  1.559,                0.03728,                      0,                0.00901,                0.00901,                0.00901,                0.13007,                0.27995,                0.41002,                0.13856,                0.11857,                0.19876,                0.14909,                0.34786,                0.20332,               0.071637,                      1
                     12,                0.73976,                0.51688,                 1.3863,                0.03687,                      0,                0.76575,                 0.7635,                0.79943,                0.65116,                0.69841,                0.48297,                  1.459,                0.03501,                      0,               0.008911,               0.008911,               0.008911,                0.09738,                0.33878,                0.43616,                0.10778,                 0.1287,                0.15442,                0.24888,                 0.4033,                0.16209,               0.099956,                      1
                     13,                0.73477,                0.51621,                 1.3835,                0.03584,                      0,                 0.7929,                0.76598,                0.81596,                0.66574,                0.69262,                0.46302,                 1.4477,                0.03389,                      0,               0.008812,               0.008812,               0.008812,               0.081556,                0.36522,                0.44677,               0.092843,                0.13353,                0.12718,                0.30276,                0.42994,                0.13658,                0.11142,                      1
                     14,                 0.7309,                0.51109,                 1.3826,                0.03493,                      0,                0.73236,                0.71622,                0.73819,                0.59904,                0.71138,                0.51219,                 1.5102,                0.03355,                      0,               0.008713,               0.008713,               0.008713,               0.072352,                0.38264,                0.45499,               0.084108,                0.13632,                 0.1074,                0.34301,                0.45041,                0.11799,                 0.1199,                      1
                     15,                0.73011,                0.50789,                 1.3819,                0.03426,                      0,                0.76065,                0.76963,                0.79854,                0.65409,                0.68925,                0.47279,                 1.4727,                0.03267,                      0,               0.008614,               0.008614,               0.008614,                0.06707,                0.39266,                0.45973,               0.079055,                0.13848,               0.091402,                0.37549,                0.46689,                0.10293,                0.12673,                      1
                     16,                0.72689,                0.50206,                 1.3778,                0.03365,                      0,                0.77922,                0.75578,                0.80825,                0.66018,                0.68944,                  0.471,                 1.4681,                0.03205,                      0,               0.008515,               0.008515,               0.008515,               0.062868,                0.40155,                0.46442,               0.075148,                0.13989,               0.078383,                0.40071,                0.47909,               0.090691,                0.13218,                      1
                     17,                0.72361,                0.49996,                  1.381,                 0.0333,                      0,                0.77734,                 0.7716,                0.81203,                0.66944,                0.67985,                0.45555,                 1.4779,                0.03153,                      0,               0.008416,               0.008416,               0.008416,                0.05954,                0.40264,                0.46218,                 0.0719,                0.14016,               0.065273,                0.41924,                0.48451,               0.078208,                0.13663,                      1
                     18,                0.71893,                0.49507,                 1.3761,                0.03303,                      0,                0.77386,                0.78415,                0.82713,                0.67673,                0.67953,                 0.4534,                 1.4607,                0.03104,                      0,               0.008317,               0.008317,               0.008317,               0.057898,                0.40357,                0.46147,               0.070456,                0.14072,               0.054267,                 0.4351,                0.48936,               0.067884,                0.14142,                      1
                     19,                0.71831,                0.49305,                 1.3802,                0.03283,                      0,                0.79281,                0.76321,                0.81749,                0.67028,                0.68574,                0.45766,                 1.4484,                0.03088,                      0,               0.008218,               0.008218,               0.008218,               0.055519,                0.40493,                0.46045,               0.068048,                0.14095,               0.046986,                0.44536,                0.49235,               0.060834,                0.14324,                      1
                     20,                0.71852,                0.49361,                 1.3774,                0.03217,                      0,                0.80969,                0.79038,                0.84136,                0.69296,                0.67386,                0.44211,                 1.4453,                0.03043,                      0,               0.008119,               0.008119,               0.008119,               0.053961,                 0.4138,                0.46776,               0.066537,                 0.1417,               0.042797,                 0.4582,                  0.501,               0.056801,                0.14404,                      1
