                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/prompt_warmup_factor
                      1,                 1.3269,                 1.4665,                 1.6021,                      0,                      0,                0.52459,                0.55337,                0.49375,                0.36593,                0.91167,                0.77474,                 1.5255,                      0,                      0,               0.070106,              0.0033215,              0.0033215,                0.10768,              0.0010608,                0.10874,                0.10771,              0.0033343,                0.49469,               0.045625,              0.0057941,                    0.5,                    0.5,                0.10298,              0.0006443,                0.10362,                  0.103,              0.0065305,                0.51974,               0.045221,               0.013966,                      0
                      2,                  1.064,                0.88923,                 1.4197,                0.00466,                  5e-05,                0.56607,                0.66752,                0.61699,                0.46806,                0.82296,                0.65041,                 1.4673,                0.00437,                  4e-05,                0.04004,               0.006589,               0.006589,                0.11599,              0.0011837,                0.11717,                0.11603,              0.0034565,                0.49528,                0.04558,              0.0058539,                    0.5,                    0.5,                0.11094,              0.0011043,                0.11204,                0.11097,              0.0072739,                0.51968,               0.045093,               0.013931,                    0.1
                      3,                0.88647,                0.69112,                 1.4106,                0.00904,                  9e-05,                0.54836,                0.54311,                0.53856,                0.40764,                0.86192,                 0.7323,                 1.6333,                 0.0086,                  8e-05,              0.0099086,              0.0097904,              0.0097904,                0.14903,              0.0031921,                0.15223,                0.14913,              0.0062715,                0.49707,               0.045407,              0.0055805,                    0.5,                    0.5,                0.16392,              0.0054131,                0.16933,                0.16409,               0.017848,                0.51945,               0.045028,               0.013609,                    0.2
                      4,                0.80371,                0.60544,                  1.427,                0.01322,                0.00014,                0.65341,                 0.6841,                0.69344,                0.54274,                0.76159,                 0.5755,                 1.5065,                0.01283,                0.00012,               0.009703,               0.009703,               0.009703,                0.22734,               0.017457,                0.24479,                0.22787,               0.025104,                0.49987,               0.045192,              0.0049719,                0.50001,                0.49999,                0.22436,               0.014684,                0.23904,                0.22481,               0.033748,                0.51893,               0.044932,               0.012706,                    0.3
                      5,                0.78882,                0.58203,                 1.4167,                0.01752,                0.00018,                0.71792,                0.73456,                0.75224,                0.59578,                 0.7385,                0.52458,                 1.4926,                0.01686,                0.00016,               0.009604,               0.009604,               0.009604,                 0.2303,               0.024207,                 0.2545,                0.23103,               0.030781,                0.50311,               0.044872,              0.0043772,                0.50001,                0.49999,                0.22483,               0.020132,                0.24497,                0.22545,               0.035247,                0.51828,               0.044738,               0.011904,                    0.4
                      6,                 0.7727,                0.56045,                 1.4039,                0.02192,                0.00023,                0.72056,                 0.7483,                0.76563,                0.61119,                0.73542,                0.51715,                  1.499,                0.02102,                 0.0002,               0.009505,               0.009505,               0.009505,                0.23144,               0.034572,                0.26602,                0.23252,               0.037467,                 0.5059,               0.045524,              0.0038791,                0.50001,                0.49999,                0.22611,               0.024473,                0.25058,                0.22688,               0.036695,                0.51741,               0.045554,               0.011088,                    0.5
                      7,                 0.7638,                0.54601,                 1.4079,                0.02606,                0.00027,                 0.7722,                0.74306,                0.78894,                0.63937,                0.71235,                 0.4898,                 1.4989,                0.02502,                0.00024,               0.009406,               0.009406,               0.009406,                0.22873,               0.047135,                0.27587,                0.23019,               0.044704,                0.50873,               0.045138,              0.0035232,                0.50001,                0.49999,                0.22446,               0.033398,                0.25786,                 0.2255,               0.039571,                0.51684,                0.04515,               0.010318,                    0.6
                      8,                0.75813,                0.54345,                 1.4062,                0.02997,                0.00032,                0.73692,                0.72765,                0.76126,                0.61112,                0.72719,                0.51624,                 1.4998,                0.02877,                0.00028,               0.009307,               0.009307,               0.009307,                0.22487,               0.066611,                0.29148,                0.22691,               0.054715,                0.51101,               0.045104,              0.0031955,                0.50001,                0.49999,                0.22317,               0.052155,                0.27533,                0.22478,               0.045844,                0.51626,               0.045116,              0.0096673,                    0.7
                      9,                0.75354,                0.53333,                 1.3914,                0.03334,                0.00036,                0.78834,                0.73768,                0.80444,                0.65037,                0.70813,                0.48469,                 1.4772,                0.03148,                0.00032,               0.009208,               0.009208,               0.009208,                 0.2098,                  0.112,                 0.3218,                0.21324,               0.072314,                0.51319,               0.045102,              0.0029276,                0.50001,                0.49999,                0.21317,               0.093351,                0.30653,                0.21605,               0.057785,                0.51593,               0.045142,              0.0090372,                    0.8
                     10,                0.74933,                0.53078,                 1.3852,                0.03554,                 0.0004,                0.70318,                0.66207,                0.70609,                0.55786,                0.75451,                0.56529,                 1.5492,                0.03407,                0.00036,               0.009109,               0.009109,               0.009109,                0.16605,                 0.2109,                0.37695,                0.17251,                 0.1021,                0.51464,                0.04485,              0.0026826,                0.50001,                0.49999,                0.18041,                0.18091,                0.36132,                0.18597,               0.083616,                0.51551,               0.044853,              0.0083973,                    0.9
