                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                      1,                 1.3316,                 1.4608,                 1.6034,                      0,                      0,                0.50652,                0.54148,                0.50114,                0.37784,                0.85597,                0.79582,                 1.5228,                      0,                      0,               0.070106,              0.0033215,              0.0033215,                0.10768,              0.0010532,                0.10873,                0.10771,              0.0033253,                0.49469,               0.045624,               0.005794,                    0.5,                    0.5,                0.10295,             0.00065944,                 0.1036,                0.10297,              0.0065094,                0.51974,               0.045221,               0.013955,                    0.5,                    0.5,                      0
                      2,                 1.0688,                0.89692,                 1.4191,                0.00466,                  5e-05,                0.56753,                0.66866,                0.61589,                0.47026,                0.81059,                0.64353,                 1.4465,                0.00437,                  4e-05,                0.04004,               0.006589,               0.006589,                0.11579,              0.0011462,                0.11694,                0.11583,              0.0034402,                0.49529,               0.045578,              0.0058512,                    0.5,                    0.5,                0.11072,              0.0011312,                0.11185,                0.11076,               0.007293,                0.51968,               0.045096,               0.013878,                0.50001,                0.49999,                    0.1
                      3,                0.88852,                 0.6911,                 1.4078,                0.00905,                  9e-05,                0.49481,                0.53123,                0.51963,                0.38588,                0.87487,                0.78787,                 1.6053,                0.00856,                  8e-05,              0.0099086,              0.0097904,              0.0097904,                0.14824,              0.0030678,                 0.1513,                0.14833,              0.0062351,                0.49706,               0.045409,              0.0055849,                0.50001,                0.49999,                0.16319,              0.0051816,                0.16837,                0.16335,               0.017857,                0.51944,               0.045033,               0.013585,                0.50001,                0.49999,                    0.2
                      4,                0.80349,                0.60467,                 1.4279,                0.01322,                0.00014,                0.64772,                0.69678,                0.68382,                 0.5354,                0.76167,                 0.5655,                 1.5065,                 0.0128,                0.00012,               0.009703,               0.009703,               0.009703,                0.22757,               0.018299,                0.24587,                0.22813,               0.025671,                0.49983,               0.045197,              0.0049599,                0.50001,                0.49999,                0.22397,               0.014263,                0.23823,                0.22441,               0.033584,                0.51894,               0.044932,               0.012669,                0.50001,                0.49999,                    0.3
                      5,                0.78823,                0.58082,                  1.419,                0.01752,                0.00018,                 0.6689,                0.72298,                0.72613,                0.57479,                0.74083,                0.54495,                 1.5223,                0.01684,                0.00016,               0.009604,               0.009604,               0.009604,                0.23055,               0.024733,                0.25529,                 0.2313,               0.031441,                0.50305,               0.044881,              0.0043675,                0.50001,                0.49999,                0.22461,               0.019703,                0.24432,                0.22522,               0.035243,                0.51833,               0.044741,               0.011971,                0.50001,                0.49999,                    0.4
                      6,                0.77262,                0.56121,                  1.402,                 0.0219,                0.00023,                0.66358,                0.66529,                0.69098,                0.52889,                0.76735,                0.60055,                  1.531,                0.02109,                 0.0002,               0.009505,               0.009505,               0.009505,                0.23135,                0.03485,                 0.2662,                0.23243,                0.03791,                0.50585,               0.045538,              0.0038995,                0.50001,                0.49999,                0.22623,               0.027348,                0.25358,                0.22709,                0.03753,                0.51746,               0.045559,               0.011084,                0.50001,                0.49999,                    0.5
                      7,                0.76466,                0.54774,                 1.4037,                0.02603,                0.00027,                0.75131,                0.74928,                0.78783,                0.63652,                0.71655,                0.50011,                 1.4862,                0.02506,                0.00024,               0.009406,               0.009406,               0.009406,                0.22843,               0.046903,                0.27534,                0.22988,               0.045443,                0.50876,               0.045143,               0.003525,                0.50001,                0.49999,                0.22417,               0.038397,                0.26257,                0.22537,               0.041101,                0.51688,               0.045144,                0.01024,                0.50002,                0.49998,                    0.6
                      8,                0.75865,                0.54311,                 1.4037,                0.02988,                0.00032,                0.73022,                0.71684,                0.75378,                 0.6027,                0.72721,                0.51266,                 1.4823,                0.02861,                0.00028,               0.009307,               0.009307,               0.009307,                 0.2245,               0.068272,                0.29277,                0.22659,                0.05604,                0.51108,               0.045104,              0.0031662,                0.50001,                0.49999,                0.22148,               0.061536,                0.28302,                0.22338,               0.048451,                0.51623,               0.045109,              0.0095926,                0.50002,                0.49998,                    0.7
                      9,                 0.7546,                0.53458,                 1.3909,                0.03306,                0.00036,                 0.7527,                0.76625,                0.79531,                0.64324,                0.70802,                0.48601,                  1.463,                0.03123,                0.00032,               0.009208,               0.009208,               0.009208,                0.20627,                0.12094,                0.32721,                0.20998,               0.075649,                0.51319,               0.045103,              0.0029169,                0.50001,                0.49999,                 0.2048,                0.11932,                0.32411,                0.20848,               0.064547,                0.51591,               0.045145,              0.0090312,                0.50002,                0.49998,                    0.8
                     10,                0.74855,                0.53105,                 1.3856,                0.03496,                 0.0004,                0.74691,                0.77338,                0.79915,                0.65026,                0.70067,                 0.4807,                  1.466,                0.03289,                0.00036,               0.009109,               0.009109,               0.009109,                0.15526,                0.23297,                0.38823,                0.16239,                 0.1069,                0.51467,               0.044845,              0.0026798,                0.50001,                0.49999,                0.16287,                0.22061,                0.38349,                0.16966,               0.093258,                0.51551,               0.044862,              0.0084255,                0.50002,                0.49998,                    0.9
