                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,p2/prompt_warmup_factor
                      1,                 1.4085,                 1.5333,                 1.5503,                      0,                      0,                      0,                0.46188,                 0.5508,                0.49357,                0.36129,                0.90381,                0.79248,                 1.4746,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.079892,             -0.0029227,               0.076969,               0.079802,              0.0055675,                0.42724,               0.053661,               0.014965,                 0.5001,                 0.4999,             0.00011908,               0.089676,            -0.00056239,               0.089114,               0.089659,              0.0029363,                0.48323,               0.046352,               0.013595,                0.50001,                0.49999,             8.5305e-06,                      0
                      2,                 1.0532,                0.87868,                 1.4146,                0.00479,                  5e-05,                      0,                 0.5842,                0.66071,                 0.6167,                0.46741,                0.84213,                0.66687,                 1.4415,                0.00446,                  5e-05,                      0,                0.04004,               0.006589,               0.006589,               0.093538,             -0.0022359,               0.091302,               0.093469,              0.0044749,                0.43133,               0.053422,               0.015423,                0.50031,                0.49969,              0.0003385,                0.09429,            -0.00049365,               0.093796,               0.094275,               0.002896,                0.48385,                0.04635,               0.013641,                0.50003,                0.49997,             2.1958e-05,                    0.1
                      3,                0.88447,                0.69394,                  1.408,                0.00924,                 0.0001,                      0,                0.57913,                0.63541,                0.62285,                0.47407,                0.81973,                0.64534,                 1.5655,                0.00867,                  9e-05,                      0,              0.0099086,              0.0097904,              0.0097904,                0.13293,             0.00021851,                0.13314,                0.13293,              0.0031882,                0.44705,               0.050786,               0.013364,                0.50043,                0.49957,             0.00039689,                0.10939,            -0.00022964,                0.10916,                0.10938,              0.0026086,                0.48581,               0.046182,                0.01344,                0.50004,                0.49996,             3.0107e-05,                    0.2
                      4,                0.80431,                0.60578,                 1.4252,                0.01346,                0.00014,                      0,                0.65096,                0.68422,                0.69007,                0.53792,                0.76301,                0.58807,                 1.5205,                0.01294,                0.00013,                      0,               0.009703,               0.009703,               0.009703,                0.20978,              0.0086882,                0.21847,                0.21005,               0.015154,                 0.4752,               0.047123,              0.0090489,                 0.5004,                 0.4996,             0.00038712,                0.13202,             0.00015682,                0.13217,                0.13202,              0.0027708,                0.48994,               0.045744,               0.012271,                0.50004,                0.49996,             3.2805e-05,                    0.3
                      5,                0.78894,                0.58272,                 1.4171,                 0.0177,                0.00018,                      0,                0.71555,                0.72055,                0.74324,                0.59563,                0.73602,                0.53697,                  1.472,                0.01701,                0.00016,                      0,               0.009604,               0.009604,               0.009604,                0.23236,               0.017858,                0.25021,                 0.2329,               0.023671,                0.49384,               0.045457,               0.006055,                0.50038,                0.49962,             0.00037835,                0.16687,              0.0014841,                0.16835,                0.16691,               0.006912,                0.49482,               0.045288,               0.011458,                0.50004,                0.49996,              3.474e-05,                    0.4
                      6,                0.77243,                0.56042,                  1.401,                0.02207,                0.00023,                      0,                 0.6842,                0.70381,                0.71951,                0.56245,                 0.7481,                0.56513,                 1.5094,                0.02118,                 0.0002,                      0,               0.009505,               0.009505,               0.009505,                0.23429,               0.027971,                0.26226,                0.23516,               0.029807,                0.50332,               0.045718,              0.0046194,                0.50038,                0.49962,              0.0003753,                0.22469,              0.0071542,                0.23184,                0.22491,               0.019946,                0.49914,               0.045792,                0.01062,                0.50004,                0.49996,             3.7597e-05,                    0.5
                      7,                0.76426,                0.54782,                 1.4013,                0.02626,                0.00027,                      0,                0.75167,                0.75666,                0.78473,                0.63455,                0.72258,                0.49838,                 1.4924,                0.02522,                0.00024,                      0,               0.009406,               0.009406,               0.009406,                0.23193,               0.040979,                0.27291,                0.23319,               0.037761,                0.50962,               0.045239,              0.0038316,                0.50037,                0.49963,             0.00037161,                0.22827,              0.0098133,                0.23808,                0.22857,               0.021735,                0.50341,                0.04535,              0.0095888,                0.50004,                0.49996,             4.0655e-05,                    0.6
                      8,                0.75922,                0.54426,                 1.4055,                0.03026,                0.00032,                      0,                0.74025,                 0.7488,                0.76797,                0.61802,                0.72144,                0.50471,                 1.4559,                0.02913,                0.00028,                      0,               0.009307,               0.009307,               0.009307,                0.22879,               0.062719,                0.29151,                0.23071,               0.049718,                0.51343,               0.045164,               0.003216,                0.50037,                0.49963,             0.00036605,                0.23092,               0.014197,                0.24512,                0.23136,               0.024683,                0.50676,               0.045218,              0.0088591,                0.50004,                0.49996,             4.3559e-05,                    0.7
                      9,                0.75499,                0.53331,                 1.3921,                0.03403,                0.00036,                      0,                 0.7746,                0.75924,                0.81002,                0.65651,                0.70574,                0.47969,                 1.4593,                0.03245,                0.00032,                      0,               0.009208,               0.009208,               0.009208,                0.21623,                0.10041,                0.31664,                0.21931,               0.067561,                0.51626,               0.045145,              0.0028063,                0.50036,                0.49964,             0.00036293,                0.23116,               0.019835,                  0.251,                0.23178,               0.027311,                0.50974,               0.045206,              0.0081206,                0.50004,                0.49996,             4.6056e-05,                    0.8
                     10,                0.74865,                0.53072,                 1.3868,                0.03705,                 0.0004,                      0,                0.74422,                0.76274,                0.79125,                0.64562,                0.69873,                  0.483,                 1.4948,                 0.0351,                0.00036,                      0,               0.009109,               0.009109,               0.009109,                0.18407,                0.17901,                0.36308,                0.18955,               0.096124,                0.51771,               0.044877,              0.0024912,                0.50036,                0.49964,             0.00035749,                0.23123,               0.032454,                0.26368,                0.23223,               0.033044,                0.51188,               0.044896,              0.0073988,                0.50004,                0.49996,             4.8756e-05,                    0.9
