                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,  p2/P5_rgb_global_mean,   p2/P5_rgb_global_mse,   p2/P5_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                      1,                 1.3402,                  1.482,                  1.596,                      0,                      0,                      0,                0.60233,                0.53285,                0.49733,                0.37666,                0.87332,                0.82378,                 1.4981,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.079843,             -0.0028883,               0.076955,               0.079754,              0.0056028,               0.028356,                0.24942,              0.0044411,                0.42724,               0.053655,                  0.015,                    0.5,                    0.5,             8.5494e-06,                0.11246,               0.001043,                 0.1135,                0.11249,              0.0044002,                0.30768,               0.054916,               0.044587,                0.51256,                0.04513,               0.016137,                0.50003,                0.49997,             2.6662e-05,                0.28359,               0.067301,               0.051538,                0.69226,                0.51807,                0.31993,               0.094047,                      0
                      2,                 1.0636,                 0.8872,                 1.4203,                0.00475,                  5e-05,                  8e-05,                0.57955,                0.65062,                0.62054,                0.46971,                0.85296,                0.66968,                 1.4652,                0.00441,                  5e-05,                  9e-05,                0.04004,               0.006589,               0.006589,               0.093323,             -0.0021153,               0.091208,               0.093258,              0.0045534,               0.035247,                0.24566,              0.0056976,                 0.4313,               0.053397,               0.015493,                0.50001,                0.49999,             1.4169e-05,                0.12069,              0.0014422,                0.12213,                0.12073,              0.0056208,                0.40659,               0.025008,               0.048413,                0.51225,               0.045054,               0.015874,                0.50008,                0.49992,             7.0144e-05,                 0.3087,               0.057022,               0.050167,                0.69538,                0.52091,                 0.3223,               0.094522,                    0.1
                      3,                0.88671,                0.69277,                 1.4071,                0.00911,                 0.0001,                  5e-05,                0.55961,                 0.5825,                0.58985,                0.44146,                 0.8292,                0.67996,                 1.5937,                0.00861,                  9e-05,                  2e-05,              0.0099086,              0.0097904,              0.0097904,                 0.1327,              0.0002164,                0.13292,                0.13271,              0.0031724,                0.32474,               0.080391,               0.016953,                0.44704,               0.050734,               0.013485,                0.50001,                0.49999,             1.4592e-05,                0.17714,              0.0058697,                0.18301,                0.17733,               0.017784,                0.51783,              0.0093581,               0.047054,                0.51163,               0.044972,               0.015254,                0.50012,                0.49988,             9.1765e-05,                0.42953,               0.020918,               0.054402,                0.69379,                0.52101,                0.32264,               0.094026,                    0.2
                      4,                0.80377,                0.60559,                 1.4255,                 0.0133,                0.00014,                  1e-05,                0.69467,                0.70533,                0.71435,                0.56486,                0.75173,                0.55493,                 1.4812,                0.01282,                0.00013,                  3e-05,               0.009703,               0.009703,               0.009703,                0.20942,              0.0090859,                0.21851,                 0.2097,               0.014951,                0.51894,              0.0093208,               0.018693,                0.47475,               0.047092,               0.008961,                0.50001,                0.49999,             1.5373e-05,                0.22458,                0.01232,                 0.2369,                0.22496,               0.028767,                0.51639,              0.0090778,               0.049495,                0.51043,               0.044876,               0.013913,                0.50012,                0.49988,             9.7141e-05,                0.51591,              0.0093548,               0.055393,                0.69553,                0.51988,                0.31573,               0.095637,                    0.3
                      5,                0.78843,                0.58131,                 1.4168,                0.01758,                0.00018,                  2e-05,                0.71424,                0.70939,                0.74111,                0.59059,                0.74185,                0.53786,                 1.5088,                0.01697,                0.00016,                  3e-05,               0.009604,               0.009604,               0.009604,                0.23249,               0.018138,                0.25063,                0.23304,               0.024029,                0.52076,              0.0078673,               0.020557,                0.49336,               0.045443,                0.00604,                0.50001,                0.49999,             1.6101e-05,                0.22481,               0.016653,                0.24146,                0.22532,               0.030085,                0.51708,              0.0095525,               0.057569,                 0.5099,               0.044693,               0.012729,                0.50012,                0.49988,             9.7875e-05,                0.52106,              0.0077885,               0.052935,                0.69178,                0.51961,                0.32459,               0.093355,                    0.4
                      6,                0.77247,                0.56002,                 1.4016,                0.02199,                0.00023,                  2e-05,                0.74335,                0.73334,                0.76653,                0.61472,                0.73375,                0.52034,                 1.4585,                0.02109,                 0.0002,                  4e-05,               0.009505,               0.009505,               0.009505,                0.23421,               0.027608,                0.26181,                0.23506,               0.029913,                0.51819,              0.0074338,               0.023754,                0.50297,               0.045707,              0.0046275,                0.50001,                0.49999,             1.6341e-05,                0.22604,               0.022477,                0.24852,                0.22675,               0.032854,                0.51641,               0.011504,               0.071593,                0.50943,               0.045483,               0.011509,                0.50011,                0.49989,              0.0001024,                0.51606,              0.0074729,               0.054058,                0.69071,                0.51598,                0.31854,               0.094903,                    0.5
                      7,                 0.7648,                0.54778,                 1.4037,                0.02616,                0.00027,                  3e-05,                0.76941,                0.73388,                0.78511,                0.63688,                0.71375,                0.49681,                 1.4669,                0.02517,                0.00024,                  4e-05,               0.009406,               0.009406,               0.009406,                0.23185,               0.039504,                0.27135,                0.23307,               0.037058,                0.52234,              0.0068003,               0.026381,                0.50933,               0.045217,              0.0038268,                0.50001,                0.49999,             1.6948e-05,                0.22455,               0.029531,                0.25408,                0.22547,               0.035622,                 0.5178,               0.013008,               0.081762,                0.50978,               0.045096,               0.010254,                0.50011,                0.49989,             0.00010817,                0.51963,              0.0065479,               0.055151,                0.69343,                0.51871,                0.32047,               0.093893,                    0.6
                      8,                0.75761,                 0.5439,                 1.4056,                0.03005,                0.00032,                  3e-05,                0.73807,                 0.7299,                0.75368,                0.60622,                0.72838,                0.51225,                   1.48,                0.02889,                0.00028,                  5e-05,               0.009307,               0.009307,               0.009307,                0.22894,               0.060947,                0.28988,                 0.2308,                0.04934,                0.52038,              0.0059429,               0.029903,                0.51323,               0.045158,              0.0032344,                0.50001,                0.49999,             1.7312e-05,                0.22422,               0.049442,                0.27366,                0.22574,               0.044094,                0.51745,               0.014335,                0.10073,                0.51036,               0.045072,              0.0093662,                0.50011,                0.49989,             0.00011363,                0.51886,              0.0051502,                0.06311,                0.69121,                0.51846,                0.32313,                0.09368,                    0.7
                      9,                0.75552,                0.53536,                 1.3917,                0.03347,                0.00036,                  4e-05,                0.76733,                0.76731,                0.80212,                0.65072,                0.70581,                0.48268,                 1.4543,                0.03168,                0.00032,                  5e-05,               0.009208,               0.009208,               0.009208,                0.21616,                0.10216,                0.31833,                 0.2193,               0.067313,                0.52101,              0.0056467,               0.031987,                  0.516,               0.045143,              0.0027927,                0.50001,                0.49999,             1.8087e-05,                0.21519,               0.093579,                0.30877,                0.21808,               0.060503,                0.50909,                0.01765,                0.11005,                0.51141,               0.045084,              0.0085648,                0.50011,                0.49989,             0.00011748,                0.52114,              0.0055154,               0.060673,                0.69313,                0.51914,                0.32499,               0.093353,                    0.8
                     10,                0.74948,                0.53158,                 1.3855,                0.03576,                 0.0004,                  4e-05,                0.75277,                0.73161,                0.77039,                0.62567,                0.70816,                0.49753,                 1.4796,                0.03374,                0.00036,                  6e-05,               0.009109,               0.009109,               0.009109,                0.17791,                0.19332,                0.37123,                0.18383,                0.09845,                0.52169,              0.0051979,               0.035129,                0.51746,               0.044874,               0.002481,                0.50001,                0.49999,             1.8726e-05,                0.18346,                0.18224,                 0.3657,                0.18906,               0.090157,                0.52437,               0.017831,                0.10812,                  0.512,               0.044838,                0.00773,                0.50011,                0.49989,             0.00012214,                0.51826,              0.0056313,               0.057398,                 0.6931,                0.52113,                0.32608,               0.093092,                    0.9
