                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std, p2/P4_final_weight_std,    p2/P4_gamma_spatial,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P4_spatial_logits_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,  p2/P5_rgb_global_mean,   p2/P5_rgb_global_mse,   p2/P5_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                      1,                 1.3353,                 1.4709,                 1.6032,                      0,                      0,                      0,                0.38599,                0.56512,                0.41984,                0.29864,                  1.077,                 1.1032,                  1.437,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.079793,             -0.0028405,               0.076953,               0.079705,              0.0056054,               0.028428,                0.24935,              0.0044627,                0.42723,                0.05367,               0.014979,             8.2833e-06,            -4.5621e-06,                    0.5,                    0.5,             8.0484e-06,                0.11248,              0.0010285,                0.11351,                0.11251,              0.0044044,                0.30786,               0.054919,               0.044865,                0.51256,               0.045127,               0.016122,                0.13453,                0.50002,                0.49998,             2.6571e-05,                0.43401,               0.021795,               0.055266,                0.69226,                0.51807,                0.31993,               0.094047,                      0
                      2,                 1.0574,                0.88665,                 1.4219,                0.00475,                  5e-05,                  8e-05,                0.59018,                0.66463,                0.62624,                0.47755,                0.87546,                0.68389,                 1.4363,                0.00441,                  5e-05,                  8e-05,                0.04004,               0.006589,               0.006589,               0.093115,             -0.0021337,               0.090981,               0.093049,              0.0045278,               0.035819,                0.24511,              0.0057357,                0.43111,               0.053456,               0.015185,             1.8881e-05,            -5.4319e-05,                0.50001,                0.49999,             1.4559e-05,                0.12054,              0.0014629,                  0.122,                0.12058,              0.0055627,                0.40685,                0.02521,               0.048405,                0.51224,                0.04505,               0.015844,                0.13609,                0.50008,                0.49992,              6.652e-05,                 0.4385,               0.022538,               0.056607,                0.69538,                0.52091,                 0.3223,               0.094522,                    0.1
                      3,                 0.8894,                0.69151,                 1.4098,                0.00911,                 0.0001,                  5e-05,                0.61008,                0.61976,                0.64038,                0.48516,                0.80795,                 0.6382,                  1.576,                 0.0086,                  9e-05,                  2e-05,              0.0099086,              0.0097904,              0.0097904,                0.13242,              0.0001654,                0.13258,                0.13242,              0.0031566,                0.32682,                0.07939,               0.017485,                0.44692,               0.050761,               0.013223,             2.7382e-05,            -0.00014772,                0.50002,                0.49998,             1.5377e-05,                 0.1769,              0.0063016,                 0.1832,                0.17709,               0.017756,                0.51703,              0.0094187,               0.046956,                0.51161,               0.044982,               0.015203,                0.13641,                0.50012,                0.49988,             8.7339e-05,                0.48004,               0.017551,               0.056151,                0.69379,                0.52101,                0.32264,               0.094026,                    0.2
                      4,                0.80355,                0.60486,                 1.4268,                 0.0133,                0.00014,                  1e-05,                0.63364,                0.69335,                0.67734,                0.52556,                0.76875,                0.59075,                 1.5214,                0.01289,                0.00013,                  3e-05,               0.009703,               0.009703,               0.009703,                0.20873,              0.0085403,                0.21727,                0.20899,               0.014558,                0.51888,               0.009115,               0.019741,                0.47486,                0.04713,              0.0088844,             2.8785e-05,            -0.00016259,                0.50002,                0.49998,             1.5753e-05,                0.22488,               0.013563,                0.23845,                 0.2253,               0.029178,                0.51563,              0.0093781,               0.052637,                0.51031,               0.044898,               0.013774,                0.13544,                0.50012,                0.49988,              9.215e-05,                0.51791,               0.013064,                0.04701,                0.69553,                0.51988,                0.31573,               0.095637,                    0.3
                      5,                0.78828,                0.58103,                 1.4188,                0.01757,                0.00018,                  2e-05,                0.68883,                0.74056,                 0.7386,                0.58894,                 0.7383,                0.52678,                 1.4802,                0.01706,                0.00016,                  3e-05,               0.009604,               0.009604,               0.009604,                0.23246,               0.017898,                0.25036,                0.23301,               0.023098,                0.52053,              0.0077517,               0.021587,                0.49362,               0.045473,              0.0060124,             2.9148e-05,            -0.00016457,                0.50002,                0.49998,             1.6448e-05,                0.22521,               0.019176,                0.24439,                 0.2258,               0.031005,                0.51184,              0.0098813,                0.06468,                0.50994,               0.044715,               0.012755,                0.13467,                0.50011,                0.49989,             9.3903e-05,                0.51924,              0.0097628,               0.040313,                0.69178,                0.51961,                0.32459,               0.093355,                    0.4
                      6,                0.77212,                 0.5596,                 1.4052,                0.02198,                0.00023,                  2e-05,                0.71639,                0.72884,                0.75398,                0.59651,                0.74437,                0.54088,                 1.4935,                0.02116,                 0.0002,                  4e-05,               0.009505,               0.009505,               0.009505,                0.23429,               0.027755,                0.26204,                0.23515,               0.029605,                0.51812,              0.0071671,               0.025775,                 0.5032,               0.045702,              0.0045292,             3.1385e-05,            -0.00019807,                0.50003,                0.49997,             1.6962e-05,                0.22615,               0.025397,                0.25155,                0.22695,               0.033833,                0.51599,               0.010954,               0.073589,                 0.5093,               0.045495,               0.011387,                0.13374,                0.50011,                0.49989,              9.827e-05,                0.51729,              0.0082302,               0.038056,                0.69071,                0.51598,                0.31854,               0.094903,                    0.5
                      7,                0.76506,                0.54779,                 1.4039,                 0.0261,                0.00027,                  3e-05,                0.76026,                0.75125,                0.79094,                0.63958,                 0.7163,                0.50044,                 1.4687,                0.02509,                0.00024,                  4e-05,               0.009406,               0.009406,               0.009406,                0.23195,               0.040686,                0.27264,                0.23321,               0.037052,                0.52197,              0.0067161,               0.027215,                0.50935,               0.045212,              0.0037594,             3.5781e-05,            -0.00026622,                0.50003,                0.49997,             1.7437e-05,                0.22431,               0.036642,                0.26095,                0.22545,               0.037759,                0.51643,               0.012783,               0.085935,                0.50979,               0.045093,               0.010281,                0.13307,                0.50011,                0.49989,             0.00010174,                0.52013,              0.0069372,               0.040174,                0.69343,                0.51871,                0.32047,               0.093893,                    0.6
                      8,                0.75797,                 0.5438,                 1.4056,                0.02996,                0.00032,                  3e-05,                0.74577,                0.73317,                0.76752,                0.61711,                0.72393,                0.50954,                 1.4762,                0.02884,                0.00028,                  5e-05,               0.009307,               0.009307,               0.009307,                0.22892,               0.061496,                0.29042,                 0.2308,               0.049114,                0.52006,              0.0059285,               0.030626,                0.51315,               0.045155,              0.0031898,             3.9386e-05,            -0.00032542,                0.50004,                0.49996,             1.7411e-05,                  0.222,               0.062998,                  0.285,                0.22394,               0.049137,                0.51538,               0.014203,                0.10199,                0.51039,               0.045054,              0.0093315,                0.13226,                0.50011,                0.49989,             0.00010562,                0.51744,              0.0065862,               0.039861,                0.69121,                0.51846,                0.32313,                0.09368,                    0.7
                      9,                0.75425,                 0.5331,                 1.3922,                0.03328,                0.00036,                  4e-05,                0.75196,                0.75335,                0.78541,                0.63228,                0.70966,                0.48538,                 1.4591,                0.03145,                0.00032,                  6e-05,               0.009208,               0.009208,               0.009208,                0.21481,                0.10615,                0.32096,                0.21807,                0.06796,                0.52165,              0.0057753,               0.031758,                0.51594,                0.04514,              0.0027738,              4.482e-05,            -0.00040375,                0.50004,                0.49996,             1.8291e-05,                0.20693,                0.11863,                0.32556,                0.21059,               0.069883,                0.52748,               0.017303,                0.11063,                0.51149,                0.04507,              0.0085751,                0.13167,                0.50011,                0.49989,             0.00010873,                 0.5213,              0.0061383,               0.041274,                0.69313,                0.51914,                0.32499,               0.093353,                    0.8
                     10,                0.74855,                0.53057,                 1.3862,                0.03551,                 0.0004,                  4e-05,                 0.7522,                0.77809,                0.79912,                 0.6498,                0.69862,                0.47697,                 1.4717,                0.03333,                0.00036,                  6e-05,               0.009109,               0.009109,               0.009109,                0.17118,                0.20677,                0.37795,                0.17751,                0.10064,                0.52175,              0.0051631,               0.035951,                0.51749,               0.044873,              0.0024658,             5.4581e-05,            -0.00054915,                0.50005,                0.49995,             1.8864e-05,                0.17426,                0.20089,                0.37515,                0.18043,               0.095248,                0.52317,               0.019515,                 0.1126,                0.51213,                0.04482,              0.0078115,                  0.131,                0.50011,                0.49989,             0.00011092,                0.51864,               0.005223,               0.045933,                 0.6931,                0.52113,                0.32608,               0.093092,                    0.9
