                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                      1,                 1.3221,                 1.4648,                 1.6058,                      0,                      0,                      0,                0.46296,                0.52829,                0.45251,                0.30152,                  1.193,                 1.4647,                 1.4442,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.079805,             -0.0028763,               0.076929,               0.079717,              0.0055841,               0.092618,            -0.00063505,               0.091983,               0.092598,               0.002075,                      0
                      2,                 1.0739,                0.89981,                 1.4163,                0.00479,                      0,                      0,                0.55491,                0.65638,                0.61878,                0.46771,                0.82488,                0.63188,                 1.4634,                0.00446,                      0,                      0,                0.04004,               0.006589,               0.006589,               0.092983,             -0.0022338,               0.090749,               0.092914,              0.0045612,               0.096732,            -0.00052265,                0.09621,               0.096716,              0.0020541,                    0.1
                      3,                0.88573,                0.69279,                 1.4112,                0.00924,                      0,                      0,                0.60315,                0.61623,                 0.6278,                 0.4795,                  0.816,                0.64151,                 1.5739,                0.00868,                      0,                      0,              0.0099086,              0.0097904,              0.0097904,                0.13242,             0.00017978,                 0.1326,                0.13243,              0.0031994,                0.11009,            -0.00033514,                0.10975,                0.11008,              0.0019522,                    0.2
                      4,                0.80331,                 0.6042,                  1.426,                0.01347,                      0,                      0,                0.66763,                0.70693,                0.69678,                0.54633,                0.75497,                0.56206,                 1.5101,                 0.0129,                      0,                      0,               0.009703,               0.009703,               0.009703,                0.20921,              0.0090229,                0.21824,                0.20949,               0.015186,                0.13087,             3.4966e-05,                0.13091,                0.13087,              0.0021493,                    0.3
                      5,                0.78834,                0.58175,                 1.4165,                0.01772,                      0,                      0,                0.69419,                0.70979,                0.72952,                0.57999,                0.74122,                0.55328,                 1.4856,                0.01704,                      0,                      0,               0.009604,               0.009604,               0.009604,                0.23231,               0.017566,                0.24988,                0.23285,               0.023564,                0.16071,             0.00079582,                0.16151,                0.16074,              0.0043582,                    0.4
                      6,                0.77308,                0.56188,                 1.4009,                0.02209,                      0,                      0,                0.72788,                0.71127,                 0.7551,                0.60001,                0.74026,                0.53467,                  1.474,                0.02116,                      0,                      0,               0.009505,               0.009505,               0.009505,                0.23414,               0.027735,                0.26188,                  0.235,               0.029821,                0.21367,              0.0045422,                0.21821,                0.21381,               0.014833,                    0.5
                      7,                0.76481,                0.54789,                 1.4026,                 0.0263,                      0,                      0,                0.74767,                0.73027,                0.77151,                 0.6201,                0.72863,                0.50907,                 1.4553,                0.02532,                      0,                      0,               0.009406,               0.009406,               0.009406,                0.23188,               0.039552,                0.27143,                 0.2331,               0.036853,                0.22728,              0.0068519,                0.23413,                0.22749,               0.019081,                    0.6
                      8,                0.75883,                0.54355,                 1.4052,                0.03031,                      0,                      0,                0.70386,                0.69912,                  0.718,                0.56957,                0.74846,                0.55733,                 1.5047,                0.02922,                      0,                      0,               0.009307,               0.009307,               0.009307,                0.22915,               0.060849,                   0.29,                0.23102,               0.049052,                0.23049,               0.010257,                0.24075,                0.23081,               0.021788,                    0.7
                      9,                  0.754,                0.53321,                 1.3931,                0.03403,                      0,                      0,                 0.7599,                0.76095,                0.79215,                0.64103,                0.71106,                0.47939,                 1.4458,                0.03235,                      0,                      0,               0.009208,               0.009208,               0.009208,                0.21613,                0.10252,                0.31865,                0.21928,               0.066288,                0.23143,                0.01504,                0.24647,                0.23189,               0.024529,                    0.8
                     10,                0.74867,                0.53109,                 1.3859,                0.03686,                      0,                      0,                 0.7329,                0.74589,                0.76711,                 0.6168,                0.72249,                0.50359,                 1.5259,                0.03509,                      0,                      0,               0.009109,               0.009109,               0.009109,                0.17509,                0.19832,                0.37341,                0.18116,               0.098728,                0.23211,               0.023402,                0.25551,                0.23283,                0.02858,                    0.9
