                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                      1,                 1.3282,                 1.4525,                 1.6107,                      0,                      0,                      0,                0.48899,                0.54408,                0.49351,                0.36212,                0.95079,                0.83061,                 1.5254,                      0,                      0,                      0,               0.070106,              0.0033215,              0.0033215,               0.079879,             -0.0029057,               0.076973,               0.079789,              0.0056342,               0.092613,             -0.0006272,               0.091986,               0.092594,              0.0020751,                      0
                      2,                 1.0762,                0.90728,                 1.4194,                0.00479,                      0,                      0,                0.58444,                0.64292,                0.61002,                0.46123,                0.84189,                0.65658,                 1.4772,                0.00445,                      0,                      0,                0.04004,               0.006589,               0.006589,               0.093041,             -0.0022478,               0.090794,               0.092972,              0.0045428,               0.096715,            -0.00049876,               0.096216,                 0.0967,              0.0020663,                    0.1
                      3,                0.88764,                0.69179,                 1.4096,                0.00924,                      0,                      0,                0.55631,                0.61154,                0.60411,                0.45447,                0.81547,                0.68341,                 1.6295,                0.00869,                      0,                      0,              0.0099086,              0.0097904,              0.0097904,                0.13226,             0.00019339,                0.13245,                0.13226,              0.0031497,                   0.11,            -0.00031536,                0.10969,                0.10999,               0.001955,                    0.2
                      4,                0.80387,                0.60484,                 1.4271,                0.01347,                      0,                      0,                0.66418,                0.70297,                0.69666,                0.54746,                0.75952,                 0.5612,                 1.4954,                0.01291,                      0,                      0,               0.009703,               0.009703,               0.009703,                0.20934,              0.0091974,                0.21854,                0.20963,               0.015487,                0.13083,             2.0657e-05,                0.13085,                0.13083,              0.0021488,                    0.3
                      5,                0.78831,                0.58088,                  1.418,                0.01771,                      0,                      0,                0.70797,                0.71735,                0.73666,                0.58295,                0.73706,                0.53154,                 1.5018,                0.01702,                      0,                      0,               0.009604,               0.009604,               0.009604,                0.23262,               0.018316,                0.25094,                0.23318,               0.023901,                0.16045,             0.00069492,                0.16114,                0.16047,              0.0042396,                    0.4
                      6,                0.77309,                0.56052,                 1.4041,                 0.0221,                      0,                      0,                0.71974,                0.71792,                 0.7572,                0.60065,                0.73973,                0.52764,                 1.4728,                 0.0212,                      0,                      0,               0.009505,               0.009505,               0.009505,                0.23394,               0.027415,                0.26136,                0.23479,               0.029561,                0.21158,              0.0038761,                0.21546,                 0.2117,               0.013622,                    0.5
                      7,                0.76383,                0.54767,                 1.4044,                0.02628,                      0,                      0,                0.75382,                0.74515,                0.78725,                0.63661,                 0.7157,                0.50522,                  1.466,                0.02527,                      0,                      0,               0.009406,               0.009406,               0.009406,                0.23185,               0.040632,                0.27248,                 0.2331,               0.037564,                 0.2274,              0.0066578,                0.23405,                 0.2276,               0.018265,                    0.6
                      8,                0.75811,                0.54304,                 1.4076,                0.03028,                      0,                      0,                0.73857,                 0.7492,                0.78262,                0.62822,                0.72152,                0.49352,                 1.4938,                0.02899,                      0,                      0,               0.009307,               0.009307,               0.009307,                0.22845,               0.063512,                0.29196,                 0.2304,               0.050202,                0.23061,               0.010042,                0.24065,                0.23092,               0.020815,                    0.7
                      9,                0.75364,                0.53275,                 1.3917,                0.03393,                      0,                      0,                0.73886,                0.77188,                0.78777,                0.63646,                 0.7146,                0.49524,                 1.4618,                0.03225,                      0,                      0,               0.009208,               0.009208,               0.009208,                0.21329,                0.11043,                0.32372,                0.21668,               0.069589,                0.23109,               0.013954,                0.24505,                0.23152,               0.023313,                    0.8
                     10,                0.74831,                0.53006,                  1.387,                0.03672,                      0,                      0,                0.71948,                0.72256,                0.76132,                0.61131,                 0.7278,                0.52485,                 1.5301,                0.03494,                      0,                      0,               0.009109,               0.009109,               0.009109,                0.16777,                0.21295,                0.38072,                0.17429,                0.10153,                 0.2317,               0.019946,                0.25164,                0.23231,               0.026892,                    0.9
