                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3708,                 1.4803,                  1.639,                 0.4083,                0.54649,                0.45743,                0.34164,                0.90584,                0.84852,                 1.5063,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0697,                0.89719,                 1.4298,                0.55896,                0.60709,                0.59411,                0.44842,                0.88111,                 0.6931,                   1.49,                0.04004,               0.006589,               0.006589
                      3,                0.89317,                0.69564,                 1.4145,                 0.5749,                0.59701,                0.59897,                0.44768,                0.83677,                0.70035,                 1.6216,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80777,                 0.6103,                 1.4305,                0.69948,                0.70641,                0.71152,                0.55039,                0.76868,                0.57437,                 1.5284,               0.009703,               0.009703,               0.009703
                      5,                0.79208,                0.58576,                 1.4213,                0.69678,                 0.6742,                0.71843,                0.56135,                0.76315,                0.57095,                 1.5414,               0.009604,               0.009604,               0.009604
                      6,                 0.7769,                0.56505,                  1.407,                0.59448,                0.56223,                0.57671,                0.44167,                0.80771,                0.69275,                 1.5974,               0.009505,               0.009505,               0.009505
                      7,                0.76868,                0.55359,                 1.4069,                0.71216,                 0.6835,                0.73513,                0.57799,                0.76229,                0.58127,                 1.5087,               0.009406,               0.009406,               0.009406
                      8,                0.76319,                0.54881,                 1.4083,                0.73123,                  0.735,                0.74878,                0.60211,                0.72872,                 0.5003,                 1.4703,               0.009307,               0.009307,               0.009307
                      9,                0.75853,                0.53856,                  1.394,                0.73305,                0.74666,                0.77746,                 0.6283,                 0.7235,                 0.5078,                 1.4789,               0.009208,               0.009208,               0.009208
                     10,                0.75437,                0.53638,                 1.3891,                0.79223,                0.73353,                0.79254,                 0.6382,                0.70802,                0.49167,                 1.4902,               0.009109,               0.009109,               0.009109
                     11,                0.75039,                0.52895,                  1.391,                0.76975,                0.74409,                0.79404,                 0.6404,                0.71256,                0.50092,                 1.5112,                0.00901,                0.00901,                0.00901
                     12,                0.74552,                0.52272,                 1.3873,                0.77326,                0.75618,                0.79782,                0.65013,                0.69836,                0.47912,                 1.4675,               0.008911,               0.008911,               0.008911
                     13,                0.74134,                 0.5223,                 1.3853,                0.80215,                0.75165,                0.81392,                0.66036,                0.69912,                0.47259,                 1.4612,               0.008812,               0.008812,               0.008812
                     14,                0.73729,                0.51872,                 1.3817,                0.77099,                0.76094,                0.80929,                0.66298,                0.68716,                0.46662,                 1.4604,               0.008713,               0.008713,               0.008713
                     15,                0.73635,                0.51303,                 1.3858,                 0.7866,                0.78537,                0.82181,                0.67219,                0.69531,                0.46826,                 1.4581,               0.008614,               0.008614,               0.008614
                     16,                0.73292,                0.50831,                 1.3791,                0.79704,                0.79818,                 0.8353,                0.68422,                0.68733,                0.45158,                 1.4587,               0.008515,               0.008515,               0.008515
                     17,                0.73153,                 0.5072,                 1.3859,                0.79214,                0.77723,                0.82488,                0.67439,                0.69127,                0.45756,                 1.4752,               0.008416,               0.008416,               0.008416
                     18,                0.72479,                0.50079,                 1.3779,                0.81031,                0.77103,                0.83103,                0.67936,                0.68657,                0.45423,                  1.462,               0.008317,               0.008317,               0.008317
                     19,                0.72407,                0.49816,                 1.3862,                0.79864,                0.76456,                0.81164,                0.65904,                0.69745,                0.47144,                 1.4718,               0.008218,               0.008218,               0.008218
                     20,                0.72429,                0.49838,                 1.3801,                0.82314,                0.79218,                0.84359,                0.69237,                0.68285,                0.44875,                 1.4577,               0.008119,               0.008119,               0.008119
                     21,                0.72244,                0.49478,                 1.3817,                 0.8025,                0.80983,                0.84854,                0.69852,                0.67891,                0.44016,                 1.4655,                0.00802,                0.00802,                0.00802
                     22,                0.71512,                0.49247,                 1.3774,                0.81743,                0.80004,                0.84305,                0.69568,                0.67692,                0.43494,                 1.4642,               0.007921,               0.007921,               0.007921
                     23,                0.71897,                0.49129,                 1.3862,                0.81167,                0.79053,                0.83551,                0.68786,                0.67475,                0.43822,                 1.4585,               0.007822,               0.007822,               0.007822
                     24,                0.71472,                0.48872,                 1.3804,                0.81564,                0.78657,                0.84727,                0.69886,                0.67282,                0.43027,                 1.4639,               0.007723,               0.007723,               0.007723
                     25,                0.71274,                0.48105,                 1.3814,                0.80431,                0.81616,                0.85004,                0.69979,                0.67359,                0.43008,                 1.4492,               0.007624,               0.007624,               0.007624
                     26,                0.70923,                0.47879,                 1.3813,                0.83016,                0.80322,                0.85826,                0.70747,                0.67137,                0.42664,                 1.4453,               0.007525,               0.007525,               0.007525
                     27,                0.70355,                0.47715,                 1.3713,                0.81119,                0.81064,                 0.8511,                0.70274,                0.66965,                 0.4288,                  1.455,               0.007426,               0.007426,               0.007426
                     28,                0.70504,                0.47568,                 1.3715,                0.81918,                0.80462,                0.85348,                0.70505,                0.67054,                 0.4274,                 1.4546,               0.007327,               0.007327,               0.007327
                     29,                0.70495,                0.47415,                 1.3807,                0.81431,                0.80912,                0.85202,                0.70324,                 0.6658,                0.42521,                 1.4502,               0.007228,               0.007228,               0.007228
                     30,                0.70171,                0.47132,                 1.3734,                0.82437,                0.79899,                0.85167,                0.70484,                0.66714,                0.42294,                 1.4591,               0.007129,               0.007129,               0.007129
                     31,                0.70522,                0.47335,                 1.3782,                  0.826,                0.81329,                0.85946,                0.71184,                0.66688,                0.42367,                 1.4615,                0.00703,                0.00703,                0.00703
                     32,                 0.6994,                0.46809,                  1.376,                0.81897,                 0.8278,                 0.8622,                 0.7173,                0.66633,                0.41755,                 1.4534,               0.006931,               0.006931,               0.006931
                     33,                0.69975,                0.46799,                 1.3683,                0.81997,                0.82952,                0.86296,                0.71628,                0.66461,                0.41915,                 1.4465,               0.006832,               0.006832,               0.006832
                     34,                0.69536,                0.46428,                   1.37,                0.83303,                0.81955,                0.86675,                0.71955,                0.66188,                0.41471,                 1.4516,               0.006733,               0.006733,               0.006733
                     35,                0.69789,                0.46374,                 1.3752,                0.83906,                0.82234,                0.86553,                0.71956,                0.66347,                0.41563,                 1.4595,               0.006634,               0.006634,               0.006634
                     36,                 0.6922,                 0.4583,                  1.365,                 0.8219,                 0.8373,                0.86596,                0.71949,                0.66181,                0.41339,                 1.4557,               0.006535,               0.006535,               0.006535
                     37,                0.68731,                0.45626,                 1.3667,                0.82056,                0.82652,                0.86309,                0.71676,                 0.6594,                0.41353,                 1.4493,               0.006436,               0.006436,               0.006436
                     38,                0.69059,                 0.4562,                 1.3715,                0.83543,                0.82521,                0.86623,                0.72093,                0.65936,                0.41186,                 1.4525,               0.006337,               0.006337,               0.006337
                     39,                0.68689,                0.45076,                 1.3757,                0.83916,                0.81064,                0.86309,                0.71693,                0.65926,                0.41232,                 1.4563,               0.006238,               0.006238,               0.006238
                     40,                0.68596,                0.45148,                 1.3736,                0.84673,                0.80596,                0.86413,                0.71926,                0.65993,                0.41024,                 1.4614,               0.006139,               0.006139,               0.006139
                     41,                0.68518,                0.44756,                 1.3749,                0.82897,                0.82234,                0.86652,                0.72069,                0.66009,                0.40966,                 1.4586,                0.00604,                0.00604,                0.00604
                     42,                0.68295,                 0.4479,                 1.3696,                0.83494,                0.82781,                0.86971,                0.72541,                 0.6592,                0.40747,                 1.4576,               0.005941,               0.005941,               0.005941
                     43,                0.67763,                0.44518,                 1.3695,                0.83354,                0.82189,                0.86672,                0.72243,                0.65867,                0.40831,                 1.4557,               0.005842,               0.005842,               0.005842
                     44,                0.67932,                0.44392,                 1.3664,                0.83809,                 0.8272,                0.86935,                0.72433,                0.65845,                0.40681,                 1.4535,               0.005743,               0.005743,               0.005743
                     45,                0.68203,                0.44484,                 1.3715,                0.83274,                0.82916,                0.87004,                 0.7256,                0.65764,                0.40671,                  1.454,               0.005644,               0.005644,               0.005644
                     46,                0.67937,                0.44448,                 1.3726,                0.83782,                   0.82,                0.86946,                0.72606,                0.65726,                0.40676,                 1.4534,               0.005545,               0.005545,               0.005545
                     47,                0.67713,                0.43906,                 1.3668,                0.83828,                0.82312,                0.86982,                0.72642,                0.65675,                0.40574,                 1.4538,               0.005446,               0.005446,               0.005446
                     48,                0.67644,                0.44102,                 1.3674,                0.83522,                0.82629,                0.86994,                0.72642,                0.65588,                0.40514,                 1.4526,               0.005347,               0.005347,               0.005347
                     49,                0.67255,                0.43576,                 1.3617,                0.83792,                0.82603,                0.87022,                0.72703,                0.65574,                0.40459,                  1.452,               0.005248,               0.005248,               0.005248
                     50,                0.66781,                0.43158,                 1.3629,                0.83735,                0.82443,                0.87045,                  0.727,                0.65547,                0.40389,                 1.4527,               0.005149,               0.005149,               0.005149
                     51,                0.67137,                0.43463,                  1.371,                0.83492,                0.82875,                0.87101,                0.72801,                0.65531,                0.40331,                 1.4569,                0.00505,                0.00505,                0.00505
                     52,                0.66646,                0.43115,                 1.3683,                0.83963,                0.82619,                0.87026,                0.72798,                0.65498,                0.40349,                  1.457,               0.004951,               0.004951,               0.004951
                     53,                0.66467,                0.42664,                 1.3694,                0.83762,                 0.8285,                0.87029,                0.72753,                 0.6547,                0.40301,                 1.4584,               0.004852,               0.004852,               0.004852
                     54,                0.66227,                0.42657,                 1.3697,                0.83527,                0.83094,                0.86885,                0.72608,                0.65465,                0.40341,                 1.4593,               0.004753,               0.004753,               0.004753
                     55,                0.66411,                0.42396,                 1.3632,                 0.8412,                0.82749,                0.86872,                0.72637,                0.65435,                0.40278,                 1.4609,               0.004654,               0.004654,               0.004654
                     56,                0.65967,                0.42348,                 1.3635,                0.84043,                 0.8291,                0.86949,                0.72706,                0.65428,                0.40226,                 1.4619,               0.004555,               0.004555,               0.004555
                     57,                0.65626,                0.41795,                 1.3604,                0.84272,                 0.8251,                0.86961,                0.72744,                0.65418,                0.40212,                 1.4626,               0.004456,               0.004456,               0.004456
                     58,                0.66322,                 0.4212,                 1.3581,                0.84636,                0.82484,                0.86979,                0.72731,                  0.654,                0.40178,                 1.4635,               0.004357,               0.004357,               0.004357
                     59,                0.66231,                0.42019,                 1.3712,                0.84573,                0.82462,                0.87007,                0.72707,                0.65402,                 0.4017,                 1.4631,               0.004258,               0.004258,               0.004258
                     60,                0.66154,                0.42005,                 1.3602,                0.84712,                0.82483,                0.86978,                0.72699,                0.65408,                0.40161,                 1.4631,               0.004159,               0.004159,               0.004159
                     61,                0.65519,                0.41388,                 1.3589,                0.84477,                 0.8248,                0.86979,                0.72763,                 0.6539,                0.40156,                 1.4632,                0.00406,                0.00406,                0.00406
                     62,                 0.6524,                0.41301,                 1.3617,                0.84477,                0.82679,                0.86963,                0.72773,                0.65377,                0.40138,                 1.4635,               0.003961,               0.003961,               0.003961
                     63,                0.65618,                0.41491,                 1.3635,                0.84719,                0.82697,                0.86965,                0.72723,                0.65353,                0.40126,                 1.4636,               0.003862,               0.003862,               0.003862
                     64,                0.65485,                0.41476,                 1.3611,                0.85079,                0.82336,                0.86933,                0.72704,                0.65351,                0.40122,                 1.4634,               0.003763,               0.003763,               0.003763
                     65,                0.64931,                0.40926,                 1.3566,                0.84989,                0.82363,                0.86957,                0.72766,                0.65342,                0.40105,                 1.4632,               0.003664,               0.003664,               0.003664
                     66,                0.65012,                   0.41,                 1.3582,                0.84802,                0.82464,                0.86959,                0.72773,                0.65338,                0.40102,                  1.463,               0.003565,               0.003565,               0.003565
                     67,                0.65473,                 0.4097,                 1.3532,                0.84822,                0.82412,                 0.8697,                0.72789,                0.65334,                0.40104,                 1.4631,               0.003466,               0.003466,               0.003466
                     68,                0.64596,                0.40369,                 1.3582,                0.84745,                0.82449,                0.86965,                0.72798,                0.65326,                0.40109,                 1.4629,               0.003367,               0.003367,               0.003367
                     69,                0.64723,                 0.4033,                 1.3601,                0.84965,                0.82431,                0.86961,                0.72813,                0.65305,                0.40079,                 1.4631,               0.003268,               0.003268,               0.003268
                     70,                0.64467,                0.40137,                 1.3496,                0.84775,                0.82529,                0.86968,                0.72818,                0.65292,                0.40063,                 1.4631,               0.003169,               0.003169,               0.003169
                     71,                0.64426,                0.40231,                 1.3534,                0.84649,                0.82675,                0.86932,                0.72809,                0.65283,                0.40076,                 1.4632,                0.00307,                0.00307,                0.00307
                     72,                0.64219,                0.39945,                 1.3496,                 0.8469,                0.82461,                0.86917,                 0.7283,                0.65276,                0.40075,                 1.4635,               0.002971,               0.002971,               0.002971
