                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3635,                 1.4886,                 1.6376,                0.48689,                0.53291,                0.45963,                0.34446,                0.88175,                0.79111,                 1.5276,               0.070106,              0.0033215,              0.0033215
                      2,                 1.0762,                0.89587,                 1.4291,                0.56328,                0.65092,                0.61558,                0.46209,                0.85677,                0.68265,                 1.4532,                0.04004,               0.006589,               0.006589
                      3,                0.89072,                0.69764,                 1.4144,                0.58004,                0.58072,                 0.5865,                0.44896,                0.82618,                 0.6924,                 1.6083,              0.0099086,              0.0097904,              0.0097904
                      4,                0.80769,                0.61033,                 1.4294,                0.68956,                0.71934,                0.72128,                0.56259,                0.75681,                0.57857,                 1.5116,               0.009703,               0.009703,               0.009703
                      5,                0.79232,                0.58595,                 1.4211,                0.73776,                0.72589,                0.76136,                0.59861,                0.73824,                0.52893,                 1.5263,               0.009604,               0.009604,               0.009604
                      6,                0.77576,                0.56534,                 1.4071,                0.67691,                0.67225,                0.70179,                0.54846,                0.76907,                0.58837,                 1.5345,               0.009505,               0.009505,               0.009505
                      7,                0.76867,                0.55191,                  1.408,                0.75976,                0.72618,                0.76351,                0.61685,                0.72416,                0.51004,                 1.4639,               0.009406,               0.009406,               0.009406
                      8,                0.76188,                 0.5486,                  1.408,                0.75341,                0.72673,                0.76484,                0.61515,                  0.723,                0.50324,                 1.4753,               0.009307,               0.009307,               0.009307
                      9,                0.75869,                 0.5384,                 1.3942,                0.77075,                0.75389,                0.79358,                0.63986,                0.71144,                0.48866,                 1.4743,               0.009208,               0.009208,               0.009208
                     10,                0.75454,                0.53636,                 1.3897,                0.73009,                0.71406,                0.75545,                0.59702,                0.74482,                 0.5293,                 1.5234,               0.009109,               0.009109,               0.009109
                     11,                0.75093,                0.53024,                 1.3881,                0.75898,                0.74824,                0.79388,                0.64123,                0.71567,                 0.5044,                 1.4972,                0.00901,                0.00901,                0.00901
                     12,                0.74558,                0.52246,                 1.3894,                0.73047,                0.76445,                0.77654,                0.63376,                0.69479,                 0.4789,                 1.4631,               0.008911,               0.008911,               0.008911
                     13,                0.74131,                0.52211,                 1.3857,                0.80158,                0.75722,                0.81623,                0.66199,                0.70031,                0.46994,                  1.466,               0.008812,               0.008812,               0.008812
                     14,                0.73737,                0.51787,                 1.3832,                0.77639,                0.76749,                0.80683,                 0.6601,                0.69519,                0.47222,                 1.4717,               0.008713,               0.008713,               0.008713
                     15,                0.73613,                0.51235,                 1.3856,                0.77597,                0.76448,                0.80677,                0.65958,                0.69418,                0.46425,                 1.4831,               0.008614,               0.008614,               0.008614
                     16,                0.73271,                0.50696,                 1.3816,                0.79605,                0.78331,                0.82167,                0.67348,                0.68697,                0.45494,                 1.4717,               0.008515,               0.008515,               0.008515
